Date,close,vol,symbol
2024-09-06,113.86,3802320,ABT
2024-09-09,116.43,5100999,ABT
2024-09-10,117.11,4963751,ABT
2024-09-11,116.6,6535606,ABT
2024-09-12,116.83,4349379,ABT
2024-09-13,116.4,3350075,ABT
2024-09-16,117.63,3637167,ABT
2024-09-17,118.13,4982543,ABT
2024-09-18,114.88,5990242,ABT
2024-09-19,114.15,8144179,ABT
2024-09-20,113.7,8403387,ABT
2024-09-23,114.81,5005400,ABT
2024-09-24,113.34,5029820,ABT
2024-09-25,112.61,5159254,ABT
2024-09-26,112.73,3508932,ABT
2024-09-27,112.43,3566365,ABT
2024-09-30,114.01,5036278,ABT
2024-10-01,113.56,4263960,ABT
2024-10-02,113.64,3454010,ABT
2024-10-03,112.23,3472202,ABT
2024-10-04,112.64,4366288,ABT
2024-10-07,113.36,6912946,ABT
2024-10-08,114.63,4341619,ABT
2024-10-09,115.95,4256968,ABT
2024-10-10,115.62,4068452,ABT
2024-10-11,116.12,3471291,ABT
2024-10-14,117.25,3674100,ABT
2024-10-15,116.05,6544862,ABT
2024-10-16,117.82,7356247,ABT
2024-10-17,117.89,5047138,ABT
2024-10-18,119.39,6742032,ABT
2024-10-21,116.99,8303389,ABT
2024-10-22,116.12,5359962,ABT
2024-10-23,117.01,3655702,ABT
2024-10-24,116.54,3767983,ABT
2024-10-25,114.22,5989611,ABT
2024-10-28,114.07,4104706,ABT
2024-10-29,113.4,4543608,ABT
2024-10-30,114.45,5188001,ABT
2024-10-31,113.37,5323165,ABT
2024-11-01,118.6,10149305,ABT
2024-11-04,117.65,5603975,ABT
2024-11-05,117.73,4059223,ABT
2024-11-06,116.8,5256141,ABT
2024-11-07,115.3,5518982,ABT
2024-11-08,116.59,5685893,ABT
2024-11-11,116.8,5301202,ABT
2024-11-12,116.44,4598917,ABT
2024-11-13,115.74,4760798,ABT
2024-11-14,115.03,3812280,ABT
2024-11-15,115.9,6898605,ABT
2024-11-18,117.36,6086577,ABT
2024-11-19,117.13,4542921,ABT
2024-11-20,115.93,5624453,ABT
2024-11-21,117.26,5562006,ABT
2024-11-22,117.76,5349775,ABT
2024-11-25,118.13,6879339,ABT
2024-11-26,117.96,4056817,ABT
2024-11-27,118.95,3510309,ABT
2024-11-29,118.77,2523194,ABT
2024-12-02,116.81,5339311,ABT
2024-12-03,116.29,4794886,ABT
2024-12-04,115.97,3557185,ABT
2024-12-05,115.59,3269799,ABT
2024-12-06,115.6,5300680,ABT
2024-12-09,114.9,4868047,ABT
2024-12-10,115.5,4072098,ABT
2024-12-11,114.14,4748085,ABT
2024-12-12,113.86,3764687,ABT
2024-12-13,113.38,4550900,ABT
2024-12-16,112.62,5047226,ABT
2024-12-17,113.29,5805786,ABT
2024-12-18,111.93,6454872,ABT
2024-12-19,112.42,7738661,ABT
2024-12-20,114.23,12311927,ABT
2024-12-23,114.31,4028231,ABT
2024-12-24,114.76,1479984,ABT
2024-12-26,115.27,2960675,ABT
2024-12-27,114.99,2829920,ABT
2024-12-30,112.8,3476031,ABT
2024-12-31,113.11,3520181,ABT
2025-01-02,113.44,3569139,ABT
2025-01-03,113.83,4416827,ABT
2025-01-06,113.04,6037209,ABT
2025-01-07,113.4,5300212,ABT
2025-01-08,114.25,4455770,ABT
2025-01-10,112.31,5109130,ABT
2025-01-13,113.19,4409702,ABT
2025-01-14,113.02,3972372,ABT
2025-01-15,111.1,6543692,ABT
2025-01-16,113.91,5598701,ABT
2025-01-17,113.48,6459847,ABT
2025-01-21,116.79,8486265,ABT
2025-01-22,117.78,13200904,ABT
2025-01-23,123.22,13089363,ABT
2025-01-24,125.03,9960512,ABT
2025-01-27,129.43,11845067,ABT
2025-01-28,127.39,11948715,ABT
2025-01-29,127.86,7609799,ABT
2025-01-30,128.81,6340522,ABT
2025-01-31,127.93,7129490,ABT
2025-02-03,128.45,5720601,ABT
2025-02-04,129.1,6957675,ABT
2025-02-05,132.06,8680447,ABT
2025-02-06,128.22,6469197,ABT
2025-02-07,129.07,6455324,ABT
2025-02-10,131.31,5503637,ABT
2025-02-11,131.44,5314091,ABT
2025-02-12,130.49,4703801,ABT
2025-02-13,131.79,4168391,ABT
2025-02-14,130.61,3733920,ABT
2025-02-18,130.18,5116301,ABT
2025-02-19,132.13,3806989,ABT
2025-02-20,133.17,5046884,ABT
2025-02-21,134.92,7160106,ABT
2025-02-24,134.95,5947194,ABT
2025-02-25,135.82,6386137,ABT
2025-02-26,135.96,5388266,ABT
2025-02-27,135.87,4890684,ABT
2025-02-28,138.01,8756146,ABT
2025-03-03,140.22,7589766,ABT
2025-03-04,137.58,8356486,ABT
2025-03-05,137.71,8156686,ABT
2025-03-06,135.08,9184176,ABT
2025-03-07,137.14,8255101,ABT
2025-03-10,137.36,7027987,ABT
2025-03-11,132.66,9313590,ABT
2025-03-12,130.28,6770980,ABT
2025-03-13,129.89,9012854,ABT
2025-03-14,126.71,9537887,ABT
2025-03-17,127.64,6663101,ABT
2025-03-18,126.3,7959839,ABT
2025-03-19,127.42,5098556,ABT
2025-03-20,126.78,5158504,ABT
2025-03-21,126.34,8857060,ABT
2025-03-24,127.21,5283077,ABT
2025-03-25,125.6,6726864,ABT
2025-03-26,126.61,6053685,ABT
2025-03-27,131.35,8441445,ABT
2025-03-28,130.82,6708581,ABT
2025-03-31,132.65,9669848,ABT
2025-04-01,131.69,4229092,ABT
2025-04-02,131.93,4236241,ABT
2025-04-03,131.63,6239225,ABT
2025-04-04,124.44,10776860,ABT
2025-04-07,124.86,10371338,ABT
2025-04-08,123.95,9880098,ABT
2025-04-09,127.04,10179195,ABT
2025-04-10,124.5,11089353,ABT
2025-04-11,126.88,7357019,ABT
2025-04-14,127.96,6988891,ABT
2025-04-15,126.22,8639428,ABT
2025-04-16,129.7,13483166,ABT
2025-04-17,130.98,10474476,ABT
2025-04-21,129.89,6046937,ABT
2025-04-22,131.73,5837131,ABT
2025-04-23,129.84,8777184,ABT
2025-04-24,129.38,6595544,ABT
2025-04-25,128.85,4849389,ABT
2025-04-28,129.53,3843266,ABT
2025-04-29,130.5,4315327,ABT
2025-04-30,130.75,8510507,ABT
2025-05-01,130.88,6769116,ABT
2025-05-02,132.82,9801692,ABT
2025-05-05,132.6,5752256,ABT
2025-05-06,133.06,6290467,ABT
2025-05-07,133.95,4925233,ABT
2025-05-08,134.0,5994453,ABT
2025-05-09,133.24,4976167,ABT
2025-05-12,131.99,5958544,ABT
2025-05-13,129.05,6344898,ABT
2025-05-14,128.56,5267034,ABT
2025-05-15,133.35,8406704,ABT
2025-05-16,134.8,7129033,ABT
2025-05-19,135.55,8012873,ABT
2025-05-20,135.2,6455398,ABT
2025-05-21,133.05,7209230,ABT
2025-05-22,131.5,6277122,ABT
2025-05-23,131.3,6145051,ABT
2025-05-27,132.94,5591079,ABT
2025-05-28,132.02,3622453,ABT
2025-05-29,132.85,3078291,ABT
2025-05-30,133.58,14236848,ABT
2025-06-02,133.57,4464080,ABT
2025-06-03,133.71,5915147,ABT
2025-06-04,132.96,4057040,ABT
2025-06-05,133.94,5587108,ABT
2025-06-06,133.58,3868057,ABT
2025-06-09,133.4,6630521,ABT
2025-06-10,134.13,3579575,ABT
2025-06-11,135.28,4100545,ABT
2025-06-12,136.45,5089115,ABT
2025-06-13,135.62,3928913,ABT
2025-06-16,134.01,5084093,ABT
2025-06-17,132.28,5010926,ABT
2025-06-18,132.41,4950836,ABT
2025-06-20,132.99,11338182,ABT
2025-06-23,133.26,4887246,ABT
2025-06-24,138.08,9894809,ABT
2025-06-25,137.4,5507492,ABT
2025-06-26,133.67,9452900,ABT
2025-06-27,134.38,9513538,ABT
2025-06-30,136.01,5749700,ABT
2025-07-01,136.26,5337856,ABT
2025-07-02,134.11,4319684,ABT
2025-07-03,134.44,3114335,ABT
2025-07-07,133.7,8927599,ABT
