Date,close,vol,symbol
2024-09-06,59.47,2641536,ADM
2024-09-09,59.5,1996168,ADM
2024-09-10,59.05,3220556,ADM
2024-09-11,59.0,2535521,ADM
2024-09-12,59.62,2145091,ADM
2024-09-13,60.39,1837430,ADM
2024-09-16,60.41,1602857,ADM
2024-09-17,60.46,1837707,ADM
2024-09-18,60.53,2050515,ADM
2024-09-19,62.45,4254909,ADM
2024-09-20,61.36,11786600,ADM
2024-09-23,60.91,3112119,ADM
2024-09-24,60.73,2620316,ADM
2024-09-25,58.14,3304448,ADM
2024-09-26,59.37,2967941,ADM
2024-09-27,60.0,1845235,ADM
2024-09-30,59.74,2979679,ADM
2024-10-01,59.52,2294287,ADM
2024-10-02,58.79,2166289,ADM
2024-10-03,58.47,2167736,ADM
2024-10-04,59.23,2299748,ADM
2024-10-07,58.86,1928004,ADM
2024-10-08,57.55,2179442,ADM
2024-10-09,56.97,2454628,ADM
2024-10-10,57.29,2010314,ADM
2024-10-11,57.97,1897638,ADM
2024-10-14,57.91,1653802,ADM
2024-10-15,57.67,2169272,ADM
2024-10-16,58.29,1610943,ADM
2024-10-17,58.63,2005137,ADM
2024-10-18,56.4,4330159,ADM
2024-10-21,56.13,1953444,ADM
2024-10-22,55.69,2304539,ADM
2024-10-23,56.08,2197860,ADM
2024-10-24,56.5,1888208,ADM
2024-10-25,56.56,1815326,ADM
2024-10-28,57.24,1878736,ADM
2024-10-29,56.32,2986807,ADM
2024-10-30,55.53,2705223,ADM
2024-10-31,55.21,5370167,ADM
2024-11-01,54.64,2234915,ADM
2024-11-04,55.3,2459354,ADM
2024-11-05,52.0,9049814,ADM
2024-11-06,53.26,5034342,ADM
2024-11-07,52.49,4173790,ADM
2024-11-08,52.13,3482864,ADM
2024-11-11,52.36,2480741,ADM
2024-11-12,51.43,2661556,ADM
2024-11-13,51.87,4003214,ADM
2024-11-14,52.51,2191604,ADM
2024-11-15,53.35,3556664,ADM
2024-11-18,52.71,2613439,ADM
2024-11-19,52.99,2187245,ADM
2024-11-20,53.52,2317534,ADM
2024-11-21,53.19,2943452,ADM
2024-11-22,53.13,2329945,ADM
2024-11-25,53.01,4482110,ADM
2024-11-26,53.72,3017071,ADM
2024-11-27,54.37,2092981,ADM
2024-11-29,54.6,1810691,ADM
2024-12-02,54.27,3951804,ADM
2024-12-03,53.17,5194164,ADM
2024-12-04,51.77,3371834,ADM
2024-12-05,52.28,2991885,ADM
2024-12-06,51.42,2766682,ADM
2024-12-09,51.98,2217243,ADM
2024-12-10,52.08,3009715,ADM
2024-12-11,52.92,3627306,ADM
2024-12-12,53.08,2795720,ADM
2024-12-13,52.4,2378821,ADM
2024-12-16,51.69,2461819,ADM
2024-12-17,51.49,2368616,ADM
2024-12-18,49.85,3745266,ADM
2024-12-19,49.38,3151622,ADM
2024-12-20,50.49,12132936,ADM
2024-12-23,50.41,2592423,ADM
2024-12-24,50.63,1434645,ADM
2024-12-26,50.61,1627783,ADM
2024-12-27,50.58,1537894,ADM
2024-12-30,50.07,2677021,ADM
2024-12-31,50.52,2120149,ADM
2025-01-02,50.22,2003742,ADM
2025-01-03,50.05,1984397,ADM
2025-01-06,49.63,2304498,ADM
2025-01-07,49.43,2147658,ADM
2025-01-08,49.84,3493713,ADM
2025-01-10,51.09,4497798,ADM
2025-01-13,52.12,4102552,ADM
2025-01-14,51.19,3063766,ADM
2025-01-15,51.14,2773501,ADM
2025-01-16,51.01,2051243,ADM
2025-01-17,51.29,3234750,ADM
