Date,close,vol,symbol
2024-09-06,108.89,2976091,AFL
2024-09-09,109.4,2621681,AFL
2024-09-10,108.44,2335498,AFL
2024-09-11,107.36,2896782,AFL
2024-09-12,107.97,1680862,AFL
2024-09-13,108.59,1716373,AFL
2024-09-16,110.17,2396873,AFL
2024-09-17,109.56,2590339,AFL
2024-09-18,108.96,2118881,AFL
2024-09-19,107.87,2679575,AFL
2024-09-20,107.92,8463031,AFL
2024-09-23,110.02,2128972,AFL
2024-09-24,109.1,1508225,AFL
2024-09-25,109.69,1773695,AFL
2024-09-26,110.07,1709528,AFL
2024-09-27,110.59,2301650,AFL
2024-09-30,111.8,3790833,AFL
2024-10-01,112.82,1894972,AFL
2024-10-02,114.23,2031878,AFL
2024-10-03,113.53,1631834,AFL
2024-10-04,115.26,1717703,AFL
2024-10-07,111.84,3066296,AFL
2024-10-08,112.47,1203060,AFL
2024-10-09,111.06,2563860,AFL
2024-10-10,111.61,1693405,AFL
2024-10-11,113.26,1478490,AFL
2024-10-14,114.07,1285423,AFL
2024-10-15,113.99,3009838,AFL
2024-10-16,114.38,1237588,AFL
2024-10-17,114.99,1859515,AFL
2024-10-18,114.5,1996871,AFL
2024-10-21,112.75,1256723,AFL
2024-10-22,112.16,1155589,AFL
2024-10-23,112.14,1256897,AFL
2024-10-24,112.01,1166375,AFL
2024-10-25,109.75,2136293,AFL
2024-10-28,109.79,2162710,AFL
2024-10-29,110.0,2846623,AFL
2024-10-30,110.09,2268856,AFL
2024-10-31,104.79,4855607,AFL
2024-11-01,104.71,2823181,AFL
2024-11-04,104.51,2578176,AFL
2024-11-05,105.56,2351263,AFL
2024-11-06,108.56,2815811,AFL
2024-11-07,107.44,1889929,AFL
2024-11-08,108.27,1727329,AFL
2024-11-11,110.43,1687769,AFL
2024-11-12,110.65,1684625,AFL
2024-11-13,110.44,1456856,AFL
2024-11-14,109.68,1638442,AFL
2024-11-15,111.32,2895295,AFL
2024-11-18,112.04,1850459,AFL
2024-11-19,111.13,1449362,AFL
2024-11-20,110.24,1339589,AFL
2024-11-21,111.73,1331411,AFL
2024-11-22,112.39,1770175,AFL
2024-11-25,113.2,3663811,AFL
2024-11-26,114.02,1238607,AFL
2024-11-27,114.1,1208781,AFL
2024-11-29,114.0,1307241,AFL
2024-12-02,111.4,2491455,AFL
2024-12-03,106.76,3045127,AFL
2024-12-04,106.99,2379598,AFL
2024-12-05,107.75,1897707,AFL
2024-12-06,107.31,1913390,AFL
2024-12-09,105.0,2367830,AFL
2024-12-10,104.22,1827499,AFL
2024-12-11,104.21,1803526,AFL
2024-12-12,104.38,1792556,AFL
2024-12-13,104.52,2078327,AFL
2024-12-16,103.81,2386887,AFL
2024-12-17,102.75,2040665,AFL
2024-12-18,100.37,2958586,AFL
2024-12-19,101.25,2447773,AFL
2024-12-20,102.69,4847599,AFL
2024-12-23,102.74,1655806,AFL
2024-12-24,103.24,901319,AFL
2024-12-26,103.66,2491009,AFL
2024-12-27,103.38,1104883,AFL
2024-12-30,102.97,1405746,AFL
2024-12-31,103.44,1689836,AFL
2025-01-02,102.36,1701793,AFL
2025-01-03,103.16,1367986,AFL
2025-01-06,101.79,1903112,AFL
2025-01-07,102.84,1670483,AFL
2025-01-08,103.57,1327669,AFL
2025-01-10,100.99,2176707,AFL
2025-01-13,102.49,1408363,AFL
2025-01-14,103.65,1610038,AFL
2025-01-15,104.79,2004791,AFL
2025-01-16,105.93,1442274,AFL
2025-01-17,106.49,2080502,AFL
2025-01-21,106.39,1658383,AFL
2025-01-22,104.3,1915032,AFL
2025-01-23,104.47,1651613,AFL
2025-01-24,104.91,1237222,AFL
2025-01-27,108.15,1768340,AFL
2025-01-28,107.28,1419978,AFL
2025-01-29,107.62,1239149,AFL
2025-01-30,108.25,1237144,AFL
2025-01-31,107.38,2071618,AFL
2025-02-03,106.71,1942698,AFL
2025-02-04,106.76,1559442,AFL
2025-02-05,107.29,1566732,AFL
2025-02-06,103.08,4397975,AFL
2025-02-07,103.58,2761585,AFL
2025-02-10,102.61,1955654,AFL
2025-02-11,102.99,2278056,AFL
2025-02-12,102.94,1811964,AFL
2025-02-13,104.08,1647565,AFL
2025-02-14,103.34,1450313,AFL
2025-02-18,104.26,1635752,AFL
2025-02-19,104.51,1579211,AFL
2025-02-20,104.28,1431391,AFL
2025-02-21,102.16,3539592,AFL
2025-02-24,104.09,2475565,AFL
2025-02-25,106.73,2147217,AFL
2025-02-26,105.81,1586191,AFL
2025-02-27,107.43,1831116,AFL
2025-02-28,109.47,2704395,AFL
2025-03-03,110.14,2141076,AFL
2025-03-04,107.6,2395851,AFL
2025-03-05,108.16,1523792,AFL
2025-03-06,107.95,2320625,AFL
2025-03-07,108.41,2080163,AFL
2025-03-10,106.76,2580130,AFL
2025-03-11,106.27,2050328,AFL
2025-03-12,104.69,1956509,AFL
2025-03-13,105.1,1596336,AFL
2025-03-14,107.25,1395111,AFL
2025-03-17,108.4,1344241,AFL
2025-03-18,107.36,1534702,AFL
2025-03-19,108.46,1846810,AFL
2025-03-20,108.7,1754632,AFL
2025-03-21,108.24,5333657,AFL
2025-03-24,109.65,1553918,AFL
2025-03-25,109.73,1675609,AFL
2025-03-26,110.44,1357842,AFL
2025-03-27,110.78,1804380,AFL
2025-03-28,109.8,1876428,AFL
2025-03-31,111.19,2930516,AFL
2025-04-01,112.45,2085773,AFL
2025-04-02,112.27,1817885,AFL
2025-04-03,111.75,2370434,AFL
2025-04-04,101.98,3221799,AFL
2025-04-07,100.0,3676127,AFL
2025-04-08,99.77,2662193,AFL
2025-04-09,105.3,3031526,AFL
2025-04-10,104.68,2694969,AFL
2025-04-11,106.83,2297522,AFL
2025-04-14,108.51,2004063,AFL
2025-04-15,108.03,1228480,AFL
2025-04-16,107.34,2240182,AFL
2025-04-17,107.44,2294664,AFL
2025-04-21,104.97,1692522,AFL
2025-04-22,108.31,1545672,AFL
2025-04-23,108.43,1552325,AFL
2025-04-24,109.14,1613764,AFL
2025-04-25,107.94,1829749,AFL
2025-04-28,108.49,1756303,AFL
2025-04-29,108.6,1275788,AFL
2025-04-30,108.68,2713314,AFL
2025-05-01,103.52,3391204,AFL
2025-05-02,105.53,1886188,AFL
2025-05-05,105.75,2002903,AFL
2025-05-06,105.9,1443261,AFL
2025-05-07,106.96,2028750,AFL
2025-05-08,106.3,1926329,AFL
2025-05-09,105.97,1353074,AFL
2025-05-12,105.57,2078237,AFL
2025-05-13,105.03,1975752,AFL
2025-05-14,103.9,1831983,AFL
2025-05-15,105.78,1521850,AFL
2025-05-16,106.82,3427210,AFL
2025-05-19,106.43,1689985,AFL
2025-05-20,105.62,1868398,AFL
2025-05-21,103.54,2380727,AFL
2025-05-22,103.54,16496,AFL
2025-05-23,102.53,1641569,AFL
2025-05-27,103.41,1683301,AFL
2025-05-28,101.99,1745544,AFL
2025-05-29,102.81,1871185,AFL
2025-05-30,103.54,3415441,AFL
2025-06-02,103.8,1809869,AFL
2025-06-03,104.07,1757093,AFL
2025-06-04,102.83,1568903,AFL
2025-06-05,102.21,1774274,AFL
2025-06-06,103.68,2035571,AFL
2025-06-09,102.51,2027629,AFL
2025-06-10,102.27,2903113,AFL
2025-06-11,101.35,2282494,AFL
2025-06-12,102.63,1800580,AFL
2025-06-13,102.18,2259305,AFL
2025-06-16,102.72,2160874,AFL
2025-06-17,102.09,2056900,AFL
2025-06-18,102.63,2127293,AFL
2025-06-20,103.3,6258903,AFL
2025-06-23,104.84,2156652,AFL
2025-06-24,104.16,1977778,AFL
2025-06-25,102.48,2273245,AFL
2025-06-26,103.91,2149039,AFL
2025-06-27,105.07,11667992,AFL
2025-06-30,105.46,2628119,AFL
2025-07-01,105.78,2519029,AFL
2025-07-02,103.52,1968331,AFL
2025-07-03,104.57,994901,AFL
2025-07-07,102.88,1667600,AFL
2025-07-08,103.24,2434246,AFL
2025-07-09,101.91,1689173,AFL
2025-07-10,102.28,2123923,AFL
2025-07-11,101.57,1348231,AFL
2025-07-14,102.67,2048876,AFL
2025-07-15,100.62,1695896,AFL
2025-07-16,101.44,1606758,AFL
2025-07-17,101.42,1955794,AFL
2025-07-18,101.83,4577769,AFL
2025-07-21,101.12,2101968,AFL
2025-07-22,102.7,1970102,AFL
2025-07-23,102.89,1687114,AFL
2025-07-24,102.45,2409429,AFL
2025-07-25,103.37,2023594,AFL
2025-07-28,100.88,1877566,AFL
2025-07-29,100.82,2002778,AFL
2025-07-30,98.59,2508746,AFL
2025-07-31,99.36,3106208,AFL
2025-08-01,98.09,2768318,AFL
2025-08-04,98.56,2033465,AFL
2025-08-05,98.92,2985544,AFL
2025-08-06,102.31,3640277,AFL
2025-08-07,102.28,3676048,AFL
2025-08-08,103.52,2014653,AFL
2025-08-11,104.17,2012962,AFL
2025-08-12,103.55,3231493,AFL
2025-08-13,105.7,2447468,AFL
2025-08-14,105.3,2575059,AFL
2025-08-15,105.38,2645889,AFL
2025-08-18,105.76,1771743,AFL
2025-08-19,106.89,2275425,AFL
2025-08-20,107.9,2684861,AFL
2025-08-21,108.19,3395452,AFL
2025-08-22,108.46,2230970,AFL
2025-08-25,107.38,1719708,AFL
2025-08-26,108.16,4624500,AFL
2025-08-27,107.41,3554791,AFL
2025-08-28,106.1,2439606,AFL
2025-08-29,106.86,2399020,AFL
2025-09-02,105.62,2980072,AFL
2025-09-03,106.74,2169150,AFL
2025-09-04,108.55,2429654,AFL
2025-09-05,106.93,2547829,AFL
2025-09-08,106.34,2971259,AFL
2025-09-09,106.28,1833393,AFL
2025-09-10,107.23,2093187,AFL
2025-09-11,108.69,1927219,AFL
2025-09-12,109.13,1799997,AFL
2025-09-15,108.41,1836514,AFL
2025-09-16,107.63,2874541,AFL
2025-09-17,109.23,2354386,AFL
2025-09-18,108.0,3167909,AFL
2025-09-19,108.04,6940718,AFL
2025-09-22,107.4,2673822,AFL
2025-09-23,108.23,2539896,AFL
2025-09-24,109.31,2134291,AFL
2025-09-25,109.48,1913151,AFL
2025-09-26,111.36,1878532,AFL
2025-09-29,111.35,2286243,AFL
2025-09-30,111.7,2523054,AFL
2025-10-01,110.75,1708950,AFL
2025-10-02,110.6,1704231,AFL
