Date,close,vol,symbol
2024-09-06,268.71,1066164,APD
2024-09-09,273.82,1244947,APD
2024-09-10,275.23,771392,APD
2024-09-11,277.71,914435,APD
2024-09-12,280.02,1400396,APD
2024-09-13,284.13,1044833,APD
2024-09-16,288.87,1311543,APD
2024-09-17,291.13,1056326,APD
2024-09-18,287.3,1016924,APD
2024-09-19,287.72,958373,APD
2024-09-20,287.98,4148385,APD
2024-09-23,292.05,1539129,APD
2024-09-24,295.59,1294602,APD
2024-09-25,295.72,1349407,APD
2024-09-26,299.46,1798690,APD
2024-09-27,300.36,1057098,APD
2024-09-30,297.74,1032492,APD
2024-10-01,291.43,1267403,APD
2024-10-02,290.0,1346960,APD
2024-10-03,285.58,982175,APD
2024-10-04,285.5,924756,APD
2024-10-07,312.69,4243205,APD
2024-10-08,310.36,1556656,APD
2024-10-09,313.97,2375242,APD
2024-10-10,314.61,2574170,APD
2024-10-11,316.66,775755,APD
2024-10-14,320.34,1058246,APD
2024-10-15,323.23,2092365,APD
2024-10-16,326.7,1886503,APD
2024-10-17,328.77,1182021,APD
2024-10-18,332.1,1074148,APD
2024-10-21,331.56,857804,APD
2024-10-22,330.37,1246877,APD
2024-10-23,326.62,1045136,APD
2024-10-24,322.1,1588528,APD
2024-10-25,318.02,1294777,APD
2024-10-28,318.26,1185671,APD
2024-10-29,315.3,1579491,APD
2024-10-30,312.77,1043061,APD
2024-10-31,310.53,2281026,APD
2024-11-01,309.21,794696,APD
2024-11-04,306.09,1608056,APD
2024-11-05,306.37,1502918,APD
2024-11-06,306.73,1871478,APD
2024-11-07,312.82,2141693,APD
2024-11-08,312.99,2585110,APD
2024-11-11,313.91,1940751,APD
2024-11-12,311.12,1021001,APD
2024-11-13,312.89,955239,APD
2024-11-14,315.88,1081170,APD
2024-11-15,317.1,1113047,APD
2024-11-18,327.89,1898376,APD
2024-11-19,328.0,1881544,APD
2024-11-20,327.85,1694307,APD
2024-11-21,328.88,1972041,APD
2024-11-22,331.83,2200243,APD
2024-11-25,333.97,2640608,APD
2024-11-26,334.78,1785068,APD
2024-11-27,333.22,1293809,APD
2024-11-29,334.33,769798,APD
2024-12-02,335.62,766330,APD
2024-12-03,330.64,1441903,APD
2024-12-04,327.48,974890,APD
2024-12-05,321.97,1730080,APD
2024-12-06,320.11,1020293,APD
2024-12-09,316.62,1215981,APD
2024-12-10,315.21,742183,APD
2024-12-11,312.36,858303,APD
2024-12-12,310.89,653111,APD
2024-12-13,312.3,1025347,APD
2024-12-16,306.72,984852,APD
2024-12-17,304.71,924600,APD
2024-12-18,295.31,1043244,APD
2024-12-19,293.17,1041343,APD
2024-12-20,294.99,2258717,APD
2024-12-23,293.55,797315,APD
2024-12-24,296.02,296074,APD
2024-12-26,295.08,418518,APD
2024-12-27,292.81,456997,APD
2024-12-30,288.69,816159,APD
2024-12-31,290.04,777950,APD
2025-01-02,283.29,918147,APD
2025-01-03,283.91,1581597,APD
2025-01-06,283.24,1458220,APD
2025-01-07,286.33,1260178,APD
2025-01-08,285.25,1041748,APD
2025-01-10,293.08,2423539,APD
2025-01-13,301.74,2290701,APD
2025-01-14,307.96,1949426,APD
2025-01-15,306.9,2212001,APD
2025-01-16,312.06,1237947,APD
2025-01-17,317.8,2315359,APD
