Date,close,vol,symbol
2024-09-06,130.8,879197,ATO
2024-09-09,133.8,1656760,ATO
2024-09-10,136.2,1656890,ATO
2024-09-11,134.78,927788,ATO
2024-09-12,134.77,795645,ATO
2024-09-13,136.97,887215,ATO
2024-09-16,138.27,762467,ATO
2024-09-17,138.15,740330,ATO
2024-09-18,136.53,629335,ATO
2024-09-19,136.25,1021649,ATO
2024-09-20,136.56,2146553,ATO
2024-09-23,137.35,732578,ATO
2024-09-24,136.48,698114,ATO
2024-09-25,136.58,761541,ATO
2024-09-26,136.77,527553,ATO
2024-09-27,137.78,729002,ATO
2024-09-30,138.71,648601,ATO
2024-10-01,138.98,771025,ATO
2024-10-02,139.12,620427,ATO
2024-10-03,139.22,744237,ATO
2024-10-04,139.84,674240,ATO
2024-10-07,137.66,953298,ATO
2024-10-08,138.23,897790,ATO
2024-10-09,138.04,676619,ATO
2024-10-10,138.2,581505,ATO
2024-10-11,139.36,490166,ATO
2024-10-14,140.28,484462,ATO
2024-10-15,142.0,529901,ATO
2024-10-16,143.94,446159,ATO
2024-10-17,143.76,675935,ATO
2024-10-18,143.26,779021,ATO
2024-10-21,142.21,649533,ATO
2024-10-22,141.92,841902,ATO
2024-10-23,143.11,684308,ATO
2024-10-24,142.67,587463,ATO
2024-10-25,140.72,682076,ATO
2024-10-28,141.49,591145,ATO
2024-10-29,140.45,787225,ATO
2024-10-30,139.62,540330,ATO
2024-10-31,138.78,1099899,ATO
2024-11-01,138.4,851964,ATO
2024-11-04,137.67,864533,ATO
2024-11-05,137.98,893287,ATO
2024-11-06,138.88,1132458,ATO
2024-11-07,141.44,1344836,ATO
2024-11-08,144.19,801744,ATO
2024-11-11,146.11,1080251,ATO
2024-11-12,146.82,714753,ATO
2024-11-13,146.51,831353,ATO
2024-11-14,144.34,616951,ATO
2024-11-15,144.89,1553550,ATO
2024-11-18,146.97,1209919,ATO
2024-11-19,146.78,880711,ATO
2024-11-20,147.22,720704,ATO
2024-11-21,150.26,697220,ATO
2024-11-22,150.05,538310,ATO
2024-11-25,150.18,1828387,ATO
2024-11-26,150.33,603772,ATO
2024-11-27,151.43,935359,ATO
2024-11-29,151.32,367233,ATO
2024-12-02,148.56,862202,ATO
2024-12-03,146.03,1000107,ATO
2024-12-04,144.0,902337,ATO
2024-12-05,143.04,616603,ATO
2024-12-06,141.96,673062,ATO
2024-12-09,141.05,583445,ATO
2024-12-10,141.11,903879,ATO
2024-12-11,140.03,791973,ATO
2024-12-12,140.22,647875,ATO
2024-12-13,140.58,612103,ATO
2024-12-16,140.45,680137,ATO
2024-12-17,141.38,960542,ATO
2024-12-18,136.41,1376152,ATO
2024-12-19,137.97,1139329,ATO
2024-12-20,139.69,2109658,ATO
2024-12-23,139.2,870146,ATO
2024-12-24,140.06,215674,ATO
2024-12-26,140.0,336821,ATO
2024-12-27,139.36,387172,ATO
2024-12-30,138.93,567652,ATO
2024-12-31,139.27,474174,ATO
2025-01-02,138.29,567238,ATO
2025-01-03,138.79,791326,ATO
2025-01-06,136.51,946520,ATO
2025-01-07,136.63,611946,ATO
2025-01-08,139.52,954913,ATO
2025-01-10,137.04,779826,ATO
2025-01-13,138.26,785227,ATO
2025-01-14,140.72,1050005,ATO
2025-01-15,141.08,1223851,ATO
2025-01-16,144.94,673871,ATO
2025-01-17,145.37,1045950,ATO
2025-01-21,145.46,1251912,ATO
2025-01-22,141.69,818196,ATO
2025-01-23,139.56,1247338,ATO
2025-01-24,139.51,898319,ATO
2025-01-27,142.84,1116252,ATO
2025-01-28,141.46,683108,ATO
2025-01-29,141.03,802187,ATO
2025-01-30,142.71,654255,ATO
2025-01-31,142.51,1240839,ATO
2025-02-03,143.4,831144,ATO
2025-02-04,142.4,1060784,ATO
2025-02-05,145.06,1298981,ATO
2025-02-06,143.12,857115,ATO
2025-02-07,142.5,660083,ATO
2025-02-10,142.28,835951,ATO
2025-02-11,145.07,578158,ATO
2025-02-12,146.34,897415,ATO
2025-02-13,147.98,1148165,ATO
2025-02-14,146.51,745598,ATO
2025-02-18,148.06,987708,ATO
2025-02-19,148.6,808281,ATO
2025-02-20,147.62,602325,ATO
2025-02-21,149.9,1057686,ATO
2025-02-24,150.24,1036810,ATO
2025-02-25,150.39,936144,ATO
2025-02-26,149.99,816744,ATO
2025-02-27,149.64,962385,ATO
2025-02-28,152.13,1071730,ATO
2025-03-03,153.63,790779,ATO
2025-03-04,149.75,1069733,ATO
2025-03-05,148.15,724105,ATO
2025-03-06,146.35,1089947,ATO
2025-03-07,148.6,1315556,ATO
2025-03-10,149.92,926698,ATO
2025-03-11,148.66,1017582,ATO
2025-03-12,147.16,644411,ATO
2025-03-13,147.03,811100,ATO
2025-03-14,149.89,795675,ATO
2025-03-17,151.48,936377,ATO
2025-03-18,150.56,645440,ATO
2025-03-19,150.75,702389,ATO
2025-03-20,150.82,1062275,ATO
2025-03-21,148.63,1938428,ATO
2025-03-24,149.64,694286,ATO
2025-03-25,148.34,875833,ATO
2025-03-26,150.16,633995,ATO
2025-03-27,150.94,661578,ATO
2025-03-28,152.46,858334,ATO
2025-03-31,154.58,1116279,ATO
2025-04-01,154.94,770863,ATO
2025-04-02,155.21,718622,ATO
2025-04-03,155.29,1159139,ATO
2025-04-04,147.81,1431819,ATO
2025-04-07,145.06,2060803,ATO
2025-04-08,146.85,1874934,ATO
2025-04-09,148.89,1471644,ATO
2025-04-10,149.29,1170489,ATO
2025-04-11,151.48,926195,ATO
2025-04-14,154.98,1002317,ATO
2025-04-15,156.27,1439371,ATO
2025-04-16,156.31,1481883,ATO
2025-04-17,157.54,904424,ATO
2025-04-21,156.54,1765686,ATO
2025-04-22,160.11,1602305,ATO
2025-04-23,159.59,1790298,ATO
2025-04-24,159.67,1498236,ATO
2025-04-25,158.14,1245883,ATO
2025-04-28,158.73,1147661,ATO
2025-04-29,159.69,650893,ATO
2025-04-30,160.63,1640203,ATO
2025-05-01,160.18,1219529,ATO
2025-05-02,161.5,662995,ATO
2025-05-05,161.4,1107513,ATO
2025-05-06,161.96,1042685,ATO
2025-05-07,162.66,1332374,ATO
2025-05-08,161.25,1841888,ATO
2025-05-09,159.86,1106962,ATO
2025-05-12,155.23,1275037,ATO
2025-05-13,153.66,1000978,ATO
2025-05-14,152.25,1504704,ATO
2025-05-15,155.97,1088658,ATO
2025-05-16,157.68,1206220,ATO
2025-05-19,159.98,1226895,ATO
2025-05-20,159.1,1075269,ATO
2025-05-21,156.96,1127432,ATO
2025-05-22,155.29,1135036,ATO
2025-05-23,157.28,984685,ATO
2025-05-27,156.49,911566,ATO
2025-05-28,153.72,1050938,ATO
2025-05-29,154.34,743517,ATO
2025-05-30,154.68,3090022,ATO
2025-06-02,154.64,935342,ATO
2025-06-03,154.61,1259237,ATO
2025-06-04,152.15,901470,ATO
2025-06-05,152.35,867219,ATO
2025-06-06,152.18,624502,ATO
2025-06-09,151.97,791808,ATO
2025-06-10,152.98,871505,ATO
2025-06-11,152.47,919391,ATO
2025-06-12,154.49,783856,ATO
2025-06-13,152.99,646228,ATO
2025-06-16,152.04,738301,ATO
2025-06-17,152.3,510995,ATO
2025-06-18,152.39,501025,ATO
2025-06-20,153.56,1558322,ATO
2025-06-23,156.37,820084,ATO
2025-06-24,156.44,746451,ATO
2025-06-25,152.73,672709,ATO
2025-06-26,152.92,573290,ATO
2025-06-27,152.49,1551588,ATO
2025-06-30,154.11,810237,ATO
2025-07-01,153.65,980324,ATO
2025-07-02,151.51,808784,ATO
2025-07-03,152.28,412875,ATO
2025-07-07,152.79,637968,ATO
2025-07-08,151.99,721900,ATO
2025-07-09,153.1,680316,ATO
2025-07-10,154.37,531124,ATO
2025-07-11,154.19,436931,ATO
2025-07-14,155.4,733412,ATO
2025-07-15,154.1,530748,ATO
2025-07-16,154.83,631079,ATO
2025-07-17,155.27,488276,ATO
2025-07-18,156.66,751424,ATO
2025-07-21,158.22,753412,ATO
2025-07-22,158.78,495519,ATO
2025-07-23,157.09,509051,ATO
2025-07-24,157.71,451127,ATO
2025-07-25,156.84,533688,ATO
2025-07-28,154.68,734529,ATO
2025-07-29,156.11,614337,ATO
2025-07-30,156.2,656360,ATO
2025-07-31,155.92,1166475,ATO
2025-08-01,155.81,829964,ATO
2025-08-04,159.45,1092910,ATO
2025-08-05,156.63,863205,ATO
2025-08-06,157.02,1409932,ATO
2025-08-07,162.72,2039508,ATO
2025-08-08,164.29,1416091,ATO
2025-08-11,165.04,1306459,ATO
2025-08-12,165.72,1006972,ATO
2025-08-13,166.98,861360,ATO
2025-08-14,166.13,658400,ATO
2025-08-15,165.37,968655,ATO
2025-08-18,164.02,869993,ATO
2025-08-19,165.81,669658,ATO
2025-08-20,166.09,766230,ATO
2025-08-21,166.79,514517,ATO
2025-08-22,168.21,719985,ATO
2025-08-25,165.45,638047,ATO
2025-08-26,166.01,2010968,ATO
