Date,close,vol,symbol
2024-09-06,244.06,3652963,AXP
2024-09-09,250.92,3080770,AXP
2024-09-10,245.42,3630857,AXP
2024-09-11,254.18,3149868,AXP
2024-09-12,255.15,2279719,AXP
2024-09-13,259.0,2199187,AXP
2024-09-16,261.09,2170169,AXP
2024-09-17,265.4,2765723,AXP
2024-09-18,262.18,2577368,AXP
2024-09-19,268.75,2973435,AXP
2024-09-20,268.99,5847242,AXP
2024-09-23,267.3,2534914,AXP
2024-09-24,266.21,2340349,AXP
2024-09-25,266.17,2116345,AXP
2024-09-26,268.15,1430575,AXP
2024-09-27,271.06,2231903,AXP
2024-09-30,271.2,2113106,AXP
2024-10-01,268.6,2429482,AXP
2024-10-02,270.92,2009621,AXP
2024-10-03,268.59,1614588,AXP
2024-10-04,275.97,2240183,AXP
2024-10-07,273.79,3287461,AXP
2024-10-08,269.11,3332787,AXP
2024-10-09,271.42,2086991,AXP
2024-10-10,270.47,2052769,AXP
2024-10-11,276.16,1723286,AXP
2024-10-14,276.52,1398955,AXP
2024-10-15,276.52,8624,AXP
2024-10-16,281.68,2243627,AXP
2024-10-17,285.78,3571930,AXP
2024-10-18,276.79,7884358,AXP
2024-10-21,270.74,4092739,AXP
2024-10-22,272.4,2595361,AXP
2024-10-23,271.23,2051063,AXP
2024-10-24,269.98,3490640,AXP
2024-10-25,267.35,2993298,AXP
2024-10-28,271.47,2336884,AXP
2024-10-29,270.43,1748966,AXP
2024-10-30,274.08,2152864,AXP
2024-10-31,270.08,2315384,AXP
2024-11-01,272.69,2508471,AXP
2024-11-04,270.19,1944015,AXP
2024-11-05,275.94,1859581,AXP
2024-11-06,295.16,5380812,AXP
2024-11-07,286.82,3877331,AXP
2024-11-08,287.6,1814377,AXP
2024-11-11,292.97,2299530,AXP
2024-11-12,288.51,2251660,AXP
2024-11-13,287.64,2118132,AXP
2024-11-14,288.3,2979782,AXP
2024-11-15,286.87,2614568,AXP
2024-11-18,285.54,2074634,AXP
2024-11-19,285.55,2512936,AXP
2024-11-20,287.71,2387656,AXP
2024-11-21,293.0,2410469,AXP
2024-11-22,301.3,3788898,AXP
2024-11-25,305.21,3478440,AXP
2024-11-26,305.57,2130705,AXP
2024-11-27,304.25,1697344,AXP
2024-11-29,304.68,1326646,AXP
2024-12-02,302.26,2167054,AXP
2024-12-03,302.11,2128671,AXP
2024-12-04,302.6,1561228,AXP
2024-12-05,300.53,2793669,AXP
2024-12-06,303.99,1797667,AXP
2024-12-09,296.72,2377947,AXP
2024-12-10,302.11,2968061,AXP
2024-12-11,302.34,2071545,AXP
2024-12-12,300.3,1668441,AXP
2024-12-13,302.14,1661963,AXP
2024-12-16,303.57,1813997,AXP
2024-12-17,301.34,3611578,AXP
2024-12-18,287.78,3541224,AXP
2024-12-19,293.08,3541351,AXP
2024-12-20,298.65,6232414,AXP
2024-12-23,298.8,1902436,AXP
2024-12-24,303.46,862881,AXP
2024-12-26,303.99,1228978,AXP
2024-12-27,301.05,1676011,AXP
2024-12-30,297.33,2393051,AXP
2024-12-31,296.79,1231551,AXP
2025-01-02,298.43,1930118,AXP
2025-01-03,303.08,1979833,AXP
2025-01-06,301.88,2713975,AXP
2025-01-07,302.02,2059050,AXP
2025-01-08,302.85,2061411,AXP
2025-01-10,293.3,2685527,AXP
2025-01-13,297.02,2202977,AXP
2025-01-14,300.36,2370931,AXP
2025-01-15,312.32,3099514,AXP
2025-01-16,311.48,2361199,AXP
2025-01-17,312.56,2183457,AXP
2025-01-21,317.95,2779104,AXP
2025-01-22,322.25,2927409,AXP
2025-01-23,325.87,3935820,AXP
2025-01-24,321.34,6260113,AXP
2025-01-27,316.42,3099121,AXP
2025-01-28,317.04,2431418,AXP
2025-01-29,315.25,2155365,AXP
2025-01-30,318.95,2517669,AXP
2025-01-31,317.45,2034005,AXP
2025-02-03,316.53,1997553,AXP
2025-02-04,315.83,1884457,AXP
2025-02-05,320.53,2065654,AXP
2025-02-06,320.15,1730588,AXP
2025-02-07,316.77,1607256,AXP
2025-02-10,310.26,3227021,AXP
2025-02-11,309.57,1856192,AXP
2025-02-12,306.4,2238615,AXP
2025-02-13,307.5,1975609,AXP
2025-02-14,311.04,1725509,AXP
2025-02-18,312.85,2024496,AXP
2025-02-19,309.92,2148248,AXP
2025-02-20,303.86,2830301,AXP
2025-02-21,295.4,3280197,AXP
2025-02-24,295.53,2450586,AXP
2025-02-25,293.34,2511713,AXP
2025-02-26,296.1,1899367,AXP
2025-02-27,294.2,2032094,AXP
2025-02-28,300.96,3336314,AXP
2025-03-03,295.49,2342901,AXP
2025-03-04,283.47,5901177,AXP
2025-03-05,284.18,2569425,AXP
2025-03-06,275.64,2944193,AXP
2025-03-07,273.21,3817261,AXP
2025-03-10,261.32,4284073,AXP
2025-03-11,255.39,4925622,AXP
2025-03-12,260.75,5514889,AXP
2025-03-13,256.43,4194194,AXP
2025-03-14,265.63,4337169,AXP
2025-03-17,264.38,2975878,AXP
2025-03-18,262.72,3251729,AXP
2025-03-19,270.65,2894170,AXP
2025-03-20,270.83,2129461,AXP
2025-03-21,270.51,4229709,AXP
2025-03-24,277.86,2651382,AXP
2025-03-25,279.28,2767709,AXP
2025-03-26,276.0,2580005,AXP
2025-03-27,272.02,2312304,AXP
2025-03-28,265.48,3261477,AXP
2025-03-31,269.05,3945965,AXP
2025-04-01,270.48,2881391,AXP
2025-04-02,275.25,2473717,AXP
2025-04-03,247.82,7736239,AXP
2025-04-04,233.68,9097521,AXP
2025-04-07,234.28,6283581,AXP
2025-04-08,231.39,4782062,AXP
2025-04-09,262.36,8640614,AXP
2025-04-10,246.89,4799892,AXP
2025-04-11,251.13,4413488,AXP
2025-04-14,255.38,3067443,AXP
2025-04-15,257.86,3509063,AXP
2025-04-16,252.92,4244855,AXP
2025-04-17,251.31,3907488,AXP
2025-04-21,242.51,4302917,AXP
2025-04-22,252.42,2324093,AXP
2025-04-23,260.14,3872872,AXP
2025-04-24,267.32,2696315,AXP
2025-04-25,264.81,1940096,AXP
2025-04-28,264.95,1561627,AXP
2025-04-29,267.02,1730942,AXP
2025-04-30,266.41,3522670,AXP
2025-05-01,268.54,2473915,AXP
2025-05-02,276.85,3099732,AXP
2025-05-05,278.03,2416485,AXP
2025-05-06,275.37,3063958,AXP
2025-05-07,276.24,2329448,AXP
2025-05-08,283.66,3417972,AXP
2025-05-09,284.51,2704979,AXP
2025-05-12,298.92,4089025,AXP
2025-05-13,302.3,3532113,AXP
2025-05-14,300.1,1954781,AXP
