Date,close,vol,symbol
2024-09-06,38.76,47007588,BAC
2024-09-09,39.47,37610209,BAC
2024-09-10,39.28,53983875,BAC
2024-09-11,39.0,41190035,BAC
2024-09-12,38.78,39948814,BAC
2024-09-13,38.65,31887313,BAC
2024-09-16,39.1,26336364,BAC
2024-09-17,39.55,27769380,BAC
2024-09-18,39.62,42527830,BAC
2024-09-19,40.87,57977753,BAC
2024-09-20,40.27,70725043,BAC
2024-09-23,39.87,31714848,BAC
2024-09-24,39.45,32534876,BAC
2024-09-25,39.25,28866008,BAC
2024-09-26,39.52,39601424,BAC
2024-09-27,39.4,27861084,BAC
2024-09-30,39.68,35058346,BAC
2024-10-01,39.22,26291185,BAC
2024-10-02,39.23,23302745,BAC
2024-10-03,39.25,26030228,BAC
2024-10-04,40.11,34255929,BAC
2024-10-07,39.96,27177530,BAC
2024-10-08,39.93,26023649,BAC
2024-10-09,40.19,27420997,BAC
2024-10-10,39.97,26182261,BAC
2024-10-11,41.95,50660740,BAC
2024-10-14,41.91,28098947,BAC
2024-10-15,42.14,61489989,BAC
2024-10-16,42.8,42437818,BAC
2024-10-17,42.6,31708564,BAC
2024-10-18,42.32,30593526,BAC
2024-10-21,41.76,26589499,BAC
2024-10-22,42.3,37104409,BAC
2024-10-23,42.34,28569350,BAC
2024-10-24,42.65,28392010,BAC
2024-10-25,41.89,27466909,BAC
2024-10-28,42.62,24527603,BAC
2024-10-29,42.53,22313522,BAC
2024-10-30,42.31,38100539,BAC
2024-10-31,41.82,28138240,BAC
2024-11-01,41.76,31220003,BAC
2024-11-04,41.33,31110086,BAC
2024-11-05,41.88,30851406,BAC
2024-11-06,45.41,110086715,BAC
2024-11-07,44.77,48339732,BAC
2024-11-08,45.13,38331814,BAC
2024-11-11,46.08,43293527,BAC
2024-11-12,45.86,38155885,BAC
2024-11-13,45.87,36903859,BAC
2024-11-14,45.9,35733066,BAC
2024-11-15,46.75,40488863,BAC
2024-11-18,46.72,32371771,BAC
2024-11-19,46.41,28534097,BAC
2024-11-20,46.06,28021049,BAC
2024-11-21,46.46,45336463,BAC
2024-11-22,47.0,37996162,BAC
2024-11-25,47.5,42718557,BAC
2024-11-26,47.75,30301526,BAC
2024-11-27,47.77,23278393,BAC
2024-11-29,47.51,23262009,BAC
2024-12-02,47.04,35891499,BAC
2024-12-03,46.82,38123774,BAC
2024-12-04,46.37,24941282,BAC
2024-12-05,47.0,31572096,BAC
2024-12-06,46.75,28931688,BAC
2024-12-09,45.91,34660938,BAC
2024-12-10,45.75,35665762,BAC
2024-12-11,46.08,36790464,BAC
2024-12-12,46.08,24017311,BAC
2024-12-13,45.67,32902264,BAC
2024-12-16,45.47,27330402,BAC
2024-12-17,45.05,33054645,BAC
2024-12-18,43.5,41771890,BAC
2024-12-19,43.38,38583594,BAC
2024-12-20,44.17,74222240,BAC
2024-12-23,43.89,35374791,BAC
2024-12-24,44.38,12054354,BAC
2024-12-26,44.55,16079707,BAC
2024-12-27,44.34,17972488,BAC
2024-12-30,43.91,16109771,BAC
2024-12-31,43.95,16110352,BAC
2025-01-02,44.29,25610575,BAC
2025-01-03,44.81,23455711,BAC
2025-01-06,45.4,30518458,BAC
2025-01-07,46.08,41111204,BAC
2025-01-08,46.21,40246008,BAC
2025-01-10,45.11,40741349,BAC
2025-01-13,45.06,34353617,BAC
2025-01-14,45.78,36379011,BAC
2025-01-15,47.1,57154814,BAC
2025-01-16,46.64,56339293,BAC
2025-01-17,46.53,44486094,BAC
2025-01-21,46.66,52089087,BAC
2025-01-22,45.79,40296223,BAC
2025-01-23,46.39,35324065,BAC
2025-01-24,46.52,24655102,BAC
2025-01-27,47.09,44260048,BAC
2025-01-28,46.84,27156644,BAC
2025-01-29,46.75,23681527,BAC
2025-01-30,46.72,31199866,BAC
2025-01-31,46.3,30392921,BAC
2025-02-03,46.21,36497705,BAC
2025-02-04,46.71,32893992,BAC
2025-02-05,47.11,27696614,BAC
2025-02-06,47.74,39793386,BAC
2025-02-07,47.4,26504696,BAC
2025-02-10,46.67,26725206,BAC
2025-02-11,46.79,20314881,BAC
2025-02-12,46.21,29777070,BAC
2025-02-13,46.33,26815396,BAC
2025-02-14,46.96,25960495,BAC
2025-02-18,46.53,37824104,BAC
2025-02-19,46.01,38967823,BAC
2025-02-20,45.3,40001086,BAC
2025-02-21,44.81,43485874,BAC
2025-02-24,44.46,35512204,BAC
2025-02-25,43.94,38119007,BAC
2025-02-26,43.94,32251699,BAC
2025-02-27,44.12,28477725,BAC
2025-02-28,46.1,62621148,BAC
2025-03-03,45.56,46946021,BAC
2025-03-04,42.67,78278115,BAC
2025-03-05,42.29,52588903,BAC
2025-03-06,41.46,58103505,BAC
2025-03-07,41.4,50651434,BAC
2025-03-10,39.83,77498436,BAC
2025-03-11,39.61,50608382,BAC
2025-03-12,39.91,42290673,BAC
2025-03-13,39.67,37766080,BAC
2025-03-14,40.89,35979933,BAC
2025-03-17,41.44,37242797,BAC
2025-03-18,41.65,37644466,BAC
2025-03-19,42.21,42471117,BAC
2025-03-20,42.48,41018128,BAC
2025-03-21,42.47,65010969,BAC
2025-03-24,43.07,30646143,BAC
2025-03-25,43.28,25445348,BAC
2025-03-26,42.82,30064465,BAC
2025-03-27,42.56,25619235,BAC
2025-03-28,41.25,34252982,BAC
2025-03-31,41.73,36389953,BAC
2025-04-01,41.49,25578539,BAC
2025-04-02,41.85,28216129,BAC
2025-04-03,37.22,115497878,BAC
2025-04-04,34.39,107761162,BAC
2025-04-07,35.58,137329068,BAC
2025-04-08,35.03,79116309,BAC
2025-04-09,37.15,161173535,BAC
2025-04-10,35.85,90451847,BAC
2025-04-11,35.95,63671938,BAC
2025-04-14,36.67,46830587,BAC
2025-04-15,37.99,84677796,BAC
2025-04-16,37.33,52872668,BAC
2025-04-17,37.41,47144445,BAC
2025-04-21,36.92,34928346,BAC
2025-04-22,38.32,42288918,BAC
