Date,close,vol,symbol
2024-09-06,38.96,6154937,BAX
2024-09-09,39.23,3393047,BAX
2024-09-10,39.21,4575969,BAX
2024-09-11,39.27,3649323,BAX
2024-09-12,39.38,2877309,BAX
2024-09-13,39.72,3239842,BAX
2024-09-16,40.26,2617892,BAX
2024-09-17,39.81,2198625,BAX
2024-09-18,39.37,3101237,BAX
2024-09-19,38.76,3340936,BAX
2024-09-20,38.49,5224022,BAX
2024-09-23,39.0,3278785,BAX
2024-09-24,38.98,1754430,BAX
2024-09-25,38.34,3648950,BAX
2024-09-26,38.71,2558752,BAX
2024-09-27,38.91,2662589,BAX
2024-09-30,37.97,4866414,BAX
2024-10-01,36.91,4316313,BAX
2024-10-02,35.97,6462996,BAX
2024-10-03,35.08,4135408,BAX
2024-10-04,36.32,5152743,BAX
2024-10-07,35.77,3850805,BAX
2024-10-08,37.12,5034296,BAX
2024-10-09,37.84,4758311,BAX
2024-10-10,37.03,3764422,BAX
2024-10-11,36.54,3294858,BAX
2024-10-14,36.91,2045652,BAX
2024-10-15,36.65,3927296,BAX
2024-10-16,36.76,2832080,BAX
2024-10-17,36.65,3869045,BAX
2024-10-18,36.86,1984343,BAX
2024-10-21,36.57,1593267,BAX
2024-10-22,36.59,1827218,BAX
2024-10-23,36.47,1818480,BAX
2024-10-24,36.73,2767228,BAX
2024-10-25,35.97,2171895,BAX
2024-10-28,36.01,1886583,BAX
2024-10-29,35.99,2515273,BAX
2024-10-30,35.86,2671865,BAX
2024-10-31,35.7,2722423,BAX
2024-11-01,35.87,3167156,BAX
2024-11-04,35.8,2725767,BAX
2024-11-05,36.1,2615524,BAX
2024-11-06,36.11,3696537,BAX
2024-11-07,36.04,5612381,BAX
2024-11-08,34.64,6636750,BAX
2024-11-11,34.22,5636755,BAX
2024-11-12,33.83,6113108,BAX
2024-11-13,32.63,5369531,BAX
2024-11-14,31.7,5659955,BAX
2024-11-15,31.96,4847466,BAX
2024-11-18,33.02,7004697,BAX
2024-11-19,32.52,4518915,BAX
2024-11-20,32.63,6315590,BAX
2024-11-21,32.99,3782850,BAX
2024-11-22,33.21,4646348,BAX
2024-11-25,33.42,5929113,BAX
2024-11-26,32.87,4311120,BAX
2024-11-27,33.31,3605733,BAX
2024-11-29,33.71,2928271,BAX
2024-12-02,33.55,4065056,BAX
2024-12-03,33.13,3717568,BAX
2024-12-04,33.02,3554561,BAX
2024-12-05,31.9,3549054,BAX
2024-12-06,31.8,3573645,BAX
2024-12-09,31.85,4419451,BAX
2024-12-10,31.44,3730868,BAX
2024-12-11,31.0,6650774,BAX
2024-12-12,30.84,3786117,BAX
2024-12-13,30.32,4259331,BAX
2024-12-16,29.42,6759285,BAX
2024-12-17,29.64,4614312,BAX
2024-12-18,28.91,4872260,BAX
2024-12-19,28.9,8152270,BAX
2024-12-20,29.5,12194866,BAX
2024-12-23,29.18,4988485,BAX
2024-12-24,29.08,1577900,BAX
2024-12-26,29.3,2534263,BAX
2024-12-27,29.2,2773335,BAX
2024-12-30,28.63,4993715,BAX
2024-12-31,29.16,3524163,BAX
2025-01-02,29.26,4014430,BAX
2025-01-03,29.5,2821254,BAX
2025-01-06,29.66,4164217,BAX
2025-01-07,29.58,4538690,BAX
2025-01-08,29.59,4036102,BAX
2025-01-10,29.42,5954529,BAX
2025-01-13,30.5,7315214,BAX
2025-01-14,30.62,4608192,BAX
2025-01-15,30.21,4328556,BAX
2025-01-16,30.95,6862591,BAX
2025-01-17,30.98,3877670,BAX
2025-01-21,31.48,6291089,BAX
2025-01-22,31.83,7346962,BAX
2025-01-23,32.45,4224365,BAX
2025-01-24,32.45,3244559,BAX
2025-01-27,33.46,4217154,BAX
2025-01-28,32.69,4277092,BAX
2025-01-29,32.78,3844255,BAX
2025-01-30,33.1,3816032,BAX
2025-01-31,32.56,3828092,BAX
2025-02-03,31.64,7195022,BAX
2025-02-04,31.42,4198207,BAX
2025-02-05,31.47,2708820,BAX
2025-02-06,30.81,2958505,BAX
2025-02-07,30.62,2894311,BAX
2025-02-10,30.81,5195776,BAX
2025-02-11,30.6,4715517,BAX
2025-02-12,30.29,2908624,BAX
2025-02-13,30.62,5124914,BAX
2025-02-14,30.82,3855458,BAX
2025-02-18,31.2,4416694,BAX
2025-02-19,30.82,9790759,BAX
2025-02-20,33.44,10688145,BAX
2025-02-21,33.82,7264456,BAX
2025-02-24,35.08,7796532,BAX
2025-02-25,35.94,8927375,BAX
2025-02-26,35.26,6660658,BAX
2025-02-27,35.1,3729429,BAX
2025-02-28,34.51,4783299,BAX
2025-03-03,34.86,3896588,BAX
2025-03-04,34.79,4423172,BAX
2025-03-05,35.16,3354670,BAX
2025-03-06,35.44,2745939,BAX
2025-03-07,36.57,4549983,BAX
2025-03-10,36.56,5310792,BAX
2025-03-11,35.85,4151501,BAX
2025-03-12,34.41,6203712,BAX
2025-03-13,34.55,4771238,BAX
2025-03-14,34.59,2992506,BAX
2025-03-17,34.85,3691643,BAX
2025-03-18,34.51,3361975,BAX
2025-03-19,34.09,5109399,BAX
2025-03-20,33.44,5791980,BAX
2025-03-21,33.19,8139701,BAX
2025-03-24,33.6,3543861,BAX
2025-03-25,32.94,3684012,BAX
2025-03-26,33.36,2719859,BAX
2025-03-27,33.7,2761485,BAX
2025-03-28,33.75,2513169,BAX
2025-03-31,34.23,3598927,BAX
2025-04-01,34.02,3495868,BAX
2025-04-02,33.65,2491925,BAX
2025-04-03,31.35,5555458,BAX
2025-04-04,28.79,5995433,BAX
2025-04-07,28.64,8171955,BAX
2025-04-08,27.97,6383148,BAX
2025-04-09,30.75,12042314,BAX
2025-04-10,28.14,6547081,BAX
2025-04-11,27.84,6639005,BAX
2025-04-14,28.38,4535734,BAX
2025-04-15,27.8,5152411,BAX
2025-04-16,27.82,5393666,BAX
2025-04-17,28.89,5523452,BAX
2025-04-21,28.54,4066885,BAX
2025-04-22,28.62,4604611,BAX
2025-04-23,29.6,4590487,BAX
2025-04-24,30.41,3601279,BAX
2025-04-25,30.22,3466652,BAX
2025-04-28,30.53,3970780,BAX
2025-04-29,30.98,3422705,BAX
2025-04-30,31.17,5553473,BAX
2025-05-01,30.67,7085761,BAX
2025-05-02,30.71,4175334,BAX
2025-05-05,30.43,3911856,BAX
2025-05-06,29.93,3321735,BAX
2025-05-07,30.72,3696914,BAX
2025-05-08,31.2,4087050,BAX
2025-05-09,30.9,2642411,BAX
2025-05-12,31.88,6269026,BAX
2025-05-13,31.15,5922318,BAX
2025-05-14,30.32,3704574,BAX
2025-05-15,31.04,2838390,BAX
2025-05-16,31.66,3022371,BAX
2025-05-19,31.47,2749714,BAX
2025-05-20,31.46,1999810,BAX
2025-05-21,30.43,2789732,BAX
2025-05-22,30.43,20713,BAX
2025-05-23,30.12,2096537,BAX
2025-05-27,30.87,2885244,BAX
2025-05-28,30.58,2723570,BAX
2025-05-29,30.7,3459815,BAX
2025-05-30,30.5,4932084,BAX
2025-06-02,29.55,4023999,BAX
2025-06-03,30.09,3134514,BAX
2025-06-04,29.97,3594916,BAX
