Date,close,vol,symbol
2024-09-06,35.75,1351581,BCE
2024-09-09,36.08,1254097,BCE
2024-09-10,35.3,2186413,BCE
2024-09-11,35.19,2040948,BCE
2024-09-12,35.26,2292206,BCE
2024-09-13,35.4,2130825,BCE
2024-09-16,34.38,2965124,BCE
2024-09-17,34.51,2650834,BCE
2024-09-18,35.61,4915230,BCE
2024-09-19,35.19,3223690,BCE
2024-09-20,35.04,2079188,BCE
2024-09-23,35.1,1397722,BCE
2024-09-24,35.13,1998489,BCE
2024-09-25,34.9,1685964,BCE
2024-09-26,34.83,1072066,BCE
2024-09-27,35.19,1528881,BCE
2024-09-30,34.8,2620057,BCE
2024-10-01,34.83,1424199,BCE
2024-10-02,34.44,1629955,BCE
2024-10-03,33.84,2409969,BCE
2024-10-04,33.71,1572443,BCE
2024-10-07,33.53,1748904,BCE
2024-10-08,33.51,1978175,BCE
2024-10-09,33.31,1564210,BCE
2024-10-10,32.86,3028799,BCE
2024-10-11,33.02,2616803,BCE
2024-10-14,32.56,3483981,BCE
2024-10-15,33.41,2795650,BCE
2024-10-16,33.48,1160147,BCE
2024-10-17,33.49,1175023,BCE
2024-10-18,33.54,1184706,BCE
2024-10-21,33.39,1526448,BCE
2024-10-22,33.32,1215170,BCE
2024-10-23,33.21,1193707,BCE
2024-10-24,33.14,1466251,BCE
2024-10-25,32.79,1531325,BCE
2024-10-28,32.69,1097002,BCE
2024-10-29,32.46,2046621,BCE
2024-10-30,32.24,1537848,BCE
2024-10-31,32.26,1556809,BCE
2024-11-01,32.1,1913559,BCE
2024-11-04,29.12,10183768,BCE
2024-11-05,28.84,4290392,BCE
2024-11-06,28.74,6733154,BCE
2024-11-07,28.07,7242072,BCE
2024-11-08,28.37,4007310,BCE
2024-11-11,27.85,3105285,BCE
2024-11-12,27.69,3564158,BCE
2024-11-13,27.21,7305727,BCE
2024-11-14,26.84,5191229,BCE
2024-11-15,26.82,4366892,BCE
2024-11-18,27.23,4043653,BCE
2024-11-19,27.31,2853616,BCE
2024-11-20,27.0,3436421,BCE
2024-11-21,26.68,5627370,BCE
2024-11-22,26.77,5371238,BCE
2024-11-25,27.02,3247592,BCE
2024-11-26,26.63,3286138,BCE
2024-11-27,27.02,3684388,BCE
2024-11-29,27.03,1448158,BCE
2024-12-02,27.04,3823301,BCE
2024-12-03,27.31,5247638,BCE
2024-12-04,26.84,7256380,BCE
2024-12-05,26.97,3007677,BCE
2024-12-06,26.78,2717443,BCE
2024-12-09,26.9,4031321,BCE
2024-12-10,26.46,4054343,BCE
2024-12-11,25.97,3909958,BCE
2024-12-12,25.81,5024406,BCE
2024-12-13,25.52,5665335,BCE
2024-12-16,23.86,7752706,BCE
2024-12-17,23.58,6598851,BCE
2024-12-18,23.4,7038671,BCE
2024-12-19,23.11,5085570,BCE
2024-12-20,23.16,5954806,BCE
2024-12-23,22.84,4417730,BCE
2024-12-24,22.9,1710307,BCE
2024-12-26,22.87,3520101,BCE
2024-12-27,22.66,3216667,BCE
2024-12-30,22.53,3410953,BCE
2024-12-31,23.18,3821049,BCE
2025-01-02,23.26,2865296,BCE
2025-01-03,23.82,3950122,BCE
2025-01-06,23.94,3677193,BCE
2025-01-07,23.86,4004281,BCE
2025-01-08,23.63,2334866,BCE
2025-01-10,22.96,3535110,BCE
2025-01-13,23.21,2839394,BCE
2025-01-14,22.54,5909176,BCE
2025-01-15,22.73,2898632,BCE
2025-01-16,22.82,4367657,BCE
2025-01-17,23.15,2840887,BCE
2025-01-21,23.39,3917326,BCE
2025-01-22,23.15,2639989,BCE
2025-01-23,23.22,2434820,BCE
2025-01-24,23.53,2265030,BCE
2025-01-27,24.06,3327179,BCE
2025-01-28,23.88,3380496,BCE
2025-01-29,23.7,3117517,BCE
2025-01-30,23.9,2666419,BCE
2025-01-31,23.79,2993492,BCE
2025-02-03,24.03,3279132,BCE
2025-02-04,24.4,2364339,BCE
2025-02-05,24.9,6337319,BCE
2025-02-06,23.52,7531951,BCE
2025-02-07,22.14,7889929,BCE
2025-02-10,22.51,3749337,BCE
2025-02-11,22.88,4074592,BCE
2025-02-12,23.26,2549034,BCE
2025-02-13,23.63,2614602,BCE
2025-02-14,23.82,2282486,BCE
2025-02-18,23.37,2842798,BCE
2025-02-19,23.42,1997697,BCE
2025-02-20,23.57,1795696,BCE
2025-02-21,23.97,2577640,BCE
2025-02-24,24.08,2163150,BCE
2025-02-25,23.91,2645412,BCE
2025-02-26,23.36,2820082,BCE
2025-02-27,23.39,1877888,BCE
2025-02-28,23.12,2128179,BCE
2025-03-03,23.41,2183555,BCE
2025-03-04,23.61,2765089,BCE
2025-03-05,23.71,1757164,BCE
2025-03-06,24.49,2938822,BCE
2025-03-07,24.8,3419929,BCE
