Date,close,vol,symbol
2024-09-06,82.33,1214850,BMO
2024-09-09,83.02,663004,BMO
2024-09-10,82.89,780329,BMO
2024-09-11,84.35,909708,BMO
2024-09-12,85.13,835482,BMO
2024-09-13,85.56,849211,BMO
2024-09-16,86.88,507042,BMO
2024-09-17,87.71,997858,BMO
2024-09-18,86.87,757156,BMO
2024-09-19,88.8,885923,BMO
2024-09-20,89.91,1665402,BMO
2024-09-23,89.99,569584,BMO
2024-09-24,90.1,535834,BMO
2024-09-25,89.45,451122,BMO
2024-09-26,90.77,2371237,BMO
2024-09-27,90.43,420839,BMO
2024-09-30,90.2,455756,BMO
2024-10-01,91.25,1340855,BMO
2024-10-02,91.04,862600,BMO
2024-10-03,91.22,1382482,BMO
2024-10-04,91.64,1127048,BMO
2024-10-07,90.89,789085,BMO
2024-10-08,90.01,613370,BMO
2024-10-09,89.74,679295,BMO
2024-10-10,91.2,1089721,BMO
2024-10-11,92.67,1735093,BMO
2024-10-14,93.25,855068,BMO
2024-10-15,92.75,819955,BMO
2024-10-16,93.85,936973,BMO
2024-10-17,93.58,1031014,BMO
2024-10-18,94.06,538867,BMO
2024-10-21,92.79,732658,BMO
2024-10-22,93.04,512459,BMO
2024-10-23,93.33,1916762,BMO
2024-10-24,93.39,942069,BMO
2024-10-25,92.77,868526,BMO
2024-10-28,93.5,4275567,BMO
2024-10-29,93.0,573640,BMO
2024-10-30,91.89,1911914,BMO
2024-10-31,91.12,1113980,BMO
2024-11-01,90.76,670410,BMO
2024-11-04,90.06,1077637,BMO
2024-11-05,91.29,563550,BMO
2024-11-06,93.17,794787,BMO
2024-11-07,93.23,797478,BMO
2024-11-08,92.91,468718,BMO
2024-11-11,94.09,662003,BMO
2024-11-12,94.09,427612,BMO
2024-11-13,93.46,420467,BMO
2024-11-14,93.4,453217,BMO
2024-11-15,93.18,844461,BMO
2024-11-18,93.05,2467496,BMO
2024-11-19,94.09,486927,BMO
2024-11-20,94.04,373351,BMO
2024-11-21,94.63,578226,BMO
2024-11-22,94.92,445807,BMO
2024-11-25,95.57,863058,BMO
2024-11-26,94.4,452432,BMO
2024-11-27,94.96,815093,BMO
2024-11-29,95.25,208339,BMO
2024-12-02,95.09,1000506,BMO
2024-12-03,95.29,862816,BMO
2024-12-04,95.26,1143124,BMO
2024-12-05,99.58,2259039,BMO
2024-12-06,103.39,1498967,BMO
2024-12-09,100.8,996485,BMO
2024-12-10,100.74,466800,BMO
2024-12-11,100.73,451749,BMO
2024-12-12,99.3,458305,BMO
2024-12-13,99.02,401132,BMO
2024-12-16,98.6,703719,BMO
2024-12-17,98.15,490171,BMO
2024-12-18,95.71,1127604,BMO
2024-12-19,96.62,1096840,BMO
2024-12-20,96.54,535510,BMO
2024-12-23,96.98,409624,BMO
2024-12-24,96.84,221661,BMO
2024-12-26,97.01,266670,BMO
2024-12-27,97.05,209364,BMO
2024-12-30,96.88,251594,BMO
2024-12-31,97.05,286291,BMO
2025-01-02,97.04,380139,BMO
2025-01-03,96.06,495643,BMO
2025-01-06,96.23,692718,BMO
2025-01-07,96.87,449060,BMO
2025-01-08,98.44,715308,BMO
2025-01-10,97.44,770621,BMO
2025-01-13,96.89,685404,BMO
2025-01-14,97.78,416820,BMO
2025-01-15,99.18,598619,BMO
2025-01-16,99.2,431996,BMO
