Date,close,vol,symbol
2024-09-06,50.5,1289633,BNS
2024-09-09,51.29,1262959,BNS
2024-09-10,51.45,1390571,BNS
2024-09-11,51.76,1376495,BNS
2024-09-12,51.73,1368342,BNS
2024-09-13,52.04,1273251,BNS
2024-09-16,52.64,967586,BNS
2024-09-17,52.56,1137262,BNS
2024-09-18,52.43,1368250,BNS
2024-09-19,53.08,1043280,BNS
2024-09-20,54.07,2746284,BNS
2024-09-23,53.93,3454517,BNS
2024-09-24,54.25,2732410,BNS
2024-09-25,53.92,1812911,BNS
2024-09-26,54.8,1326689,BNS
2024-09-27,54.44,882861,BNS
2024-09-30,54.49,8702563,BNS
2024-10-01,54.49,4667029,BNS
2024-10-02,53.2,1547296,BNS
2024-10-03,52.75,1175911,BNS
2024-10-04,53.06,1008359,BNS
2024-10-07,52.76,1122237,BNS
2024-10-08,52.37,886521,BNS
2024-10-09,51.81,950871,BNS
2024-10-10,52.05,1343267,BNS
2024-10-11,52.45,1077305,BNS
2024-10-14,52.39,694741,BNS
2024-10-15,52.83,1478652,BNS
2024-10-16,53.69,1368896,BNS
2024-10-17,53.51,794710,BNS
2024-10-18,53.54,804123,BNS
2024-10-21,52.9,834381,BNS
2024-10-22,52.59,1210089,BNS
2024-10-23,52.42,2948753,BNS
2024-10-24,52.44,2563828,BNS
2024-10-25,51.78,1159530,BNS
2024-10-28,51.98,1223005,BNS
2024-10-29,52.22,1690870,BNS
2024-10-30,52.25,2768633,BNS
2024-10-31,51.49,1264301,BNS
2024-11-01,51.9,1164836,BNS
2024-11-04,53.04,1857164,BNS
2024-11-05,53.13,1128931,BNS
2024-11-06,53.24,1731076,BNS
2024-11-07,54.1,1290622,BNS
2024-11-08,53.93,862597,BNS
2024-11-11,54.06,1074459,BNS
2024-11-12,53.96,1256920,BNS
2024-11-13,53.57,773748,BNS
2024-11-14,53.81,987842,BNS
2024-11-15,53.93,927819,BNS
2024-11-18,55.24,1725615,BNS
2024-11-19,56.13,1918835,BNS
2024-11-20,56.3,1232242,BNS
2024-11-21,56.22,1108510,BNS
2024-11-22,56.45,754658,BNS
2024-11-25,56.54,1122603,BNS
2024-11-26,56.22,1217365,BNS
2024-11-27,56.72,926267,BNS
2024-11-29,57.02,502317,BNS
2024-12-02,56.77,964650,BNS
2024-12-03,54.78,2322298,BNS
2024-12-04,55.31,1150530,BNS
2024-12-05,55.78,1341638,BNS
2024-12-06,55.77,1283559,BNS
2024-12-09,55.81,1072518,BNS
2024-12-10,55.83,669239,BNS
2024-12-11,55.84,640370,BNS
2024-12-12,55.25,758816,BNS
2024-12-13,55.42,862444,BNS
2024-12-16,54.94,762864,BNS
2024-12-17,54.74,821115,BNS
2024-12-18,53.43,1743325,BNS
2024-12-19,53.42,1181703,BNS
2024-12-20,53.61,1253994,BNS
2024-12-23,53.64,681104,BNS
2024-12-24,53.6,397040,BNS
2024-12-26,53.73,439289,BNS
2024-12-27,53.76,567889,BNS
2024-12-30,53.9,805591,BNS
2024-12-31,53.72,609675,BNS
2025-01-02,53.64,2164490,BNS
2025-01-03,53.39,7451751,BNS
2025-01-06,53.7,7678426,BNS
2025-01-07,52.01,1321273,BNS
2025-01-08,51.69,1335474,BNS
2025-01-10,51.31,1783890,BNS
2025-01-13,50.59,1671502,BNS
2025-01-14,51.27,967118,BNS
2025-01-15,51.79,1416503,BNS
2025-01-16,51.7,1091149,BNS
2025-01-17,50.88,2219214,BNS
2025-01-21,51.82,1661977,BNS
2025-01-22,51.45,3002436,BNS
2025-01-23,51.73,853145,BNS
2025-01-24,51.92,973880,BNS
2025-01-27,52.13,1307397,BNS
2025-01-28,52.17,1067053,BNS
2025-01-29,51.93,800454,BNS
2025-01-30,51.86,1979258,BNS
2025-01-31,51.17,1677761,BNS
2025-02-03,49.47,4798170,BNS
2025-02-04,50.18,2264618,BNS
2025-02-05,50.48,2063779,BNS
2025-02-06,50.93,1596161,BNS
2025-02-07,50.9,1056214,BNS
2025-02-10,50.61,944914,BNS
2025-02-11,50.97,1060052,BNS
2025-02-12,51.04,1350644,BNS
2025-02-13,51.17,1018901,BNS
2025-02-14,51.23,943636,BNS
2025-02-18,51.03,1155893,BNS
2025-02-19,50.87,1058808,BNS
2025-02-20,51.13,964712,BNS
2025-02-21,50.5,1511828,BNS
2025-02-24,50.63,1613772,BNS
2025-02-25,49.86,2195839,BNS
2025-02-26,50.37,1216316,BNS
2025-02-27,49.69,1288000,BNS
2025-02-28,49.63,2557755,BNS
2025-03-03,49.35,1370254,BNS
2025-03-04,48.48,3241194,BNS
2025-03-05,48.58,1958241,BNS
2025-03-06,48.15,1231027,BNS
2025-03-07,48.34,1311653,BNS
2025-03-10,47.81,1352193,BNS
2025-03-11,47.53,1685429,BNS
2025-03-12,47.58,1341431,BNS
2025-03-13,47.21,886366,BNS
2025-03-14,47.95,1072811,BNS
