Date,close,vol,symbol
2024-09-06,31.9,10259005,BP
2024-09-09,31.8,8008003,BP
2024-09-10,31.15,12806550,BP
2024-09-11,31.29,8232643,BP
2024-09-12,31.58,8158445,BP
2024-09-13,31.84,6427335,BP
2024-09-16,32.3,9370643,BP
2024-09-17,32.55,6965637,BP
2024-09-18,32.43,6125668,BP
2024-09-19,32.76,11509407,BP
2024-09-20,32.64,8271732,BP
2024-09-23,32.86,7619320,BP
2024-09-24,32.83,7696464,BP
2024-09-25,31.68,8939102,BP
2024-09-26,30.79,16447843,BP
2024-09-27,31.42,11500178,BP
2024-09-30,31.39,7314452,BP
2024-10-01,32.09,13696071,BP
2024-10-02,32.37,7982336,BP
2024-10-03,32.46,10752939,BP
2024-10-04,32.88,10108939,BP
2024-10-07,33.14,5836765,BP
2024-10-08,32.03,9039105,BP
2024-10-09,31.98,6035177,BP
2024-10-10,32.34,5886192,BP
2024-10-11,32.11,7455529,BP
2024-10-14,31.99,5522732,BP
2024-10-15,30.74,13177959,BP
2024-10-16,30.93,6393806,BP
2024-10-17,31.32,8123206,BP
2024-10-18,31.33,4465138,BP
2024-10-21,31.47,6852124,BP
2024-10-22,31.58,4391298,BP
2024-10-23,31.31,6288692,BP
2024-10-24,31.3,5995681,BP
2024-10-25,31.52,4478385,BP
2024-10-28,31.05,11988844,BP
2024-10-29,29.36,21578383,BP
2024-10-30,29.02,21972772,BP
2024-10-31,29.36,11202834,BP
2024-11-01,29.23,8962365,BP
2024-11-04,29.73,8696275,BP
2024-11-05,29.96,9060458,BP
2024-11-06,30.16,10517185,BP
2024-11-07,30.29,7590150,BP
2024-11-08,28.93,11140910,BP
2024-11-11,28.92,9526559,BP
2024-11-12,28.16,14623989,BP
2024-11-13,28.57,12243629,BP
2024-11-14,29.05,11091802,BP
2024-11-15,28.98,8120278,BP
2024-11-18,29.42,10184757,BP
2024-11-19,29.09,11686931,BP
2024-11-20,29.08,11456507,BP
2024-11-21,29.52,18619661,BP
2024-11-22,29.72,16067813,BP
2024-11-25,29.32,10472641,BP
2024-11-26,28.96,14119942,BP
2024-11-27,29.13,6882497,BP
2024-11-29,29.31,4407503,BP
2024-12-02,28.99,8928805,BP
