Date,close,vol,symbol
2024-09-06,287.5,1722890,CB
2024-09-09,292.2,1892608,CB
2024-09-10,291.03,1178540,CB
2024-09-11,284.34,1803161,CB
2024-09-12,288.56,1476621,CB
2024-09-13,288.87,1309756,CB
2024-09-16,291.32,1265048,CB
2024-09-17,290.78,1308693,CB
2024-09-18,289.18,1558654,CB
2024-09-19,290.58,1789441,CB
2024-09-20,290.66,9796662,CB
2024-09-23,292.11,1470482,CB
2024-09-24,289.76,1868800,CB
2024-09-25,290.33,1108683,CB
2024-09-26,289.84,1025598,CB
2024-09-27,289.57,865522,CB
2024-09-30,288.39,1176609,CB
2024-10-01,292.12,1768734,CB
2024-10-02,291.33,1308331,CB
2024-10-03,288.54,758183,CB
2024-10-04,290.59,967956,CB
2024-10-07,277.18,2389100,CB
2024-10-08,279.96,1413339,CB
2024-10-09,282.83,1212122,CB
2024-10-10,284.7,1055557,CB
2024-10-11,286.83,798974,CB
2024-10-14,288.71,656791,CB
2024-10-15,287.4,1239260,CB
2024-10-16,293.1,1088497,CB
2024-10-17,301.89,2131211,CB
2024-10-18,301.66,1705625,CB
2024-10-21,297.85,1054724,CB
2024-10-22,297.11,1540910,CB
2024-10-23,295.0,1118969,CB
2024-10-24,293.96,962832,CB
2024-10-25,287.99,1238295,CB
2024-10-28,290.02,893459,CB
2024-10-29,287.2,1392595,CB
2024-10-30,283.64,1810974,CB
2024-10-31,282.44,1905735,CB
2024-11-01,277.41,1779579,CB
2024-11-04,276.08,1993928,CB
2024-11-05,277.29,1676316,CB
2024-11-06,280.01,2262289,CB
2024-11-07,277.99,1520847,CB
2024-11-08,281.36,1062333,CB
2024-11-11,280.7,1024818,CB
2024-11-12,282.89,1991366,CB
2024-11-13,283.38,1236427,CB
2024-11-14,286.93,2168310,CB
2024-11-15,288.0,1794866,CB
2024-11-18,288.73,1126594,CB
2024-11-19,283.87,1059688,CB
2024-11-20,282.84,1209582,CB
2024-11-21,285.11,1415989,CB
2024-11-22,285.21,1721769,CB
2024-11-25,286.42,1825028,CB
2024-11-26,288.48,1623901,CB
2024-11-27,290.34,848871,CB
2024-11-29,288.73,1237564,CB
2024-12-02,289.91,1517891,CB
2024-12-03,286.25,1368308,CB
2024-12-04,284.6,1273513,CB
2024-12-05,286.62,1870242,CB
2024-12-06,283.32,1507326,CB
2024-12-09,277.32,2160515,CB
2024-12-10,274.6,2129987,CB
2024-12-11,276.22,1375096,CB
2024-12-12,275.38,1216600,CB
2024-12-13,276.09,1383877,CB
2024-12-16,275.72,1981975,CB
2024-12-17,276.69,2115977,CB
2024-12-18,271.57,2044701,CB
2024-12-19,273.16,2274282,CB
2024-12-20,273.2,2953085,CB
2024-12-23,275.38,1322081,CB
2024-12-24,276.54,399643,CB
2024-12-26,278.27,697410,CB
2024-12-27,277.68,1088623,CB
2024-12-30,275.41,920340,CB
2024-12-31,276.3,1409642,CB
2025-01-02,272.52,949638,CB
2025-01-03,271.73,1155611,CB
2025-01-06,267.31,2587282,CB
2025-01-07,268.76,2042943,CB
2025-01-08,266.65,2381977,CB
2025-01-10,257.71,4171344,CB
2025-01-13,261.76,3115499,CB
2025-01-14,265.51,1692487,CB
2025-01-15,268.41,2231069,CB
2025-01-16,273.53,1272397,CB
2025-01-17,269.48,1902028,CB
2025-01-21,268.86,1930838,CB
2025-01-22,268.32,1799167,CB
2025-01-23,266.5,1720502,CB
2025-01-24,266.7,1821559,CB
2025-01-27,276.49,1776949,CB
2025-01-28,272.27,1627192,CB
2025-01-29,275.83,2317196,CB
2025-01-30,274.78,1555974,CB
2025-01-31,271.88,1583420,CB
2025-02-03,273.93,1454289,CB
2025-02-04,272.23,1478500,CB
2025-02-05,272.8,989507,CB
2025-02-06,272.88,1260410,CB
2025-02-07,270.16,1276154,CB
