Date,close,vol,symbol
2024-09-06,135.39,468423,CINF
2024-09-09,137.47,840626,CINF
2024-09-10,137.44,327716,CINF
2024-09-11,133.97,597737,CINF
2024-09-12,135.12,305245,CINF
2024-09-13,135.82,315221,CINF
2024-09-16,137.18,626184,CINF
2024-09-17,136.17,761518,CINF
2024-09-18,136.3,434819,CINF
2024-09-19,135.77,384413,CINF
2024-09-20,134.63,1523029,CINF
2024-09-23,136.23,383298,CINF
2024-09-24,136.19,291227,CINF
2024-09-25,135.22,443480,CINF
2024-09-26,134.96,412867,CINF
2024-09-27,135.64,364625,CINF
2024-09-30,136.12,601725,CINF
2024-10-01,137.28,515925,CINF
2024-10-02,136.7,279686,CINF
2024-10-03,135.74,240699,CINF
2024-10-04,138.72,432250,CINF
2024-10-07,132.86,561710,CINF
2024-10-08,133.88,498201,CINF
2024-10-09,134.69,392234,CINF
2024-10-10,135.01,480920,CINF
2024-10-11,136.39,489132,CINF
2024-10-14,136.88,427730,CINF
2024-10-15,136.8,515346,CINF
2024-10-16,138.22,587994,CINF
2024-10-17,141.3,1007687,CINF
2024-10-18,141.4,625616,CINF
2024-10-21,140.17,452101,CINF
2024-10-22,138.6,428273,CINF
2024-10-23,138.88,373615,CINF
2024-10-24,138.24,616562,CINF
2024-10-25,141.25,857205,CINF
2024-10-28,144.49,866618,CINF
2024-10-29,142.0,670607,CINF
2024-10-30,143.44,543559,CINF
2024-10-31,140.83,1067872,CINF
2024-11-01,140.65,393565,CINF
2024-11-04,138.19,551086,CINF
2024-11-05,140.37,484026,CINF
2024-11-06,149.68,868245,CINF
2024-11-07,147.12,489543,CINF
2024-11-08,148.69,412717,CINF
2024-11-11,151.17,411960,CINF
2024-11-12,151.18,358875,CINF
2024-11-13,150.78,371668,CINF
2024-11-14,149.55,639248,CINF
2024-11-15,151.78,760217,CINF
2024-11-18,152.13,420190,CINF
2024-11-19,150.58,320260,CINF
2024-11-20,151.62,403406,CINF
2024-11-21,154.85,478106,CINF
2024-11-22,156.47,391555,CINF
2024-11-25,159.42,876391,CINF
2024-11-26,159.61,468786,CINF
2024-11-27,160.16,456877,CINF
2024-11-29,159.83,361209,CINF
2024-12-02,157.58,548739,CINF
2024-12-03,156.49,473390,CINF
2024-12-04,156.3,338466,CINF
2024-12-05,157.16,531606,CINF
2024-12-06,156.03,332210,CINF
2024-12-09,153.65,362192,CINF
2024-12-10,149.83,975422,CINF
2024-12-11,151.68,578598,CINF
2024-12-12,152.16,490818,CINF
2024-12-13,152.22,455678,CINF
2024-12-16,152.29,818902,CINF
2024-12-17,147.8,760654,CINF
2024-12-18,143.0,861429,CINF
2024-12-19,142.23,680608,CINF
2024-12-20,144.57,2881186,CINF
2024-12-23,142.9,664613,CINF
2024-12-24,145.27,274313,CINF
2024-12-26,145.31,315743,CINF
2024-12-27,144.05,386923,CINF
2024-12-30,143.14,430522,CINF
2024-12-31,143.7,329500,CINF
2025-01-02,142.48,534591,CINF
2025-01-03,142.1,465815,CINF
2025-01-06,141.75,596886,CINF
2025-01-07,142.31,483682,CINF
2025-01-08,141.71,700619,CINF
2025-01-10,135.58,1151816,CINF
2025-01-13,135.92,582181,CINF
2025-01-14,139.49,614738,CINF
2025-01-15,141.24,679850,CINF
2025-01-16,142.91,434770,CINF
2025-01-17,140.66,607825,CINF
2025-01-21,140.13,823654,CINF
2025-01-22,138.01,775350,CINF
2025-01-23,136.07,771755,CINF
2025-01-24,137.24,392548,CINF
2025-01-27,140.89,612112,CINF
2025-01-28,139.42,509847,CINF
2025-01-29,138.27,668593,CINF
2025-01-30,139.04,571542,CINF
2025-01-31,137.05,1757292,CINF
2025-02-03,136.93,1003109,CINF
2025-02-04,135.63,762205,CINF
2025-02-05,136.77,666770,CINF
2025-02-06,137.91,764588,CINF
2025-02-07,136.96,632355,CINF
2025-02-10,135.62,833626,CINF
2025-02-11,139.43,1374158,CINF
2025-02-12,133.67,940804,CINF
2025-02-13,137.19,1121572,CINF
2025-02-14,136.97,948657,CINF
2025-02-18,136.61,939194,CINF
2025-02-19,136.43,641723,CINF
2025-02-20,135.77,603478,CINF
2025-02-21,135.14,468571,CINF
2025-02-24,137.13,640113,CINF
2025-02-25,139.94,853575,CINF
2025-02-26,140.18,673108,CINF
2025-02-27,144.55,707269,CINF
2025-02-28,147.81,961617,CINF
2025-03-03,147.48,751914,CINF
2025-03-04,143.26,964020,CINF
2025-03-05,143.18,618138,CINF
2025-03-06,140.77,820965,CINF
2025-03-07,139.96,654689,CINF
2025-03-10,138.46,640974,CINF
2025-03-11,140.13,925607,CINF
2025-03-12,139.96,1168338,CINF
2025-03-13,141.99,1489848,CINF
2025-03-14,145.39,1238608,CINF
2025-03-17,147.22,833800,CINF
2025-03-18,145.88,1156574,CINF
2025-03-19,147.68,754079,CINF
2025-03-20,146.22,845363,CINF
2025-03-21,145.62,3566818,CINF
2025-03-24,145.67,600217,CINF
2025-03-25,145.8,788089,CINF
2025-03-26,146.49,601200,CINF
2025-03-27,147.54,652042,CINF
2025-03-28,145.55,593781,CINF
2025-03-31,147.72,798596,CINF
2025-04-01,147.45,532967,CINF
2025-04-02,147.59,559098,CINF
2025-04-03,144.7,926401,CINF
2025-04-04,131.69,1339002,CINF
2025-04-07,126.6,1156283,CINF
2025-04-08,127.05,971049,CINF
2025-04-09,134.63,1407758,CINF
2025-04-10,131.6,799426,CINF
2025-04-11,131.09,842010,CINF
2025-04-14,133.31,572435,CINF
2025-04-15,133.33,430376,CINF
2025-04-16,132.11,472486,CINF
2025-04-17,132.24,463628,CINF
2025-04-21,127.72,699662,CINF
2025-04-22,132.95,567232,CINF
2025-04-23,134.05,735085,CINF
2025-04-24,135.36,517414,CINF
2025-04-25,133.69,686830,CINF
2025-04-28,135.87,909753,CINF
2025-04-29,139.85,1206913,CINF
2025-04-30,139.21,979305,CINF
2025-05-01,139.84,746176,CINF
2025-05-02,143.58,522885,CINF
2025-05-05,143.89,374555,CINF
2025-05-06,144.92,504258,CINF
2025-05-07,145.2,519875,CINF
2025-05-08,146.67,441757,CINF
2025-05-09,147.8,503004,CINF
2025-05-12,150.0,578840,CINF
2025-05-13,148.56,718256,CINF
2025-05-14,146.3,515826,CINF
2025-05-15,149.3,395049,CINF
2025-05-16,150.86,635693,CINF
2025-05-19,150.95,470939,CINF
2025-05-20,150.17,384273,CINF
2025-05-21,146.52,455150,CINF
2025-05-22,146.52,281,CINF
2025-05-23,145.83,329731,CINF
2025-05-27,149.47,448365,CINF
2025-05-28,147.82,436668,CINF
2025-05-29,149.97,473606,CINF
2025-05-30,150.82,1106734,CINF
2025-06-02,151.6,537202,CINF
2025-06-03,151.51,517202,CINF
2025-06-04,149.76,480328,CINF
2025-06-05,149.87,419390,CINF
2025-06-06,151.03,350110,CINF
2025-06-09,148.97,386417,CINF
2025-06-10,147.05,396683,CINF
2025-06-11,146.99,427195,CINF
2025-06-12,148.25,438341,CINF
2025-06-13,146.36,440848,CINF
2025-06-16,146.7,728959,CINF
2025-06-17,145.27,509284,CINF
2025-06-18,145.7,498597,CINF
2025-06-20,145.44,1159974,CINF
2025-06-23,147.24,590955,CINF
2025-06-24,146.69,533439,CINF
2025-06-25,143.72,645646,CINF
2025-06-26,145.76,337566,CINF
2025-06-27,146.23,1007403,CINF
2025-06-30,148.92,721137,CINF
2025-07-01,149.38,542760,CINF
2025-07-02,146.11,542910,CINF
2025-07-03,148.59,472524,CINF
2025-07-07,146.23,442797,CINF
2025-07-08,146.09,539378,CINF
2025-07-09,146.71,670980,CINF
2025-07-10,147.85,456473,CINF
2025-07-11,147.41,448866,CINF
2025-07-14,149.26,340749,CINF
2025-07-15,145.8,885192,CINF
2025-07-16,147.73,479482,CINF
2025-07-17,149.03,578625,CINF
2025-07-18,150.73,699338,CINF
2025-07-21,149.0,376027,CINF
2025-07-22,151.0,382746,CINF
2025-07-23,150.92,270983,CINF
2025-07-24,147.87,659137,CINF
2025-07-25,149.4,419300,CINF
2025-07-28,147.1,829066,CINF
2025-07-29,152.42,1149615,CINF
2025-07-30,149.51,884965,CINF
2025-07-31,147.51,869873,CINF
2025-08-01,146.19,694651,CINF
2025-08-04,149.74,523361,CINF
2025-08-05,150.43,569210,CINF
2025-08-06,154.05,811787,CINF
2025-08-07,151.47,534738,CINF
2025-08-08,150.13,510570,CINF
2025-08-11,149.88,365489,CINF
2025-08-12,151.39,423126,CINF
2025-08-13,154.01,495831,CINF
2025-08-14,154.15,503338,CINF
2025-08-15,151.06,760775,CINF
2025-08-18,149.79,376290,CINF
2025-08-19,152.38,542901,CINF
2025-08-20,153.65,529390,CINF
2025-08-21,152.96,384234,CINF
2025-08-22,155.4,458350,CINF
2025-08-25,153.31,387445,CINF
2025-08-26,153.59,557341,CINF
2025-08-27,154.01,470540,CINF
2025-08-28,153.4,466835,CINF
2025-08-29,153.6,375893,CINF
2025-09-02,152.95,399572,CINF
2025-09-03,153.53,280178,CINF
2025-09-04,155.59,229054,CINF
2025-09-05,153.36,333269,CINF
2025-09-08,153.46,345112,CINF
2025-09-09,153.69,407975,CINF
2025-09-10,152.31,443075,CINF
2025-09-11,156.76,395252,CINF
2025-09-12,156.86,613681,CINF
2025-09-15,155.13,515882,CINF
2025-09-16,153.27,434683,CINF
2025-09-17,154.48,405937,CINF
2025-09-18,155.93,426087,CINF
2025-09-19,156.11,1123169,CINF
2025-09-22,154.69,357860,CINF
2025-09-23,154.44,302779,CINF
2025-09-24,154.52,337629,CINF
2025-09-25,154.42,380409,CINF
2025-09-26,156.9,312002,CINF
2025-09-29,156.37,396898,CINF
2025-09-30,158.1,378685,CINF
2025-10-01,159.79,484612,CINF
2025-10-02,160.51,452283,CINF
