Date,close,vol,symbol
2024-09-06,164.75,1567657,CLX
2024-09-09,165.2,1409425,CLX
2024-09-10,166.97,1123954,CLX
2024-09-11,163.99,1029749,CLX
2024-09-12,164.97,872759,CLX
2024-09-13,166.27,1036817,CLX
2024-09-16,165.95,870160,CLX
2024-09-17,164.69,820797,CLX
2024-09-18,163.47,868145,CLX
2024-09-19,162.04,1400941,CLX
2024-09-20,163.33,2749817,CLX
2024-09-23,164.84,951265,CLX
2024-09-24,164.59,860734,CLX
2024-09-25,162.97,1180304,CLX
2024-09-26,161.91,1426789,CLX
2024-09-27,163.42,646264,CLX
2024-09-30,162.91,909544,CLX
2024-10-01,165.32,1596549,CLX
2024-10-02,164.7,849827,CLX
2024-10-03,161.37,1166784,CLX
2024-10-04,161.57,798281,CLX
2024-10-07,160.6,687454,CLX
2024-10-08,159.79,924165,CLX
2024-10-09,159.53,1042198,CLX
2024-10-10,158.05,884817,CLX
2024-10-11,160.3,864047,CLX
2024-10-14,161.51,991475,CLX
2024-10-15,163.34,1076434,CLX
2024-10-16,163.43,722403,CLX
2024-10-17,162.61,664147,CLX
2024-10-18,161.96,682801,CLX
2024-10-21,160.39,790979,CLX
2024-10-22,159.17,871877,CLX
2024-10-23,159.02,941243,CLX
2024-10-24,158.98,971752,CLX
2024-10-25,156.69,1040134,CLX
2024-10-28,157.72,1062712,CLX
2024-10-29,156.83,1342225,CLX
2024-10-30,156.51,2047685,CLX
2024-10-31,158.55,3622846,CLX
2024-11-01,163.11,2296113,CLX
2024-11-04,162.48,1352008,CLX
2024-11-05,162.42,1160131,CLX
2024-11-06,162.7,1731123,CLX
2024-11-07,162.77,994723,CLX
2024-11-08,165.16,1276258,CLX
2024-11-11,165.05,1297651,CLX
2024-11-12,164.79,1404193,CLX
2024-11-13,165.36,878444,CLX
2024-11-14,165.75,774951,CLX
2024-11-15,167.64,1361795,CLX
2024-11-18,169.1,1364008,CLX
2024-11-19,168.14,1384019,CLX
2024-11-20,168.05,1138986,CLX
2024-11-21,169.15,1218060,CLX
2024-11-22,169.3,995071,CLX
2024-11-25,166.32,1697701,CLX
2024-11-26,167.35,944683,CLX
2024-11-27,167.15,1131122,CLX
2024-11-29,167.17,465385,CLX
2024-12-02,166.54,890528,CLX
2024-12-03,167.13,1035058,CLX
2024-12-04,167.53,837493,CLX
2024-12-05,169.74,1073461,CLX
2024-12-06,166.97,1217064,CLX
2024-12-09,167.4,1157705,CLX
2024-12-10,167.66,979205,CLX
2024-12-11,164.66,1240509,CLX
2024-12-12,164.65,1028595,CLX
2024-12-13,164.9,753014,CLX
2024-12-16,164.41,1349104,CLX
2024-12-17,163.32,1095339,CLX
2024-12-18,161.72,1257661,CLX
2024-12-19,164.13,1367531,CLX
2024-12-20,164.44,4020652,CLX
2024-12-23,163.09,766084,CLX
2024-12-24,163.43,399431,CLX
2024-12-26,163.97,601121,CLX
2024-12-27,163.0,596108,CLX
2024-12-30,161.42,765444,CLX
2024-12-31,162.41,815008,CLX
2025-01-02,161.83,714324,CLX
2025-01-03,162.89,671252,CLX
2025-01-06,157.59,1745249,CLX
2025-01-07,159.7,1246350,CLX
2025-01-08,160.63,1051293,CLX
2025-01-10,157.57,874379,CLX
2025-01-13,157.47,1051059,CLX
2025-01-14,159.03,733003,CLX
2025-01-15,158.3,602250,CLX
2025-01-16,160.47,871212,CLX
2025-01-17,160.28,937722,CLX
2025-01-21,159.99,1560639,CLX
2025-01-22,158.73,920676,CLX
2025-01-23,160.82,963470,CLX
2025-01-24,159.27,948488,CLX
2025-01-27,162.51,1244283,CLX
2025-01-28,159.5,1257126,CLX
2025-01-29,157.81,1041929,CLX
2025-01-30,160.45,1142472,CLX
2025-01-31,158.68,1765740,CLX
2025-02-03,159.78,2599883,CLX
2025-02-04,148.21,4660741,CLX
2025-02-05,145.95,2814446,CLX
2025-02-06,147.6,1615731,CLX
2025-02-07,148.42,1074034,CLX
2025-02-10,147.14,1466014,CLX
2025-02-11,148.36,1127051,CLX
2025-02-12,148.65,842707,CLX
2025-02-13,150.77,1146600,CLX
2025-02-14,147.92,1318094,CLX
