Date,close,vol,symbol
2024-09-06,220.5,2899331,CME
2024-09-09,218.54,2211093,CME
2024-09-10,218.48,2148670,CME
2024-09-11,218.59,3691434,CME
2024-09-12,217.3,2368626,CME
2024-09-13,216.99,2587260,CME
2024-09-16,218.53,1740148,CME
2024-09-17,218.18,1976862,CME
2024-09-18,216.3,1868495,CME
2024-09-19,214.76,2888671,CME
2024-09-20,213.16,2898629,CME
2024-09-23,215.86,1550584,CME
2024-09-24,218.16,2292279,CME
2024-09-25,217.52,1973727,CME
2024-09-26,218.47,2076295,CME
2024-09-27,218.3,1840225,CME
2024-09-30,220.65,1835837,CME
2024-10-01,225.28,2043429,CME
2024-10-02,223.57,2191723,CME
2024-10-03,224.27,1820134,CME
2024-10-04,224.43,1585768,CME
2024-10-07,221.73,3023063,CME
2024-10-08,221.68,2138388,CME
2024-10-09,221.46,1488878,CME
2024-10-10,221.25,958079,CME
2024-10-11,221.72,1123088,CME
2024-10-14,224.2,1429407,CME
2024-10-15,224.2,440,CME
2024-10-16,227.17,1248203,CME
2024-10-17,227.23,1816833,CME
2024-10-18,228.32,1203010,CME
2024-10-21,227.05,1138187,CME
2024-10-22,226.17,1933648,CME
2024-10-23,227.14,2044145,CME
2024-10-24,229.69,1360452,CME
2024-10-25,226.14,974728,CME
2024-10-28,228.12,1327357,CME
2024-10-29,227.09,1286162,CME
2024-10-30,227.26,1211316,CME
2024-10-31,225.36,1662999,CME
2024-11-01,223.61,1318587,CME
2024-11-04,223.08,1193268,CME
2024-11-05,225.19,1182956,CME
2024-11-06,221.17,3663325,CME
2024-11-07,222.04,1999485,CME
2024-11-08,225.66,1798000,CME
2024-11-11,225.93,1263917,CME
2024-11-12,226.31,1496424,CME
2024-11-13,228.14,1960002,CME
2024-11-14,223.42,1817088,CME
2024-11-15,225.28,2125179,CME
2024-11-18,227.56,1347238,CME
2024-11-19,229.66,1971885,CME
2024-11-20,228.0,2114027,CME
2024-11-21,226.56,1864641,CME
2024-11-22,229.04,3050367,CME
2024-11-25,229.37,3149002,CME
2024-11-26,234.39,2752881,CME
2024-11-27,237.33,2129150,CME
2024-11-29,238.0,1161320,CME
2024-12-02,235.61,2683734,CME
2024-12-03,240.73,3601081,CME
2024-12-04,243.0,5095970,CME
2024-12-05,246.02,3253004,CME
2024-12-06,239.38,3162626,CME
2024-12-09,236.72,2125370,CME
2024-12-10,239.19,2164665,CME
2024-12-11,234.3,3689291,CME
2024-12-12,235.95,1695837,CME
2024-12-13,237.19,1810833,CME
2024-12-16,235.92,1840993,CME
2024-12-17,235.99,1613059,CME
2024-12-18,237.08,2864960,CME
2024-12-19,236.82,2854306,CME
2024-12-20,238.53,3172716,CME
2024-12-23,238.01,1620098,CME
2024-12-24,239.47,478413,CME
2024-12-26,239.21,1174716,CME
2024-12-27,233.5,1384045,CME
2024-12-30,231.53,1224626,CME
2024-12-31,232.23,1041940,CME
2025-01-02,232.72,2246601,CME
2025-01-03,232.5,1597939,CME
2025-01-06,225.82,2297668,CME
2025-01-07,227.01,2121004,CME
2025-01-08,229.3,2002451,CME
2025-01-10,229.2,2739765,CME
2025-01-13,229.45,1650044,CME
2025-01-14,231.73,1427827,CME
2025-01-15,227.88,2703625,CME
2025-01-16,232.31,1572635,CME
2025-01-17,232.71,1908709,CME
2025-01-21,232.25,2041375,CME
2025-01-22,232.53,1684734,CME
2025-01-23,233.38,2396819,CME
2025-01-24,234.68,1644699,CME
2025-01-27,236.95,1941110,CME
2025-01-28,234.39,1468879,CME
2025-01-29,232.5,1640436,CME
2025-01-30,235.92,1586525,CME
2025-01-31,236.52,1981749,CME
2025-02-03,240.65,2536837,CME
2025-02-04,242.53,2056007,CME
2025-02-05,241.64,1421621,CME
2025-02-06,244.41,1446586,CME
2025-02-07,244.83,1096100,CME
2025-02-10,241.81,1717221,CME
2025-02-11,241.74,1359348,CME
2025-02-12,248.96,2575201,CME
2025-02-13,250.11,1683240,CME
2025-02-14,245.48,1444262,CME
2025-02-18,247.85,1316714,CME
2025-02-19,250.75,1171264,CME
2025-02-20,248.32,1248672,CME
2025-02-21,248.87,1769919,CME
2025-02-24,247.75,1205462,CME
2025-02-25,250.82,2131767,CME
2025-02-26,247.99,1941635,CME
2025-02-27,249.85,1461135,CME
2025-02-28,253.77,2157509,CME
2025-03-03,256.88,2640586,CME
2025-03-04,251.98,2301238,CME
2025-03-05,254.48,2363985,CME
2025-03-06,254.04,2247950,CME
2025-03-07,254.57,2698454,CME
2025-03-10,262.28,4407425,CME
2025-03-11,260.43,4312634,CME
2025-03-12,256.72,4086319,CME
2025-03-13,259.84,3286142,CME
2025-03-14,258.68,1935748,CME
2025-03-17,263.58,2453590,CME
2025-03-18,266.49,2770509,CME
2025-03-19,265.47,2878310,CME
2025-03-20,266.54,1990464,CME
2025-03-21,263.35,7238698,CME
2025-03-24,262.94,2131577,CME
2025-03-25,262.06,2584308,CME
2025-03-26,262.72,1909776,CME
2025-03-27,261.85,1892948,CME
2025-03-28,262.22,1736196,CME
2025-03-31,265.29,2414834,CME
2025-04-01,262.24,1972749,CME
2025-04-02,262.54,2064911,CME
2025-04-03,268.36,4242858,CME
2025-04-04,254.46,5819157,CME
2025-04-07,252.37,5472796,CME
2025-04-08,255.03,5514600,CME
2025-04-09,254.13,6336298,CME
2025-04-10,258.39,3013914,CME
2025-04-11,261.54,2756992,CME
2025-04-14,263.69,2373838,CME
2025-04-15,262.87,1567919,CME
2025-04-16,261.39,2380260,CME
2025-04-17,262.53,1796779,CME
2025-04-21,260.33,2493817,CME
2025-04-22,265.56,2744015,CME
2025-04-23,261.48,3476127,CME
2025-04-24,263.27,2632246,CME
2025-04-25,266.3,1709146,CME
2025-04-28,267.92,1778588,CME
2025-04-29,272.36,1770762,CME
2025-04-30,277.08,2122397,CME
2025-05-01,277.11,2048050,CME
2025-05-02,280.45,2245603,CME
2025-05-05,282.56,1510545,CME
2025-05-06,282.98,1888535,CME
2025-05-07,284.82,1411390,CME
2025-05-08,281.99,1620116,CME
2025-05-09,284.35,953432,CME
2025-05-12,270.47,4906436,CME
2025-05-13,268.34,3201184,CME
2025-05-14,266.28,2483203,CME
2025-05-15,274.0,2226243,CME
2025-05-16,276.29,1516121,CME
2025-05-19,277.94,1617982,CME
2025-05-20,277.87,1389202,CME
2025-05-21,281.74,2221647,CME
2025-05-22,282.0,1783298,CME
2025-05-23,284.07,2323476,CME
2025-05-27,284.36,1792868,CME
2025-05-28,285.98,2297669,CME
2025-05-29,285.87,1486176,CME
2025-05-30,289.0,4721409,CME
2025-06-02,290.71,2150245,CME
2025-06-03,282.31,2745688,CME
2025-06-04,277.88,1837438,CME
2025-06-05,274.9,1958168,CME
2025-06-06,274.24,1636081,CME
2025-06-09,268.35,3020224,CME
2025-06-10,266.1,2640428,CME
2025-06-11,269.65,2749171,CME
2025-06-12,270.96,2194303,CME
2025-06-13,269.5,1576361,CME
2025-06-16,267.51,3208615,CME
2025-06-17,269.7,1795638,CME
2025-06-18,272.1,2539458,CME
2025-06-20,273.99,10645719,CME
2025-06-23,272.66,2363239,CME
2025-06-24,271.38,2344663,CME
2025-06-25,273.03,1590089,CME
2025-06-26,272.83,2428805,CME
2025-06-27,274.76,2682059,CME
2025-06-30,275.62,2473291,CME
2025-07-01,275.42,2010485,CME
2025-07-02,275.82,2074834,CME
2025-07-03,276.7,1234017,CME
2025-07-07,282.55,2252337,CME
2025-07-08,275.63,3437329,CME
2025-07-09,275.64,2841501,CME
2025-07-10,275.19,1602141,CME
2025-07-11,275.08,1531718,CME
2025-07-14,277.06,1470399,CME
2025-07-15,275.0,1962092,CME
2025-07-16,277.53,2452478,CME
2025-07-17,277.82,2018961,CME
2025-07-18,274.7,2197282,CME
2025-07-21,275.0,1998831,CME
2025-07-22,274.64,2722729,CME
2025-07-23,276.48,2665714,CME
2025-07-24,277.18,2720653,CME
2025-07-25,279.55,1834739,CME
2025-07-28,274.12,2233374,CME
2025-07-29,274.6,2147380,CME
2025-07-30,277.74,1410980,CME
2025-07-31,278.28,1961655,CME
2025-08-01,280.76,3011141,CME
2025-08-04,287.1,1727065,CME
2025-08-05,284.61,1572082,CME
2025-08-06,281.35,1689089,CME
2025-08-07,280.95,1676006,CME
2025-08-08,282.21,1488494,CME
2025-08-11,285.75,1567703,CME
2025-08-12,275.88,2742623,CME
2025-08-13,273.92,2384299,CME
2025-08-14,274.7,1971004,CME
2025-08-15,273.92,2056519,CME
2025-08-18,270.41,2165008,CME
2025-08-19,271.49,1767472,CME
2025-08-20,274.61,1738747,CME
2025-08-21,273.32,1325711,CME
2025-08-22,269.52,1591625,CME
2025-08-25,271.39,1712588,CME
2025-08-26,271.61,3298737,CME
2025-08-27,270.12,1397578,CME
2025-08-28,266.77,1753278,CME
2025-08-29,266.51,1562764,CME
2025-09-02,265.4,2847387,CME
2025-09-03,269.35,2386544,CME
2025-09-04,267.43,1891518,CME
2025-09-05,261.94,1633878,CME
2025-09-08,262.58,1973612,CME
2025-09-09,261.53,1969176,CME
2025-09-10,259.91,1722289,CME
2025-09-11,262.38,1955418,CME
2025-09-12,262.3,1565494,CME
2025-09-15,258.83,1820572,CME
2025-09-16,259.83,1992690,CME
2025-09-17,262.4,1554029,CME
2025-09-18,260.59,1890265,CME
2025-09-19,261.53,3143886,CME
2025-09-22,261.08,1143280,CME
2025-09-23,261.96,1098835,CME
2025-09-24,264.43,1405244,CME
2025-09-25,268.73,2367103,CME
2025-09-26,270.28,1535145,CME
2025-09-29,272.24,1397539,CME
2025-09-30,270.19,2893744,CME
2025-10-01,265.84,2308905,CME
2025-10-02,265.43,1646328,CME
