Date,close,vol,symbol
2024-09-06,293.21,608819,CMI
2024-09-09,296.81,596288,CMI
2024-09-10,295.22,528277,CMI
2024-09-11,293.36,881306,CMI
2024-09-12,297.25,557344,CMI
2024-09-13,302.13,472885,CMI
2024-09-16,301.07,858354,CMI
2024-09-17,301.59,738999,CMI
2024-09-18,300.65,567426,CMI
2024-09-19,309.14,618791,CMI
2024-09-20,308.24,991530,CMI
2024-09-23,313.48,566663,CMI
2024-09-24,323.56,1043963,CMI
2024-09-25,317.5,705721,CMI
2024-09-26,324.62,991222,CMI
2024-09-27,326.4,553567,CMI
2024-09-30,323.79,565963,CMI
2024-10-01,326.28,803046,CMI
2024-10-02,325.05,383092,CMI
2024-10-03,327.35,541868,CMI
2024-10-04,331.74,691513,CMI
2024-10-07,331.71,408845,CMI
2024-10-08,329.61,609536,CMI
2024-10-09,333.05,405680,CMI
2024-10-10,332.85,446401,CMI
2024-10-11,336.07,412743,CMI
2024-10-14,338.37,442748,CMI
2024-10-15,338.37,26,CMI
2024-10-16,333.87,717489,CMI
2024-10-17,332.99,474249,CMI
2024-10-18,335.51,1534690,CMI
2024-10-21,333.63,465465,CMI
2024-10-22,330.7,571168,CMI
2024-10-23,329.97,389028,CMI
2024-10-24,332.48,476921,CMI
2024-10-25,329.17,604435,CMI
2024-10-28,334.66,588742,CMI
2024-10-29,331.14,337195,CMI
2024-10-30,331.84,514921,CMI
2024-10-31,328.98,642366,CMI
2024-11-01,328.51,387603,CMI
2024-11-04,325.62,690432,CMI
2024-11-05,354.46,1346519,CMI
2024-11-06,356.01,1155936,CMI
2024-11-07,354.72,631542,CMI
2024-11-08,356.46,735636,CMI
2024-11-11,358.43,529297,CMI
2024-11-12,355.08,474838,CMI
2024-11-13,366.34,960560,CMI
2024-11-14,363.73,625676,CMI
2024-11-15,361.85,536110,CMI
2024-11-18,364.02,476108,CMI
2024-11-19,361.86,419001,CMI
2024-11-20,360.95,488822,CMI
2024-11-21,368.86,514097,CMI
2024-11-22,372.62,409997,CMI
2024-11-25,375.27,737316,CMI
2024-11-26,377.39,400973,CMI
2024-11-27,371.03,549974,CMI
2024-11-29,375.04,362901,CMI
2024-12-02,377.3,563025,CMI
2024-12-03,375.74,465431,CMI
2024-12-04,378.33,511521,CMI
2024-12-05,378.57,787965,CMI
2024-12-06,379.6,752410,CMI
2024-12-09,383.42,1022133,CMI
2024-12-10,377.72,641554,CMI
2024-12-11,370.15,1329705,CMI
2024-12-12,370.57,537509,CMI
2024-12-13,367.51,675030,CMI
2024-12-16,366.97,676985,CMI
2024-12-17,361.23,623425,CMI
2024-12-18,350.69,643806,CMI
2024-12-19,349.7,667183,CMI
2024-12-20,351.38,2167868,CMI
2024-12-23,351.13,466952,CMI
2024-12-24,353.85,182493,CMI
2024-12-26,354.15,299085,CMI
2024-12-27,351.15,240311,CMI
2024-12-30,348.41,409269,CMI
2024-12-31,348.6,318031,CMI
2025-01-02,347.65,529559,CMI
2025-01-03,354.35,623410,CMI
2025-01-06,358.04,587001,CMI
2025-01-07,359.98,568118,CMI
2025-01-08,359.75,437818,CMI
2025-01-10,354.88,688528,CMI
2025-01-13,361.07,595810,CMI
2025-01-14,364.25,582896,CMI
2025-01-15,360.8,753461,CMI
2025-01-16,366.33,577493,CMI
2025-01-17,366.34,816200,CMI
2025-01-21,367.17,1038933,CMI
2025-01-22,366.0,1061672,CMI
2025-01-23,368.91,1046561,CMI
2025-01-24,367.62,614754,CMI
2025-01-27,348.84,1397060,CMI
2025-01-28,350.27,876171,CMI
2025-01-29,354.02,861102,CMI
2025-01-30,359.68,916029,CMI
2025-01-31,356.25,671368,CMI
2025-02-03,348.21,1270503,CMI
2025-02-04,363.51,2020768,CMI
2025-02-05,369.91,1232637,CMI
2025-02-06,369.15,750202,CMI
2025-02-07,371.86,907515,CMI
2025-02-10,373.9,925312,CMI
2025-02-11,372.55,580073,CMI
2025-02-12,364.55,634033,CMI
2025-02-13,369.32,521485,CMI
2025-02-14,373.78,802017,CMI
2025-02-18,379.13,838824,CMI
2025-02-19,386.07,944050,CMI
2025-02-20,384.39,641237,CMI
2025-02-21,366.92,802340,CMI
2025-02-24,360.47,850188,CMI
2025-02-25,361.05,1186925,CMI
2025-02-26,366.72,533864,CMI
2025-02-27,364.16,861833,CMI
2025-02-28,368.18,1139809,CMI
2025-03-03,355.97,625864,CMI
2025-03-04,347.32,856199,CMI
2025-03-05,347.32,1311524,CMI
2025-03-06,344.86,850380,CMI
2025-03-07,342.13,1399132,CMI
2025-03-10,334.24,1367385,CMI
2025-03-11,329.4,1606327,CMI
2025-03-12,330.71,1194064,CMI
2025-03-13,312.92,1573209,CMI
2025-03-14,321.7,927608,CMI
2025-03-17,326.15,709763,CMI
2025-03-18,322.55,1016222,CMI
2025-03-19,327.16,768093,CMI
2025-03-20,325.4,885938,CMI
2025-03-21,322.1,1244157,CMI
2025-03-24,331.08,775741,CMI
2025-03-25,330.87,669894,CMI
2025-03-26,328.02,562168,CMI
2025-03-27,323.44,843193,CMI
2025-03-28,314.02,727855,CMI
2025-03-31,313.44,1239174,CMI
2025-04-01,315.36,774658,CMI
2025-04-02,319.99,611115,CMI
2025-04-03,295.35,1594645,CMI
2025-04-04,277.62,1466041,CMI
2025-04-07,275.67,1903463,CMI
2025-04-08,267.12,1235665,CMI
2025-04-09,296.55,1426851,CMI
2025-04-10,281.75,1089640,CMI
2025-04-11,285.88,722757,CMI
2025-04-14,288.57,650644,CMI
2025-04-15,287.36,593996,CMI
2025-04-16,280.56,575502,CMI
2025-04-17,281.81,624085,CMI
2025-04-21,274.21,1086789,CMI
2025-04-22,279.11,1225581,CMI
2025-04-23,283.67,852793,CMI
2025-04-24,293.96,711241,CMI
2025-04-25,293.26,576464,CMI
2025-04-28,294.22,845196,CMI
2025-04-29,293.16,1148849,CMI
2025-04-30,293.84,783289,CMI
2025-05-01,294.88,584150,CMI
2025-05-02,299.85,1327518,CMI
2025-05-05,302.3,1745056,CMI
2025-05-06,298.34,694641,CMI
2025-05-07,297.94,828337,CMI
2025-05-08,306.41,790045,CMI
2025-05-09,306.71,512901,CMI
2025-05-12,330.59,1416683,CMI
2025-05-13,334.58,965394,CMI
2025-05-14,332.83,940244,CMI
2025-05-15,332.11,652262,CMI
2025-05-16,334.48,782985,CMI
2025-05-19,336.65,692464,CMI
2025-05-20,331.55,836045,CMI
2025-05-21,323.21,487236,CMI
2025-05-22,323.21,6545,CMI
2025-05-23,317.23,507753,CMI
2025-05-27,326.26,731054,CMI
2025-05-28,323.04,449447,CMI
2025-05-29,324.86,584483,CMI
2025-05-30,321.48,1489404,CMI
2025-06-02,317.24,809200,CMI
2025-06-03,324.47,875803,CMI
2025-06-04,322.83,533175,CMI
2025-06-05,323.12,550966,CMI
2025-06-06,326.57,523666,CMI
2025-06-09,325.68,546948,CMI
2025-06-10,326.99,367774,CMI
2025-06-11,323.58,543612,CMI
2025-06-12,324.74,503181,CMI
2025-06-13,319.53,554108,CMI
2025-06-16,322.31,547293,CMI
2025-06-17,314.8,619239,CMI
2025-06-18,314.99,701792,CMI
2025-06-20,314.26,1222166,CMI
2025-06-23,316.34,587755,CMI
2025-06-24,323.85,669084,CMI
2025-06-25,318.75,742853,CMI
2025-06-26,324.2,1003981,CMI
2025-06-27,325.72,911110,CMI
2025-06-30,327.5,878922,CMI
2025-07-01,329.62,912036,CMI
2025-07-02,333.44,755650,CMI
2025-07-03,331.83,549622,CMI
2025-07-07,327.85,747253,CMI
2025-07-08,330.75,891206,CMI
2025-07-09,334.6,987902,CMI
2025-07-10,340.03,985570,CMI
2025-07-11,338.82,632089,CMI
2025-07-14,340.22,653922,CMI
2025-07-15,341.94,1177799,CMI
2025-07-16,345.57,977303,CMI
2025-07-17,348.17,1130598,CMI
2025-07-18,350.4,915554,CMI
2025-07-21,344.62,1087420,CMI
2025-07-22,357.25,1453413,CMI
2025-07-23,361.98,1099128,CMI
2025-07-24,365.27,1124664,CMI
2025-07-25,369.52,697923,CMI
2025-07-28,370.7,805904,CMI
2025-07-29,366.34,1027028,CMI
2025-07-30,365.5,916766,CMI
2025-07-31,367.62,762690,CMI
2025-08-01,355.84,882046,CMI
2025-08-04,361.59,949634,CMI
2025-08-05,373.23,1898940,CMI
2025-08-06,381.68,1392923,CMI
2025-08-07,384.61,1275582,CMI
2025-08-08,387.03,932761,CMI
2025-08-11,388.31,839880,CMI
2025-08-12,399.06,774653,CMI
2025-08-13,406.8,983808,CMI
2025-08-14,404.8,1184273,CMI
2025-08-15,399.42,701354,CMI
2025-08-18,401.95,485762,CMI
2025-08-19,402.21,618265,CMI
2025-08-20,396.35,848098,CMI
2025-08-21,394.2,736515,CMI
2025-08-22,402.3,775240,CMI
2025-08-25,396.1,495646,CMI
2025-08-26,398.46,973499,CMI
2025-08-27,401.4,533066,CMI
2025-08-28,401.92,453730,CMI
2025-08-29,398.44,593469,CMI
2025-09-02,395.23,636167,CMI
2025-09-03,392.13,680568,CMI
2025-09-04,400.93,882701,CMI
2025-09-05,399.85,864186,CMI
2025-09-08,397.4,608004,CMI
2025-09-09,394.78,514195,CMI
2025-09-10,405.27,846347,CMI
2025-09-11,411.03,875556,CMI
2025-09-12,410.27,935933,CMI
2025-09-15,414.2,880959,CMI
2025-09-16,415.44,809559,CMI
2025-09-17,411.78,1047788,CMI
2025-09-18,426.39,1280150,CMI
2025-09-19,423.64,1594146,CMI
2025-09-22,424.85,749393,CMI
2025-09-23,424.16,818849,CMI
2025-09-24,417.98,1021693,CMI
2025-09-25,414.04,848512,CMI
2025-09-26,418.04,704822,CMI
2025-09-29,419.43,878151,CMI
2025-09-30,422.37,972866,CMI
2025-10-01,424.65,693963,CMI
2025-10-02,432.59,912716,CMI
