Date,close,vol,symbol
2024-09-06,33.37,10912321,CSX
2024-09-09,33.76,9874012,CSX
2024-09-10,33.51,9706990,CSX
2024-09-11,33.3,9594809,CSX
2024-09-12,33.45,14227794,CSX
2024-09-13,33.52,7680966,CSX
2024-09-16,33.81,8007078,CSX
2024-09-17,34.07,6839245,CSX
2024-09-18,34.05,8448965,CSX
2024-09-19,34.8,12031999,CSX
2024-09-20,34.93,31214838,CSX
2024-09-23,34.02,13003300,CSX
2024-09-24,34.14,10494024,CSX
2024-09-25,33.52,8278047,CSX
2024-09-26,33.9,8115896,CSX
2024-09-27,34.53,11446664,CSX
2024-09-30,34.53,9407632,CSX
2024-10-01,34.52,10638516,CSX
2024-10-02,34.17,7030869,CSX
2024-10-03,34.12,14237031,CSX
2024-10-04,34.49,10243425,CSX
2024-10-07,33.65,10763240,CSX
2024-10-08,33.87,9186604,CSX
2024-10-09,34.26,7715664,CSX
2024-10-10,34.53,6551867,CSX
2024-10-11,34.96,6766466,CSX
2024-10-14,35.29,11825365,CSX
2024-10-15,35.5,12259110,CSX
2024-10-16,35.47,17623952,CSX
2024-10-17,33.09,28487949,CSX
2024-10-18,34.12,21248587,CSX
2024-10-21,33.66,10142799,CSX
2024-10-22,33.85,11223535,CSX
2024-10-23,33.59,11925139,CSX
2024-10-24,33.1,15051441,CSX
2024-10-25,33.27,14067075,CSX
2024-10-28,33.26,8016599,CSX
2024-10-29,33.25,13083311,CSX
2024-10-30,33.54,11865099,CSX
2024-10-31,33.64,11551520,CSX
2024-11-01,33.39,11062324,CSX
2024-11-04,33.36,12458229,CSX
2024-11-05,34.02,7946394,CSX
2024-11-06,36.88,25958985,CSX
2024-11-07,35.56,22333167,CSX
2024-11-08,36.0,13095643,CSX
2024-11-11,36.52,10200252,CSX
2024-11-12,36.13,11421688,CSX
2024-11-13,36.48,8668103,CSX
2024-11-14,35.63,14939862,CSX
2024-11-15,35.13,10597925,CSX
2024-11-18,34.97,7652189,CSX
2024-11-19,34.6,10463107,CSX
2024-11-20,34.57,7939260,CSX
2024-11-21,35.34,12036181,CSX
2024-11-22,35.78,10783268,CSX
2024-11-25,36.62,13877198,CSX
2024-11-26,36.69,9605848,CSX
2024-11-27,36.58,6371091,CSX
2024-11-29,36.55,5129485,CSX
2024-12-02,36.34,12161452,CSX
2024-12-03,36.0,9960382,CSX
2024-12-04,35.3,17536096,CSX
2024-12-05,34.62,12745798,CSX
2024-12-06,34.45,10495004,CSX
2024-12-09,33.97,10630179,CSX
2024-12-10,34.17,11245280,CSX
2024-12-11,33.61,12464859,CSX
2024-12-12,33.68,9636026,CSX
2024-12-13,33.24,10139346,CSX
2024-12-16,32.94,12673018,CSX
2024-12-17,32.93,12487764,CSX
2024-12-18,32.08,15794335,CSX
2024-12-19,31.58,11038765,CSX
2024-12-20,31.85,20229187,CSX
2024-12-23,32.22,11998889,CSX
2024-12-24,32.57,4777567,CSX
2024-12-26,32.52,6745287,CSX
2024-12-27,32.46,10431568,CSX
2024-12-30,32.15,6599099,CSX
2024-12-31,32.27,8424323,CSX
2025-01-02,32.16,13997249,CSX
2025-01-03,32.34,17511793,CSX
2025-01-06,32.0,13509045,CSX
2025-01-07,32.19,12814180,CSX
2025-01-08,32.2,9682989,CSX
2025-01-10,31.78,13644243,CSX
2025-01-13,31.89,16634147,CSX
2025-01-14,32.14,12878378,CSX
2025-01-15,32.46,13694353,CSX
2025-01-16,32.97,21673557,CSX
2025-01-17,32.73,20685964,CSX
2025-01-21,33.27,9344359,CSX
2025-01-22,33.24,13745499,CSX
2025-01-23,33.67,17405681,CSX
2025-01-24,32.69,25130370,CSX
2025-01-27,33.64,20309253,CSX
2025-01-28,32.68,14548630,CSX
2025-01-29,32.98,16393999,CSX
2025-01-30,32.86,12090302,CSX
2025-01-31,32.87,21654194,CSX
2025-02-03,32.51,15172197,CSX
2025-02-04,32.87,12211899,CSX
2025-02-05,32.88,7455011,CSX
2025-02-06,32.74,6585105,CSX
2025-02-07,32.59,16936688,CSX
2025-02-10,33.08,9929040,CSX
2025-02-11,33.11,9177247,CSX
2025-02-12,32.92,7723101,CSX
2025-02-13,33.1,11026866,CSX
2025-02-14,33.37,10739949,CSX
2025-02-18,33.64,15001029,CSX
2025-02-19,32.41,13733090,CSX
2025-02-20,32.46,11703432,CSX
2025-02-21,32.3,23611917,CSX
2025-02-24,31.81,16202213,CSX
2025-02-25,32.09,13040862,CSX
2025-02-26,31.98,8666099,CSX
2025-02-27,32.01,9325478,CSX
2025-02-28,32.01,21083306,CSX
2025-03-03,31.93,11273019,CSX
2025-03-04,31.2,19833278,CSX
2025-03-05,30.92,21618388,CSX
2025-03-06,30.93,22952159,CSX
2025-03-07,31.26,19422398,CSX
2025-03-10,30.65,20051777,CSX
2025-03-11,29.52,15102240,CSX
2025-03-12,29.55,13936168,CSX
2025-03-13,29.13,16509034,CSX
2025-03-14,30.01,16382759,CSX
2025-03-17,30.33,9204350,CSX
2025-03-18,30.26,11511622,CSX
2025-03-19,30.07,12103581,CSX
2025-03-20,29.98,16138671,CSX
2025-03-21,29.57,25369608,CSX
2025-03-24,29.85,13230189,CSX
2025-03-25,29.53,10846995,CSX
2025-03-26,29.9,13968890,CSX
2025-03-27,29.92,10440741,CSX
2025-03-28,29.11,9596898,CSX
2025-03-31,29.43,23507120,CSX
2025-04-01,29.54,11174238,CSX
2025-04-02,29.74,9470286,CSX
2025-04-03,27.99,21170848,CSX
2025-04-04,27.21,26481153,CSX
2025-04-07,27.09,32102895,CSX
2025-04-08,26.69,22201116,CSX
2025-04-09,28.66,26939263,CSX
2025-04-10,27.82,16572317,CSX
2025-04-11,28.01,15001963,CSX
2025-04-14,28.27,17079735,CSX
2025-04-15,27.9,15163551,CSX
2025-04-16,27.35,25311463,CSX
2025-04-17,27.68,21437658,CSX
2025-04-21,27.46,28499453,CSX
2025-04-22,27.78,16208586,CSX
2025-04-23,27.59,15917932,CSX
2025-04-24,28.14,13572782,CSX
2025-04-25,27.84,14351477,CSX
2025-04-28,27.87,12632506,CSX
2025-04-29,28.05,9907327,CSX
2025-04-30,28.07,12723548,CSX
2025-05-01,28.11,13020861,CSX
2025-05-02,28.7,11526564,CSX
2025-05-05,28.47,9480956,CSX
2025-05-06,28.09,8753712,CSX
2025-05-07,28.37,11504064,CSX
2025-05-08,28.96,13770267,CSX
2025-05-09,28.74,9630192,CSX
2025-05-12,30.31,15707678,CSX
2025-05-13,30.54,16825346,CSX
2025-05-14,31.03,21883792,CSX
2025-05-15,31.3,15563370,CSX
2025-05-16,31.32,11394258,CSX
2025-05-19,31.21,10553640,CSX
2025-05-20,31.23,14966209,CSX
2025-05-21,30.49,13769291,CSX
2025-05-22,30.64,18430537,CSX
2025-05-23,30.82,21149214,CSX
2025-05-27,31.43,17934918,CSX
2025-05-28,31.34,13834454,CSX
2025-05-29,31.42,15013340,CSX
2025-05-30,31.59,22998720,CSX
2025-06-02,31.24,25167762,CSX
2025-06-03,31.86,18163200,CSX
2025-06-04,31.93,13669376,CSX
2025-06-05,31.74,11821446,CSX
2025-06-06,32.23,16163901,CSX
2025-06-09,31.98,14841693,CSX
2025-06-10,32.61,24562852,CSX
2025-06-11,32.32,12114177,CSX
2025-06-12,32.39,9380522,CSX
2025-06-13,32.12,9032825,CSX
2025-06-16,32.56,11703836,CSX
2025-06-17,32.12,12951509,CSX
2025-06-18,32.24,12808443,CSX
2025-06-20,32.06,31011224,CSX
2025-06-23,32.42,12350480,CSX
2025-06-24,32.48,12913898,CSX
2025-06-25,32.49,11235069,CSX
2025-06-26,32.57,12448041,CSX
2025-06-27,32.91,20445474,CSX
2025-06-30,32.63,12112571,CSX
2025-07-01,33.47,12863090,CSX
2025-07-02,33.61,8596867,CSX
2025-07-03,33.6,5638784,CSX
2025-07-07,33.05,11868849,CSX
2025-07-08,33.39,11249678,CSX
2025-07-09,33.33,9174756,CSX
