Date,close,vol,symbol
2024-09-06,138.56,7836358,CVX
2024-09-09,140.3,9892347,CVX
2024-09-10,138.23,8202480,CVX
2024-09-11,137.88,9534010,CVX
2024-09-12,139.21,6593436,CVX
2024-09-13,140.61,5900747,CVX
2024-09-16,142.09,6864275,CVX
2024-09-17,143.41,7338782,CVX
2024-09-18,143.96,6180252,CVX
2024-09-19,144.99,7247416,CVX
2024-09-20,145.68,23162864,CVX
2024-09-23,147.54,6960639,CVX
2024-09-24,147.45,6014208,CVX
2024-09-25,143.97,7888444,CVX
2024-09-26,141.99,8046171,CVX
2024-09-27,145.49,8049155,CVX
2024-09-30,147.27,7494608,CVX
2024-10-01,149.7,9489121,CVX
2024-10-02,150.95,8105420,CVX
2024-10-03,151.25,6553282,CVX
2024-10-04,150.74,7895285,CVX
2024-10-07,151.12,5895852,CVX
2024-10-08,148.75,5892739,CVX
2024-10-09,149.65,4973453,CVX
2024-10-10,150.62,4420891,CVX
2024-10-11,151.42,5051314,CVX
2024-10-14,151.78,4214721,CVX
2024-10-15,151.78,182569,CVX
2024-10-16,148.73,4303737,CVX
2024-10-17,151.2,6593136,CVX
2024-10-18,150.75,5208202,CVX
2024-10-21,150.88,5073999,CVX
2024-10-22,150.92,4416409,CVX
2024-10-23,150.48,5248853,CVX
2024-10-24,150.45,5474258,CVX
2024-10-25,150.81,6839894,CVX
2024-10-28,150.54,8892039,CVX
2024-10-29,148.52,6014676,CVX
2024-10-30,148.05,5784011,CVX
2024-10-31,148.82,8400855,CVX
2024-11-01,153.07,11727977,CVX
2024-11-04,153.97,6129961,CVX
2024-11-05,153.41,5978897,CVX
2024-11-06,157.72,12118908,CVX
2024-11-07,156.77,8143245,CVX
2024-11-08,156.93,6041457,CVX
2024-11-11,156.5,7771691,CVX
2024-11-12,155.29,5681869,CVX
2024-11-13,158.72,8824013,CVX
2024-11-14,161.8,10111234,CVX
2024-11-15,161.42,9022753,CVX
2024-11-18,160.76,6092141,CVX
2024-11-19,159.6,4657409,CVX
2024-11-20,161.33,6391252,CVX
2024-11-21,161.63,7945531,CVX
2024-11-22,162.36,7006293,CVX
2024-11-25,160.36,10702395,CVX
2024-11-26,162.53,7369944,CVX
2024-11-27,162.11,7674474,CVX
2024-11-29,161.93,5076953,CVX
2024-12-02,162.21,6229596,CVX
2024-12-03,161.92,5900066,CVX
2024-12-04,158.32,7862728,CVX
2024-12-05,159.33,6358358,CVX
2024-12-06,155.24,9701694,CVX
2024-12-09,157.08,9404473,CVX
2024-12-10,157.0,9126158,CVX
2024-12-11,156.21,13764742,CVX
2024-12-12,154.71,7621522,CVX
2024-12-13,153.87,5816180,CVX
2024-12-16,149.36,11961219,CVX
2024-12-17,148.11,11909333,CVX
2024-12-18,144.08,10174494,CVX
2024-12-19,141.15,16544329,CVX
2024-12-20,142.85,32209195,CVX
2024-12-23,142.97,8156466,CVX
2024-12-24,143.84,3556081,CVX
2024-12-26,143.98,4494424,CVX
2024-12-27,144.0,5296875,CVX
2024-12-30,143.07,6194835,CVX
2024-12-31,144.84,6137843,CVX
2025-01-02,146.71,7170257,CVX
2025-01-03,147.85,5813935,CVX
2025-01-06,147.26,5888731,CVX
2025-01-07,149.59,7735997,CVX
2025-01-08,150.3,7640885,CVX
2025-01-10,153.14,11074716,CVX
2025-01-13,155.35,11774073,CVX
2025-01-14,156.9,6830219,CVX
2025-01-15,158.33,7899997,CVX
2025-01-16,159.38,5578902,CVX
2025-01-17,161.47,9260428,CVX
2025-01-21,158.24,10131372,CVX
2025-01-22,156.41,7232227,CVX
2025-01-23,156.01,5979808,CVX
2025-01-24,155.65,8003778,CVX
2025-01-27,157.23,7140991,CVX
2025-01-28,156.21,6425353,CVX
2025-01-29,155.69,5630563,CVX
2025-01-30,156.32,6931918,CVX
2025-01-31,149.19,16731592,CVX
2025-02-03,149.34,7604961,CVX
2025-02-04,153.22,8458070,CVX
2025-02-05,152.99,6533680,CVX
2025-02-06,151.9,6420525,CVX
2025-02-07,152.62,4724947,CVX
2025-02-10,155.77,5653770,CVX
2025-02-11,157.44,6011842,CVX
2025-02-12,154.9,6693461,CVX
2025-02-13,155.88,7836362,CVX
2025-02-14,155.34,5828805,CVX
2025-02-18,156.16,5981480,CVX
2025-02-19,157.23,4945813,CVX
2025-02-20,158.79,6256154,CVX
2025-02-21,156.92,6689815,CVX
2025-02-24,157.89,5925047,CVX
2025-02-25,156.42,6811293,CVX
2025-02-26,155.14,6005232,CVX
2025-02-27,156.67,7517237,CVX
2025-02-28,158.62,8828547,CVX
2025-03-03,153.09,9059814,CVX
2025-03-04,152.0,8826344,CVX
2025-03-05,150.81,9288538,CVX
2025-03-06,152.95,7314687,CVX
2025-03-07,156.34,8562635,CVX
2025-03-10,157.57,11750302,CVX
2025-03-11,154.08,10466294,CVX
2025-03-12,152.67,9710223,CVX
2025-03-13,153.61,9022758,CVX
2025-03-14,157.02,6671549,CVX
2025-03-17,158.72,7615153,CVX
2025-03-18,160.81,9289469,CVX
2025-03-19,164.05,11503859,CVX
2025-03-20,164.77,9545886,CVX
2025-03-21,164.75,21625460,CVX
2025-03-24,165.02,8068002,CVX
2025-03-25,165.94,7869159,CVX
2025-03-26,167.97,10077764,CVX
2025-03-27,166.65,6862691,CVX
2025-03-28,166.09,4923025,CVX
2025-03-31,167.29,10675731,CVX
2025-04-01,168.51,6378587,CVX
2025-04-02,166.47,7044869,CVX
2025-04-03,156.12,15500988,CVX
2025-04-04,143.28,20374716,CVX
2025-04-07,140.15,17816954,CVX
2025-04-08,136.93,12904424,CVX
2025-04-09,146.03,16846839,CVX
2025-04-10,134.98,20991216,CVX
2025-04-11,135.63,17224405,CVX
2025-04-14,135.32,9628152,CVX
2025-04-15,134.54,9334825,CVX
2025-04-16,135.36,8637220,CVX
2025-04-17,137.87,8434434,CVX
2025-04-21,133.73,9967487,CVX
2025-04-22,137.3,7984676,CVX
2025-04-23,136.68,10001966,CVX
2025-04-24,139.07,7745778,CVX
2025-04-25,138.73,6878491,CVX
2025-04-28,140.1,6715539,CVX
2025-04-29,139.3,7343820,CVX
2025-04-30,136.06,13858040,CVX
2025-05-01,136.26,10199849,CVX
2025-05-02,138.5,12393235,CVX
2025-05-05,135.5,9664980,CVX
2025-05-06,135.6,9916241,CVX
2025-05-07,135.79,8423485,CVX
