Date,close,vol,symbol
2024-09-06,57.11,2582535,D
2024-09-09,57.37,4087550,D
2024-09-10,57.71,2789095,D
2024-09-11,57.23,4236327,D
2024-09-12,57.18,3121785,D
2024-09-13,58.16,2986603,D
2024-09-16,58.53,3284005,D
2024-09-17,58.35,3504475,D
2024-09-18,57.41,2980641,D
2024-09-19,57.48,4107476,D
2024-09-20,57.93,9329876,D
2024-09-23,57.86,4276765,D
2024-09-24,57.02,5644380,D
2024-09-25,57.22,5106000,D
2024-09-26,57.13,4702783,D
2024-09-27,57.16,3656185,D
2024-09-30,57.79,3564671,D
2024-10-01,58.24,4088314,D
2024-10-02,58.36,2125137,D
2024-10-03,58.08,2216322,D
2024-10-04,58.23,2459670,D
2024-10-07,57.09,2467193,D
2024-10-08,56.81,3150531,D
2024-10-09,56.38,2736230,D
2024-10-10,55.49,5511169,D
2024-10-11,56.22,3479279,D
2024-10-14,56.93,3353762,D
2024-10-15,57.61,3086858,D
2024-10-16,60.55,8468419,D
2024-10-17,59.74,4926394,D
2024-10-18,59.92,4053132,D
2024-10-21,60.03,3522025,D
2024-10-22,60.0,4221632,D
2024-10-23,60.93,2643083,D
2024-10-24,60.77,2591538,D
2024-10-25,59.58,3200543,D
2024-10-28,60.12,2929252,D
2024-10-29,58.62,4938896,D
2024-10-30,58.45,4086180,D
2024-10-31,59.53,5970384,D
2024-11-01,58.99,8602553,D
2024-11-04,57.62,6337703,D
2024-11-05,58.59,3813065,D
2024-11-06,57.07,5772197,D
2024-11-07,56.63,5971873,D
2024-11-08,57.79,5554525,D
2024-11-11,58.15,2883995,D
2024-11-12,57.03,4992925,D
2024-11-13,56.58,6499779,D
2024-11-14,56.19,4822374,D
2024-11-15,57.63,5808408,D
2024-11-18,57.71,4293395,D
2024-11-19,57.59,4564352,D
2024-11-20,57.8,2633056,D
2024-11-21,58.37,3871872,D
2024-11-22,58.14,4785161,D
2024-11-25,58.53,5579021,D
2024-11-26,59.12,4577033,D
2024-11-27,59.7,5401078,D
2024-11-29,58.75,2553321,D
2024-12-02,57.34,5658748,D
2024-12-03,56.67,8405833,D
2024-12-04,56.36,4593656,D
2024-12-05,56.91,5964060,D
2024-12-06,56.05,3453929,D
2024-12-09,55.59,6352622,D
2024-12-10,55.01,5099083,D
2024-12-11,54.27,4155426,D
2024-12-12,53.83,6079943,D
2024-12-13,54.04,2985389,D
2024-12-16,53.53,3427111,D
2024-12-17,53.59,3513217,D
2024-12-18,52.63,5895918,D
2024-12-19,52.99,4216089,D
2024-12-20,53.66,8702811,D
2024-12-23,53.68,4063266,D
2024-12-24,53.77,1329385,D
2024-12-26,53.71,1835264,D
2024-12-27,53.93,2932353,D
2024-12-30,53.87,3202195,D
2024-12-31,53.86,2714940,D
2025-01-02,54.4,3683404,D
2025-01-03,54.73,3366676,D
2025-01-06,53.66,3748830,D
2025-01-07,54.03,3865349,D
2025-01-08,54.6,4430456,D
2025-01-10,53.39,4196478,D
2025-01-13,53.46,3972509,D
