Date,close,vol,symbol
2024-09-06,175.38,1175621,DOV
2024-09-09,178.89,861219,DOV
2024-09-10,181.45,831194,DOV
2024-09-11,183.16,1205200,DOV
2024-09-12,186.68,907295,DOV
2024-09-13,185.06,1185166,DOV
2024-09-16,186.77,1033789,DOV
2024-09-17,188.35,991073,DOV
2024-09-18,185.93,1265694,DOV
2024-09-19,191.18,1090223,DOV
2024-09-20,189.12,1622279,DOV
2024-09-23,191.03,643982,DOV
2024-09-24,192.63,585673,DOV
2024-09-25,190.22,571164,DOV
2024-09-26,193.03,945529,DOV
2024-09-27,192.78,636686,DOV
2024-09-30,191.74,521938,DOV
2024-10-01,190.41,557703,DOV
2024-10-02,190.27,1032387,DOV
2024-10-03,189.64,699523,DOV
2024-10-04,188.91,778679,DOV
2024-10-07,187.53,800144,DOV
2024-10-08,187.16,876439,DOV
2024-10-09,186.08,1330117,DOV
2024-10-10,186.62,1857132,DOV
2024-10-11,190.69,1497520,DOV
2024-10-14,193.73,908638,DOV
2024-10-15,191.28,585260,DOV
2024-10-16,192.79,750295,DOV
2024-10-17,194.88,879221,DOV
2024-10-18,194.38,985543,DOV
2024-10-21,192.74,601947,DOV
2024-10-22,191.4,754423,DOV
2024-10-23,191.68,1037385,DOV
2024-10-24,184.78,2620522,DOV
2024-10-25,186.98,1238472,DOV
2024-10-28,192.46,1385267,DOV
2024-10-29,191.84,830695,DOV
2024-10-30,192.99,889184,DOV
2024-10-31,189.33,881698,DOV
2024-11-01,189.11,606480,DOV
2024-11-04,189.16,523373,DOV
2024-11-05,192.15,486748,DOV
2024-11-06,202.56,1251997,DOV
2024-11-07,201.76,749598,DOV
2024-11-08,201.5,993284,DOV
2024-11-11,204.58,526223,DOV
2024-11-12,202.35,501400,DOV
2024-11-13,203.99,533175,DOV
2024-11-14,202.09,494867,DOV
2024-11-15,201.18,678654,DOV
2024-11-18,200.53,613858,DOV
2024-11-19,198.73,761371,DOV
2024-11-20,198.13,699312,DOV
2024-11-21,202.49,718627,DOV
2024-11-22,204.74,598595,DOV
2024-11-25,205.56,1163287,DOV
2024-11-26,206.34,752390,DOV
2024-11-27,206.51,475361,DOV
2024-11-29,205.9,304499,DOV
2024-12-02,204.7,541387,DOV
2024-12-03,203.77,653255,DOV
2024-12-04,203.28,462034,DOV
2024-12-05,201.78,495693,DOV
2024-12-06,201.46,378101,DOV
2024-12-09,201.74,475502,DOV
2024-12-10,201.31,903806,DOV
2024-12-11,201.2,513957,DOV
2024-12-12,201.36,566340,DOV
2024-12-13,201.01,687308,DOV
2024-12-16,199.75,594889,DOV
2024-12-17,196.54,885648,DOV
2024-12-18,188.81,765301,DOV
2024-12-19,188.94,893329,DOV
2024-12-20,189.27,2381268,DOV
2024-12-23,188.81,610995,DOV
2024-12-24,190.33,215467,DOV
2024-12-26,190.91,299059,DOV
2024-12-27,188.33,457439,DOV
2024-12-30,186.32,704836,DOV
2024-12-31,187.6,901796,DOV
2025-01-02,185.64,651818,DOV
2025-01-03,188.03,404519,DOV
2025-01-06,188.03,453637,DOV
2025-01-07,187.98,692532,DOV
2025-01-08,187.22,653162,DOV
2025-01-10,183.64,1072136,DOV
2025-01-13,186.75,1275265,DOV
2025-01-14,188.8,847917,DOV
2025-01-15,190.74,843415,DOV
2025-01-16,194.48,772490,DOV
2025-01-17,195.08,799295,DOV
2025-01-21,198.41,1017495,DOV
2025-01-22,198.81,754145,DOV
2025-01-23,199.15,515497,DOV
2025-01-24,198.71,590313,DOV
2025-01-27,195.94,782185,DOV
2025-01-28,198.08,1096145,DOV
2025-01-29,197.36,1157191,DOV
2025-01-30,205.42,1871255,DOV
2025-01-31,203.68,2050261,DOV
2025-02-03,202.28,1034511,DOV
2025-02-04,202.92,842495,DOV
2025-02-05,204.73,897273,DOV
2025-02-06,204.66,575442,DOV
2025-02-07,202.54,619370,DOV
2025-02-10,203.54,654517,DOV
2025-02-11,202.64,441624,DOV
2025-02-12,201.06,735202,DOV
2025-02-13,202.69,552098,DOV
2025-02-14,202.33,571534,DOV
2025-02-18,205.36,825906,DOV
2025-02-19,204.88,783469,DOV
2025-02-20,206.43,1111314,DOV
2025-02-21,200.54,1214509,DOV
2025-02-24,199.46,941692,DOV
2025-02-25,198.36,987345,DOV
2025-02-26,197.68,513925,DOV
2025-02-27,196.51,559515,DOV
2025-02-28,198.77,935132,DOV
2025-03-03,193.29,728507,DOV
2025-03-04,184.06,1692720,DOV
2025-03-05,189.73,1113949,DOV
2025-03-06,186.02,1275026,DOV
2025-03-07,185.64,1657468,DOV
2025-03-10,177.74,1609165,DOV
2025-03-11,180.77,1934877,DOV
2025-03-12,181.75,1284943,DOV
2025-03-13,177.09,1225796,DOV
2025-03-14,181.14,1002990,DOV
2025-03-17,182.96,964520,DOV
2025-03-18,180.78,724353,DOV
2025-03-19,182.27,746814,DOV
2025-03-20,181.3,835328,DOV
2025-03-21,179.64,1244365,DOV
2025-03-24,185.51,773793,DOV
2025-03-25,185.74,757288,DOV
2025-03-26,182.25,1020873,DOV
2025-03-27,179.15,779424,DOV
2025-03-28,174.65,608953,DOV
2025-03-31,175.68,1332274,DOV
2025-04-01,176.47,877639,DOV
2025-04-02,179.02,870686,DOV
2025-04-03,162.73,1320729,DOV
2025-04-04,153.55,1608089,DOV
2025-04-07,151.47,2441989,DOV
2025-04-08,151.14,1465787,DOV
2025-04-09,165.86,3360496,DOV
2025-04-10,159.56,1461662,DOV
2025-04-11,162.11,1590197,DOV
2025-04-14,163.66,1254748,DOV
2025-04-15,163.28,698150,DOV
2025-04-16,161.96,1220023,DOV
2025-04-17,161.08,3019094,DOV
2025-04-21,158.02,1111514,DOV
2025-04-22,163.56,1438609,DOV
2025-04-23,166.35,2070253,DOV
2025-04-24,169.72,2581949,DOV
2025-04-25,169.01,1122967,DOV
2025-04-28,170.33,1071561,DOV
2025-04-29,170.22,1508148,DOV
2025-04-30,170.65,1481830,DOV
2025-05-01,169.81,1270132,DOV
2025-05-02,173.87,1408894,DOV
2025-05-05,173.02,721954,DOV
2025-05-06,170.71,700144,DOV
2025-05-07,171.46,911582,DOV
2025-05-08,174.68,892609,DOV
2025-05-09,176.16,1351261,DOV
2025-05-12,183.59,1152214,DOV
2025-05-13,185.59,876923,DOV
2025-05-14,184.68,792622,DOV
2025-05-15,184.35,493256,DOV
2025-05-16,186.7,656295,DOV
2025-05-19,186.41,689475,DOV
2025-05-20,184.27,1098944,DOV
2025-05-21,178.92,1533251,DOV
2025-05-22,178.92,10899,DOV
2025-05-23,177.89,1170166,DOV
2025-05-27,181.56,1058056,DOV
2025-05-28,179.54,537610,DOV
2025-05-29,179.68,735100,DOV
2025-05-30,177.75,1483842,DOV
2025-06-02,176.08,674072,DOV
2025-06-03,177.97,977418,DOV
2025-06-04,177.66,664026,DOV
2025-06-05,177.24,887722,DOV
2025-06-06,179.45,890168,DOV
2025-06-09,180.73,833338,DOV
2025-06-10,181.28,749467,DOV
2025-06-11,179.14,881756,DOV
2025-06-12,178.78,768722,DOV
2025-06-13,176.54,898546,DOV
2025-06-16,179.75,735542,DOV
2025-06-17,176.08,804746,DOV
2025-06-18,175.7,1090711,DOV
2025-06-20,174.88,2230871,DOV
2025-06-23,177.53,841318,DOV
2025-06-24,179.94,1037878,DOV
2025-06-25,180.05,700887,DOV
2025-06-26,183.04,729741,DOV
2025-06-27,183.3,1179681,DOV
2025-06-30,183.23,950390,DOV
2025-07-01,186.16,912526,DOV
2025-07-02,188.15,779166,DOV
2025-07-03,188.63,488787,DOV
2025-07-07,187.37,1069523,DOV
2025-07-08,188.43,892843,DOV
2025-07-09,188.22,859780,DOV
2025-07-10,190.52,657825,DOV
2025-07-11,188.94,730008,DOV
2025-07-14,188.9,1925256,DOV
2025-07-15,187.07,971756,DOV
2025-07-16,187.84,805629,DOV
2025-07-17,190.59,880095,DOV
2025-07-18,188.24,2574041,DOV
2025-07-21,186.98,1169525,DOV
2025-07-22,189.54,859121,DOV
2025-07-23,190.9,1087402,DOV
2025-07-24,186.63,2770310,DOV
2025-07-25,186.5,1579895,DOV
2025-07-28,184.93,1105385,DOV
2025-07-29,184.05,955649,DOV
2025-07-30,182.22,1120180,DOV
2025-07-31,181.14,1213028,DOV
2025-08-01,174.97,1540733,DOV
2025-08-04,176.1,1043895,DOV
2025-08-05,177.18,1085346,DOV
2025-08-06,174.3,1285725,DOV
2025-08-07,173.97,721026,DOV
2025-08-08,173.52,608878,DOV
2025-08-11,175.29,1334023,DOV
2025-08-12,177.99,901645,DOV
2025-08-13,182.83,1119363,DOV
2025-08-14,179.4,772194,DOV
2025-08-15,176.54,620612,DOV
2025-08-18,177.15,555811,DOV
2025-08-19,179.71,1379176,DOV
2025-08-20,178.74,881054,DOV
2025-08-21,177.41,841925,DOV
2025-08-22,183.07,1059362,DOV
2025-08-25,180.51,514327,DOV
2025-08-26,182.21,1566049,DOV
2025-08-27,182.71,546320,DOV
2025-08-28,181.59,570373,DOV
2025-08-29,178.86,496970,DOV
2025-09-02,175.77,955424,DOV
2025-09-03,174.73,724203,DOV
2025-09-04,178.36,771559,DOV
2025-09-05,177.75,1047588,DOV
2025-09-08,178.0,1136113,DOV
2025-09-09,174.68,764701,DOV
2025-09-10,175.64,882255,DOV
2025-09-11,178.1,1031799,DOV
2025-09-12,172.98,1133214,DOV
