Date,close,vol,symbol
2024-09-06,116.6,3482508,DUK
2024-09-09,117.16,2829822,DUK
2024-09-10,116.93,2594220,DUK
2024-09-11,116.2,3667419,DUK
2024-09-12,115.97,2390288,DUK
2024-09-13,117.31,2311011,DUK
2024-09-16,117.7,2212044,DUK
2024-09-17,116.73,2251567,DUK
2024-09-18,115.88,2265346,DUK
2024-09-19,115.14,3952341,DUK
2024-09-20,116.37,6277016,DUK
2024-09-23,117.31,2332581,DUK
2024-09-24,115.98,2925377,DUK
2024-09-25,116.21,3496737,DUK
2024-09-26,115.17,3425688,DUK
2024-09-27,115.97,3523061,DUK
2024-09-30,115.3,5539445,DUK
2024-10-01,116.22,3729704,DUK
2024-10-02,116.68,3360242,DUK
2024-10-03,115.76,3856686,DUK
2024-10-04,114.05,3513136,DUK
2024-10-07,110.23,5955048,DUK
2024-10-08,110.67,4810712,DUK
2024-10-09,111.32,3601725,DUK
2024-10-10,113.12,6301598,DUK
2024-10-11,114.17,3406690,DUK
2024-10-14,115.09,2807122,DUK
2024-10-15,117.12,2863263,DUK
2024-10-16,119.78,4776842,DUK
2024-10-17,120.58,4589986,DUK
2024-10-18,120.76,3562383,DUK
2024-10-21,119.89,2703253,DUK
2024-10-22,119.88,2876964,DUK
2024-10-23,120.57,2286423,DUK
2024-10-24,119.02,2283697,DUK
2024-10-25,117.21,2406324,DUK
2024-10-28,117.06,2214402,DUK
2024-10-29,114.41,3478801,DUK
2024-10-30,114.0,2480010,DUK
2024-10-31,115.27,3835838,DUK
2024-11-01,112.68,3713148,DUK
2024-11-04,112.52,3050059,DUK
2024-11-05,114.08,2558490,DUK
2024-11-06,113.63,4236687,DUK
2024-11-07,111.08,5593517,DUK
2024-11-08,113.23,3788549,DUK
2024-11-11,112.46,3243669,DUK
2024-11-12,111.88,2876860,DUK
2024-11-13,111.31,2192999,DUK
2024-11-14,110.68,3685835,DUK
2024-11-15,112.17,3868001,DUK
2024-11-18,113.54,5031108,DUK
2024-11-19,113.58,3862381,DUK
2024-11-20,113.74,2325529,DUK
2024-11-21,114.86,3095291,DUK
2024-11-22,114.7,2008848,DUK
2024-11-25,115.0,4163088,DUK
2024-11-26,117.04,2850695,DUK
2024-11-27,117.42,2221854,DUK
2024-11-29,117.05,1899450,DUK
2024-12-02,115.18,3430209,DUK
2024-12-03,113.64,2440577,DUK
2024-12-04,113.28,2219241,DUK
2024-12-05,114.01,2178872,DUK
2024-12-06,112.1,2808968,DUK
2024-12-09,111.86,2573886,DUK
2024-12-10,111.11,2941715,DUK
2024-12-11,109.59,3820846,DUK
2024-12-12,109.16,3087590,DUK
2024-12-13,108.82,5141188,DUK
2024-12-16,107.44,5673921,DUK
2024-12-17,107.89,2784951,DUK
2024-12-18,105.76,4714008,DUK
2024-12-19,107.08,4237650,DUK
2024-12-20,108.28,6044523,DUK
2024-12-23,108.56,2757398,DUK
2024-12-24,108.97,991924,DUK
2024-12-26,108.31,2914676,DUK
2024-12-27,108.34,2127272,DUK
2024-12-30,107.71,2217287,DUK
2024-12-31,107.74,2987454,DUK
2025-01-02,107.82,2865548,DUK
2025-01-03,107.78,2299376,DUK
2025-01-06,106.37,4358676,DUK
2025-01-07,106.81,2976392,DUK
2025-01-08,108.23,3209462,DUK
2025-01-10,105.87,2998165,DUK
2025-01-13,106.14,2387914,DUK
2025-01-14,106.85,2866270,DUK
2025-01-15,106.45,3791797,DUK
2025-01-16,109.06,2899141,DUK
2025-01-17,109.26,2928407,DUK
2025-01-21,110.77,3144239,DUK
2025-01-22,108.82,4276877,DUK
2025-01-23,109.34,2612827,DUK
2025-01-24,109.86,2695309,DUK
2025-01-27,112.62,3585222,DUK
2025-01-28,111.31,3664805,DUK
2025-01-29,110.62,2744228,DUK
2025-01-30,112.26,2204828,DUK
2025-01-31,111.99,3538011,DUK
2025-02-03,113.2,4830239,DUK
2025-02-04,112.43,2087911,DUK
2025-02-05,113.86,4858590,DUK
2025-02-06,114.52,2593314,DUK
2025-02-07,114.99,3476873,DUK
2025-02-10,115.6,2606811,DUK
2025-02-11,116.69,2404801,DUK
2025-02-12,116.37,4149937,DUK
2025-02-13,113.95,5658505,DUK
2025-02-14,111.6,3581632,DUK
