Date,close,vol,symbol
2024-09-06,22.97,78163,EBF
2024-09-09,22.8,77553,EBF
2024-09-10,23.06,84816,EBF
2024-09-11,22.77,78884,EBF
2024-09-12,23.09,65408,EBF
2024-09-13,23.59,80894,EBF
2024-09-16,23.47,78163,EBF
2024-09-17,23.32,84146,EBF
2024-09-18,24.04,121606,EBF
2024-09-19,24.24,201766,EBF
2024-09-20,23.96,520707,EBF
2024-09-23,24.64,191743,EBF
2024-09-24,25.25,262212,EBF
2024-09-25,24.13,202528,EBF
2024-09-26,23.78,173897,EBF
2024-09-27,23.78,187780,EBF
2024-09-30,24.32,154184,EBF
2024-10-01,24.48,139564,EBF
2024-10-02,23.75,310034,EBF
2024-10-03,23.87,162318,EBF
2024-10-04,24.31,144494,EBF
2024-10-07,24.55,280106,EBF
2024-10-08,23.98,227016,EBF
2024-10-09,24.21,174670,EBF
2024-10-10,24.11,1555981,EBF
2024-10-11,20.43,369949,EBF
2024-10-14,20.58,771510,EBF
2024-10-15,21.07,280585,EBF
2024-10-16,21.38,175569,EBF
2024-10-17,21.24,162862,EBF
2024-10-18,20.85,141796,EBF
2024-10-21,20.69,162079,EBF
2024-10-22,20.61,150743,EBF
2024-10-23,20.8,204058,EBF
2024-10-24,20.75,102324,EBF
2024-10-25,20.51,129602,EBF
2024-10-28,20.6,106468,EBF
2024-10-29,20.61,139048,EBF
2024-10-30,20.43,128924,EBF
2024-10-31,20.36,125384,EBF
2024-11-01,20.24,154126,EBF
2024-11-04,20.19,138734,EBF
2024-11-05,20.47,106341,EBF
2024-11-06,21.63,217113,EBF
2024-11-07,22.06,256936,EBF
2024-11-08,22.09,200976,EBF
2024-11-11,22.12,172204,EBF
2024-11-12,21.72,144275,EBF
2024-11-13,21.71,81870,EBF
2024-11-14,21.55,137977,EBF
2024-11-15,21.22,87280,EBF
2024-11-18,21.06,87890,EBF
2024-11-19,20.86,126867,EBF
2024-11-20,20.68,92141,EBF
2024-11-21,20.76,224048,EBF
2024-11-22,20.96,136772,EBF
2024-11-25,21.15,130463,EBF
2024-11-26,21.33,122520,EBF
2024-11-27,21.24,84417,EBF
2024-11-29,21.33,50935,EBF
2024-12-02,21.37,97277,EBF
2024-12-03,21.31,72954,EBF
2024-12-04,21.29,106602,EBF
2024-12-05,21.33,111293,EBF
2024-12-06,21.16,66527,EBF
2024-12-09,21.28,84667,EBF
2024-12-10,21.42,105981,EBF
2024-12-11,21.42,142183,EBF
2024-12-12,21.24,84681,EBF
2024-12-13,21.39,113812,EBF
2024-12-16,21.49,134211,EBF
2024-12-17,21.28,146643,EBF
2024-12-18,20.86,148256,EBF
2024-12-19,21.03,119284,EBF
2024-12-20,20.68,361070,EBF
2024-12-23,20.83,121078,EBF
2024-12-24,21.06,60315,EBF
2024-12-26,21.35,101977,EBF
2024-12-27,21.05,99526,EBF
2024-12-30,21.29,103081,EBF
2024-12-31,21.09,107357,EBF
2025-01-02,20.95,97976,EBF
2025-01-03,21.23,75332,EBF
2025-01-06,20.89,102338,EBF
2025-01-07,20.59,161851,EBF
2025-01-08,20.75,141305,EBF
2025-01-10,20.2,204973,EBF
2025-01-13,20.32,105040,EBF
2025-01-14,20.52,106262,EBF
2025-01-15,20.73,103443,EBF
2025-01-16,20.73,125447,EBF
2025-01-17,20.7,128451,EBF
2025-01-21,21.07,202614,EBF
2025-01-22,20.56,156682,EBF
2025-01-23,20.66,117707,EBF
2025-01-24,20.75,91204,EBF
2025-01-27,20.92,142896,EBF
2025-01-28,20.73,103502,EBF
2025-01-29,20.66,66759,EBF
2025-01-30,20.71,77377,EBF
2025-01-31,20.75,141420,EBF
2025-02-03,20.48,197958,EBF
2025-02-04,20.72,113323,EBF
2025-02-05,20.75,112050,EBF
2025-02-06,20.64,131789,EBF
2025-02-07,20.43,151591,EBF
2025-02-10,20.42,111497,EBF
2025-02-11,20.62,103255,EBF
2025-02-12,20.33,115515,EBF
2025-02-13,20.53,139258,EBF
2025-02-14,20.48,108526,EBF
2025-02-18,20.68,120587,EBF
2025-02-19,20.81,106254,EBF
2025-02-20,21.02,124872,EBF
2025-02-21,20.81,120160,EBF
2025-02-24,20.97,135198,EBF
2025-02-25,21.33,174214,EBF
2025-02-26,21.23,243650,EBF
2025-02-27,21.12,210702,EBF
2025-02-28,21.2,237950,EBF
2025-03-03,21.31,170011,EBF
2025-03-04,21.22,145597,EBF
2025-03-05,21.06,187384,EBF
2025-03-06,21.17,214422,EBF
2025-03-07,21.58,205253,EBF
2025-03-10,21.71,232561,EBF
2025-03-11,21.25,203201,EBF
2025-03-12,21.02,137241,EBF
2025-03-13,21.12,140246,EBF
2025-03-14,21.2,125349,EBF
2025-03-17,21.2,173308,EBF
2025-03-18,21.18,189989,EBF
2025-03-19,21.24,194074,EBF
2025-03-20,21.0,228901,EBF
2025-03-21,20.23,2099752,EBF
2025-03-24,19.69,250829,EBF
2025-03-25,19.39,252637,EBF
2025-03-26,19.61,141630,EBF
2025-03-27,20.43,254179,EBF
2025-03-28,20.17,127806,EBF
2025-03-31,20.09,185912,EBF
2025-04-01,20.12,148709,EBF
2025-04-02,20.22,136576,EBF
2025-04-03,19.87,139278,EBF
2025-04-04,19.4,211285,EBF
2025-04-07,19.06,324240,EBF
2025-04-08,18.81,181110,EBF
2025-04-09,19.44,327413,EBF
2025-04-10,19.03,179170,EBF
2025-04-11,19.31,156724,EBF
2025-04-14,19.25,195780,EBF
2025-04-15,18.9,139041,EBF
2025-04-16,18.71,145616,EBF
2025-04-17,18.74,171324,EBF
2025-04-21,17.27,348391,EBF
2025-04-22,18.26,317058,EBF
2025-04-23,18.02,192612,EBF
2025-04-24,18.06,190045,EBF
2025-04-25,17.92,202389,EBF
2025-04-28,17.84,165150,EBF
2025-04-29,18.03,142583,EBF
2025-04-30,17.95,137862,EBF
2025-05-01,17.78,165331,EBF
2025-05-02,17.99,157276,EBF
2025-05-05,18.01,138670,EBF
2025-05-06,18.37,217948,EBF
2025-05-07,18.47,183583,EBF
2025-05-08,19.14,194917,EBF
2025-05-09,18.96,155225,EBF
2025-05-12,19.29,242022,EBF
2025-05-13,19.47,188609,EBF
2025-05-14,19.4,193720,EBF
2025-05-15,19.56,138934,EBF
2025-05-16,19.5,132262,EBF
2025-05-19,19.44,134228,EBF
2025-05-20,19.34,115152,EBF
2025-05-21,18.92,112255,EBF
2025-05-22,18.73,133049,EBF
2025-05-23,18.63,128057,EBF
2025-05-27,18.93,144929,EBF
2025-05-28,18.56,110181,EBF
2025-05-29,18.72,95945,EBF
2025-05-30,18.67,136620,EBF
2025-06-02,18.49,130799,EBF
2025-06-03,18.65,112817,EBF
2025-06-04,18.49,126856,EBF
2025-06-05,18.53,146294,EBF
2025-06-06,18.55,93626,EBF
2025-06-09,18.65,126060,EBF
2025-06-10,18.79,132910,EBF
2025-06-11,18.73,162467,EBF
2025-06-12,18.85,181868,EBF
2025-06-13,18.44,136066,EBF
2025-06-16,18.72,136586,EBF
2025-06-17,18.66,83089,EBF
2025-06-18,18.5,86127,EBF
