Date,close,vol,symbol
2024-09-06,40.39,3555744,ENB
2024-09-09,40.79,2731770,ENB
2024-09-10,40.26,2978637,ENB
2024-09-11,40.24,2823200,ENB
2024-09-12,40.49,2331915,ENB
2024-09-13,40.73,2604306,ENB
2024-09-16,41.18,3943642,ENB
2024-09-17,40.82,2372076,ENB
2024-09-18,40.52,3381708,ENB
2024-09-19,40.39,3931480,ENB
2024-09-20,40.52,3648337,ENB
2024-09-23,40.88,2640248,ENB
2024-09-24,40.86,2339862,ENB
2024-09-25,41.09,2713601,ENB
2024-09-26,40.78,3079776,ENB
2024-09-27,40.71,2622274,ENB
2024-09-30,40.61,3013485,ENB
2024-10-01,41.14,3082009,ENB
2024-10-02,41.06,2236919,ENB
2024-10-03,40.75,2914179,ENB
2024-10-04,41.08,2297430,ENB
2024-10-07,40.82,2509840,ENB
2024-10-08,40.61,3267824,ENB
2024-10-09,40.89,2155826,ENB
2024-10-10,40.88,1909753,ENB
2024-10-11,41.07,2390614,ENB
2024-10-14,41.15,1922333,ENB
2024-10-15,41.29,2607797,ENB
2024-10-16,41.81,2269356,ENB
2024-10-17,41.84,3930948,ENB
2024-10-18,41.98,2380449,ENB
2024-10-21,41.54,2903151,ENB
2024-10-22,41.45,2714183,ENB
2024-10-23,41.22,2655383,ENB
2024-10-24,41.13,2875736,ENB
2024-10-25,40.94,3119480,ENB
2024-10-28,40.87,2519065,ENB
2024-10-29,40.4,2809811,ENB
2024-10-30,40.59,2371064,ENB
2024-10-31,40.4,6129239,ENB
2024-11-01,40.42,4900468,ENB
2024-11-04,40.83,5882845,ENB
2024-11-05,41.05,4890387,ENB
2024-11-06,41.53,5974044,ENB
2024-11-07,42.42,4509914,ENB
2024-11-08,42.33,4583020,ENB
2024-11-11,42.78,2601292,ENB
2024-11-12,42.18,4038803,ENB
2024-11-13,42.49,3733620,ENB
2024-11-14,43.09,5627734,ENB
2024-11-15,42.18,5556438,ENB
2024-11-18,42.56,4073207,ENB
2024-11-19,42.98,3345403,ENB
2024-11-20,42.79,3051220,ENB
2024-11-21,43.49,3765197,ENB
2024-11-22,43.26,4554010,ENB
2024-11-25,42.95,7654870,ENB
2024-11-26,42.7,4560254,ENB
2024-11-27,42.9,4078607,ENB
2024-11-29,43.38,2648406,ENB
2024-12-02,43.36,8445982,ENB
2024-12-03,43.49,4350502,ENB
2024-12-04,43.64,5658786,ENB
2024-12-05,43.92,5538326,ENB
2024-12-06,43.14,4658510,ENB
2024-12-09,42.35,5077776,ENB
2024-12-10,42.31,3598262,ENB
2024-12-11,42.34,8932448,ENB
2024-12-12,42.05,4346532,ENB
2024-12-13,41.91,2346253,ENB
2024-12-16,41.53,3380417,ENB
2024-12-17,41.4,2534954,ENB
2024-12-18,40.5,4402113,ENB
2024-12-19,40.71,4677828,ENB
2024-12-20,41.37,3981683,ENB
2024-12-23,41.8,3697144,ENB
2024-12-24,41.87,988583,ENB
2024-12-26,41.8,1320467,ENB
2024-12-27,41.82,1792745,ENB
2024-12-30,42.12,2186687,ENB
2024-12-31,42.43,1646747,ENB
2025-01-02,42.98,3086902,ENB
2025-01-03,43.09,2971372,ENB
2025-01-06,42.99,2476320,ENB
2025-01-07,43.64,2661991,ENB
2025-01-08,44.02,2738808,ENB
2025-01-10,43.48,4845877,ENB
2025-01-13,43.4,4283472,ENB
2025-01-14,44.07,2999367,ENB
2025-01-15,44.33,2861356,ENB
2025-01-16,44.03,4937101,ENB
2025-01-17,44.51,7092571,ENB
2025-01-21,45.31,7521891,ENB
2025-01-22,44.76,4318377,ENB
2025-01-23,44.86,5113210,ENB
2025-01-24,45.06,2028235,ENB
