Date,close,vol,symbol
2024-09-06,298.21,463167,ESS
2024-09-09,300.05,604648,ESS
2024-09-10,308.27,266983,ESS
2024-09-11,308.26,309182,ESS
2024-09-12,310.22,249158,ESS
2024-09-13,314.05,372942,ESS
2024-09-16,315.15,393620,ESS
2024-09-17,312.14,344608,ESS
2024-09-18,312.24,237404,ESS
2024-09-19,312.42,357637,ESS
2024-09-20,306.21,1278135,ESS
2024-09-23,309.65,605267,ESS
2024-09-24,300.23,765812,ESS
2024-09-25,297.5,570210,ESS
2024-09-26,294.17,474072,ESS
2024-09-27,294.6,390529,ESS
2024-09-30,295.42,641311,ESS
2024-10-01,292.71,466774,ESS
2024-10-02,293.04,301516,ESS
2024-10-03,289.73,294727,ESS
2024-10-04,289.88,344486,ESS
2024-10-07,287.91,278570,ESS
2024-10-08,288.48,473662,ESS
2024-10-09,288.19,372983,ESS
2024-10-10,285.31,248070,ESS
2024-10-11,288.08,312262,ESS
2024-10-14,291.35,192845,ESS
2024-10-15,292.62,471568,ESS
2024-10-16,297.48,224946,ESS
2024-10-17,294.25,291794,ESS
2024-10-18,296.5,198747,ESS
2024-10-21,291.37,346304,ESS
2024-10-22,293.4,212040,ESS
2024-10-23,299.96,343064,ESS
2024-10-24,301.76,337470,ESS
2024-10-25,295.65,228191,ESS
2024-10-28,299.67,319861,ESS
2024-10-29,298.43,342507,ESS
2024-10-30,294.02,470731,ESS
2024-10-31,283.86,594187,ESS
2024-11-01,276.97,485420,ESS
2024-11-04,280.61,361466,ESS
2024-11-05,291.0,364039,ESS
2024-11-06,293.76,836438,ESS
2024-11-07,296.54,340625,ESS
2024-11-08,304.66,441840,ESS
2024-11-11,304.14,239676,ESS
2024-11-12,300.81,253170,ESS
2024-11-13,307.28,253725,ESS
2024-11-14,302.74,250393,ESS
2024-11-15,301.76,328604,ESS
2024-11-18,302.54,250304,ESS
2024-11-19,301.78,269694,ESS
2024-11-20,300.59,244185,ESS
2024-11-21,304.34,241516,ESS
2024-11-22,305.53,213711,ESS
2024-11-25,309.6,432939,ESS
2024-11-26,309.75,284788,ESS
2024-11-27,312.84,220732,ESS
2024-11-29,310.46,238721,ESS
2024-12-02,304.09,295214,ESS
2024-12-03,301.0,322897,ESS
2024-12-04,301.39,272559,ESS
2024-12-05,299.67,261834,ESS
2024-12-06,300.1,318988,ESS
2024-12-09,301.0,421719,ESS
2024-12-10,297.63,372912,ESS
2024-12-11,298.04,293926,ESS
2024-12-12,302.3,241808,ESS
2024-12-13,299.79,213399,ESS
2024-12-16,299.05,320500,ESS
2024-12-17,294.1,509245,ESS
2024-12-18,283.99,430649,ESS
2024-12-19,279.01,448814,ESS
2024-12-20,283.76,1417592,ESS
2024-12-23,284.33,386497,ESS
2024-12-24,286.79,121587,ESS
