Date,close,vol,symbol
2024-09-06,32.95,3199589,FAST
2024-09-09,34.05,3133343,FAST
2024-09-10,34.34,2196935,FAST
2024-09-11,34.6,2496661,FAST
2024-09-12,34.91,2071803,FAST
2024-09-13,34.91,2037607,FAST
2024-09-16,35.05,2147481,FAST
2024-09-17,35.3,2027760,FAST
2024-09-18,35.24,1419890,FAST
2024-09-19,35.69,2030263,FAST
2024-09-20,35.38,4673496,FAST
2024-09-23,35.92,2153497,FAST
2024-09-24,35.91,1452526,FAST
2024-09-25,35.35,2241506,FAST
2024-09-26,35.83,1694651,FAST
2024-09-27,35.76,2251230,FAST
2024-09-30,35.71,1842327,FAST
2024-10-01,35.55,2388026,FAST
2024-10-02,35.69,1488494,FAST
2024-10-03,35.35,1928495,FAST
2024-10-04,35.09,2071669,FAST
2024-10-07,35.0,2474896,FAST
2024-10-08,35.09,2419620,FAST
2024-10-09,35.31,2685226,FAST
2024-10-10,34.99,3869689,FAST
2024-10-11,38.41,8470455,FAST
2024-10-14,38.35,5019955,FAST
2024-10-15,38.46,3802072,FAST
2024-10-16,38.89,2630414,FAST
2024-10-17,38.82,2758069,FAST
2024-10-18,38.95,2705883,FAST
2024-10-21,38.89,2590320,FAST
2024-10-22,38.27,4308331,FAST
2024-10-23,37.97,2360507,FAST
2024-10-24,37.81,1980837,FAST
2024-10-25,37.92,2104015,FAST
2024-10-28,38.34,1587807,FAST
2024-10-29,38.81,2263351,FAST
2024-10-30,39.17,2333302,FAST
2024-10-31,39.09,4003001,FAST
2024-11-01,39.12,3340019,FAST
2024-11-04,38.91,2465735,FAST
2024-11-05,39.05,2136917,FAST
2024-11-06,41.79,6593949,FAST
2024-11-07,41.55,2804380,FAST
2024-11-08,41.67,3031725,FAST
2024-11-11,42.18,2166018,FAST
2024-11-12,41.75,2102110,FAST
2024-11-13,41.81,2336970,FAST
2024-11-14,41.08,3208201,FAST
2024-11-15,40.92,2595550,FAST
2024-11-18,40.9,2746549,FAST
2024-11-19,40.8,2009527,FAST
2024-11-20,40.91,1991346,FAST
2024-11-21,41.18,1575081,FAST
2024-11-22,41.54,2104063,FAST
2024-11-25,41.88,3876457,FAST
2024-11-26,42.05,2006749,FAST
2024-11-27,41.86,2021120,FAST
2024-11-29,41.78,1346788,FAST
2024-12-02,41.34,2573587,FAST
2024-12-03,41.41,2283513,FAST
2024-12-04,41.08,2440583,FAST
2024-12-05,40.88,2158509,FAST
2024-12-06,40.53,2581957,FAST
2024-12-09,40.16,2841865,FAST
2024-12-10,39.89,2895850,FAST
2024-12-11,39.63,2523053,FAST
2024-12-12,39.52,2023714,FAST
2024-12-13,39.24,2387347,FAST
2024-12-16,39.07,2450977,FAST
2024-12-17,38.82,2446106,FAST
2024-12-18,37.33,3625929,FAST
2024-12-19,37.02,3750951,FAST
2024-12-20,37.41,7754523,FAST
2024-12-23,37.24,2067546,FAST
2024-12-24,37.56,1067314,FAST
2024-12-26,37.21,1265888,FAST
2024-12-27,36.51,2626313,FAST
2024-12-30,35.96,4004347,FAST
2024-12-31,35.96,1931172,FAST
2025-01-02,35.56,2123471,FAST
2025-01-03,35.85,2470761,FAST
2025-01-06,35.99,2673572,FAST
2025-01-07,36.16,2310173,FAST
2025-01-08,36.47,2488846,FAST
2025-01-10,35.82,2774202,FAST
2025-01-13,36.45,3417109,FAST
2025-01-14,36.87,3424658,FAST
2025-01-15,37.14,3287052,FAST
2025-01-16,37.39,3946863,FAST
2025-01-17,38.04,7836784,FAST
2025-01-21,38.05,4450525,FAST
2025-01-22,37.8,4457176,FAST
2025-01-23,37.73,2648610,FAST
2025-01-24,37.77,2555352,FAST
2025-01-27,38.14,2679352,FAST
2025-01-28,37.4,2579061,FAST
2025-01-29,37.04,1750844,FAST
2025-01-30,37.49,2942748,FAST
2025-01-31,36.62,5233177,FAST
2025-02-03,36.86,3794281,FAST
2025-02-04,36.6,3295966,FAST
2025-02-05,36.77,2712206,FAST
2025-02-06,37.33,2882906,FAST
2025-02-07,36.92,2971884,FAST
2025-02-10,36.86,2015958,FAST
2025-02-11,37.17,1480189,FAST
2025-02-12,36.84,1990742,FAST
2025-02-13,37.4,2428444,FAST
2025-02-14,37.39,2549205,FAST
2025-02-18,37.41,2006158,FAST
2025-02-19,37.78,2450815,FAST
2025-02-20,37.57,2299943,FAST
2025-02-21,37.39,3347593,FAST
2025-02-24,37.39,3537213,FAST
2025-02-25,37.3,3104240,FAST
2025-02-26,36.95,2795122,FAST
2025-02-27,37.05,3204486,FAST
2025-02-28,37.87,4662659,FAST
2025-03-03,37.19,3336431,FAST
2025-03-04,37.12,4070076,FAST
2025-03-05,37.24,3232701,FAST
2025-03-06,38.92,4606784,FAST
2025-03-07,39.99,4896413,FAST
2025-03-10,39.9,5292194,FAST
2025-03-11,38.67,4910113,FAST
2025-03-12,37.99,3029887,FAST
2025-03-13,36.85,3637327,FAST
2025-03-14,37.63,4084050,FAST
2025-03-17,38.03,2558303,FAST
2025-03-18,38.05,2816095,FAST
2025-03-19,38.23,2573325,FAST
2025-03-20,37.76,1899650,FAST
2025-03-21,37.37,8781740,FAST
2025-03-24,38.47,2856201,FAST
2025-03-25,38.55,2475829,FAST
2025-03-26,38.55,2764269,FAST
2025-03-27,38.87,2550326,FAST
2025-03-28,38.09,2689068,FAST
2025-03-31,38.78,4356233,FAST
2025-04-01,38.81,2401093,FAST
2025-04-02,39.01,1976029,FAST
2025-04-03,39.01,5668440,FAST
2025-04-04,37.21,5434716,FAST
2025-04-07,36.08,7510772,FAST
2025-04-08,35.6,5368638,FAST
2025-04-09,38.24,7858950,FAST
2025-04-10,37.9,7599734,FAST
2025-04-11,40.32,7562081,FAST
2025-04-14,40.65,5291102,FAST
2025-04-15,40.83,3137657,FAST
2025-04-16,40.23,4048740,FAST
2025-04-17,40.79,3498014,FAST
2025-04-21,40.15,3089964,FAST
2025-04-22,40.72,2965566,FAST
2025-04-23,40.1,4073807,FAST
2025-04-24,41.05,3310994,FAST
2025-04-25,40.37,3196616,FAST
2025-04-28,40.06,3550601,FAST
2025-04-29,40.14,2693825,FAST
2025-04-30,40.49,4508932,FAST
2025-05-01,40.35,3896046,FAST
2025-05-02,41.06,2679311,FAST
2025-05-05,41.21,3475055,FAST
2025-05-06,39.25,4192270,FAST
2025-05-07,39.25,3781695,FAST
2025-05-08,39.65,2984746,FAST
2025-05-09,39.3,1900742,FAST
2025-05-12,40.08,4618844,FAST
2025-05-13,39.99,3290638,FAST
2025-05-14,40.26,3171786,FAST
2025-05-15,40.94,2250993,FAST
2025-05-16,41.52,2544701,FAST
2025-05-19,41.58,2136525,FAST
2025-05-20,40.96,1697834,FAST
2025-05-21,40.73,2202944,FAST
2025-05-22,40.72,4420394,FAST
2025-05-23,40.65,3872478,FAST
2025-05-27,41.64,5039483,FAST
2025-05-28,41.47,2920008,FAST
2025-05-29,41.2,3328692,FAST
2025-05-30,41.34,7660318,FAST
2025-06-02,40.91,4389321,FAST
2025-06-03,41.19,4177004,FAST
2025-06-04,40.88,4870085,FAST
2025-06-05,41.34,3446591,FAST
2025-06-06,42.06,4408089,FAST
2025-06-09,42.13,4706861,FAST
2025-06-10,42.72,4536417,FAST
2025-06-11,42.65,5574084,FAST
2025-06-12,42.86,4355583,FAST
2025-06-13,42.17,6447290,FAST
2025-06-16,42.24,3615731,FAST
2025-06-17,41.55,4790051,FAST
2025-06-18,41.49,6251085,FAST
2025-06-20,40.94,10470612,FAST
2025-06-23,41.3,5746701,FAST
2025-06-24,41.53,7588832,FAST
2025-06-25,41.12,4161641,FAST
2025-06-26,41.3,5697998,FAST
2025-06-27,41.96,10642397,FAST
2025-06-30,42.0,5811205,FAST
2025-07-01,42.86,5569992,FAST
2025-07-02,42.68,5092488,FAST
2025-07-03,43.13,2959238,FAST
2025-07-07,42.47,5869659,FAST
2025-07-08,42.84,6533847,FAST
2025-07-09,43.4,6853205,FAST
2025-07-10,43.56,6153390,FAST
2025-07-11,43.27,7403953,FAST
2025-07-14,45.07,18532653,FAST
2025-07-15,45.13,8368017,FAST
2025-07-16,45.6,7111778,FAST
2025-07-17,45.88,10576659,FAST
2025-07-18,46.06,7628243,FAST
2025-07-21,46.02,5933511,FAST
2025-07-22,47.08,6075138,FAST
2025-07-23,47.43,5964103,FAST
2025-07-24,47.93,4984261,FAST
2025-07-25,47.75,5508589,FAST
2025-07-28,46.8,5777101,FAST
2025-07-29,46.6,5711773,FAST
2025-07-30,46.41,5815855,FAST
2025-07-31,46.13,8679250,FAST
2025-08-01,45.44,7660914,FAST
2025-08-04,45.37,5406974,FAST
2025-08-05,45.44,4055542,FAST
2025-08-06,46.78,6308817,FAST
2025-08-07,47.48,8854098,FAST
2025-08-08,47.99,5069608,FAST
2025-08-11,47.84,4900177,FAST
2025-08-12,48.45,4588070,FAST
2025-08-13,49.21,4833799,FAST
2025-08-14,48.69,5337904,FAST
2025-08-15,48.88,5848225,FAST
2025-08-18,49.11,4540769,FAST
2025-08-19,49.9,6881711,FAST
2025-08-20,49.54,6320160,FAST
2025-08-21,49.14,5185019,FAST
2025-08-22,50.39,5442728,FAST
2025-08-25,50.27,5859858,FAST
2025-08-26,49.96,7482748,FAST
2025-08-27,50.2,4042486,FAST
2025-08-28,50.18,3721069,FAST
2025-08-29,49.66,4613222,FAST
2025-09-02,49.19,4782820,FAST
2025-09-03,49.52,3729696,FAST
2025-09-04,50.27,6073493,FAST
2025-09-05,47.99,9383073,FAST
2025-09-08,48.19,6021496,FAST
2025-09-09,47.9,4194123,FAST
2025-09-10,47.97,4895664,FAST
2025-09-11,47.33,12287368,FAST
2025-09-12,47.45,5506741,FAST
2025-09-15,47.76,4502732,FAST
2025-09-16,47.25,5579595,FAST
2025-09-17,47.12,5127288,FAST
2025-09-18,47.22,5624965,FAST
2025-09-19,47.58,13747560,FAST
2025-09-22,47.12,5785986,FAST
2025-09-23,47.99,5696745,FAST
2025-09-24,47.54,4797518,FAST
2025-09-25,47.85,4327677,FAST
2025-09-26,48.7,4941403,FAST
2025-09-29,48.87,4758634,FAST
2025-09-30,49.04,6660047,FAST
2025-10-01,47.72,7935663,FAST
2025-10-02,48.17,5842008,FAST
