Date,close,vol,symbol
2024-09-06,114.49,1281883,HIG
2024-09-09,116.91,1802161,HIG
2024-09-10,116.84,1569467,HIG
2024-09-11,114.06,1453045,HIG
2024-09-12,115.17,945561,HIG
2024-09-13,115.36,1337252,HIG
2024-09-16,116.63,1292825,HIG
2024-09-17,117.07,1247048,HIG
2024-09-18,116.7,984800,HIG
2024-09-19,115.94,1575623,HIG
2024-09-20,116.32,3178055,HIG
2024-09-23,116.98,1510494,HIG
2024-09-24,116.47,925624,HIG
2024-09-25,116.63,892909,HIG
2024-09-26,116.52,1747424,HIG
2024-09-27,116.78,1110361,HIG
2024-09-30,117.61,1481856,HIG
2024-10-01,117.96,1123431,HIG
2024-10-02,117.58,1160717,HIG
2024-10-03,116.66,1366582,HIG
2024-10-04,118.09,1318648,HIG
2024-10-07,114.44,2299631,HIG
2024-10-08,115.62,1590137,HIG
2024-10-09,116.29,1840589,HIG
2024-10-10,116.31,1423840,HIG
2024-10-11,117.36,1224440,HIG
2024-10-14,118.49,779957,HIG
2024-10-15,118.59,1273305,HIG
2024-10-16,119.62,1222548,HIG
2024-10-17,122.33,2373322,HIG
2024-10-18,122.0,1299026,HIG
2024-10-21,120.93,969943,HIG
2024-10-22,120.06,1142240,HIG
2024-10-23,119.85,1335006,HIG
2024-10-24,120.46,1474854,HIG
2024-10-25,112.26,2956001,HIG
2024-10-28,113.39,1741304,HIG
2024-10-29,112.14,2030407,HIG
2024-10-30,112.72,1498498,HIG
2024-10-31,110.44,2486629,HIG
2024-11-01,110.09,2056261,HIG
2024-11-04,111.16,1411406,HIG
2024-11-05,111.63,1184528,HIG
2024-11-06,116.72,2309205,HIG
2024-11-07,115.19,1154525,HIG
2024-11-08,117.43,1615147,HIG
2024-11-11,117.7,1059142,HIG
2024-11-12,117.9,1414829,HIG
2024-11-13,117.64,1126711,HIG
2024-11-14,116.43,1242253,HIG
2024-11-15,117.95,1260025,HIG
2024-11-18,118.13,875932,HIG
2024-11-19,116.82,1664626,HIG
2024-11-20,118.21,1584829,HIG
2024-11-21,119.64,903890,HIG
2024-11-22,120.72,1063950,HIG
2024-11-25,121.52,3381273,HIG
2024-11-26,122.62,1034374,HIG
2024-11-27,123.74,1044597,HIG
2024-11-29,123.31,816408,HIG
2024-12-02,121.22,1821774,HIG
2024-12-03,120.84,1156236,HIG
2024-12-04,120.6,1498554,HIG
2024-12-05,121.22,1087903,HIG
2024-12-06,119.54,982217,HIG
2024-12-09,116.21,2023557,HIG
2024-12-10,112.98,2817925,HIG
2024-12-11,113.03,1875154,HIG
2024-12-12,110.92,3065389,HIG
2024-12-13,112.08,1615671,HIG
2024-12-16,110.73,1455051,HIG
2024-12-17,109.05,2117033,HIG
2024-12-18,107.06,1889018,HIG
2024-12-19,107.06,1620328,HIG
2024-12-20,109.47,5818964,HIG
2024-12-23,109.72,1095591,HIG
2024-12-24,110.57,397754,HIG
2024-12-26,110.98,574186,HIG
2024-12-27,110.11,856215,HIG
2024-12-30,109.27,847509,HIG
2024-12-31,109.4,661152,HIG
2025-01-02,109.04,1332178,HIG
2025-01-03,109.5,941719,HIG
2025-01-06,108.65,1642253,HIG
2025-01-07,109.02,1158412,HIG
2025-01-08,109.42,1229202,HIG
2025-01-10,106.31,2819018,HIG
2025-01-13,107.48,1739995,HIG
2025-01-14,109.39,1786781,HIG
2025-01-15,111.23,1161157,HIG
2025-01-16,112.47,1268407,HIG
2025-01-17,111.93,1211284,HIG
2025-01-21,111.99,2079145,HIG
2025-01-22,111.56,1810749,HIG
2025-01-23,110.89,1667338,HIG
2025-01-24,111.49,1404797,HIG
2025-01-27,114.42,1328977,HIG
2025-01-28,113.42,1607286,HIG
2025-01-29,113.5,1299845,HIG
2025-01-30,114.26,1546274,HIG
2025-01-31,111.55,4019229,HIG
2025-02-03,112.3,3053594,HIG
2025-02-04,111.97,2190367,HIG
2025-02-05,113.61,1851778,HIG
2025-02-06,113.48,1280636,HIG
2025-02-07,113.52,1219500,HIG
2025-02-10,111.96,1573459,HIG
2025-02-11,111.44,1080817,HIG
2025-02-12,111.2,1758452,HIG
2025-02-13,112.28,1224479,HIG
2025-02-14,111.98,1848544,HIG
2025-02-18,112.82,1462589,HIG
2025-02-19,112.94,1661697,HIG
2025-02-20,112.37,1135893,HIG
2025-02-21,111.44,2403711,HIG
2025-02-24,113.82,1963388,HIG
2025-02-25,116.41,2113433,HIG
2025-02-26,115.58,1382677,HIG
2025-02-27,117.47,1362815,HIG
2025-02-28,118.28,4524600,HIG
2025-03-03,119.77,2146362,HIG
2025-03-04,116.98,2332694,HIG
2025-03-05,117.72,1596091,HIG
2025-03-06,116.69,1100769,HIG
2025-03-07,117.8,2103973,HIG
2025-03-10,117.35,1636400,HIG
2025-03-11,117.19,1699083,HIG
2025-03-12,115.78,1622760,HIG
2025-03-13,116.5,1180490,HIG
2025-03-14,118.89,1283429,HIG
2025-03-17,120.46,1982481,HIG
2025-03-18,118.91,1820769,HIG
2025-03-19,119.67,1758320,HIG
2025-03-20,119.67,1348438,HIG
2025-03-21,119.25,3803095,HIG
2025-03-24,121.08,1570564,HIG
2025-03-25,121.46,1873667,HIG
2025-03-26,122.66,1033698,HIG
2025-03-27,122.98,1640134,HIG
2025-03-28,122.22,1324797,HIG
2025-03-31,123.73,2137189,HIG
2025-04-01,124.39,1243292,HIG
2025-04-02,124.86,1349656,HIG
2025-04-03,123.44,2192862,HIG
2025-04-04,113.57,2389967,HIG
2025-04-07,109.83,2716700,HIG
2025-04-08,110.1,2177593,HIG
2025-04-09,116.37,1930114,HIG
2025-04-10,114.79,1947732,HIG
2025-04-11,116.05,1351162,HIG
2025-04-14,117.67,1168703,HIG
2025-04-15,117.16,1128139,HIG
2025-04-16,117.15,1506907,HIG
2025-04-17,117.8,1403365,HIG
2025-04-21,114.22,1336512,HIG
2025-04-22,118.74,1059897,HIG
2025-04-23,119.05,1595556,HIG
2025-04-24,119.24,1699429,HIG
2025-04-25,118.76,1813977,HIG
2025-04-28,120.41,1581079,HIG
2025-04-29,122.22,1814480,HIG
2025-04-30,122.67,1871789,HIG
2025-05-01,121.84,1771354,HIG
2025-05-02,125.66,1614635,HIG
2025-05-05,125.71,1449135,HIG
2025-05-06,126.58,1404077,HIG
2025-05-07,127.78,1168865,HIG
2025-05-08,128.21,1484427,HIG
2025-05-09,127.52,1350259,HIG
2025-05-12,128.64,1587966,HIG
2025-05-13,127.93,1955365,HIG
2025-05-14,126.14,1727568,HIG
2025-05-15,129.25,1805465,HIG
2025-05-16,131.12,1569462,HIG
2025-05-19,131.67,1205055,HIG
2025-05-20,131.21,1019238,HIG
2025-05-21,129.62,1681139,HIG
2025-05-22,129.62,13966,HIG
2025-05-23,128.92,1472582,HIG
2025-05-27,130.98,1787942,HIG
2025-05-28,129.22,1869151,HIG
2025-05-29,130.25,1288304,HIG
2025-05-30,129.84,4803047,HIG
2025-06-02,129.87,1265434,HIG
2025-06-03,129.99,1347332,HIG
2025-06-04,127.94,1422547,HIG
2025-06-05,128.04,1052461,HIG
2025-06-06,129.33,1115182,HIG
2025-06-09,126.87,1167712,HIG
2025-06-10,124.9,1244696,HIG
2025-06-11,124.37,1343115,HIG
2025-06-12,126.26,1124524,HIG
2025-06-13,125.23,861947,HIG
2025-06-16,125.86,1541242,HIG
