Date,close,vol,symbol
2024-09-06,269.21,203945,HII
2024-09-09,267.74,287430,HII
2024-09-10,260.87,473277,HII
2024-09-11,257.62,374600,HII
2024-09-12,258.28,322173,HII
2024-09-13,261.55,350595,HII
2024-09-16,265.21,360675,HII
2024-09-17,265.41,387415,HII
2024-09-18,269.02,373209,HII
2024-09-19,268.03,360184,HII
2024-09-20,267.51,2262430,HII
2024-09-23,268.13,272883,HII
2024-09-24,257.32,563663,HII
2024-09-25,257.02,390107,HII
2024-09-26,260.36,398011,HII
2024-09-27,263.07,233421,HII
2024-09-30,264.38,245860,HII
2024-10-01,264.65,349474,HII
2024-10-02,261.52,238994,HII
2024-10-03,257.45,275734,HII
2024-10-04,258.3,247616,HII
2024-10-07,256.38,184914,HII
2024-10-08,257.91,267921,HII
2024-10-09,258.08,167928,HII
2024-10-10,252.85,351587,HII
2024-10-11,259.39,227832,HII
2024-10-14,260.84,179711,HII
2024-10-15,260.84,2,HII
2024-10-16,260.66,246665,HII
2024-10-17,261.87,170341,HII
2024-10-18,261.53,205198,HII
2024-10-21,261.24,185709,HII
2024-10-22,257.11,175678,HII
2024-10-23,256.0,196077,HII
2024-10-24,254.7,172409,HII
2024-10-25,253.83,274148,HII
2024-10-28,255.16,241006,HII
2024-10-29,253.76,320192,HII
2024-10-30,250.49,726906,HII
2024-10-31,184.96,2606175,HII
2024-11-01,189.23,1492688,HII
2024-11-04,191.04,849912,HII
2024-11-05,193.24,624400,HII
2024-11-06,203.21,963187,HII
2024-11-07,197.82,795820,HII
2024-11-08,202.66,431717,HII
2024-11-11,206.63,505244,HII
2024-11-12,204.6,477649,HII
2024-11-13,204.0,420937,HII
2024-11-14,195.33,541116,HII
2024-11-15,193.56,493576,HII
2024-11-18,196.3,520319,HII
2024-11-19,191.61,584093,HII
2024-11-20,190.25,521753,HII
2024-11-21,195.3,564260,HII
2024-11-22,198.95,659252,HII
2024-11-25,198.88,939572,HII
2024-11-26,197.98,573857,HII
2024-11-27,199.37,595687,HII
2024-11-29,197.92,271719,HII
2024-12-02,194.84,537926,HII
2024-12-03,191.87,471293,HII
2024-12-04,192.9,558708,HII
2024-12-05,188.88,685162,HII
2024-12-06,187.95,609017,HII
2024-12-09,193.25,824583,HII
2024-12-10,190.98,536063,HII
2024-12-11,191.52,696415,HII
2024-12-12,190.85,511159,HII
2024-12-13,192.14,523695,HII
2024-12-16,198.27,752902,HII
2024-12-17,193.49,481165,HII
2024-12-18,194.44,988413,HII
2024-12-19,187.61,716325,HII
2024-12-20,190.45,2470381,HII
2024-12-23,190.41,606843,HII
2024-12-24,192.46,142010,HII
2024-12-26,191.83,359487,HII
2024-12-27,190.42,332379,HII
2024-12-30,188.41,366125,HII
2024-12-31,188.97,342764,HII
2025-01-02,187.61,328590,HII
2025-01-03,188.08,403664,HII
2025-01-06,186.7,493023,HII
2025-01-07,189.05,469816,HII
2025-01-08,189.66,342127,HII
2025-01-10,190.02,370192,HII
2025-01-13,195.14,464003,HII
2025-01-14,197.43,429523,HII
2025-01-15,198.7,346307,HII
2025-01-16,201.02,411167,HII
2025-01-17,202.55,640658,HII
2025-01-21,208.61,549279,HII
2025-01-22,205.17,590085,HII
2025-01-23,204.14,482253,HII
2025-01-24,202.72,337871,HII
2025-01-27,202.99,414358,HII
2025-01-28,195.77,495196,HII
