Date,close,vol,symbol
2024-09-06,198.13,2540656,HON
2024-09-09,201.16,2300381,HON
2024-09-10,200.95,1395465,HON
2024-09-11,204.04,2737800,HON
2024-09-12,204.67,1945783,HON
2024-09-13,204.15,1973329,HON
2024-09-16,204.68,1562228,HON
2024-09-17,204.24,1441683,HON
2024-09-18,201.64,2391512,HON
2024-09-19,203.7,2695351,HON
2024-09-20,203.35,3829991,HON
2024-09-23,203.77,2263834,HON
2024-09-24,205.27,2581852,HON
2024-09-25,206.78,2858263,HON
2024-09-26,207.03,1597994,HON
2024-09-27,207.63,2454314,HON
2024-09-30,206.71,2624435,HON
2024-10-01,206.07,2300363,HON
2024-10-02,203.88,1841857,HON
2024-10-03,202.88,2047574,HON
2024-10-04,203.78,1643484,HON
2024-10-07,203.33,1801376,HON
2024-10-08,207.0,4132402,HON
2024-10-09,213.7,5082641,HON
2024-10-10,213.6,4957712,HON
2024-10-11,215.99,3809522,HON
2024-10-14,217.6,1849911,HON
2024-10-15,217.27,3948448,HON
2024-10-16,218.96,2596527,HON
2024-10-17,219.55,3135029,HON
2024-10-18,222.02,4033830,HON
2024-10-21,221.5,3690081,HON
2024-10-22,222.35,4011812,HON
2024-10-23,220.34,6183773,HON
2024-10-24,209.1,8700221,HON
2024-10-25,208.0,6088157,HON
2024-10-28,206.1,6094811,HON
2024-10-29,205.98,6070779,HON
2024-10-30,204.2,5354151,HON
2024-10-31,205.68,4654890,HON
2024-11-01,209.19,4484366,HON
2024-11-04,207.54,4030035,HON
2024-11-05,208.78,7377556,HON
2024-11-06,216.4,6152479,HON
2024-11-07,217.5,5373275,HON
2024-11-08,219.49,5694771,HON
2024-11-11,225.24,7298570,HON
2024-11-12,233.91,11088659,HON
2024-11-13,233.07,5531218,HON
2024-11-14,230.67,3837299,HON
2024-11-15,228.99,3707893,HON
2024-11-18,228.85,3446209,HON
2024-11-19,228.2,3696895,HON
2024-11-20,226.67,4633042,HON
2024-11-21,226.09,5630844,HON
2024-11-22,229.11,3834380,HON
2024-11-25,230.6,3837698,HON
2024-11-26,230.4,4203200,HON
2024-11-27,229.64,2870048,HON
2024-11-29,232.93,1917465,HON
2024-12-02,229.95,3225380,HON
2024-12-03,226.96,4023330,HON
2024-12-04,229.79,2654773,HON
2024-12-05,226.29,5183727,HON
2024-12-06,226.38,3180066,HON
2024-12-09,225.09,2542823,HON
2024-12-10,229.08,3547932,HON
2024-12-11,229.06,4382520,HON
2024-12-12,227.69,2715885,HON
2024-12-13,227.62,2432344,HON
2024-12-16,236.0,8197292,HON
2024-12-17,233.13,5382412,HON
2024-12-18,226.86,6428865,HON
2024-12-19,226.88,4871103,HON
2024-12-20,228.32,6833319,HON
2024-12-23,227.14,3467872,HON
2024-12-24,228.9,1873589,HON
2024-12-26,231.86,3072184,HON
2024-12-27,229.51,3053908,HON
2024-12-30,226.6,2371579,HON
2024-12-31,225.89,1936889,HON
2025-01-02,225.52,2089908,HON
2025-01-03,226.52,2637525,HON
2025-01-06,221.74,3829308,HON
2025-01-07,220.63,3016422,HON
2025-01-08,220.17,3120530,HON
2025-01-10,218.19,3585164,HON
2025-01-13,219.1,5392319,HON
2025-01-14,218.5,4021811,HON
2025-01-15,219.54,4647771,HON
2025-01-16,222.69,4611744,HON
2025-01-17,222.58,3349234,HON
2025-01-21,225.07,4656600,HON
2025-01-22,223.09,2972518,HON
2025-01-23,225.66,3036822,HON
2025-01-24,221.51,6332908,HON
2025-01-27,225.71,3111027,HON
2025-01-28,220.7,3599491,HON
2025-01-29,221.05,1916268,HON
2025-01-30,224.06,1813433,HON
2025-01-31,223.72,2481816,HON
2025-02-03,222.41,3220569,HON
