Date,close,vol,symbol
2024-09-06,32.57,2687905,HRL
2024-09-09,32.4,2533569,HRL
2024-09-10,32.22,2123654,HRL
2024-09-11,31.34,1760208,HRL
2024-09-12,31.62,2398989,HRL
2024-09-13,32.08,1703229,HRL
2024-09-16,32.53,1711602,HRL
2024-09-17,32.37,1759465,HRL
2024-09-18,32.4,1699437,HRL
2024-09-19,32.13,1817046,HRL
2024-09-20,31.77,6532309,HRL
2024-09-23,31.48,2028176,HRL
2024-09-24,31.17,1919068,HRL
2024-09-25,31.11,3227598,HRL
2024-09-26,31.57,3654682,HRL
2024-09-27,31.72,1653228,HRL
2024-09-30,31.7,1980902,HRL
2024-10-01,31.66,2161499,HRL
2024-10-02,31.54,1906850,HRL
2024-10-03,31.11,2163619,HRL
2024-10-04,31.35,1816789,HRL
2024-10-07,31.26,1620855,HRL
2024-10-08,31.07,1869348,HRL
2024-10-09,30.98,1914971,HRL
2024-10-10,30.99,1702323,HRL
2024-10-11,31.08,1814345,HRL
2024-10-14,31.23,1571475,HRL
2024-10-15,31.14,2068247,HRL
2024-10-16,31.23,2239625,HRL
2024-10-17,31.56,1934897,HRL
2024-10-18,32.19,2855583,HRL
2024-10-21,31.32,1880437,HRL
2024-10-22,31.09,1409926,HRL
2024-10-23,31.19,1311148,HRL
2024-10-24,31.09,1383825,HRL
2024-10-25,31.06,1173836,HRL
2024-10-28,30.94,1612241,HRL
2024-10-29,30.69,2414209,HRL
2024-10-30,30.62,1941888,HRL
2024-10-31,30.55,3654914,HRL
2024-11-01,30.92,1897317,HRL
2024-11-04,30.74,1983341,HRL
2024-11-05,31.1,1781318,HRL
2024-11-06,30.72,2872471,HRL
2024-11-07,30.27,2487771,HRL
2024-11-08,30.32,2147355,HRL
2024-11-11,30.36,1901576,HRL
2024-11-12,30.39,1898547,HRL
2024-11-13,30.39,2638757,HRL
2024-11-14,30.41,2596901,HRL
2024-11-15,29.21,4146059,HRL
2024-11-18,29.4,2885302,HRL
2024-11-19,29.73,1809263,HRL
2024-11-20,30.22,2590196,HRL
2024-11-21,30.5,2093617,HRL
2024-11-22,30.67,1999865,HRL
2024-11-25,31.43,4316844,HRL
2024-11-26,31.62,2312297,HRL
2024-11-27,31.92,2220753,HRL
2024-11-29,32.43,1904753,HRL
2024-12-02,32.14,3020791,HRL
2024-12-03,31.82,2999434,HRL
2024-12-04,31.99,4124974,HRL
2024-12-05,32.86,3163312,HRL
2024-12-06,32.47,2147634,HRL
2024-12-09,33.18,2633098,HRL
2024-12-10,33.55,2393672,HRL
2024-12-11,33.13,3725944,HRL
2024-12-12,33.04,1634048,HRL
2024-12-13,32.94,2508607,HRL
2024-12-16,32.34,2665354,HRL
2024-12-17,32.15,2710107,HRL
2024-12-18,31.9,4278649,HRL
2024-12-19,31.58,2889400,HRL
2024-12-20,31.68,4859790,HRL
2024-12-23,31.55,1845846,HRL
2024-12-24,31.61,844004,HRL
2024-12-26,31.68,1253010,HRL
2024-12-27,31.85,1718632,HRL
2024-12-30,31.2,1626425,HRL
2024-12-31,31.37,1528991,HRL
2025-01-02,31.52,1452251,HRL
2025-01-03,31.36,1817375,HRL
2025-01-06,30.68,2071328,HRL
2025-01-07,30.14,2262647,HRL
2025-01-08,30.44,2030181,HRL
2025-01-10,30.05,3194811,HRL
2025-01-13,30.26,3314252,HRL
2025-01-14,30.01,2150344,HRL
2025-01-15,29.6,2851247,HRL
2025-01-16,29.89,2894980,HRL
2025-01-17,29.93,2515455,HRL
2025-01-21,30.86,3362417,HRL
