Date,close,vol,symbol
2024-09-06,199.8,1190987,HSY
2024-09-09,203.25,1370811,HSY
2024-09-10,202.83,1173276,HSY
2024-09-11,198.62,774440,HSY
2024-09-12,198.46,699059,HSY
2024-09-13,200.83,721744,HSY
2024-09-16,200.81,912969,HSY
2024-09-17,199.28,801181,HSY
2024-09-18,197.63,866829,HSY
2024-09-19,195.52,1141052,HSY
2024-09-20,195.43,2956068,HSY
2024-09-23,195.14,1052296,HSY
2024-09-24,193.34,1079872,HSY
2024-09-25,191.0,1075984,HSY
2024-09-26,190.52,1779184,HSY
2024-09-27,193.36,1112352,HSY
2024-09-30,191.78,837828,HSY
2024-10-01,191.81,966499,HSY
2024-10-02,193.41,1620299,HSY
2024-10-03,190.99,1238109,HSY
2024-10-04,191.84,794175,HSY
2024-10-07,187.53,1193041,HSY
2024-10-08,187.58,977795,HSY
2024-10-09,186.97,762721,HSY
2024-10-10,187.57,756031,HSY
2024-10-11,185.98,1157774,HSY
2024-10-14,186.0,1203590,HSY
2024-10-15,184.33,1805708,HSY
2024-10-16,184.81,1194407,HSY
2024-10-17,183.9,925810,HSY
2024-10-18,185.68,1052174,HSY
2024-10-21,184.67,982290,HSY
2024-10-22,183.47,1207313,HSY
2024-10-23,181.98,2533924,HSY
2024-10-24,182.2,1070412,HSY
2024-10-25,181.26,751604,HSY
2024-10-28,182.85,937569,HSY
2024-10-29,180.02,1226483,HSY
2024-10-30,177.5,2012427,HSY
2024-10-31,177.58,1473813,HSY
2024-11-01,179.26,1360471,HSY
2024-11-04,179.0,1689854,HSY
2024-11-05,180.11,1308684,HSY
2024-11-06,176.82,2859848,HSY
2024-11-07,172.85,3330996,HSY
2024-11-08,175.67,3115302,HSY
2024-11-11,178.51,2159558,HSY
2024-11-12,181.5,2514886,HSY
2024-11-13,184.45,2220856,HSY
2024-11-14,178.94,2257756,HSY
2024-11-15,170.92,3656501,HSY
2024-11-18,169.99,1642469,HSY
2024-11-19,170.24,1678190,HSY
2024-11-20,174.0,1446887,HSY
2024-11-21,174.95,1225324,HSY
2024-11-22,174.81,1458461,HSY
2024-11-25,175.54,2088242,HSY
2024-11-26,173.29,1307501,HSY
2024-11-27,174.09,1060573,HSY
2024-11-29,176.13,1525225,HSY
2024-12-02,177.82,2377768,HSY
2024-12-03,179.48,3986597,HSY
2024-12-04,177.87,4591594,HSY
2024-12-05,174.5,1953513,HSY
2024-12-06,174.7,2332272,HSY
2024-12-09,193.65,14377144,HSY
2024-12-10,187.19,5012355,HSY
2024-12-11,177.0,6250738,HSY
2024-12-12,183.95,3761748,HSY
2024-12-13,183.1,1985580,HSY
2024-12-16,178.2,2241293,HSY
2024-12-17,177.63,1834510,HSY
2024-12-18,172.46,1837939,HSY
2024-12-19,168.94,1930419,HSY
2024-12-20,170.26,2535399,HSY
2024-12-23,169.0,1172883,HSY
2024-12-24,170.49,429603,HSY
2024-12-26,170.18,992477,HSY
2024-12-27,171.76,1066265,HSY
2024-12-30,168.67,1771549,HSY
2024-12-31,169.35,869929,HSY
2025-01-02,168.79,864572,HSY
2025-01-03,169.03,932666,HSY
2025-01-06,166.74,1387876,HSY
2025-01-07,165.52,1303137,HSY
2025-01-08,162.22,2833895,HSY
2025-01-10,158.2,3028045,HSY
2025-01-13,157.28,2731311,HSY
2025-01-14,155.31,2179990,HSY
2025-01-15,151.75,3584580,HSY
2025-01-16,154.02,1973399,HSY
2025-01-17,152.87,1937411,HSY
2025-01-21,153.57,1744296,HSY
2025-01-22,151.12,1563502,HSY
2025-01-23,149.89,1837909,HSY
2025-01-24,150.71,1501467,HSY
2025-01-27,153.72,2309817,HSY
2025-01-28,149.73,1539016,HSY
2025-01-29,149.23,1217296,HSY
2025-01-30,152.14,1669659,HSY
2025-01-31,149.25,1977514,HSY
2025-02-03,147.79,1766275,HSY
2025-02-04,144.74,2189568,HSY
2025-02-05,145.92,3897832,HSY
2025-02-06,152.34,4131715,HSY
2025-02-07,154.93,2395036,HSY
2025-02-10,154.47,1614873,HSY
2025-02-11,158.26,1890954,HSY
2025-02-12,158.08,1382853,HSY
2025-02-13,160.81,1632531,HSY
2025-02-14,157.88,1450515,HSY
2025-02-18,162.99,2976893,HSY
2025-02-19,163.9,1391979,HSY
2025-02-20,166.1,1527071,HSY
2025-02-21,172.86,4115420,HSY
2025-02-24,177.84,3230978,HSY
2025-02-25,178.65,2733405,HSY
2025-02-26,171.29,3221512,HSY
2025-02-27,172.34,1464534,HSY
2025-02-28,172.71,2540847,HSY
2025-03-03,178.5,1790787,HSY
2025-03-04,176.38,2605402,HSY
2025-03-05,177.03,1186129,HSY
2025-03-06,180.01,1015577,HSY
2025-03-07,185.06,2806471,HSY
2025-03-10,186.36,2902776,HSY
2025-03-11,179.54,2256810,HSY
2025-03-12,170.94,2591637,HSY
2025-03-13,171.94,1543479,HSY
2025-03-14,170.22,1357591,HSY
2025-03-17,170.49,997919,HSY
2025-03-18,169.42,991871,HSY
2025-03-19,167.35,1705170,HSY
2025-03-20,164.47,1696752,HSY
2025-03-21,167.18,3047098,HSY
2025-03-24,168.01,1475462,HSY
2025-03-25,165.23,1409434,HSY
2025-03-26,168.52,1123261,HSY
2025-03-27,170.62,754888,HSY
2025-03-28,169.86,1075214,HSY
2025-03-31,171.03,1759465,HSY
2025-04-01,169.62,951002,HSY
2025-04-02,163.95,1644914,HSY
2025-04-03,166.83,3022273,HSY
2025-04-04,162.24,2504606,HSY
2025-04-07,162.6,2376850,HSY
2025-04-08,159.1,1853631,HSY
2025-04-09,164.16,1830897,HSY
2025-04-10,164.09,1491611,HSY
2025-04-11,165.65,1233967,HSY
2025-04-14,170.3,1637631,HSY
2025-04-15,167.95,1252353,HSY
2025-04-16,164.23,1024631,HSY
2025-04-17,166.59,1120485,HSY
2025-04-21,166.47,743371,HSY
2025-04-22,167.44,1002529,HSY
2025-04-23,166.6,911252,HSY
2025-04-24,163.99,760770,HSY
2025-04-25,163.28,982177,HSY
2025-04-28,163.06,1298067,HSY
2025-04-29,165.07,1208673,HSY
2025-04-30,167.19,3463751,HSY
2025-05-01,167.13,2618317,HSY
2025-05-02,163.35,2230814,HSY
2025-05-05,166.66,1820466,HSY
2025-05-06,170.01,1539532,HSY
2025-05-07,168.67,2195288,HSY
2025-05-08,170.12,1750117,HSY
2025-05-09,170.9,1228329,HSY
2025-05-12,167.58,2300540,HSY
2025-05-13,163.3,2246094,HSY
2025-05-14,161.72,1461394,HSY
2025-05-15,163.69,1231172,HSY
2025-05-16,158.49,2012502,HSY
2025-05-19,156.55,1785840,HSY
2025-05-20,155.7,1679589,HSY
2025-05-21,151.29,1814239,HSY
2025-05-22,153.86,2865817,HSY
2025-05-23,155.35,1907627,HSY
2025-05-27,158.23,2737891,HSY
2025-05-28,155.9,1248626,HSY
2025-05-29,161.32,2388116,HSY
2025-05-30,160.69,2073033,HSY
2025-06-02,161.45,1063702,HSY
2025-06-03,163.08,1068778,HSY
2025-06-04,161.48,1114205,HSY
2025-06-05,162.78,1403860,HSY
2025-06-06,161.75,1112188,HSY
2025-06-09,166.91,1677462,HSY
2025-06-10,168.54,1433881,HSY
2025-06-11,168.05,1022023,HSY
2025-06-12,172.12,2227668,HSY
2025-06-13,169.12,1834402,HSY
2025-06-16,170.41,1553984,HSY
2025-06-17,168.87,1262533,HSY
2025-06-18,169.72,1787160,HSY
2025-06-20,171.45,4188794,HSY
2025-06-23,173.13,1354933,HSY
2025-06-24,172.05,1697564,HSY
2025-06-25,167.54,2234519,HSY
2025-06-26,167.0,1980455,HSY
2025-06-27,166.99,2471535,HSY
2025-06-30,165.95,2050486,HSY
2025-07-01,175.81,2869364,HSY
2025-07-02,177.08,1071529,HSY
2025-07-03,176.47,733761,HSY
2025-07-07,175.55,1548856,HSY
2025-07-08,169.93,1919454,HSY
2025-07-09,161.95,3522780,HSY
2025-07-10,164.64,2135293,HSY
2025-07-11,164.76,1080801,HSY
2025-07-14,164.91,1050109,HSY
2025-07-15,162.91,1659674,HSY
2025-07-16,164.27,1343577,HSY
2025-07-17,171.23,2096546,HSY
2025-07-18,171.29,2394426,HSY
2025-07-21,176.75,3328571,HSY
2025-07-22,181.69,2193709,HSY
2025-07-23,183.23,1782160,HSY
2025-07-24,183.9,1129997,HSY
2025-07-25,187.12,1943827,HSY
2025-07-28,184.56,1533433,HSY
2025-07-29,186.23,2203866,HSY
2025-07-30,188.83,3009339,HSY
2025-07-31,186.13,2167850,HSY
2025-08-01,189.01,2072883,HSY
2025-08-04,190.41,1344992,HSY
2025-08-05,188.94,1109056,HSY
2025-08-06,188.59,1062157,HSY
2025-08-07,187.5,1977786,HSY
2025-08-08,184.27,1655463,HSY
2025-08-11,175.42,3185044,HSY
2025-08-12,176.47,1447260,HSY
2025-08-13,180.06,1248029,HSY
2025-08-14,180.26,1290962,HSY
2025-08-15,177.99,1289996,HSY
2025-08-18,178.4,1154834,HSY
2025-08-19,180.77,1496777,HSY
2025-08-20,181.59,1289061,HSY
2025-08-21,179.36,1171397,HSY
2025-08-22,181.43,1110311,HSY
2025-08-25,180.68,1121673,HSY
2025-08-26,183.4,1325806,HSY
2025-08-27,181.66,882503,HSY
2025-08-28,179.99,1220234,HSY
2025-08-29,183.75,1108719,HSY
2025-09-02,185.78,1209989,HSY
2025-09-03,184.69,1112150,HSY
2025-09-04,185.3,733703,HSY
2025-09-05,185.48,1330068,HSY
2025-09-08,187.53,1466263,HSY
2025-09-09,187.69,925061,HSY
2025-09-10,185.6,1336451,HSY
2025-09-11,185.55,915985,HSY
2025-09-12,185.01,871568,HSY
2025-09-15,185.56,939532,HSY
2025-09-16,193.45,2815464,HSY
2025-09-17,191.09,1189362,HSY
2025-09-18,189.08,1869312,HSY
2025-09-19,190.18,3209101,HSY
2025-09-22,192.34,1718443,HSY
2025-09-23,190.74,1308833,HSY
2025-09-24,190.89,1136438,HSY
2025-09-25,185.26,1356709,HSY
2025-09-26,188.11,1043252,HSY
2025-09-29,184.11,1334746,HSY
2025-09-30,187.05,1074887,HSY
2025-10-01,188.83,1273949,HSY
2025-10-02,189.02,1056716,HSY
