Date,close,vol,symbol
2024-09-06,200.74,3304491,IBM
2024-09-09,203.53,3705004,IBM
2024-09-10,205.32,3070644,IBM
2024-09-11,209.89,5554309,IBM
2024-09-12,211.61,4616446,IBM
2024-09-13,214.79,4572344,IBM
2024-09-16,217.16,4176257,IBM
2024-09-17,214.13,5635210,IBM
2024-09-18,214.94,3482764,IBM
2024-09-19,213.89,5279559,IBM
2024-09-20,217.7,9958980,IBM
2024-09-23,220.5,4074755,IBM
2024-09-24,220.97,3184114,IBM
2024-09-25,221.23,2537751,IBM
2024-09-26,223.43,2673210,IBM
2024-09-27,220.84,3830335,IBM
2024-09-30,221.08,3544264,IBM
2024-10-01,219.35,3548374,IBM
2024-10-02,219.73,3343399,IBM
2024-10-03,222.72,3788265,IBM
2024-10-04,226.0,3554328,IBM
2024-10-07,227.12,3457952,IBM
2024-10-08,228.62,3245342,IBM
2024-10-09,234.3,5083566,IBM
2024-10-10,233.02,3142031,IBM
2024-10-11,233.26,3469322,IBM
2024-10-14,235.26,2524389,IBM
2024-10-15,232.96,3350556,IBM
2024-10-16,233.67,2846669,IBM
2024-10-17,232.88,5040092,IBM
2024-10-18,232.2,4715688,IBM
2024-10-21,231.75,2733336,IBM
2024-10-22,232.25,3180807,IBM
2024-10-23,232.75,5791002,IBM
2024-10-24,218.39,11193440,IBM
2024-10-25,214.67,8482235,IBM
2024-10-28,212.91,4993343,IBM
2024-10-29,210.43,5258366,IBM
2024-10-30,204.9,6956624,IBM
2024-10-31,206.72,5925250,IBM
2024-11-01,208.25,3334308,IBM
2024-11-04,206.32,2594119,IBM
2024-11-05,207.57,2441535,IBM
2024-11-06,213.6,3934386,IBM
2024-11-07,213.69,3675812,IBM
2024-11-08,213.72,3201038,IBM
2024-11-11,213.57,3012987,IBM
2024-11-12,210.86,2818216,IBM
2024-11-13,210.92,3247830,IBM
2024-11-14,208.99,6372853,IBM
2024-11-15,204.99,3986460,IBM
2024-11-18,208.09,3406045,IBM
2024-11-19,210.25,2860746,IBM
2024-11-20,214.6,4562901,IBM
2024-11-21,222.4,5236434,IBM
2024-11-22,222.97,5320740,IBM
2024-11-25,226.13,7189260,IBM
2024-11-26,228.83,4449543,IBM
2024-11-27,226.92,2995121,IBM
2024-11-29,227.41,2640253,IBM
2024-12-02,227.39,2656181,IBM
2024-12-03,229.0,3163815,IBM
2024-12-04,233.49,4104195,IBM
2024-12-05,234.75,4791116,IBM
2024-12-06,238.04,4028430,IBM
2024-12-09,230.0,4970449,IBM
2024-12-10,231.72,4769531,IBM
2024-12-11,230.12,3872680,IBM
2024-12-12,232.26,4515741,IBM
2024-12-13,230.82,2757683,IBM
2024-12-16,229.33,3610257,IBM
2024-12-17,228.97,3651346,IBM
2024-12-18,220.17,4152517,IBM
2024-12-19,223.92,4430120,IBM
2024-12-20,223.36,12423200,IBM
2024-12-23,221.93,2988137,IBM
2024-12-24,224.41,1186216,IBM
2024-12-26,224.89,3287238,IBM
2024-12-27,222.78,1810760,IBM
2024-12-30,220.25,2095565,IBM
2024-12-31,219.83,2270512,IBM
2025-01-02,219.94,2579498,IBM
2025-01-03,222.65,3873578,IBM
2025-01-06,222.67,2847128,IBM
2025-01-07,223.96,3299701,IBM
2025-01-08,223.18,2619768,IBM
2025-01-10,219.75,3570497,IBM
2025-01-13,217.4,3716816,IBM
2025-01-14,217.75,3485829,IBM
2025-01-15,220.03,2951825,IBM
2025-01-16,222.66,3329060,IBM
2025-01-17,224.79,5506837,IBM
2025-01-21,224.26,3982203,IBM
2025-01-22,223.26,4759490,IBM
2025-01-23,226.04,3619651,IBM
2025-01-24,224.8,3233293,IBM
2025-01-27,224.13,4898355,IBM
2025-01-28,225.66,4485429,IBM
2025-01-29,228.63,7079804,IBM
2025-01-30,258.27,15381890,IBM
2025-01-31,255.7,7203519,IBM
2025-02-03,260.73,8408523,IBM
2025-02-04,264.46,6077652,IBM
2025-02-05,263.3,6165096,IBM
2025-02-06,253.44,6128293,IBM
2025-02-07,252.34,3370284,IBM
2025-02-10,249.27,3564400,IBM
2025-02-11,254.7,4801550,IBM
2025-02-12,255.81,3075308,IBM
2025-02-13,259.19,4531538,IBM
2025-02-14,261.28,3925277,IBM
2025-02-18,263.07,4262812,IBM
2025-02-19,264.32,3718678,IBM
2025-02-20,264.74,4884805,IBM
2025-02-21,261.48,5667874,IBM
2025-02-24,261.87,4398107,IBM
2025-02-25,257.75,6292487,IBM
2025-02-26,255.84,3460124,IBM
2025-02-27,253.23,3402234,IBM
2025-02-28,252.44,7988809,IBM
2025-03-03,250.19,2977699,IBM
2025-03-04,253.21,5342106,IBM
2025-03-05,251.35,4009813,IBM
2025-03-06,248.69,3254358,IBM
2025-03-07,261.54,6700184,IBM
2025-03-10,256.9,8165503,IBM
2025-03-11,248.95,5630570,IBM
2025-03-12,249.63,3849206,IBM
2025-03-13,245.8,3862416,IBM
2025-03-14,248.35,4045284,IBM
2025-03-17,252.97,3234149,IBM
2025-03-18,246.95,4172239,IBM
2025-03-19,252.29,3853598,IBM
2025-03-20,243.32,7026796,IBM
2025-03-21,243.87,9580084,IBM
2025-03-24,248.45,4753331,IBM
2025-03-25,249.9,3133809,IBM
2025-03-26,250.34,4452220,IBM
2025-03-27,246.21,2889328,IBM
2025-03-28,244.0,3125594,IBM
2025-03-31,248.66,6794972,IBM
2025-04-01,250.34,4413139,IBM
2025-04-02,249.98,4080832,IBM
2025-04-03,243.49,5309626,IBM
2025-04-04,227.48,7407096,IBM
2025-04-07,225.78,7797889,IBM
2025-04-08,221.03,6849996,IBM
2025-04-09,235.31,7302808,IBM
2025-04-10,229.55,5656108,IBM
2025-04-11,235.48,4325895,IBM
2025-04-14,239.06,3321717,IBM
2025-04-15,240.7,3363708,IBM
2025-04-16,238.57,4870299,IBM
2025-04-17,238.81,4635204,IBM
2025-04-21,236.22,4908923,IBM
2025-04-22,240.9,4232658,IBM
2025-04-23,245.48,7948259,IBM
2025-04-24,229.33,15428144,IBM
2025-04-25,232.41,6700068,IBM
2025-04-28,236.16,3653461,IBM
2025-04-29,239.39,3426508,IBM
2025-04-30,241.82,5142993,IBM
2025-05-01,239.66,4243294,IBM
2025-05-02,245.55,3731946,IBM
2025-05-05,249.18,4138168,IBM
2025-05-06,249.12,2900556,IBM
2025-05-07,253.37,3400001,IBM
2025-05-08,254.14,3637012,IBM
2025-05-09,249.2,2901346,IBM
2025-05-12,253.69,4609520,IBM
2025-05-13,258.59,3521389,IBM
2025-05-14,257.82,3635124,IBM
2025-05-15,266.68,4856276,IBM
2025-05-16,266.76,3817937,IBM
2025-05-19,268.41,3198903,IBM
2025-05-20,266.95,2437860,IBM
2025-05-21,260.87,3753904,IBM
2025-05-22,260.87,42190,IBM
2025-05-23,258.63,2722721,IBM
2025-05-27,263.23,3284216,IBM
2025-05-28,260.24,2318437,IBM
2025-05-29,258.69,2295228,IBM
2025-05-30,259.06,9668923,IBM
2025-06-02,263.9,2831881,IBM
2025-06-03,265.2,2494922,IBM
2025-06-04,265.52,2588741,IBM
2025-06-05,266.86,2659478,IBM
2025-06-06,268.87,2495543,IBM
2025-06-09,272.08,4331464,IBM
2025-06-10,276.24,5163507,IBM
2025-06-11,281.52,4656034,IBM
2025-06-12,281.03,3418007,IBM
2025-06-13,277.22,3243824,IBM
2025-06-16,281.83,3685321,IBM
2025-06-17,283.05,3069556,IBM
2025-06-18,283.21,3534110,IBM
2025-06-20,280.97,7676962,IBM
2025-06-23,289.18,3786159,IBM
2025-06-24,293.79,4219120,IBM
2025-06-25,291.06,3862309,IBM
2025-06-26,291.93,3621110,IBM
2025-06-27,289.7,3562501,IBM
2025-06-30,294.78,3495386,IBM
2025-07-01,291.2,3272797,IBM
2025-07-02,287.65,3257515,IBM
