Date,close,vol,symbol
2024-09-06,169.64,422776,JKHY
2024-09-09,171.9,545806,JKHY
2024-09-10,175.04,557769,JKHY
2024-09-11,174.01,487855,JKHY
2024-09-12,175.54,278140,JKHY
2024-09-13,176.07,323036,JKHY
2024-09-16,177.06,225181,JKHY
2024-09-17,175.69,343101,JKHY
2024-09-18,174.21,270598,JKHY
2024-09-19,175.6,394683,JKHY
2024-09-20,173.59,579661,JKHY
2024-09-23,174.85,258416,JKHY
2024-09-24,173.71,385223,JKHY
2024-09-25,170.28,783099,JKHY
2024-09-26,174.14,601892,JKHY
2024-09-27,175.99,415312,JKHY
2024-09-30,176.54,447913,JKHY
2024-10-01,179.7,602234,JKHY
2024-10-02,179.55,344182,JKHY
2024-10-03,183.58,795528,JKHY
2024-10-04,182.14,526979,JKHY
2024-10-07,179.81,335511,JKHY
2024-10-08,181.29,459659,JKHY
2024-10-09,182.45,294289,JKHY
2024-10-10,181.58,563620,JKHY
2024-10-11,183.38,360029,JKHY
2024-10-14,184.29,327366,JKHY
2024-10-15,184.71,520268,JKHY
2024-10-16,185.67,315770,JKHY
2024-10-17,185.98,420635,JKHY
2024-10-18,186.12,304180,JKHY
2024-10-21,184.97,322100,JKHY
2024-10-22,183.28,358335,JKHY
2024-10-23,184.42,668098,JKHY
2024-10-24,184.59,428208,JKHY
2024-10-25,182.44,322029,JKHY
2024-10-28,183.57,298046,JKHY
2024-10-29,182.66,297710,JKHY
2024-10-30,182.78,438983,JKHY
2024-10-31,181.93,570220,JKHY
2024-11-01,183.06,443078,JKHY
2024-11-04,184.32,644495,JKHY
2024-11-05,185.52,601739,JKHY
2024-11-06,180.4,1436213,JKHY
2024-11-07,179.97,720773,JKHY
2024-11-08,179.77,560993,JKHY
2024-11-11,177.06,685992,JKHY
2024-11-12,177.11,547182,JKHY
2024-11-13,174.95,639687,JKHY
2024-11-14,172.45,568906,JKHY
2024-11-15,173.21,1734081,JKHY
2024-11-18,172.06,435836,JKHY
2024-11-19,171.63,570729,JKHY
2024-11-20,171.12,446802,JKHY
2024-11-21,172.5,445045,JKHY
2024-11-22,172.5,558994,JKHY
2024-11-25,172.39,1106753,JKHY
2024-11-26,173.1,592363,JKHY
2024-11-27,173.96,723614,JKHY
2024-11-29,176.18,573129,JKHY
2024-12-02,175.66,807903,JKHY
2024-12-03,175.33,623048,JKHY
2024-12-04,172.36,1265547,JKHY
2024-12-05,173.61,650968,JKHY
2024-12-06,173.01,574501,JKHY
2024-12-09,174.8,530104,JKHY
2024-12-10,177.27,691058,JKHY
2024-12-11,178.85,780146,JKHY
2024-12-12,180.55,672081,JKHY
2024-12-13,179.8,530486,JKHY
2024-12-16,178.08,537730,JKHY
2024-12-17,177.67,386125,JKHY
2024-12-18,176.5,1126440,JKHY
2024-12-19,175.99,777967,JKHY
2024-12-20,176.74,1030514,JKHY
2024-12-23,175.64,294860,JKHY
2024-12-24,177.05,142747,JKHY
2024-12-26,177.51,348750,JKHY
2024-12-27,176.88,303199,JKHY
2024-12-30,175.08,275834,JKHY
2024-12-31,175.3,268397,JKHY
2025-01-02,172.97,416824,JKHY
2025-01-03,173.7,378348,JKHY
2025-01-06,169.63,516897,JKHY
2025-01-07,171.34,545976,JKHY
2025-01-08,173.45,550340,JKHY
2025-01-10,172.0,679677,JKHY
2025-01-13,173.25,736448,JKHY
2025-01-14,172.37,795742,JKHY
2025-01-15,171.97,696976,JKHY
2025-01-16,172.5,774929,JKHY
2025-01-17,173.16,391361,JKHY
2025-01-21,174.75,384022,JKHY
2025-01-22,173.54,535180,JKHY
2025-01-23,174.12,491907,JKHY
