Date,close,vol,symbol
2024-09-06,80.09,2778034,K
2024-09-09,80.17,1982081,K
2024-09-10,80.0,2387262,K
2024-09-11,79.92,2656112,K
2024-09-12,80.26,3569494,K
2024-09-13,80.68,2266871,K
2024-09-16,80.68,2276521,K
2024-09-17,80.64,2212175,K
2024-09-18,80.65,2455583,K
2024-09-19,80.65,1792681,K
2024-09-20,80.81,5842923,K
2024-09-23,80.62,1642786,K
2024-09-24,80.67,1412857,K
2024-09-25,80.59,1627379,K
2024-09-26,80.64,1421125,K
2024-09-27,80.78,1330354,K
2024-09-30,80.71,2376699,K
2024-10-01,80.65,2728623,K
2024-10-02,80.59,1995952,K
2024-10-03,80.63,1788430,K
2024-10-04,80.61,1198123,K
2024-10-07,80.62,1825494,K
2024-10-08,80.56,1999198,K
2024-10-09,80.56,1446164,K
2024-10-10,80.54,1794568,K
2024-10-11,80.55,1151966,K
2024-10-14,80.63,1293440,K
2024-10-15,80.93,1305851,K
2024-10-16,81.06,808958,K
2024-10-17,81.02,1205333,K
2024-10-18,81.05,1643104,K
2024-10-21,81.17,2157573,K
2024-10-22,80.92,2109439,K
2024-10-23,80.96,1455904,K
2024-10-24,81.03,1399770,K
2024-10-25,80.88,1894268,K
2024-10-28,80.6,2488517,K
2024-10-29,80.57,1911047,K
2024-10-30,80.85,1221739,K
2024-10-31,80.65,3244044,K
2024-11-01,80.61,3773971,K
2024-11-04,80.6,1858077,K
2024-11-05,80.86,2081775,K
2024-11-06,80.94,3799952,K
2024-11-07,80.66,2632032,K
2024-11-08,81.0,1241579,K
2024-11-11,81.1,1410205,K
2024-11-12,81.03,1180909,K
2024-11-13,81.18,1124776,K
2024-11-14,80.85,2454209,K
2024-11-15,80.57,3846286,K
2024-11-18,80.6,2480665,K
2024-11-19,80.55,1752297,K
2024-11-20,80.78,1383867,K
2024-11-21,81.02,1833276,K
2024-11-22,81.17,1525418,K
2024-11-25,81.11,4011555,K
2024-11-26,81.13,1123436,K
2024-11-27,81.15,1292768,K
2024-11-29,81.29,1054007,K
2024-12-02,80.7,2653709,K
2024-12-03,80.59,1220935,K
2024-12-04,80.49,2040450,K
2024-12-05,80.77,1568089,K
2024-12-06,80.74,1187405,K
2024-12-09,80.58,1409569,K
2024-12-10,80.7,1341940,K
2024-12-11,80.64,1648021,K
2024-12-12,80.71,1373815,K
2024-12-13,80.56,2632314,K
2024-12-16,80.66,1907059,K
2024-12-17,80.59,2609675,K
2024-12-18,80.39,4008844,K
2024-12-19,80.34,2230925,K
2024-12-20,80.5,5307417,K
2024-12-23,80.7,1228725,K
2024-12-24,80.82,577930,K
2024-12-26,81.11,909371,K
2024-12-27,81.17,921988,K
2024-12-30,80.82,1331597,K
2024-12-31,80.97,1094995,K
2025-01-02,81.06,2041018,K
2025-01-03,81.21,1521717,K
2025-01-06,81.22,1986006,K
2025-01-07,81.35,2514825,K
2025-01-08,81.54,1643043,K
2025-01-10,81.51,1821055,K
2025-01-13,81.51,2560990,K
2025-01-14,81.43,2302266,K
2025-01-15,81.19,3116422,K
2025-01-16,81.56,2888426,K
2025-01-17,81.78,2647223,K
2025-01-21,81.69,3778015,K
2025-01-22,81.64,1417288,K
2025-01-23,81.77,868468,K
2025-01-24,81.87,1579688,K
2025-01-27,81.96,2773410,K
2025-01-28,81.8,1697026,K
2025-01-29,81.77,1155128,K
2025-01-30,81.94,1582146,K
2025-01-31,81.73,8377054,K
2025-02-03,81.76,1953572,K
2025-02-04,81.75,1442647,K
2025-02-05,81.86,2006006,K
2025-02-06,82.13,2404110,K
2025-02-07,82.3,1383545,K
2025-02-10,82.28,2675960,K
2025-02-11,82.2,1439983,K
2025-02-12,82.18,3070567,K
2025-02-13,82.21,4126790,K
2025-02-14,82.26,2982343,K
2025-02-18,82.32,2693996,K
2025-02-19,82.41,2495448,K
2025-02-20,82.45,1615414,K
2025-02-21,82.66,2684176,K
2025-02-24,82.72,2494589,K
2025-02-25,82.69,2437734,K
2025-02-26,82.62,1894016,K
2025-02-27,82.5,2364692,K
2025-02-28,82.9,3386223,K
2025-03-03,82.61,2363891,K
2025-03-04,82.36,2838746,K
2025-03-05,82.37,2948278,K
2025-03-06,82.43,1891461,K
2025-03-07,82.45,2950486,K
2025-03-10,82.45,2778725,K
2025-03-11,82.23,3907630,K
2025-03-12,82.29,1884530,K
2025-03-13,82.3,1892642,K
2025-03-14,82.23,2021662,K
2025-03-17,82.38,1426144,K
2025-03-18,82.35,1605481,K
2025-03-19,82.35,1245628,K
2025-03-20,82.33,3693277,K
2025-03-21,82.51,3087145,K
2025-03-24,82.5,3348879,K
2025-03-25,82.39,1734446,K
2025-03-26,82.45,1973120,K
2025-03-27,82.45,1003705,K
2025-03-28,82.47,1328231,K
2025-03-31,82.49,3027546,K
2025-04-01,82.5,2316609,K
2025-04-02,82.45,1956974,K
2025-04-03,82.55,2143600,K
2025-04-04,82.24,5082509,K
2025-04-07,81.64,9789086,K
2025-04-08,81.69,4985103,K
2025-04-09,82.26,5288478,K
