Date,close,vol,symbol
2024-09-06,35.84,5831944,KHC
2024-09-09,36.05,6559137,KHC
2024-09-10,35.52,4669276,KHC
2024-09-11,35.16,6414566,KHC
2024-09-12,35.2,4611097,KHC
2024-09-13,35.59,5126818,KHC
2024-09-16,35.63,5390475,KHC
2024-09-17,35.04,7139593,KHC
2024-09-18,35.14,5392615,KHC
2024-09-19,34.99,7115449,KHC
2024-09-20,34.96,36463922,KHC
2024-09-23,34.68,7264396,KHC
2024-09-24,34.7,5001544,KHC
2024-09-25,34.52,6158325,KHC
2024-09-26,34.8,6024624,KHC
2024-09-27,35.37,8654202,KHC
2024-09-30,35.11,4977964,KHC
2024-10-01,35.17,6149866,KHC
2024-10-02,34.37,8096997,KHC
2024-10-03,34.17,6316365,KHC
2024-10-04,34.59,4808768,KHC
2024-10-07,34.59,5087541,KHC
2024-10-08,34.66,4695956,KHC
2024-10-09,34.67,4149248,KHC
2024-10-10,34.83,4226094,KHC
2024-10-11,35.22,5008436,KHC
2024-10-14,35.36,3823292,KHC
2024-10-15,35.72,5578989,KHC
2024-10-16,35.81,5026138,KHC
2024-10-17,35.95,5701526,KHC
2024-10-18,36.0,5503911,KHC
2024-10-21,35.49,8775478,KHC
2024-10-22,35.64,7665540,KHC
2024-10-23,35.5,5858133,KHC
2024-10-24,35.03,7983175,KHC
2024-10-25,34.74,7533096,KHC
2024-10-28,35.13,7061545,KHC
2024-10-29,34.8,7665140,KHC
2024-10-30,33.73,14145574,KHC
2024-10-31,33.46,10352704,KHC
2024-11-01,33.49,5676568,KHC
2024-11-04,33.38,7130873,KHC
2024-11-05,33.51,7837536,KHC
2024-11-06,33.42,11607416,KHC
2024-11-07,32.82,8671061,KHC
2024-11-08,33.0,7751547,KHC
2024-11-11,32.53,8029771,KHC
2024-11-12,32.0,10450155,KHC
2024-11-13,32.13,7686146,KHC
2024-11-14,31.79,11067313,KHC
2024-11-15,31.14,17403523,KHC
2024-11-18,31.07,10973886,KHC
2024-11-19,30.58,14515351,KHC
2024-11-20,30.88,11972205,KHC
2024-11-21,31.09,14034357,KHC
2024-11-22,31.81,12404544,KHC
2024-11-25,32.02,17343746,KHC
2024-11-26,31.97,8526896,KHC
2024-11-27,31.93,6703961,KHC
2024-11-29,31.97,5883760,KHC
2024-12-02,31.61,13136962,KHC
2024-12-03,31.45,13276046,KHC
2024-12-04,31.0,9816771,KHC
2024-12-05,30.91,10090247,KHC
2024-12-06,30.81,11872951,KHC
2024-12-09,31.72,13818885,KHC
2024-12-10,31.59,12112178,KHC
2024-12-11,31.29,9497621,KHC
2024-12-12,31.55,9055616,KHC
2024-12-13,31.69,7352674,KHC
2024-12-16,30.97,12778831,KHC
2024-12-17,31.25,11668010,KHC
2024-12-18,30.3,19036354,KHC
2024-12-19,30.1,13772402,KHC
2024-12-20,30.52,20432014,KHC
2024-12-23,30.46,7712888,KHC
2024-12-24,30.64,4005735,KHC
2024-12-26,30.55,6380279,KHC
2024-12-27,30.68,6861723,KHC
2024-12-30,30.36,7009842,KHC
2024-12-31,30.71,6199501,KHC
2025-01-02,30.77,6059183,KHC
2025-01-03,30.61,7848868,KHC
2025-01-06,30.05,10834979,KHC
2025-01-07,29.77,8225307,KHC
2025-01-08,29.66,7934610,KHC
2025-01-10,28.51,14245356,KHC
2025-01-13,28.78,14996038,KHC
2025-01-14,28.71,10439413,KHC
2025-01-15,28.73,9317011,KHC
2025-01-16,28.97,7491362,KHC
2025-01-17,29.27,8067185,KHC
2025-01-21,29.48,8598178,KHC
2025-01-22,29.07,8637719,KHC
2025-01-23,29.07,5972793,KHC
2025-01-24,29.31,9830086,KHC
2025-01-27,30.2,10534266,KHC
2025-01-28,29.59,8272951,KHC
2025-01-29,29.66,5710104,KHC
2025-01-30,30.27,9714187,KHC
2025-01-31,29.84,7491084,KHC
2025-02-03,29.28,9096027,KHC
2025-02-04,28.7,11292716,KHC
2025-02-05,28.61,17805788,KHC
2025-02-06,29.01,8689274,KHC
2025-02-07,29.3,7770036,KHC
2025-02-10,28.96,9991731,KHC
2025-02-11,29.58,9280491,KHC
2025-02-12,28.62,19137889,KHC
2025-02-13,29.25,14620727,KHC
2025-02-14,28.92,9272307,KHC
2025-02-18,29.32,11786151,KHC
2025-02-19,29.79,9573331,KHC
2025-02-20,30.16,8641098,KHC
2025-02-21,31.13,14717854,KHC
2025-02-24,31.36,12637585,KHC
2025-02-25,31.73,10326593,KHC
2025-02-26,30.62,10465633,KHC
2025-02-27,30.65,10348319,KHC
2025-02-28,30.71,12186645,KHC
2025-03-03,31.32,8911036,KHC
2025-03-04,30.98,13271571,KHC
2025-03-05,30.99,9295351,KHC
2025-03-06,31.28,9692835,KHC
2025-03-07,32.18,15742556,KHC
2025-03-10,32.22,14768927,KHC
2025-03-11,31.1,14230062,KHC
2025-03-12,30.3,13434543,KHC
2025-03-13,30.19,10891576,KHC
2025-03-14,30.23,9850531,KHC
2025-03-17,30.66,9934914,KHC
2025-03-18,30.39,7070577,KHC
2025-03-19,29.89,14547074,KHC
2025-03-20,29.71,13811558,KHC
2025-03-21,29.52,25261679,KHC
2025-03-24,29.12,13803931,KHC
2025-03-25,29.1,9391200,KHC
2025-03-26,29.69,8245545,KHC
2025-03-27,30.07,8164209,KHC
2025-03-28,30.24,8253587,KHC
2025-03-31,30.43,8892062,KHC
2025-04-01,30.34,8155469,KHC
2025-04-02,30.13,8376185,KHC
2025-04-03,30.81,11922649,KHC
2025-04-04,29.68,16750631,KHC
2025-04-07,28.53,19681066,KHC
2025-04-08,27.69,18099603,KHC
2025-04-09,29.1,18620810,KHC
2025-04-10,28.84,11696641,KHC
2025-04-11,29.33,9710739,KHC
2025-04-14,29.8,8231058,KHC
2025-04-15,29.42,7747372,KHC
2025-04-16,28.81,8217942,KHC
2025-04-17,29.46,7779466,KHC
2025-04-21,29.94,6921197,KHC
2025-04-22,30.2,8982514,KHC
2025-04-23,30.09,7552405,KHC
2025-04-24,29.64,8345503,KHC
2025-04-25,29.49,8152812,KHC
2025-04-28,28.81,19240304,KHC
2025-04-29,28.87,12555081,KHC
2025-04-30,29.1,8557846,KHC
2025-05-01,28.5,9696163,KHC
2025-05-02,28.64,8674688,KHC
2025-05-05,28.59,7861147,KHC
2025-05-06,28.4,6381527,KHC
2025-05-07,28.23,8767779,KHC
2025-05-08,28.49,8218549,KHC
2025-05-09,28.07,6662381,KHC
2025-05-12,28.15,16321639,KHC
2025-05-13,27.59,14980296,KHC
2025-05-14,27.17,12003836,KHC
2025-05-15,27.49,9242880,KHC
2025-05-16,27.74,8897073,KHC
2025-05-19,27.88,9664252,KHC
2025-05-20,27.9,9569790,KHC
2025-05-21,26.63,21072921,KHC
2025-05-22,26.5,16284450,KHC
2025-05-23,26.3,10300135,KHC
2025-05-27,26.83,11200908,KHC
2025-05-28,26.54,9098193,KHC
2025-05-29,27.02,12549834,KHC
2025-05-30,26.73,17519467,KHC
2025-06-02,26.63,10484186,KHC
2025-06-03,26.79,13357081,KHC
2025-06-04,26.7,14246932,KHC
2025-06-05,26.62,11703166,KHC
2025-06-06,26.73,6556189,KHC
2025-06-09,26.48,12632834,KHC
2025-06-10,26.59,10787161,KHC
2025-06-11,26.42,10180021,KHC
2025-06-12,26.46,7437375,KHC
2025-06-13,26.08,12764155,KHC
2025-06-16,25.79,13461246,KHC
2025-06-17,25.75,13994258,KHC
2025-06-18,25.68,12394898,KHC
2025-06-20,25.8,24954349,KHC
2025-06-23,25.92,15043855,KHC
2025-06-24,26.03,13082722,KHC
2025-06-25,25.73,17547353,KHC
2025-06-26,25.79,16070985,KHC
2025-06-27,25.61,34119274,KHC
2025-06-30,25.82,18624283,KHC
2025-07-01,26.61,23442279,KHC
2025-07-02,27.06,17011567,KHC
2025-07-03,26.66,9176852,KHC
2025-07-07,26.08,13326554,KHC
2025-07-08,26.43,12625389,KHC
2025-07-09,26.45,13838809,KHC
2025-07-10,26.47,15838009,KHC
2025-07-11,27.14,52440899,KHC
2025-07-14,27.8,37271849,KHC
2025-07-15,27.12,20365030,KHC
2025-07-16,27.58,19950497,KHC
2025-07-17,28.13,17564503,KHC
2025-07-18,27.82,18389287,KHC
2025-07-21,27.48,17895824,KHC
