Date,close,vol,symbol
2024-09-06,456.85,2012129,LIN
2024-09-09,463.08,2076187,LIN
2024-09-10,463.72,1247096,LIN
2024-09-11,465.11,1585448,LIN
2024-09-12,467.34,1917022,LIN
2024-09-13,468.81,1162683,LIN
2024-09-16,474.91,1307227,LIN
2024-09-17,471.66,1357093,LIN
2024-09-18,467.03,1149879,LIN
2024-09-19,469.17,1897226,LIN
2024-09-20,471.91,3672715,LIN
2024-09-23,477.36,1148395,LIN
2024-09-24,479.35,1588622,LIN
2024-09-25,477.01,1283879,LIN
2024-09-26,481.68,1092768,LIN
2024-09-27,479.51,1252607,LIN
2024-09-30,476.86,1532652,LIN
2024-10-01,475.02,1342135,LIN
2024-10-02,475.84,1024605,LIN
2024-10-03,469.75,1072337,LIN
2024-10-04,468.18,2131023,LIN
2024-10-07,463.24,2019552,LIN
2024-10-08,469.44,1272286,LIN
2024-10-09,469.57,1245473,LIN
2024-10-10,469.42,1249525,LIN
2024-10-11,474.04,1105320,LIN
2024-10-14,477.58,1076836,LIN
2024-10-15,480.71,1477106,LIN
2024-10-16,483.98,1210130,LIN
2024-10-17,486.06,1051750,LIN
2024-10-18,486.45,1255247,LIN
2024-10-21,483.36,1065694,LIN
2024-10-22,481.95,1429702,LIN
2024-10-23,477.43,1541370,LIN
2024-10-24,474.46,994284,LIN
2024-10-25,473.76,2458462,LIN
2024-10-28,476.0,1440395,LIN
2024-10-29,474.66,2056582,LIN
2024-10-30,473.4,1794313,LIN
2024-10-31,456.15,3615602,LIN
2024-11-01,457.31,2347398,LIN
2024-11-04,458.32,1616117,LIN
2024-11-05,454.89,1749314,LIN
2024-11-06,462.63,2626911,LIN
2024-11-07,465.47,1925468,LIN
2024-11-08,459.48,1496836,LIN
2024-11-11,456.44,1981242,LIN
2024-11-12,455.59,1748986,LIN
2024-11-13,456.24,1538420,LIN
2024-11-14,453.49,1666958,LIN
2024-11-15,449.1,2417805,LIN
2024-11-18,448.57,1751439,LIN
2024-11-19,444.06,2084551,LIN
2024-11-20,450.14,1928675,LIN
2024-11-21,455.07,2072800,LIN
2024-11-22,454.78,1864846,LIN
2024-11-25,455.69,3835798,LIN
2024-11-26,456.6,2600009,LIN
2024-11-27,457.12,2069423,LIN
2024-11-29,460.99,1351468,LIN
2024-12-02,459.69,1801780,LIN
2024-12-03,458.12,1868338,LIN
2024-12-04,459.45,2188342,LIN
2024-12-05,448.58,2303191,LIN
2024-12-06,449.44,2191258,LIN
2024-12-09,442.58,2833882,LIN
2024-12-10,444.81,2326077,LIN
2024-12-11,440.53,1612808,LIN
2024-12-12,438.5,1719345,LIN
2024-12-13,435.3,2254458,LIN
2024-12-16,428.3,3691695,LIN
2024-12-17,430.2,3320194,LIN
2024-12-18,422.27,3271876,LIN
2024-12-19,419.59,3292000,LIN
2024-12-20,424.31,6680941,LIN
2024-12-23,422.33,2084301,LIN
2024-12-24,425.77,824227,LIN
2024-12-26,424.32,992356,LIN
2024-12-27,422.98,1444989,LIN
2024-12-30,417.66,1608038,LIN
2024-12-31,418.67,1387116,LIN
2025-01-02,414.17,2112206,LIN
2025-01-03,413.5,1995949,LIN
2025-01-06,412.91,2630831,LIN
2025-01-07,414.95,3209160,LIN
2025-01-08,420.01,2252258,LIN
2025-01-10,414.15,2642597,LIN
2025-01-13,421.43,2824504,LIN
2025-01-14,427.29,2344275,LIN
2025-01-15,427.98,2202422,LIN
2025-01-16,432.49,1511580,LIN
2025-01-17,436.0,2412198,LIN
2025-01-21,442.46,2281956,LIN
2025-01-22,442.6,2644136,LIN
2025-01-23,440.83,1811291,LIN
2025-01-24,439.25,1547782,LIN
2025-01-27,439.49,2833438,LIN
2025-01-28,435.51,2158432,LIN
2025-01-29,438.32,2631137,LIN
2025-01-30,446.38,2545904,LIN
2025-01-31,446.12,2820686,LIN
2025-02-03,454.21,2701167,LIN
2025-02-04,454.8,2504031,LIN
2025-02-05,453.7,2696917,LIN
2025-02-06,460.68,2423313,LIN
2025-02-07,455.05,1668297,LIN
2025-02-10,460.86,1876673,LIN
2025-02-11,460.74,1587791,LIN
2025-02-12,458.56,1695193,LIN
2025-02-13,461.05,2265301,LIN
2025-02-14,457.0,1705911,LIN
2025-02-18,465.83,2808528,LIN
2025-02-19,462.07,1884034,LIN
2025-02-20,461.9,1335404,LIN
2025-02-21,458.0,1939576,LIN
2025-02-24,458.53,2108438,LIN
2025-02-25,467.49,2342221,LIN
2025-02-26,461.55,1576105,LIN
2025-02-27,460.28,2071026,LIN
2025-02-28,467.05,2332945,LIN
2025-03-03,462.25,3072964,LIN
2025-03-04,461.35,5027155,LIN
2025-03-05,468.25,2385768,LIN
2025-03-06,466.16,3712070,LIN
2025-03-07,468.77,1824011,LIN
2025-03-10,462.06,3129441,LIN
2025-03-11,454.07,2845743,LIN
2025-03-12,451.17,2652654,LIN
2025-03-13,453.26,2213633,LIN
2025-03-14,455.5,1912021,LIN
2025-03-17,460.31,1890240,LIN
2025-03-18,460.71,2023019,LIN
2025-03-19,459.75,4051469,LIN
2025-03-20,457.75,2298071,LIN
2025-03-21,458.33,4969941,LIN
2025-03-24,459.09,2049568,LIN
2025-03-25,457.45,2002532,LIN
2025-03-26,461.43,1598026,LIN
2025-03-27,464.73,1493262,LIN
2025-03-28,459.11,1334716,LIN
2025-03-31,465.64,2373378,LIN
2025-04-01,467.09,1544564,LIN
2025-04-02,469.74,1527659,LIN
2025-04-03,467.22,2445217,LIN
2025-04-04,437.96,4431105,LIN
2025-04-07,425.86,4159539,LIN
2025-04-08,413.33,3780849,LIN
2025-04-09,445.97,4103289,LIN
2025-04-10,431.88,4238951,LIN
2025-04-11,441.83,3343266,LIN
2025-04-14,446.03,1897990,LIN
2025-04-15,450.97,2321026,LIN
2025-04-16,447.99,1828949,LIN
2025-04-17,452.12,1730215,LIN
2025-04-21,443.85,1303436,LIN
2025-04-22,454.61,1458629,LIN
2025-04-23,448.21,1973407,LIN
2025-04-24,449.53,2114487,LIN
2025-04-25,448.4,1866598,LIN
2025-04-28,448.0,1644902,LIN
2025-04-29,450.58,1214237,LIN
2025-04-30,453.23,2670418,LIN
2025-05-01,448.05,2540397,LIN
2025-05-02,454.95,1548579,LIN
2025-05-05,452.49,1462273,LIN
2025-05-06,447.05,1441332,LIN
2025-05-07,449.66,1573910,LIN
2025-05-08,453.23,1626400,LIN
2025-05-09,452.66,1058926,LIN
2025-05-12,454.42,1945023,LIN
2025-05-13,450.67,1666379,LIN
2025-05-14,445.97,1941350,LIN
2025-05-15,454.22,2279549,LIN
2025-05-16,457.77,1850524,LIN
2025-05-19,460.33,1640507,LIN
2025-05-20,459.85,1329671,LIN
2025-05-21,455.5,1867558,LIN
2025-05-22,459.0,1654382,LIN
2025-05-23,458.9,1627136,LIN
2025-05-27,467.95,3330804,LIN
2025-05-28,462.51,2692904,LIN
2025-05-29,464.08,1306844,LIN
2025-05-30,467.58,4344892,LIN
2025-06-02,464.57,1865696,LIN
2025-06-03,471.82,2606559,LIN
2025-06-04,473.77,2092877,LIN
2025-06-05,470.26,1680570,LIN
2025-06-06,472.71,1352754,LIN
2025-06-09,472.17,1616184,LIN
2025-06-10,475.56,1859638,LIN
2025-06-11,468.54,2734175,LIN
2025-06-12,470.53,1572760,LIN
