Date,close,vol,symbol
2024-09-06,243.81,1889727,LOW
2024-09-09,244.73,1823006,LOW
2024-09-10,247.38,2112914,LOW
2024-09-11,247.38,1841498,LOW
2024-09-12,252.05,2223687,LOW
2024-09-13,255.41,2118111,LOW
2024-09-16,256.64,1591253,LOW
2024-09-17,256.72,1343594,LOW
2024-09-18,256.63,1625278,LOW
2024-09-19,261.0,2261448,LOW
2024-09-20,260.14,4470317,LOW
2024-09-23,262.29,2131018,LOW
2024-09-24,266.04,3414069,LOW
2024-09-25,264.97,1815547,LOW
2024-09-26,265.61,2254578,LOW
2024-09-27,267.14,1852410,LOW
2024-09-30,270.85,2033056,LOW
2024-10-01,272.64,2552393,LOW
2024-10-02,271.86,2244216,LOW
2024-10-03,270.21,1634627,LOW
2024-10-04,267.76,2245752,LOW
2024-10-07,268.54,2302061,LOW
2024-10-08,273.27,1947866,LOW
2024-10-09,277.18,2431030,LOW
2024-10-10,273.21,1714497,LOW
2024-10-11,275.76,1303706,LOW
2024-10-14,280.73,1760290,LOW
2024-10-15,281.83,2369110,LOW
2024-10-16,284.05,1754965,LOW
2024-10-17,281.31,1574212,LOW
2024-10-18,281.64,2031301,LOW
2024-10-21,276.84,2438280,LOW
2024-10-22,272.22,3102498,LOW
2024-10-23,270.11,2109433,LOW
2024-10-24,271.36,2025982,LOW
2024-10-25,267.64,1788117,LOW
2024-10-28,267.97,2140445,LOW
2024-10-29,262.97,2311324,LOW
2024-10-30,261.39,2356532,LOW
2024-10-31,261.83,2950658,LOW
2024-11-01,261.94,2262390,LOW
2024-11-04,264.98,1741746,LOW
2024-11-05,269.18,1562891,LOW
2024-11-06,261.73,4439548,LOW
2024-11-07,266.3,1972519,LOW
2024-11-08,271.1,2102467,LOW
2024-11-11,274.51,2252308,LOW
2024-11-12,269.9,2634640,LOW
2024-11-13,272.32,1820019,LOW
2024-11-14,270.35,2324168,LOW
2024-11-15,269.4,2264979,LOW
2024-11-18,271.77,2603906,LOW
2024-11-19,259.26,4214007,LOW
2024-11-20,263.03,2864500,LOW
2024-11-21,265.22,1844990,LOW
