Date,close,vol,symbol
2024-09-06,75.31,8019940,MDLZ
2024-09-09,75.71,8018327,MDLZ
2024-09-10,75.13,4770251,MDLZ
2024-09-11,74.35,5327505,MDLZ
2024-09-12,74.38,5808956,MDLZ
2024-09-13,75.26,3603123,MDLZ
2024-09-16,75.53,4731140,MDLZ
2024-09-17,75.1,3533625,MDLZ
2024-09-18,75.05,4622201,MDLZ
2024-09-19,74.78,5091258,MDLZ
2024-09-20,74.28,11330174,MDLZ
2024-09-23,74.57,5274041,MDLZ
2024-09-24,74.16,8149579,MDLZ
2024-09-25,74.06,4949754,MDLZ
2024-09-26,74.32,3961504,MDLZ
2024-09-27,74.2,4697065,MDLZ
2024-09-30,73.67,5792771,MDLZ
2024-10-01,72.99,5307595,MDLZ
2024-10-02,72.28,5047618,MDLZ
2024-10-03,71.16,4997089,MDLZ
2024-10-04,71.51,4379169,MDLZ
2024-10-07,71.0,4354569,MDLZ
2024-10-08,70.85,4186267,MDLZ
2024-10-09,71.05,4317073,MDLZ
2024-10-10,71.14,4572292,MDLZ
2024-10-11,70.66,4338547,MDLZ
2024-10-14,70.53,5143542,MDLZ
2024-10-15,71.8,5888611,MDLZ
2024-10-16,71.91,4231507,MDLZ
2024-10-17,71.12,5208532,MDLZ
2024-10-18,71.58,7373977,MDLZ
2024-10-21,70.43,4811746,MDLZ
2024-10-22,71.35,5687550,MDLZ
2024-10-23,70.56,6588680,MDLZ
2024-10-24,69.95,4756803,MDLZ
2024-10-25,69.23,6176667,MDLZ
2024-10-28,69.54,4821898,MDLZ
2024-10-29,69.15,8407609,MDLZ
2024-10-30,69.79,10475181,MDLZ
2024-10-31,68.48,7207838,MDLZ
2024-11-01,68.51,6470448,MDLZ
2024-11-04,68.36,5704387,MDLZ
2024-11-05,69.05,5383773,MDLZ
2024-11-06,66.37,9758623,MDLZ
2024-11-07,65.72,6511632,MDLZ
2024-11-08,66.2,4864543,MDLZ
2024-11-11,66.1,7972393,MDLZ
2024-11-12,66.52,6304294,MDLZ
2024-11-13,66.0,5389181,MDLZ
2024-11-14,65.56,6837737,MDLZ
2024-11-15,64.49,7204038,MDLZ
2024-11-18,63.84,6983698,MDLZ
2024-11-19,63.87,5621715,MDLZ
2024-11-20,64.42,5232709,MDLZ
2024-11-21,64.79,6971787,MDLZ
2024-11-22,64.4,7125277,MDLZ
2024-11-25,64.94,10733802,MDLZ
2024-11-26,64.88,8706110,MDLZ
2024-11-27,65.06,5045026,MDLZ
2024-11-29,64.95,5095986,MDLZ
2024-12-02,65.23,9985399,MDLZ
2024-12-03,64.81,6626778,MDLZ
2024-12-04,63.27,8302119,MDLZ
2024-12-05,63.24,10781051,MDLZ
2024-12-06,62.86,6789595,MDLZ
2024-12-09,61.44,19609191,MDLZ
2024-12-10,61.75,9728116,MDLZ
2024-12-11,63.12,12901654,MDLZ
2024-12-12,62.63,8041530,MDLZ
2024-12-13,61.93,7120466,MDLZ
2024-12-16,61.49,9072643,MDLZ
2024-12-17,61.34,10314608,MDLZ
