Date,close,vol,symbol
2024-09-06,82.88,1444960,MKC
2024-09-09,83.24,2787876,MKC
2024-09-10,83.79,1781163,MKC
2024-09-11,82.59,1160326,MKC
2024-09-12,83.17,1408425,MKC
2024-09-13,83.76,1210860,MKC
2024-09-16,84.76,1148911,MKC
2024-09-17,84.5,1251499,MKC
2024-09-18,83.92,1355457,MKC
2024-09-19,83.34,1735356,MKC
2024-09-20,82.99,4289009,MKC
2024-09-23,83.19,1554312,MKC
2024-09-24,83.76,1938994,MKC
2024-09-25,83.38,1246806,MKC
2024-09-26,83.25,1613006,MKC
2024-09-27,83.24,2037412,MKC
2024-09-30,82.3,3215630,MKC
2024-10-01,84.09,4415884,MKC
2024-10-02,82.04,3608944,MKC
2024-10-03,80.89,2423152,MKC
2024-10-04,80.61,1841416,MKC
2024-10-07,79.38,1806175,MKC
2024-10-08,79.63,1408916,MKC
2024-10-09,79.71,1360586,MKC
2024-10-10,79.78,1059597,MKC
2024-10-11,80.18,1550375,MKC
2024-10-14,81.05,1416462,MKC
2024-10-15,81.49,1224050,MKC
2024-10-16,81.11,1098110,MKC
2024-10-17,80.02,1559370,MKC
2024-10-18,80.18,1526895,MKC
2024-10-21,78.06,1961557,MKC
2024-10-22,78.86,3127696,MKC
2024-10-23,79.37,1884287,MKC
2024-10-24,78.77,1580285,MKC
2024-10-25,77.86,1129184,MKC
2024-10-28,78.33,1088871,MKC
2024-10-29,77.48,1201639,MKC
2024-10-30,77.94,1204962,MKC
2024-10-31,78.24,1917582,MKC
2024-11-01,78.75,1517343,MKC
2024-11-04,78.18,1625340,MKC
2024-11-05,78.83,1369750,MKC
2024-11-06,76.66,2015680,MKC
2024-11-07,76.34,1946974,MKC
2024-11-08,77.49,1391476,MKC
2024-11-11,77.03,1590871,MKC
2024-11-12,76.59,1413093,MKC
2024-11-13,75.84,1551743,MKC
2024-11-14,74.92,1190423,MKC
2024-11-15,73.97,3138082,MKC
2024-11-18,74.62,1855562,MKC
2024-11-19,75.31,1960244,MKC
2024-11-20,77.13,2118097,MKC
2024-11-21,77.95,2024317,MKC
2024-11-22,77.58,1358959,MKC
2024-11-25,77.28,2418233,MKC
2024-11-26,77.81,1239371,MKC
2024-11-27,77.79,1156661,MKC
2024-11-29,78.41,839285,MKC
2024-12-02,78.37,1771391,MKC
2024-12-03,77.99,1382729,MKC
2024-12-04,77.52,2222526,MKC
2024-12-05,78.14,1761418,MKC
2024-12-06,77.5,1557498,MKC
2024-12-09,79.97,2782911,MKC
2024-12-10,81.94,2989879,MKC
2024-12-11,81.36,1529909,MKC
2024-12-12,81.41,1360748,MKC
2024-12-13,80.56,1467746,MKC
2024-12-16,80.17,1519818,MKC
2024-12-17,80.31,2602512,MKC
2024-12-18,79.17,1697153,MKC
2024-12-19,78.24,1411267,MKC
2024-12-20,78.86,3353316,MKC
2024-12-23,78.13,1320115,MKC
2024-12-24,78.03,538495,MKC
2024-12-26,77.83,2102575,MKC
2024-12-27,77.05,1235460,MKC
2024-12-30,75.45,1612177,MKC
2024-12-31,76.24,1201120,MKC
2025-01-02,75.88,1062251,MKC
2025-01-03,75.85,910480,MKC
2025-01-06,74.13,1967346,MKC
2025-01-07,74.32,2034531,MKC
2025-01-08,74.52,1456812,MKC
2025-01-10,71.39,2026406,MKC
2025-01-13,71.24,3305282,MKC
2025-01-14,71.89,2217537,MKC
2025-01-15,71.78,2345967,MKC
2025-01-16,73.62,1290846,MKC
2025-01-17,73.31,1845006,MKC
2025-01-21,74.25,3576586,MKC
2025-01-22,73.24,2036406,MKC
2025-01-23,74.76,3567800,MKC
2025-01-24,74.89,2648204,MKC
2025-01-27,76.95,4330489,MKC
2025-01-28,76.69,1984484,MKC
2025-01-29,76.93,1816796,MKC
2025-01-30,77.78,1278865,MKC
2025-01-31,77.23,1462092,MKC
2025-02-03,78.03,1905243,MKC
2025-02-04,76.88,1569787,MKC
2025-02-05,76.8,1452177,MKC
2025-02-06,77.31,1148634,MKC
2025-02-07,78.35,1310724,MKC
2025-02-10,76.67,2028380,MKC
2025-02-11,77.2,1839828,MKC
2025-02-12,76.86,1435373,MKC
2025-02-13,77.51,1301349,MKC
2025-02-14,76.96,1334099,MKC
2025-02-18,75.92,1421638,MKC
2025-02-19,78.66,2627669,MKC
2025-02-20,79.21,1402114,MKC
2025-02-21,80.14,2089746,MKC
2025-02-24,81.22,3179708,MKC
2025-02-25,82.8,2496937,MKC
2025-02-26,80.16,2140896,MKC
2025-02-27,81.64,2370760,MKC
2025-02-28,82.61,2088343,MKC
2025-03-03,84.73,2235840,MKC
2025-03-04,82.36,2505798,MKC
2025-03-05,82.73,1940752,MKC
2025-03-06,81.85,1762470,MKC
2025-03-07,82.62,3604067,MKC
2025-03-10,84.19,4392343,MKC
2025-03-11,83.18,3014677,MKC
2025-03-12,81.55,2560025,MKC
2025-03-13,80.73,2232619,MKC
2025-03-14,80.33,2158504,MKC
2025-03-17,81.86,1465434,MKC
2025-03-18,81.3,1496357,MKC
2025-03-19,81.34,2499458,MKC
2025-03-20,80.7,1679977,MKC
2025-03-21,80.17,3781005,MKC
2025-03-24,80.34,2672820,MKC
2025-03-25,80.23,6273412,MKC
2025-03-26,80.87,2775747,MKC
2025-03-27,81.63,1906044,MKC
2025-03-28,81.46,2176119,MKC
2025-03-31,82.31,1992662,MKC
2025-04-01,82.25,2321177,MKC
2025-04-02,81.29,1667071,MKC
2025-04-03,80.84,4776338,MKC
2025-04-04,76.46,3894840,MKC
2025-04-07,73.92,4690941,MKC
2025-04-08,72.21,3548389,MKC
2025-04-09,75.9,3746302,MKC
2025-04-10,75.54,2518255,MKC
2025-04-11,75.98,1826424,MKC
2025-04-14,77.6,1959231,MKC
2025-04-15,75.27,1639840,MKC
2025-04-16,73.54,2500580,MKC
2025-04-17,75.32,2652839,MKC
2025-04-21,74.67,1679985,MKC
2025-04-22,75.74,1577730,MKC
2025-04-23,76.6,1765788,MKC
2025-04-24,75.01,1289756,MKC
2025-04-25,74.54,1256190,MKC
2025-04-28,74.71,1949911,MKC
2025-04-29,76.03,1357126,MKC
2025-04-30,76.66,2606126,MKC
2025-05-01,75.11,2295541,MKC
2025-05-02,76.02,1826054,MKC
2025-05-05,75.3,1713703,MKC
2025-05-06,74.73,1975897,MKC
2025-05-07,74.96,1606385,MKC
2025-05-08,76.22,2334957,MKC
2025-05-09,76.07,1490327,MKC
2025-05-12,76.49,2349329,MKC
2025-05-13,74.8,2289567,MKC
2025-05-14,73.56,2895885,MKC
2025-05-15,74.74,2432126,MKC
2025-05-16,75.4,4008379,MKC
2025-05-19,74.4,1838418,MKC
2025-05-20,74.21,2054163,MKC
2025-05-21,72.54,2147791,MKC
2025-05-22,72.54,16377,MKC
2025-05-23,71.11,3700796,MKC
2025-05-27,71.8,2437843,MKC
2025-05-28,71.38,2089124,MKC
2025-05-29,72.55,3000229,MKC
2025-05-30,72.73,3262713,MKC
2025-06-02,73.44,3129518,MKC
2025-06-03,73.35,2335852,MKC
2025-06-04,73.24,1152818,MKC
2025-06-05,72.91,1589792,MKC
2025-06-06,74.23,2248803,MKC
2025-06-09,75.22,2272883,MKC
2025-06-10,75.58,2017098,MKC
2025-06-11,75.63,1470518,MKC
2025-06-12,75.81,1842690,MKC
2025-06-13,74.01,1993848,MKC
2025-06-16,73.87,1713009,MKC
2025-06-17,72.96,1796540,MKC
2025-06-18,73.2,1881656,MKC
2025-06-20,73.06,2803715,MKC
2025-06-23,74.89,2668398,MKC
2025-06-24,74.71,2443405,MKC
2025-06-25,73.64,2642761,MKC
2025-06-26,77.57,4695208,MKC
2025-06-27,76.31,3715171,MKC
2025-06-30,75.82,3684536,MKC
2025-07-01,77.17,3060354,MKC
2025-07-02,76.56,2184605,MKC
2025-07-03,75.15,1785186,MKC
2025-07-07,73.39,3419935,MKC
2025-07-08,72.9,3257189,MKC
2025-07-09,72.21,2615413,MKC
2025-07-10,72.44,1845861,MKC
2025-07-11,71.95,1857648,MKC
2025-07-14,71.96,1850945,MKC
2025-07-15,70.75,2276437,MKC
2025-07-16,71.38,1839594,MKC
2025-07-17,71.72,2041426,MKC
2025-07-18,71.42,1423017,MKC
2025-07-21,70.74,1422794,MKC
2025-07-22,72.5,2017200,MKC
2025-07-23,72.41,1704064,MKC
2025-07-24,71.45,2022422,MKC
2025-07-25,71.57,1974296,MKC
2025-07-28,71.61,2137096,MKC
2025-07-29,72.81,2830842,MKC
2025-07-30,71.39,1680088,MKC
2025-07-31,70.63,3634028,MKC
2025-08-01,70.28,1401909,MKC
2025-08-04,70.14,1571867,MKC
2025-08-05,69.75,1906545,MKC
2025-08-06,69.43,2003877,MKC
2025-08-07,70.24,2236023,MKC
2025-08-08,70.32,1466125,MKC
2025-08-11,69.67,1873630,MKC
2025-08-12,69.09,2359591,MKC
