Date,close,vol,symbol
2024-09-06,128.6,3562233,MMM
2024-09-09,128.46,3616263,MMM
2024-09-10,130.09,2732510,MMM
2024-09-11,130.23,3283879,MMM
2024-09-12,132.03,3978880,MMM
2024-09-13,133.18,2670119,MMM
2024-09-16,134.61,3069311,MMM
2024-09-17,133.57,3969018,MMM
2024-09-18,133.36,2960934,MMM
2024-09-19,133.84,2691488,MMM
2024-09-20,134.77,11579638,MMM
2024-09-23,135.64,2638392,MMM
2024-09-24,137.22,3145327,MMM
2024-09-25,136.6,3580080,MMM
2024-09-26,139.44,4111107,MMM
2024-09-27,137.3,2956081,MMM
2024-09-30,136.7,3814148,MMM
2024-10-01,137.06,3050502,MMM
2024-10-02,135.43,2624867,MMM
2024-10-03,134.78,2504927,MMM
2024-10-04,135.27,2387396,MMM
2024-10-07,134.85,2254425,MMM
2024-10-08,134.69,2882081,MMM
2024-10-09,135.01,2671470,MMM
2024-10-10,133.46,3060118,MMM
2024-10-11,134.75,3103642,MMM
2024-10-14,135.76,2207917,MMM
2024-10-15,135.73,2465932,MMM
2024-10-16,136.35,2021056,MMM
2024-10-17,135.68,2328475,MMM
2024-10-18,135.14,2791646,MMM
2024-10-21,134.84,5940581,MMM
2024-10-22,131.73,13082258,MMM
2024-10-23,127.91,8116248,MMM
2024-10-24,126.47,5085135,MMM
2024-10-25,124.75,3774883,MMM
2024-10-28,130.29,5239178,MMM
2024-10-29,129.27,2820351,MMM
2024-10-30,127.56,2737150,MMM
2024-10-31,128.47,3408943,MMM
2024-11-01,127.22,3068858,MMM
2024-11-04,125.85,3643186,MMM
2024-11-05,126.52,3943782,MMM
2024-11-06,133.92,4803188,MMM
2024-11-07,133.07,3906572,MMM
2024-11-08,134.34,3466066,MMM
2024-11-11,133.0,3791282,MMM
2024-11-12,130.35,3144974,MMM
2024-11-13,131.45,2675526,MMM
2024-11-14,132.32,2284136,MMM
2024-11-15,129.79,1929226,MMM
2024-11-18,130.17,2433351,MMM
2024-11-19,128.19,2600637,MMM
2024-11-20,127.84,1700740,MMM
2024-11-21,127.32,2544777,MMM
2024-11-22,128.42,3052490,MMM
2024-11-25,130.32,5075140,MMM
2024-11-26,132.95,3080298,MMM
2024-11-27,132.48,2579605,MMM
2024-11-29,133.53,1618282,MMM
2024-12-02,132.89,3002022,MMM
2024-12-03,131.15,2378362,MMM
2024-12-04,130.45,2503466,MMM
2024-12-05,133.33,4171989,MMM
2024-12-06,133.11,1912419,MMM
2024-12-09,131.49,3442505,MMM
2024-12-10,129.77,3225759,MMM
2024-12-11,129.77,4089900,MMM
2024-12-12,129.75,2915471,MMM
2024-12-13,129.92,2382080,MMM
2024-12-16,129.47,3097874,MMM
2024-12-17,128.05,2693196,MMM
2024-12-18,125.53,3748871,MMM
2024-12-19,127.13,3040663,MMM
2024-12-20,129.28,8351297,MMM
2024-12-23,128.98,2067478,MMM
2024-12-24,130.36,803216,MMM
2024-12-26,131.18,1485103,MMM
2024-12-27,130.18,1842823,MMM
2024-12-30,129.13,2153994,MMM
2024-12-31,129.09,2220414,MMM
2025-01-02,129.7,3249067,MMM
2025-01-03,129.87,2273763,MMM
2025-01-06,130.29,3067149,MMM
2025-01-07,132.77,3414840,MMM
2025-01-08,134.53,4675990,MMM
2025-01-10,131.21,4661931,MMM
2025-01-13,134.6,4207293,MMM
2025-01-14,137.21,4629047,MMM
2025-01-15,137.78,4114327,MMM
2025-01-16,139.18,4122742,MMM
2025-01-17,141.03,5724458,MMM
2025-01-21,146.89,11368492,MMM
2025-01-22,149.12,7077793,MMM
2025-01-23,149.63,4439380,MMM
2025-01-24,149.43,4858639,MMM
2025-01-27,151.52,4929615,MMM
2025-01-28,151.4,4286762,MMM
2025-01-29,151.54,3996082,MMM
