Date,close,vol,symbol
2024-09-06,53.69,8207736,MO
2024-09-09,54.13,8153966,MO
2024-09-10,54.08,6122520,MO
2024-09-11,53.17,7794744,MO
2024-09-12,52.64,7326687,MO
2024-09-13,52.96,7963225,MO
2024-09-16,51.7,11012249,MO
2024-09-17,50.5,10897514,MO
2024-09-18,50.63,7778424,MO
2024-09-19,50.23,10464395,MO
2024-09-20,50.39,22650482,MO
2024-09-23,51.02,10945043,MO
2024-09-24,51.19,7712696,MO
2024-09-25,51.04,7148017,MO
2024-09-26,51.09,6264470,MO
2024-09-27,51.05,4602443,MO
2024-09-30,51.04,10018213,MO
2024-10-01,50.93,7243940,MO
2024-10-02,50.59,7721727,MO
2024-10-03,49.98,6877620,MO
2024-10-04,50.1,7410989,MO
2024-10-07,49.92,6276359,MO
2024-10-08,49.55,5272015,MO
2024-10-09,50.23,7375703,MO
2024-10-10,49.68,8847868,MO
2024-10-11,49.84,4542807,MO
2024-10-14,49.86,5696273,MO
2024-10-15,49.9,5140767,MO
2024-10-16,50.16,4928655,MO
2024-10-17,49.74,6263941,MO
2024-10-18,49.61,7148405,MO
2024-10-21,49.06,5011523,MO
2024-10-22,50.06,6087256,MO
2024-10-23,49.8,5520336,MO
2024-10-24,49.94,4282076,MO
2024-10-25,49.71,5325545,MO
2024-10-28,50.25,6314726,MO
2024-10-29,49.95,8017282,MO
2024-10-30,50.5,11067495,MO
2024-10-31,54.46,25560621,MO
2024-11-01,53.87,10986246,MO
2024-11-04,53.88,7831908,MO
2024-11-05,54.19,5864084,MO
2024-11-06,54.29,8953099,MO
2024-11-07,53.54,6368443,MO
2024-11-08,54.05,5712292,MO
2024-11-11,53.93,5610426,MO
2024-11-12,54.44,8101155,MO
2024-11-13,55.25,7233701,MO
2024-11-14,55.39,6815200,MO
2024-11-15,55.93,8201730,MO
2024-11-18,56.34,8719203,MO
2024-11-19,55.86,6915825,MO
2024-11-20,55.98,5716335,MO
2024-11-21,56.03,5333623,MO
2024-11-22,56.73,6617637,MO
2024-11-25,56.75,13567738,MO
2024-11-26,57.59,7787239,MO
2024-11-27,57.65,5723671,MO
2024-11-29,57.74,3635528,MO
2024-12-02,57.18,5625266,MO
2024-12-03,56.9,8734823,MO
2024-12-04,56.45,8579806,MO
2024-12-05,56.91,5398617,MO
