Date,close,vol,symbol
2024-09-06,515.0,535692,NOC
2024-09-09,524.21,642061,NOC
2024-09-10,519.97,561552,NOC
2024-09-11,515.93,650279,NOC
2024-09-12,518.54,473592,NOC
2024-09-13,519.78,292828,NOC
2024-09-16,521.27,338525,NOC
2024-09-17,520.75,423048,NOC
2024-09-18,521.63,532791,NOC
2024-09-19,522.26,468507,NOC
2024-09-20,525.13,1330363,NOC
2024-09-23,533.14,524045,NOC
2024-09-24,529.86,528096,NOC
2024-09-25,528.11,437258,NOC
2024-09-26,524.31,426076,NOC
2024-09-27,526.79,528782,NOC
2024-09-30,528.07,957185,NOC
2024-10-01,543.88,1200760,NOC
2024-10-02,538.87,691043,NOC
2024-10-03,537.58,443737,NOC
2024-10-04,536.74,393951,NOC
2024-10-07,533.97,436202,NOC
2024-10-08,532.65,422542,NOC
2024-10-09,532.23,428542,NOC
2024-10-10,527.09,372883,NOC
2024-10-11,528.7,325156,NOC
2024-10-14,534.07,334134,NOC
2024-10-15,526.93,710690,NOC
2024-10-16,531.43,541216,NOC
2024-10-17,527.97,909233,NOC
2024-10-18,530.79,1245937,NOC
2024-10-21,529.65,579743,NOC
2024-10-22,520.2,677435,NOC
2024-10-23,516.4,919711,NOC
2024-10-24,523.68,1310520,NOC
2024-10-25,519.35,516098,NOC
2024-10-28,512.15,680701,NOC
2024-10-29,504.05,582072,NOC
2024-10-30,505.34,799181,NOC
2024-10-31,509.02,908242,NOC
2024-11-01,506.95,497886,NOC
2024-11-04,507.44,455730,NOC
2024-11-05,512.9,695563,NOC
2024-11-06,523.14,965807,NOC
2024-11-07,520.58,671768,NOC
2024-11-08,528.99,495835,NOC
2024-11-11,533.7,538462,NOC
2024-11-12,531.39,650229,NOC
2024-11-13,520.42,773461,NOC
2024-11-14,500.34,1187626,NOC
2024-11-15,493.99,1428579,NOC
2024-11-18,488.68,876011,NOC
2024-11-19,491.02,795309,NOC
2024-11-20,491.98,533501,NOC
2024-11-21,496.41,609791,NOC
2024-11-22,496.87,507535,NOC
2024-11-25,485.27,1805930,NOC
2024-11-26,488.43,849287,NOC
2024-11-27,489.08,583432,NOC
2024-11-29,489.65,336736,NOC
2024-12-02,484.75,479605,NOC
2024-12-03,485.21,683900,NOC
2024-12-04,486.62,804726,NOC
2024-12-05,479.57,932686,NOC
2024-12-06,473.65,915772,NOC
2024-12-09,479.17,930263,NOC
2024-12-10,480.18,789633,NOC
2024-12-11,475.62,1058530,NOC
2024-12-12,481.51,1317362,NOC
2024-12-13,480.0,699634,NOC
2024-12-16,482.6,859441,NOC
2024-12-17,480.29,747294,NOC
2024-12-18,467.66,839191,NOC
2024-12-19,467.13,730309,NOC
2024-12-20,469.54,1283886,NOC
2024-12-23,467.2,581858,NOC
2024-12-24,471.09,235079,NOC
2024-12-26,472.23,294709,NOC
2024-12-27,471.35,376022,NOC
2024-12-30,466.52,440216,NOC
2024-12-31,469.29,439907,NOC
2025-01-02,468.01,598346,NOC
2025-01-03,467.82,624523,NOC
2025-01-06,455.14,873418,NOC
2025-01-07,452.39,1100021,NOC
2025-01-08,462.21,746599,NOC
2025-01-10,458.69,626425,NOC
2025-01-13,472.38,964536,NOC
2025-01-14,475.5,554115,NOC
2025-01-15,472.3,646439,NOC
2025-01-16,481.19,706639,NOC
2025-01-17,482.38,1091623,NOC
2025-01-21,504.45,1310320,NOC
2025-01-22,502.41,1326544,NOC
2025-01-23,499.77,780191,NOC
2025-01-24,497.02,556443,NOC
2025-01-27,503.23,738231,NOC
2025-01-28,486.64,1036746,NOC
2025-01-29,481.54,873545,NOC
2025-01-30,483.37,1468496,NOC
2025-01-31,487.27,795031,NOC
2025-02-03,487.75,763381,NOC
2025-02-04,482.39,525931,NOC
2025-02-05,472.34,1079969,NOC
2025-02-06,466.55,789945,NOC
2025-02-07,468.58,820005,NOC
2025-02-10,474.37,804829,NOC
2025-02-11,473.84,539054,NOC
2025-02-12,470.86,807079,NOC
2025-02-13,455.06,1245401,NOC
2025-02-14,438.9,2036150,NOC
2025-02-18,441.36,1074602,NOC
2025-02-19,433.45,1784680,NOC
2025-02-20,438.11,1218926,NOC
2025-02-21,447.96,1677678,NOC
2025-02-24,449.94,1507574,NOC
2025-02-25,461.01,1241318,NOC
2025-02-26,454.87,738919,NOC
2025-02-27,459.97,1131008,NOC
2025-02-28,461.74,901027,NOC
2025-03-03,473.41,1255892,NOC
2025-03-04,463.83,1335757,NOC
2025-03-05,474.2,1188734,NOC
2025-03-06,475.2,941680,NOC
2025-03-07,486.52,1027327,NOC
2025-03-10,495.45,1567057,NOC
2025-03-11,494.11,1555026,NOC
2025-03-12,475.1,1136643,NOC
2025-03-13,490.59,1330620,NOC
2025-03-14,484.93,1402947,NOC
2025-03-17,490.5,748298,NOC
2025-03-18,489.81,620073,NOC
2025-03-19,491.52,846818,NOC
2025-03-20,489.23,685626,NOC
2025-03-21,490.72,2084847,NOC
2025-03-24,495.08,626701,NOC
2025-03-25,506.62,991509,NOC
2025-03-26,507.14,821127,NOC
2025-03-27,513.82,928995,NOC
2025-03-28,512.19,730609,NOC
2025-03-31,512.01,981890,NOC
2025-04-01,513.1,710782,NOC
2025-04-02,512.18,750845,NOC
2025-04-03,515.17,1056006,NOC
2025-04-04,485.52,1692564,NOC
2025-04-07,481.57,1967372,NOC
2025-04-08,491.97,1226373,NOC
2025-04-09,512.3,1608385,NOC
2025-04-10,516.09,1071871,NOC
2025-04-11,533.99,1179025,NOC
2025-04-14,535.82,714372,NOC
2025-04-15,529.36,927069,NOC
2025-04-16,537.51,1381558,NOC
2025-04-17,540.39,1102427,NOC
2025-04-21,531.33,1342948,NOC
2025-04-22,464.08,4788433,NOC
2025-04-23,472.65,1929171,NOC
2025-04-24,463.07,1805297,NOC
2025-04-25,473.2,1329484,NOC
2025-04-28,483.31,1817329,NOC
2025-04-29,482.1,977355,NOC
2025-04-30,486.5,1312646,NOC
2025-05-01,486.67,1194027,NOC
2025-05-02,491.42,1728644,NOC
2025-05-05,493.33,830409,NOC
2025-05-06,487.48,655190,NOC
2025-05-07,486.04,875412,NOC
2025-05-08,484.37,920966,NOC
2025-05-09,482.62,639686,NOC
2025-05-12,479.16,1292098,NOC
2025-05-13,470.67,883925,NOC
2025-05-14,456.3,1272823,NOC
2025-05-15,469.05,1116163,NOC
2025-05-16,473.17,1148389,NOC
2025-05-19,471.12,959074,NOC
2025-05-20,476.6,1001786,NOC
2025-05-21,473.9,902975,NOC
2025-05-22,472.88,922364,NOC
2025-05-23,471.46,679237,NOC
2025-05-27,475.47,868705,NOC
2025-05-28,475.32,924352,NOC
2025-05-29,479.39,864033,NOC
2025-05-30,484.77,1304485,NOC
2025-06-02,483.38,765350,NOC
2025-06-03,488.22,578461,NOC
