Date,close,vol,symbol
2024-09-06,98.74,1063385,OMC
2024-09-09,98.9,1364076,OMC
2024-09-10,99.53,941884,OMC
2024-09-11,98.29,1038709,OMC
2024-09-12,98.55,1259770,OMC
2024-09-13,99.97,723257,OMC
2024-09-16,101.09,1199543,OMC
2024-09-17,101.73,949642,OMC
2024-09-18,102.61,900360,OMC
2024-09-19,103.9,1439448,OMC
2024-09-20,102.3,3964446,OMC
2024-09-23,102.31,929768,OMC
2024-09-24,101.73,1088837,OMC
2024-09-25,100.65,919435,OMC
2024-09-26,102.99,1251097,OMC
2024-09-27,102.67,1190234,OMC
2024-09-30,103.39,1440336,OMC
2024-10-01,102.69,1378677,OMC
2024-10-02,102.04,1180666,OMC
2024-10-03,101.02,1416137,OMC
2024-10-04,101.55,725523,OMC
2024-10-07,100.86,1336466,OMC
2024-10-08,101.48,1199397,OMC
2024-10-09,102.78,1240599,OMC
2024-10-10,101.72,884386,OMC
2024-10-11,102.86,696562,OMC
2024-10-14,103.26,836817,OMC
2024-10-15,104.02,1735149,OMC
2024-10-16,105.49,3031206,OMC
2024-10-17,105.22,2171334,OMC
2024-10-18,104.48,1531358,OMC
2024-10-21,103.61,1251717,OMC
2024-10-22,101.03,2043223,OMC
2024-10-23,100.72,1537272,OMC
2024-10-24,100.46,1144825,OMC
2024-10-25,100.52,1081677,OMC
2024-10-28,102.5,1647623,OMC
2024-10-29,101.7,1359458,OMC
2024-10-30,102.34,1373452,OMC
2024-10-31,101.0,1000953,OMC
2024-11-01,101.08,1070837,OMC
2024-11-04,101.94,1439342,OMC
2024-11-05,103.18,1073142,OMC
2024-11-06,105.06,1648185,OMC
2024-11-07,104.76,1238812,OMC
2024-11-08,104.46,1470538,OMC
2024-11-11,104.4,1100336,OMC
2024-11-12,103.83,1349178,OMC
2024-11-13,103.34,1344598,OMC
2024-11-14,105.04,1359820,OMC
2024-11-15,96.86,9315223,OMC
2024-11-18,98.33,2822879,OMC
2024-11-19,98.04,1348435,OMC
2024-11-20,99.08,1310804,OMC
2024-11-21,101.94,1261969,OMC
2024-11-22,102.38,1549177,OMC
2024-11-25,104.6,2425128,OMC
