Date,close,vol,symbol
2024-09-06,141.81,11154796,ORCL
2024-09-09,139.89,20233428,ORCL
2024-09-10,155.89,37374210,ORCL
2024-09-11,157.18,12630122,ORCL
2024-09-12,161.38,16352048,ORCL
2024-09-13,162.03,25727805,ORCL
2024-09-16,170.33,27384374,ORCL
2024-09-17,167.47,12580114,ORCL
2024-09-18,164.53,12274414,ORCL
2024-09-19,167.59,10075884,ORCL
2024-09-20,168.0,12187736,ORCL
2024-09-23,165.95,7916081,ORCL
2024-09-24,165.8,6155076,ORCL
2024-09-25,166.28,7142437,ORCL
2024-09-26,168.1,7096842,ORCL
2024-09-27,168.74,8974377,ORCL
2024-09-30,170.4,10218973,ORCL
2024-10-01,167.16,7595053,ORCL
2024-10-02,167.71,7073025,ORCL
2024-10-03,166.86,4735708,ORCL
2024-10-04,170.86,6389504,ORCL
2024-10-07,169.97,6790956,ORCL
2024-10-08,174.37,7845377,ORCL
2024-10-09,178.29,8120894,ORCL
2024-10-10,175.41,7115887,ORCL
2024-10-11,175.77,5869413,ORCL
2024-10-14,176.12,4688662,ORCL
2024-10-15,174.09,5848630,ORCL
2024-10-16,174.77,6383034,ORCL
2024-10-17,175.68,5473951,ORCL
2024-10-18,174.69,5001257,ORCL
2024-10-21,173.76,4198362,ORCL
2024-10-22,175.31,5510114,ORCL
2024-10-23,173.1,4830414,ORCL
2024-10-24,174.38,3488036,ORCL
2024-10-25,173.52,3674717,ORCL
2024-10-28,172.42,4329971,ORCL
2024-10-29,173.43,4122913,ORCL
2024-10-30,174.56,5822451,ORCL
2024-10-31,167.84,9477476,ORCL
2024-11-01,170.02,5680595,ORCL
2024-11-04,169.59,4804405,ORCL
2024-11-05,171.78,5456754,ORCL
2024-11-06,181.24,11084987,ORCL
2024-11-07,186.37,7759399,ORCL
2024-11-08,189.25,8520419,ORCL
2024-11-11,189.13,5973638,ORCL
2024-11-12,189.58,6629891,ORCL
2024-11-13,189.63,5695426,ORCL
2024-11-14,187.05,7804318,ORCL
2024-11-15,183.74,8986276,ORCL
2024-11-18,185.73,6291406,ORCL
2024-11-19,188.9,8116958,ORCL
2024-11-20,190.75,4860222,ORCL
2024-11-21,192.43,11394263,ORCL
2024-11-22,192.29,6879447,ORCL
2024-11-25,187.99,15138474,ORCL
2024-11-26,190.37,6427210,ORCL
2024-11-27,182.7,8368797,ORCL
2024-11-29,184.84,4628044,ORCL
2024-12-02,181.41,8859696,ORCL
2024-12-03,182.89,8917062,ORCL
2024-12-04,188.19,8906283,ORCL
2024-12-05,186.24,6398073,ORCL
2024-12-06,191.69,10503383,ORCL
2024-12-09,190.45,20157957,ORCL
2024-12-10,177.74,26502016,ORCL
2024-12-11,178.58,13188714,ORCL
2024-12-12,175.32,8154218,ORCL
2024-12-13,173.39,8351106,ORCL
2024-12-16,171.23,9571955,ORCL
2024-12-17,169.71,8940204,ORCL
2024-12-18,165.41,8817934,ORCL
2024-12-19,168.79,8386394,ORCL
2024-12-20,169.66,13810525,ORCL
2024-12-23,169.14,6518229,ORCL
2024-12-24,171.41,2451547,ORCL
2024-12-26,171.68,4103882,ORCL
2024-12-27,168.96,4344287,ORCL
2024-12-30,166.91,5254833,ORCL
2024-12-31,166.64,4307524,ORCL
2025-01-02,166.03,5365667,ORCL
2025-01-03,166.32,5878052,ORCL
2025-01-06,165.69,6845373,ORCL
2025-01-07,162.03,7712222,ORCL
