Date,close,vol,symbol
2024-09-06,167.91,2367589,PANW
2024-09-09,172.03,2394278,PANW
2024-09-10,173.79,2479883,PANW
2024-09-11,170.89,3456985,PANW
2024-09-12,172.58,1758992,PANW
2024-09-13,173.45,1526309,PANW
2024-09-16,173.06,1696579,PANW
2024-09-17,168.97,2499357,PANW
2024-09-18,164.88,2853683,PANW
2024-09-19,166.8,2403829,PANW
2024-09-20,170.06,3776267,PANW
2024-09-23,172.09,2205240,PANW
2024-09-24,171.76,2260499,PANW
2024-09-25,170.26,1788262,PANW
2024-09-26,169.37,2527186,PANW
2024-09-27,167.88,1759581,PANW
2024-09-30,170.9,2570399,PANW
2024-10-01,164.65,2702979,PANW
2024-10-02,166.07,2052611,PANW
2024-10-03,167.97,2010347,PANW
2024-10-04,171.18,2037059,PANW
2024-10-07,168.97,2399564,PANW
2024-10-08,177.57,3318500,PANW
2024-10-09,181.44,2459228,PANW
2024-10-10,184.7,2226193,PANW
2024-10-11,186.6,2298019,PANW
2024-10-14,186.96,1494881,PANW
2024-10-15,187.22,3728964,PANW
2024-10-16,186.62,3083437,PANW
2024-10-17,188.08,1547614,PANW
2024-10-18,187.42,1449963,PANW
2024-10-21,189.21,2181251,PANW
2024-10-22,188.05,1583721,PANW
2024-10-23,179.1,2701126,PANW
2024-10-24,182.29,1484868,PANW
2024-10-25,183.22,1347173,PANW
2024-10-28,181.18,1563672,PANW
2024-10-29,182.7,2205140,PANW
2024-10-30,179.76,1470205,PANW
2024-10-31,180.17,2031981,PANW
2024-11-01,181.32,2926275,PANW
2024-11-04,180.56,1532412,PANW
2024-11-05,183.15,1353740,PANW
2024-11-06,192.59,2515730,PANW
2024-11-07,193.5,2105324,PANW
2024-11-08,195.7,2058275,PANW
2024-11-11,199.05,1880482,PANW
2024-11-12,199.01,1851424,PANW
2024-11-13,201.18,1964735,PANW
2024-11-14,197.2,2428896,PANW
2024-11-15,193.5,2204087,PANW
2024-11-18,193.42,2233408,PANW
2024-11-19,194.03,2378209,PANW
2024-11-20,196.45,5528586,PANW
2024-11-21,198.85,7433769,PANW
2024-11-22,191.68,6322410,PANW
2024-11-25,193.19,4345862,PANW
2024-11-26,198.2,2860574,PANW
2024-11-27,192.19,4625875,PANW
2024-11-29,193.91,1043334,PANW
2024-12-02,195.09,2324559,PANW
2024-12-03,196.3,2581246,PANW
2024-12-04,202.29,2715290,PANW
2024-12-05,201.52,1695025,PANW
2024-12-06,202.95,1979559,PANW
2024-12-09,194.47,2536680,PANW
2024-12-10,194.88,1746108,PANW
2024-12-11,199.21,1688165,PANW
2024-12-12,200.11,1643008,PANW
2024-12-13,196.56,1924408,PANW
2024-12-16,202.5,6086976,PANW
2024-12-17,201.24,5429873,PANW
2024-12-18,188.76,6397545,PANW
2024-12-19,189.36,5488804,PANW
2024-12-20,186.78,13346442,PANW
2024-12-23,188.22,3897545,PANW
2024-12-24,189.51,1470980,PANW
2024-12-26,188.5,2114145,PANW
2024-12-27,186.18,2911301,PANW
2024-12-30,184.2,2737916,PANW
2024-12-31,181.96,3270113,PANW
2025-01-02,180.74,4540191,PANW
2025-01-03,183.25,4277552,PANW
2025-01-06,179.5,7109536,PANW
2025-01-07,175.51,6492396,PANW
2025-01-08,172.83,11015177,PANW
2025-01-10,173.42,5727177,PANW
2025-01-13,167.82,7402337,PANW
2025-01-14,170.58,4914933,PANW
2025-01-15,174.19,7705752,PANW
2025-01-16,177.17,6635602,PANW
2025-01-17,177.11,5500372,PANW
2025-01-21,183.51,6421669,PANW
2025-01-22,187.7,5517923,PANW
2025-01-23,187.32,5490939,PANW
2025-01-24,187.7,3093869,PANW
2025-01-27,189.3,6113141,PANW
2025-01-28,192.94,8753534,PANW
2025-01-29,185.42,6847772,PANW
2025-01-30,187.42,4451150,PANW
2025-01-31,184.42,4833496,PANW
2025-02-03,182.79,6448305,PANW
2025-02-04,183.4,5554023,PANW
2025-02-05,186.85,3823501,PANW
2025-02-06,187.37,3634148,PANW
2025-02-07,193.94,6345780,PANW
2025-02-10,196.4,5113176,PANW
2025-02-11,195.49,5664775,PANW
2025-02-12,196.73,4172488,PANW
2025-02-13,201.88,13222950,PANW
2025-02-14,200.03,13989015,PANW
2025-02-18,208.28,9069304,PANW
2025-02-19,205.19,5626807,PANW
2025-02-20,198.81,5878685,PANW
2025-02-21,191.03,5457072,PANW
2025-02-24,190.39,4142275,PANW
2025-02-25,188.01,5474849,PANW
2025-02-26,189.55,2645955,PANW
2025-02-27,187.5,4714068,PANW
2025-02-28,190.43,5190538,PANW
2025-03-03,183.68,5120787,PANW
2025-03-04,184.38,5197425,PANW
2025-03-05,184.28,4539249,PANW
2025-03-06,179.33,4292597,PANW
2025-03-07,180.93,4808545,PANW
2025-03-10,173.83,6307400,PANW
2025-03-11,178.93,5523678,PANW
2025-03-12,179.48,4472826,PANW
2025-03-13,176.32,3823706,PANW
2025-03-14,182.34,3563630,PANW
2025-03-17,185.0,3231076,PANW
2025-03-18,183.1,2791036,PANW
2025-03-19,187.54,3476804,PANW
2025-03-20,184.01,4394960,PANW
2025-03-21,182.32,8565886,PANW
2025-03-24,184.79,3758128,PANW
2025-03-25,189.95,5343396,PANW
2025-03-26,184.96,3412915,PANW
