Date,close,vol,symbol
2024-09-06,177.34,6395276,PEP
2024-09-09,178.19,4666169,PEP
2024-09-10,177.81,4315764,PEP
2024-09-11,175.78,4035975,PEP
2024-09-12,177.25,4224894,PEP
2024-09-13,177.36,3290404,PEP
2024-09-16,177.21,4940100,PEP
2024-09-17,176.87,6305100,PEP
2024-09-18,175.21,5307852,PEP
2024-09-19,174.66,5504038,PEP
2024-09-20,171.18,12198430,PEP
2024-09-23,172.11,5350483,PEP
2024-09-24,169.92,7837853,PEP
2024-09-25,169.4,4505130,PEP
2024-09-26,169.69,5673635,PEP
2024-09-27,170.0,7545935,PEP
2024-09-30,170.05,5054615,PEP
2024-10-01,171.38,7095860,PEP
2024-10-02,169.55,5785972,PEP
2024-10-03,168.53,5090330,PEP
2024-10-04,167.97,4391321,PEP
2024-10-07,167.21,5459506,PEP
2024-10-08,170.42,8297792,PEP
2024-10-09,172.54,7177529,PEP
2024-10-10,172.99,5292404,PEP
2024-10-11,174.81,4720299,PEP
2024-10-14,176.1,4536048,PEP
2024-10-15,175.9,5802290,PEP
2024-10-16,174.48,4400852,PEP
2024-10-17,174.67,4125910,PEP
2024-10-18,175.06,5097170,PEP
2024-10-21,175.01,6436516,PEP
2024-10-22,174.37,3790452,PEP
2024-10-23,172.95,3800654,PEP
2024-10-24,172.16,4244903,PEP
2024-10-25,171.79,4442863,PEP
2024-10-28,169.84,5186635,PEP
2024-10-29,167.5,5127890,PEP
2024-10-30,166.21,4801541,PEP
2024-10-31,166.08,5582423,PEP
2024-11-01,165.59,6339121,PEP
2024-11-04,166.34,4885472,PEP
2024-11-05,167.85,3678708,PEP
2024-11-06,164.71,7849309,PEP
2024-11-07,164.0,5333532,PEP
2024-11-08,165.11,4618265,PEP
2024-11-11,164.26,3761969,PEP
2024-11-12,164.34,5386925,PEP
2024-11-13,164.74,4145443,PEP
2024-11-14,165.15,5422685,PEP
2024-11-15,158.62,9108948,PEP
2024-11-18,158.33,6992040,PEP
2024-11-19,156.72,8248864,PEP
2024-11-20,158.74,5067255,PEP
2024-11-21,160.34,5976987,PEP
2024-11-22,162.0,5846256,PEP
2024-11-25,163.05,8580393,PEP
2024-11-26,162.16,4653842,PEP
2024-11-27,162.72,3622893,PEP
2024-11-29,163.45,2799312,PEP
2024-12-02,163.05,4967612,PEP
2024-12-03,161.7,4277392,PEP
2024-12-04,160.18,6964605,PEP
2024-12-05,160.49,5229646,PEP
2024-12-06,157.79,8359166,PEP
2024-12-09,159.47,8380406,PEP
2024-12-10,159.84,5329401,PEP
2024-12-11,156.77,7925928,PEP
2024-12-12,158.9,6849507,PEP
2024-12-13,157.97,4353854,PEP
2024-12-16,156.02,6696490,PEP
2024-12-17,156.14,6572560,PEP
2024-12-18,154.43,7620865,PEP
2024-12-19,151.47,9829489,PEP
2024-12-20,152.79,19205164,PEP
2024-12-23,151.29,6822232,PEP
2024-12-24,152.81,3399800,PEP
2024-12-26,152.44,5529590,PEP
2024-12-27,152.89,4287007,PEP
2024-12-30,151.72,5397016,PEP
2024-12-31,152.06,4274960,PEP
2025-01-02,150.21,4970233,PEP
2025-01-03,149.65,5221639,PEP
2025-01-06,146.27,9470626,PEP
2025-01-07,145.4,7473300,PEP
2025-01-08,146.54,6791848,PEP
2025-01-10,142.64,9632651,PEP
2025-01-13,144.5,8101358,PEP
2025-01-14,144.95,6996448,PEP
2025-01-15,144.78,7141555,PEP
2025-01-16,146.54,5068040,PEP
2025-01-17,148.25,7338870,PEP
2025-01-21,148.55,7456182,PEP
2025-01-22,148.09,5905060,PEP
2025-01-23,148.62,4759125,PEP
2025-01-24,149.12,4509550,PEP
2025-01-27,154.61,9820585,PEP
2025-01-28,150.25,6349670,PEP
2025-01-29,150.37,4874072,PEP
2025-01-30,151.9,4671278,PEP
2025-01-31,150.69,4906744,PEP
2025-02-03,150.27,7196227,PEP
2025-02-04,143.49,12804949,PEP
2025-02-05,145.66,9249234,PEP
2025-02-06,145.35,5604877,PEP
2025-02-07,144.58,5872343,PEP
2025-02-10,144.35,8715391,PEP
2025-02-11,145.64,6353965,PEP
2025-02-12,143.99,6658177,PEP
2025-02-13,144.58,7175276,PEP
2025-02-14,143.39,5001806,PEP
2025-02-18,144.1,8738725,PEP
2025-02-19,145.81,5777273,PEP
2025-02-20,149.1,6789805,PEP
2025-02-21,153.5,10604404,PEP
2025-02-24,153.85,7187038,PEP
2025-02-25,156.42,9474619,PEP
2025-02-26,151.51,9076519,PEP
2025-02-27,152.02,6730985,PEP
2025-02-28,153.47,8455499,PEP
2025-03-03,155.99,8321674,PEP
2025-03-04,154.19,10274235,PEP
2025-03-05,153.88,5578701,PEP
2025-03-06,154.61,8421031,PEP
2025-03-07,154.44,8997748,PEP
2025-03-10,156.25,11156892,PEP
2025-03-11,152.33,7981566,PEP
2025-03-12,148.17,8330241,PEP
2025-03-13,148.34,5351093,PEP
2025-03-14,148.59,5277544,PEP
2025-03-17,151.34,5449712,PEP
2025-03-18,148.99,8158556,PEP
2025-03-19,148.11,6080054,PEP
2025-03-20,147.15,4536367,PEP
2025-03-21,145.45,11574777,PEP
2025-03-24,146.45,5968852,PEP
2025-03-25,145.54,4763277,PEP
2025-03-26,148.64,5885290,PEP
2025-03-27,149.67,5397532,PEP
2025-03-28,149.27,8550883,PEP
2025-03-31,149.94,9985702,PEP
2025-04-01,149.67,6072838,PEP
2025-04-02,149.12,5866172,PEP
2025-04-03,151.37,8216247,PEP
2025-04-04,146.61,12911386,PEP
2025-04-07,143.19,14423214,PEP
2025-04-08,140.3,9488865,PEP
2025-04-09,145.59,14067005,PEP
2025-04-10,144.14,10980259,PEP
2025-04-11,144.43,8563304,PEP
2025-04-14,146.75,5393999,PEP
2025-04-15,142.84,5459551,PEP
2025-04-16,140.09,7878593,PEP
2025-04-17,142.84,6131364,PEP
2025-04-21,141.73,7412800,PEP
2025-04-22,143.46,7144709,PEP
2025-04-23,142.26,7760035,PEP
2025-04-24,135.31,15577256,PEP
2025-04-25,133.38,11544686,PEP
2025-04-28,133.76,8498608,PEP
2025-04-29,134.31,7010733,PEP
2025-04-30,135.58,7923472,PEP
2025-05-01,133.55,6807019,PEP
2025-05-02,133.75,7169731,PEP
2025-05-05,131.99,8972159,PEP
2025-05-06,130.74,6889893,PEP
2025-05-07,131.92,6313815,PEP
2025-05-08,131.43,6392355,PEP
2025-05-09,130.44,4770504,PEP
2025-05-12,131.68,8392720,PEP
2025-05-13,130.31,8650220,PEP
2025-05-14,128.45,10463015,PEP
2025-05-15,131.5,9165089,PEP
2025-05-16,131.98,8896370,PEP
2025-05-19,131.79,9406194,PEP
2025-05-20,131.8,7624244,PEP
2025-05-21,130.15,9243724,PEP
2025-05-22,130.12,7140231,PEP
2025-05-23,129.34,8122494,PEP
2025-05-27,131.37,13974764,PEP
2025-05-28,130.67,9431450,PEP
2025-05-29,131.92,6659069,PEP
2025-05-30,131.45,12992075,PEP
2025-06-02,130.91,6723720,PEP
2025-06-03,131.85,7339524,PEP
2025-06-04,131.74,6519728,PEP
2025-06-05,131.11,9566619,PEP
2025-06-06,130.03,7628224,PEP
2025-06-09,129.96,8453146,PEP
2025-06-10,131.83,11852874,PEP
2025-06-11,129.9,9168356,PEP
2025-06-12,132.3,11444911,PEP
2025-06-13,130.85,9581034,PEP
2025-06-16,131.41,11183692,PEP
2025-06-17,129.29,10235225,PEP
2025-06-18,129.07,8785766,PEP
2025-06-20,129.07,23000967,PEP
2025-06-23,129.09,12840356,PEP
2025-06-24,131.05,9226773,PEP
2025-06-25,128.02,10922565,PEP
2025-06-26,128.22,11538069,PEP
2025-06-27,131.04,26536478,PEP
2025-06-30,132.04,11402443,PEP
2025-07-01,135.26,12846685,PEP
2025-07-02,136.48,9388667,PEP
2025-07-03,135.38,4941378,PEP
2025-07-07,134.45,7773744,PEP
2025-07-08,135.04,7718265,PEP
2025-07-09,134.48,7762618,PEP
2025-07-10,136.08,8870905,PEP
2025-07-11,135.26,7963646,PEP
2025-07-14,135.57,8480302,PEP
2025-07-15,133.81,8933520,PEP
2025-07-16,135.35,10941629,PEP
2025-07-17,145.44,26161000,PEP
2025-07-18,143.24,13752825,PEP
2025-07-21,141.7,9025630,PEP
2025-07-22,146.04,8281528,PEP
2025-07-23,145.66,6165951,PEP
2025-07-24,144.51,9749426,PEP
2025-07-25,143.45,7021594,PEP
2025-07-28,141.57,10639129,PEP
2025-07-29,143.89,6282944,PEP
2025-07-30,142.86,9738383,PEP
2025-07-31,137.92,11689674,PEP
2025-08-01,139.28,7630810,PEP
2025-08-04,139.56,8384672,PEP
2025-08-05,139.45,5535084,PEP
2025-08-06,140.8,6747448,PEP
2025-08-07,143.92,7674642,PEP
2025-08-08,145.21,5315087,PEP
2025-08-11,144.87,5773384,PEP
2025-08-12,146.87,7670149,PEP
2025-08-13,149.35,6147005,PEP
2025-08-14,148.62,6892466,PEP
2025-08-15,150.4,9162178,PEP
2025-08-18,149.55,9900999,PEP
2025-08-19,152.16,8596943,PEP
