Date,close,vol,symbol
2024-09-06,175.59,5785684,PG
2024-09-09,176.06,6450204,PG
2024-09-10,177.79,6396311,PG
2024-09-11,173.92,6828173,PG
2024-09-12,173.47,4839752,PG
2024-09-13,174.08,3917986,PG
2024-09-16,177.24,6892335,PG
2024-09-17,175.88,4757247,PG
2024-09-18,173.92,5102884,PG
2024-09-19,171.54,8692016,PG
2024-09-20,174.22,28647462,PG
2024-09-23,173.77,10265199,PG
2024-09-24,173.24,5422351,PG
2024-09-25,172.26,8916483,PG
2024-09-26,173.21,4957367,PG
2024-09-27,173.55,4599709,PG
2024-09-30,173.2,6296653,PG
2024-10-01,173.04,7130825,PG
2024-10-02,171.92,6212890,PG
2024-10-03,170.12,4794348,PG
2024-10-04,168.88,6003668,PG
2024-10-07,167.12,6325281,PG
2024-10-08,168.16,7472965,PG
2024-10-09,169.27,8758806,PG
2024-10-10,168.95,6932308,PG
2024-10-11,171.09,7036480,PG
2024-10-14,172.51,5909158,PG
2024-10-15,173.57,7172262,PG
2024-10-16,172.38,6117053,PG
2024-10-17,172.28,7045586,PG
2024-10-18,171.28,8372536,PG
2024-10-21,169.54,5522460,PG
2024-10-22,169.7,7511671,PG
2024-10-23,169.58,4837810,PG
2024-10-24,169.62,5861303,PG
2024-10-25,168.22,4877911,PG
2024-10-28,169.3,5754043,PG
2024-10-29,167.17,5681358,PG
2024-10-30,166.16,5518085,PG
2024-10-31,165.18,6056514,PG
2024-11-01,165.1,5455095,PG
2024-11-04,165.08,5130338,PG
2024-11-05,165.76,4397441,PG
2024-11-06,161.05,11473688,PG
2024-11-07,163.41,9056725,PG
2024-11-08,167.71,7506566,PG
2024-11-11,166.03,6364403,PG
2024-11-12,165.84,6507823,PG
2024-11-13,166.58,5412566,PG
2024-11-14,167.08,7444273,PG
2024-11-15,169.54,9939416,PG
2024-11-18,170.75,6681087,PG
2024-11-19,170.76,5683673,PG
2024-11-20,170.89,7081237,PG
2024-11-21,172.75,6240403,PG
2024-11-22,176.28,10609785,PG
2024-11-25,177.39,19357005,PG
2024-11-26,179.31,6276933,PG
2024-11-27,179.36,5522912,PG
2024-11-29,179.26,3823708,PG
2024-12-02,179.7,5728297,PG
2024-12-03,175.42,8127329,PG
2024-12-04,175.11,6823659,PG
2024-12-05,176.03,5022189,PG
2024-12-06,173.82,5741167,PG
2024-12-09,170.79,7164286,PG
2024-12-10,172.28,6220088,PG
2024-12-11,170.63,5237533,PG
2024-12-12,170.85,4072810,PG
2024-12-13,171.06,3884513,PG
2024-12-16,171.14,5943680,PG
2024-12-17,170.33,6069344,PG
2024-12-18,169.08,7517081,PG
2024-12-19,169.19,8585220,PG
2024-12-20,168.06,21999342,PG
2024-12-23,168.11,6984079,PG
2024-12-24,168.94,2460756,PG
2024-12-26,170.16,3629533,PG
2024-12-27,169.53,4367879,PG
2024-12-30,167.09,4354543,PG
2024-12-31,167.65,3957920,PG
2025-01-02,165.98,5401712,PG
2025-01-03,165.13,5256807,PG
2025-01-06,160.6,8731671,PG
2025-01-07,161.3,8447744,PG
2025-01-08,162.1,4974783,PG
