Date,close,vol,symbol
2024-09-06,85.12,1068385,PNR
2024-09-09,86.52,1361555,PNR
2024-09-10,87.29,758974,PNR
2024-09-11,87.88,1097592,PNR
2024-09-12,90.8,1849406,PNR
2024-09-13,91.49,1181923,PNR
2024-09-16,92.95,1341201,PNR
2024-09-17,93.91,1359145,PNR
2024-09-18,93.48,1110646,PNR
2024-09-19,95.26,1867787,PNR
2024-09-20,94.8,2382003,PNR
2024-09-23,95.95,1083681,PNR
2024-09-24,96.62,1177508,PNR
2024-09-25,96.46,1204349,PNR
2024-09-26,97.53,1163857,PNR
2024-09-27,96.99,2167527,PNR
2024-09-30,97.79,2437191,PNR
2024-10-01,96.81,1396082,PNR
2024-10-02,95.0,2629796,PNR
2024-10-03,95.55,2065300,PNR
2024-10-04,95.88,1398240,PNR
2024-10-07,95.82,605122,PNR
2024-10-08,96.42,1816584,PNR
2024-10-09,96.99,620297,PNR
2024-10-10,96.24,2608110,PNR
2024-10-11,97.63,1776779,PNR
2024-10-14,98.82,1423002,PNR
2024-10-15,98.49,1424154,PNR
2024-10-16,99.48,1387216,PNR
2024-10-17,99.29,771550,PNR
2024-10-18,99.04,1445864,PNR
2024-10-21,98.36,1566889,PNR
2024-10-22,98.32,2792485,PNR
2024-10-23,98.0,1485892,PNR
2024-10-24,99.39,1871851,PNR
2024-10-25,98.96,1213440,PNR
2024-10-28,98.99,1100820,PNR
2024-10-29,99.1,1374696,PNR
2024-10-30,99.37,1070092,PNR
2024-10-31,99.12,2966908,PNR
2024-11-01,98.47,2289749,PNR
2024-11-04,99.65,1619324,PNR
2024-11-05,102.29,1390570,PNR
2024-11-06,102.9,2054072,PNR
2024-11-07,102.94,1173014,PNR
2024-11-08,104.35,1367899,PNR
2024-11-11,105.63,949417,PNR
2024-11-12,104.08,844562,PNR
2024-11-13,106.32,1361102,PNR
2024-11-14,105.86,1234073,PNR
2024-11-15,105.92,1161991,PNR
2024-11-18,105.87,653343,PNR
2024-11-19,104.75,982865,PNR
2024-11-20,104.17,1012928,PNR
2024-11-21,106.05,1220563,PNR
2024-11-22,106.93,1156140,PNR
2024-11-25,107.94,2533693,PNR
2024-11-26,109.11,1286350,PNR
2024-11-27,108.96,925082,PNR
2024-11-29,108.99,636089,PNR
