Date,close,vol,symbol
2024-09-06,87.81,804657,PNW
2024-09-09,89.48,1384046,PNW
2024-09-10,89.67,644448,PNW
2024-09-11,88.97,755960,PNW
2024-09-12,89.22,673733,PNW
2024-09-13,90.7,606138,PNW
2024-09-16,91.32,901953,PNW
2024-09-17,89.97,1176085,PNW
2024-09-18,90.22,993973,PNW
2024-09-19,89.02,1038120,PNW
2024-09-20,90.28,3167044,PNW
2024-09-23,90.2,934669,PNW
2024-09-24,89.24,807393,PNW
2024-09-25,88.95,1299921,PNW
2024-09-26,88.45,1170723,PNW
2024-09-27,88.27,1761412,PNW
2024-09-30,88.59,1622849,PNW
2024-10-01,90.51,1813028,PNW
2024-10-02,89.83,891864,PNW
2024-10-03,89.53,1051285,PNW
2024-10-04,87.98,1359628,PNW
2024-10-07,87.11,755816,PNW
2024-10-08,86.69,782979,PNW
2024-10-09,86.19,673422,PNW
2024-10-10,85.52,660297,PNW
2024-10-11,85.9,840079,PNW
2024-10-14,86.53,954408,PNW
2024-10-15,87.05,1247713,PNW
2024-10-16,87.58,1947742,PNW
2024-10-17,87.09,1487236,PNW
2024-10-18,87.92,2483155,PNW
2024-10-21,87.46,1060148,PNW
2024-10-22,88.12,1544453,PNW
2024-10-23,89.31,1651368,PNW
2024-10-24,89.61,1260840,PNW
2024-10-25,88.2,767267,PNW
2024-10-28,88.23,575093,PNW
2024-10-29,87.44,948398,PNW
2024-10-30,87.53,1646224,PNW
2024-10-31,87.81,1216577,PNW
2024-11-01,85.83,1116874,PNW
2024-11-04,85.71,1422326,PNW
2024-11-05,86.71,1334330,PNW
2024-11-06,90.1,3210763,PNW
2024-11-07,89.22,2071319,PNW
2024-11-08,91.81,1873905,PNW
2024-11-11,91.91,1424982,PNW
2024-11-12,90.92,2234487,PNW
2024-11-13,91.22,1335614,PNW
2024-11-14,90.86,988592,PNW
2024-11-15,91.88,3587423,PNW
2024-11-18,91.58,1707025,PNW
2024-11-19,90.95,1372021,PNW
2024-11-20,91.79,1269162,PNW
2024-11-21,93.62,1074228,PNW
2024-11-22,92.93,1297474,PNW
2024-11-25,92.88,1189561,PNW
2024-11-26,93.8,1039248,PNW
2024-11-27,94.52,1181283,PNW
2024-11-29,93.7,507868,PNW
2024-12-02,92.42,918831,PNW
2024-12-03,91.28,1020839,PNW
2024-12-04,92.09,1271337,PNW
2024-12-05,92.45,891453,PNW
2024-12-06,91.59,746651,PNW
2024-12-09,90.44,1049701,PNW
2024-12-10,90.25,1105511,PNW
2024-12-11,88.89,962801,PNW
2024-12-12,88.71,973813,PNW
2024-12-13,87.55,1008616,PNW
2024-12-16,86.02,1336948,PNW
2024-12-17,86.1,1232054,PNW
2024-12-18,84.03,1330671,PNW
2024-12-19,84.6,1300565,PNW
2024-12-20,84.96,1900565,PNW
2024-12-23,85.0,1087831,PNW
2024-12-24,85.61,359421,PNW
2024-12-26,85.44,798089,PNW
2024-12-27,84.95,642630,PNW
2024-12-30,84.8,731267,PNW
2024-12-31,84.77,599109,PNW
2025-01-02,84.31,858963,PNW
2025-01-03,84.25,770096,PNW
2025-01-06,83.09,1636585,PNW
2025-01-07,83.2,960426,PNW
2025-01-08,83.61,978292,PNW
2025-01-10,81.76,1256772,PNW
2025-01-13,82.54,1047440,PNW
2025-01-14,83.24,1110903,PNW
2025-01-15,84.41,1069996,PNW
2025-01-16,86.44,1229604,PNW
2025-01-17,86.64,751159,PNW
2025-01-21,88.0,1059190,PNW
2025-01-22,85.96,1164426,PNW
2025-01-23,85.37,1229875,PNW
2025-01-24,85.74,1751708,PNW
2025-01-27,87.48,1528539,PNW
2025-01-28,86.49,914063,PNW
2025-01-29,85.9,575967,PNW
2025-01-30,87.13,593139,PNW
2025-01-31,86.96,1137042,PNW
2025-02-03,86.82,777540,PNW
2025-02-04,87.12,1051441,PNW
2025-02-05,88.29,929732,PNW
2025-02-06,87.75,557808,PNW
2025-02-07,86.97,1026407,PNW
2025-02-10,87.83,698855,PNW
2025-02-11,89.16,1032726,PNW
2025-02-12,89.01,1187278,PNW
2025-02-13,89.35,670755,PNW
2025-02-14,89.26,1003110,PNW
2025-02-18,89.89,933824,PNW
2025-02-19,90.4,675260,PNW
2025-02-20,90.77,733425,PNW
2025-02-21,91.58,1148678,PNW
2025-02-24,92.11,1194443,PNW
2025-02-25,93.16,1444951,PNW
2025-02-26,91.64,1279546,PNW
2025-02-27,90.86,1119968,PNW
2025-02-28,92.54,938189,PNW
2025-03-03,94.18,1290818,PNW
2025-03-04,91.8,1288899,PNW
2025-03-05,91.04,1073404,PNW
2025-03-06,90.76,902493,PNW
2025-03-07,91.99,1131234,PNW
2025-03-10,92.12,1321458,PNW
2025-03-11,90.97,1350857,PNW
2025-03-12,91.23,966379,PNW
2025-03-13,91.82,917746,PNW
2025-03-14,93.71,1134807,PNW
2025-03-17,94.26,938646,PNW
2025-03-18,93.38,1131743,PNW
2025-03-19,94.2,1441780,PNW
2025-03-20,94.2,1001334,PNW
2025-03-21,93.76,2078638,PNW
2025-03-24,93.09,1169345,PNW
2025-03-25,91.51,1153706,PNW
2025-03-26,92.99,967762,PNW
2025-03-27,93.02,1044751,PNW
2025-03-28,94.17,1537013,PNW
2025-03-31,95.25,899886,PNW
2025-04-01,95.28,865711,PNW
2025-04-02,95.43,668886,PNW
2025-04-03,95.21,1073601,PNW
2025-04-04,91.09,1787373,PNW
2025-04-07,89.62,2556999,PNW
2025-04-08,88.82,1879501,PNW
2025-04-09,90.62,1784398,PNW
2025-04-10,90.28,1061139,PNW
2025-04-11,91.91,1123858,PNW
2025-04-14,93.71,1064413,PNW
2025-04-15,94.27,1191556,PNW
2025-04-16,93.41,1682868,PNW
2025-04-17,94.45,2215855,PNW
2025-04-21,93.24,1297336,PNW
2025-04-22,95.01,2151819,PNW
2025-04-23,94.36,1859815,PNW
2025-04-24,94.48,1587619,PNW
2025-04-25,93.75,956392,PNW
2025-04-28,94.59,756545,PNW
2025-04-29,95.29,856800,PNW
2025-04-30,95.18,1080111,PNW
2025-05-01,93.41,1726351,PNW
2025-05-02,94.32,912213,PNW
2025-05-05,93.91,1108179,PNW
2025-05-06,93.47,2429680,PNW
2025-05-07,93.81,1401157,PNW
2025-05-08,92.01,1055726,PNW
2025-05-09,91.61,927147,PNW
2025-05-12,90.07,992421,PNW
2025-05-13,89.08,1317739,PNW
2025-05-14,88.3,1396109,PNW
2025-05-15,90.52,1315159,PNW
2025-05-16,91.74,1059190,PNW
2025-05-19,92.48,1467339,PNW
2025-05-20,92.56,733497,PNW
2025-05-21,91.1,930765,PNW
2025-05-22,89.89,976594,PNW
2025-05-23,90.75,545931,PNW
2025-05-27,91.56,884980,PNW
2025-05-28,90.11,784901,PNW
2025-05-29,90.84,620163,PNW
2025-05-30,91.23,1045829,PNW
2025-06-02,90.84,1187343,PNW
2025-06-03,90.4,1056703,PNW
2025-06-04,89.54,1089228,PNW
2025-06-05,89.39,652423,PNW
2025-06-06,89.09,781701,PNW
2025-06-09,89.41,1647367,PNW
2025-06-10,89.66,1145578,PNW
2025-06-11,89.21,1197694,PNW
2025-06-12,90.7,1237687,PNW
2025-06-13,89.97,1024135,PNW
2025-06-16,88.92,1353395,PNW
2025-06-17,88.84,1068225,PNW
2025-06-18,88.51,1497599,PNW
2025-06-20,88.57,3211207,PNW
2025-06-23,89.65,1082428,PNW
2025-06-24,90.17,950642,PNW
2025-06-25,88.74,1289606,PNW
2025-06-26,88.97,1096370,PNW
2025-06-27,88.55,1879081,PNW
2025-06-30,89.47,1766068,PNW
2025-07-01,90.84,1738919,PNW
2025-07-02,90.17,1226798,PNW
2025-07-03,90.42,757636,PNW
2025-07-07,90.1,1060019,PNW
2025-07-08,89.62,883191,PNW
2025-07-09,89.96,623039,PNW
2025-07-10,91.34,1085819,PNW
2025-07-11,91.04,731717,PNW
2025-07-14,91.28,793679,PNW
2025-07-15,90.01,1251800,PNW
2025-07-16,90.91,757631,PNW
2025-07-17,91.55,799378,PNW
2025-07-18,92.51,1015958,PNW
2025-07-21,93.15,918787,PNW
2025-07-22,94.45,1097889,PNW
2025-07-23,93.1,1762890,PNW
2025-07-24,91.86,1406198,PNW
2025-07-25,90.91,1760794,PNW
2025-07-28,88.69,1498250,PNW
2025-07-29,89.87,1352496,PNW
2025-07-30,89.5,807285,PNW
2025-07-31,90.62,1405551,PNW
2025-08-01,90.68,1188539,PNW
2025-08-04,92.24,1103197,PNW
2025-08-05,92.34,1498972,PNW
2025-08-06,92.56,1750270,PNW
2025-08-07,93.78,1233157,PNW
2025-08-08,92.62,1014063,PNW
2025-08-11,92.48,698363,PNW
2025-08-12,92.45,733315,PNW
2025-08-13,93.06,1494146,PNW
2025-08-14,91.91,1430459,PNW
2025-08-15,91.34,1463127,PNW
2025-08-18,90.33,958683,PNW
2025-08-19,92.07,470270,PNW
2025-08-20,92.31,1067754,PNW
2025-08-21,91.16,865840,PNW
2025-08-22,91.35,959954,PNW
2025-08-25,89.98,783492,PNW
2025-08-26,89.96,816281,PNW
2025-08-27,90.43,1096578,PNW
2025-08-28,89.32,1110208,PNW
2025-08-29,89.36,784263,PNW
2025-09-02,88.8,871497,PNW
2025-09-03,88.73,720892,PNW
2025-09-04,89.28,805543,PNW
2025-09-05,89.0,567462,PNW
2025-09-08,87.84,862857,PNW
2025-09-09,87.38,1835526,PNW
2025-09-10,87.62,828550,PNW
2025-09-11,88.37,955515,PNW
2025-09-12,88.19,758982,PNW
2025-09-15,87.42,849114,PNW
2025-09-16,85.9,918662,PNW
2025-09-17,86.11,874223,PNW
2025-09-18,85.87,995514,PNW
2025-09-19,86.52,1529204,PNW
2025-09-22,86.26,640223,PNW
2025-09-23,87.09,731912,PNW
2025-09-24,87.14,875282,PNW
2025-09-25,86.08,1054503,PNW
2025-09-26,86.76,1657001,PNW
2025-09-29,87.65,1257278,PNW
2025-09-30,89.66,1590011,PNW
2025-10-01,88.18,958439,PNW
2025-10-02,87.89,1120431,PNW
