Date,close,vol,symbol
2024-09-06,113.25,2979272,PRU
2024-09-09,114.95,1666339,PRU
2024-09-10,114.68,1278045,PRU
2024-09-11,114.72,1724261,PRU
2024-09-12,115.84,1512892,PRU
2024-09-13,116.26,1219857,PRU
2024-09-16,117.73,1318382,PRU
2024-09-17,118.68,1079893,PRU
2024-09-18,119.44,1298551,PRU
2024-09-19,121.8,1501497,PRU
2024-09-20,121.36,2966283,PRU
2024-09-23,120.79,1180663,PRU
2024-09-24,119.81,1294972,PRU
2024-09-25,119.57,1460982,PRU
2024-09-26,120.54,1086314,PRU
2024-09-27,120.81,893288,PRU
2024-09-30,121.1,1301517,PRU
2024-10-01,119.36,1291477,PRU
2024-10-02,118.95,1151258,PRU
2024-10-03,118.9,1540767,PRU
2024-10-04,122.99,1889567,PRU
2024-10-07,120.46,1393387,PRU
2024-10-08,120.88,972864,PRU
2024-10-09,122.12,1562593,PRU
2024-10-10,121.7,1065157,PRU
2024-10-11,123.72,1374717,PRU
2024-10-14,125.17,1270050,PRU
2024-10-15,125.83,1646940,PRU
2024-10-16,127.03,1459268,PRU
2024-10-17,127.82,1144361,PRU
2024-10-18,127.4,1055546,PRU
2024-10-21,125.57,1003456,PRU
2024-10-22,125.64,758675,PRU
2024-10-23,125.16,853677,PRU
2024-10-24,125.36,688757,PRU
2024-10-25,123.46,1247175,PRU
2024-10-28,125.6,1335789,PRU
2024-10-29,125.27,1302712,PRU
2024-10-30,126.64,2009100,PRU
2024-10-31,122.48,2083939,PRU
2024-11-01,121.28,1992051,PRU
2024-11-04,120.66,1529699,PRU
2024-11-05,120.18,1805683,PRU
2024-11-06,127.73,3698274,PRU
2024-11-07,123.88,1809574,PRU
2024-11-08,121.89,2012036,PRU
2024-11-11,125.0,1954528,PRU
2024-11-12,125.49,1109527,PRU
2024-11-13,125.26,1039694,PRU
2024-11-14,125.75,1190875,PRU
2024-11-15,127.41,3049858,PRU
2024-11-18,128.14,1328680,PRU
2024-11-19,124.61,1509987,PRU
2024-11-20,124.11,1563736,PRU
2024-11-21,126.26,1452141,PRU
2024-11-22,127.89,1117397,PRU
2024-11-25,128.71,2127087,PRU
2024-11-26,129.11,1138425,PRU
2024-11-27,129.52,994103,PRU
2024-11-29,129.41,781112,PRU
2024-12-02,128.41,1482740,PRU
2024-12-03,127.15,1365818,PRU
2024-12-04,125.9,1224117,PRU
2024-12-05,127.29,1578027,PRU
2024-12-06,126.56,1391124,PRU
2024-12-09,122.56,1658890,PRU
2024-12-10,121.24,1440208,PRU
2024-12-11,120.07,1995498,PRU
2024-12-12,120.61,1567507,PRU
2024-12-13,120.48,1383736,PRU
2024-12-16,120.61,1506779,PRU
2024-12-17,118.89,1388783,PRU
2024-12-18,114.59,1850665,PRU
2024-12-19,115.47,1869010,PRU
2024-12-20,117.83,3350910,PRU
2024-12-23,118.56,1301582,PRU
2024-12-24,119.26,435618,PRU
2024-12-26,120.07,633321,PRU
2024-12-27,119.06,736307,PRU
2024-12-30,118.15,768330,PRU
2024-12-31,118.53,682134,PRU
2025-01-02,118.27,923543,PRU
2025-01-03,119.14,989967,PRU
2025-01-06,118.64,1093677,PRU
2025-01-07,119.18,1584118,PRU
2025-01-08,118.43,1388775,PRU
2025-01-10,114.53,1997174,PRU
2025-01-13,116.29,1240078,PRU
2025-01-14,117.61,1363782,PRU
2025-01-15,120.06,1429336,PRU
2025-01-16,118.4,2299962,PRU
2025-01-17,119.01,1535535,PRU
2025-01-21,120.27,1701084,PRU
2025-01-22,117.35,2324932,PRU
2025-01-23,116.89,1662747,PRU
2025-01-24,117.31,2305679,PRU
2025-01-27,120.52,1834842,PRU
2025-01-28,121.18,1943219,PRU
2025-01-29,122.33,1579392,PRU
2025-01-30,121.88,1196706,PRU
2025-01-31,120.76,1990473,PRU
2025-02-03,118.89,1899582,PRU
2025-02-04,117.95,2393648,PRU
2025-02-05,114.06,4048901,PRU
2025-02-06,113.52,1878155,PRU
2025-02-07,112.82,1900220,PRU
2025-02-10,112.09,1496618,PRU
2025-02-11,111.64,1132721,PRU
2025-02-12,110.81,2105802,PRU
2025-02-13,111.91,1197514,PRU
2025-02-14,111.56,1276800,PRU
2025-02-18,111.79,1401014,PRU
2025-02-19,111.66,1475466,PRU
2025-02-20,111.13,1550282,PRU
2025-02-21,109.5,1575547,PRU
2025-02-24,110.51,1679714,PRU
2025-02-25,111.1,2454808,PRU
2025-02-26,111.92,1295024,PRU
2025-02-27,112.75,1423362,PRU
2025-02-28,115.1,2931895,PRU
2025-03-03,113.48,1677416,PRU
2025-03-04,109.59,2163322,PRU
2025-03-05,110.69,1996270,PRU
2025-03-06,110.14,1398286,PRU
2025-03-07,111.24,1909540,PRU
2025-03-10,106.34,2874424,PRU
2025-03-11,105.58,2532486,PRU
2025-03-12,106.09,1856843,PRU
2025-03-13,105.04,1570935,PRU
2025-03-14,108.49,1681323,PRU
2025-03-17,110.29,1432137,PRU
2025-03-18,109.74,1490280,PRU
2025-03-19,110.62,1252315,PRU
2025-03-20,110.78,1203713,PRU
2025-03-21,110.27,3274318,PRU
2025-03-24,113.24,1745032,PRU
2025-03-25,114.36,1820058,PRU
2025-03-26,115.59,2407287,PRU
2025-03-27,114.41,1716977,PRU
2025-03-28,110.07,2326887,PRU
2025-03-31,111.68,1892922,PRU
2025-04-01,111.69,1359136,PRU
2025-04-02,112.71,1693838,PRU
2025-04-03,104.79,2817363,PRU
2025-04-04,96.53,3518329,PRU
2025-04-07,95.78,3814582,PRU
2025-04-08,95.12,2990601,PRU
2025-04-09,103.91,4004275,PRU
2025-04-10,98.48,2764659,PRU
2025-04-11,98.83,2635431,PRU
2025-04-14,101.43,1726653,PRU
2025-04-15,100.23,1721701,PRU
2025-04-16,98.62,1579649,PRU
2025-04-17,99.47,1480035,PRU
2025-04-21,96.87,1816664,PRU
2025-04-22,100.21,1384468,PRU
2025-04-23,101.59,1565236,PRU
2025-04-24,104.03,1678067,PRU
2025-04-25,102.9,1276667,PRU
2025-04-28,103.61,1021528,PRU
2025-04-29,104.03,1192289,PRU
2025-04-30,102.71,2472356,PRU
2025-05-01,101.73,2730411,PRU
2025-05-02,103.62,1633649,PRU
2025-05-05,102.67,1457216,PRU
2025-05-06,101.88,1787124,PRU
2025-05-07,101.23,2436349,PRU
2025-05-08,103.61,1803697,PRU
2025-05-09,103.59,1010777,PRU
2025-05-12,107.35,2350530,PRU
2025-05-13,107.4,1271850,PRU
2025-05-14,106.32,1757273,PRU
2025-05-15,107.0,1363966,PRU
2025-05-16,107.33,1434176,PRU
2025-05-19,107.98,1516644,PRU
2025-05-20,105.87,1369271,PRU
2025-05-21,101.8,2689313,PRU
2025-05-22,102.32,1384578,PRU
2025-05-23,101.92,1499942,PRU
2025-05-27,104.54,1970694,PRU
2025-05-28,102.89,2261124,PRU
2025-05-29,104.33,1364174,PRU
2025-05-30,103.89,3535578,PRU
2025-06-02,103.6,1441034,PRU
2025-06-03,104.42,1770839,PRU
2025-06-04,103.78,1398549,PRU
2025-06-05,103.73,990023,PRU
2025-06-06,105.58,1006394,PRU
2025-06-09,105.82,1413709,PRU
2025-06-10,106.09,1117010,PRU
2025-06-11,104.61,2249163,PRU
2025-06-12,104.9,1428827,PRU
2025-06-13,102.97,1358187,PRU
2025-06-16,104.94,1559931,PRU
2025-06-17,103.39,1897058,PRU
2025-06-18,104.11,1385331,PRU
2025-06-20,104.33,2639243,PRU
2025-06-23,105.6,1672989,PRU
2025-06-24,106.3,1769784,PRU
2025-06-25,105.52,1334484,PRU
2025-06-26,106.74,1487461,PRU
2025-06-27,107.13,2153417,PRU
2025-06-30,107.44,1664359,PRU
2025-07-01,109.0,1456762,PRU
2025-07-02,108.66,1553153,PRU
2025-07-03,109.08,732327,PRU
2025-07-07,106.45,1402025,PRU
2025-07-08,107.58,1465570,PRU
2025-07-09,106.6,1353746,PRU
2025-07-10,107.15,1262799,PRU
2025-07-11,105.94,1425177,PRU
2025-07-14,105.51,1412490,PRU
2025-07-15,102.98,1577996,PRU
2025-07-16,102.2,1699496,PRU
2025-07-17,103.13,1301510,PRU
2025-07-18,103.27,1315051,PRU
2025-07-21,102.11,1535242,PRU
2025-07-22,104.22,1561373,PRU
2025-07-23,105.35,1500843,PRU
2025-07-24,104.31,1285432,PRU
2025-07-25,105.21,1122899,PRU
2025-07-28,103.75,1648970,PRU
2025-07-29,103.44,1401464,PRU
2025-07-30,101.78,2663696,PRU
2025-07-31,103.58,3500729,PRU
2025-08-01,100.71,2467879,PRU
2025-08-04,101.73,1671812,PRU
2025-08-05,103.18,1884211,PRU
2025-08-06,104.08,1656492,PRU
2025-08-07,100.68,2408389,PRU
2025-08-08,103.3,1996539,PRU
2025-08-11,103.26,2000124,PRU
2025-08-12,105.22,1467060,PRU
2025-08-13,107.18,1803894,PRU
2025-08-14,106.82,1156541,PRU
2025-08-15,105.92,1188042,PRU
2025-08-18,106.62,1452265,PRU
2025-08-19,106.25,1251241,PRU
2025-08-20,107.13,1538342,PRU
2025-08-21,107.17,1148830,PRU
2025-08-22,109.89,1957166,PRU
2025-08-25,109.11,1211768,PRU
2025-08-26,109.38,2739883,PRU
2025-08-27,109.47,1281123,PRU
2025-08-28,108.74,936226,PRU
2025-08-29,109.66,1449985,PRU
2025-09-02,107.41,2020438,PRU
2025-09-03,107.43,1427592,PRU
2025-09-04,108.84,1392392,PRU
2025-09-05,105.71,1633346,PRU
2025-09-08,105.84,1418174,PRU
2025-09-09,105.54,1071950,PRU
