Date,close,vol,symbol
2024-09-06,0.47,1000,RE
2024-09-09,0.46,13065,RE
2024-09-10,0.47,4500,RE
2024-09-11,0.47,1500,RE
2024-09-12,0.45,1000,RE
2024-09-16,0.46,2055,RE
2024-09-17,0.47,6500,RE
2024-09-18,0.47,1000,RE
2024-09-19,0.46,13001,RE
2024-09-20,0.46,1000,RE
2024-09-23,0.45,14500,RE
2024-09-24,0.45,3000,RE
2024-09-25,0.47,8000,RE
2024-09-26,0.47,1800,RE
2024-09-27,0.46,1000,RE
2024-09-30,0.48,28794,RE
2024-10-01,0.48,1000,RE
2024-10-02,0.48,3000,RE
2024-10-03,0.46,38503,RE
2024-10-04,0.48,4000,RE
2024-10-07,0.48,1500,RE
2024-10-08,0.48,11000,RE
2024-10-09,0.48,3770,RE
2024-10-10,0.48,3001,RE
2024-10-11,0.48,1500,RE
2024-10-15,0.46,16637,RE
2024-10-16,0.47,12500,RE
2024-10-17,0.48,3500,RE
2024-10-18,0.48,18540,RE
2024-10-21,0.45,68315,RE
2024-10-22,0.47,3740,RE
2024-10-23,0.47,4006,RE
2024-10-24,0.48,10520,RE
2024-10-25,0.48,1721,RE
2024-10-28,0.48,530,RE
2024-10-29,0.48,1000,RE
2024-10-31,0.48,500,RE
2024-11-01,0.48,3600,RE
2024-11-04,0.48,500,RE
2024-11-05,0.48,1000,RE
2024-11-06,0.47,12450,RE
2024-11-11,0.48,500,RE
2024-11-13,0.47,6000,RE
2024-11-15,0.48,12000,RE
2024-11-18,0.47,835,RE
2024-11-21,0.48,3500,RE
2024-11-25,0.47,1000,RE
2024-11-26,0.47,1000,RE
2024-11-27,0.47,34118,RE
2024-12-02,0.47,10000,RE
2024-12-03,0.48,7500,RE
2024-12-04,0.49,15500,RE
2024-12-05,0.49,5000,RE
2024-12-06,0.49,18500,RE
2024-12-09,0.49,1001,RE
2024-12-10,0.49,9845,RE
2024-12-11,0.49,3000,RE
2024-12-12,0.49,10000,RE
2024-12-13,0.48,23702,RE
2024-12-16,0.47,18000,RE
2024-12-17,0.46,69344,RE
2024-12-19,0.45,51323,RE
2024-12-20,0.48,500,RE
2024-12-23,0.47,14154,RE
