Date,close,vol,symbol
2024-09-06,547.76,409418,ROP
2024-09-09,553.39,309612,ROP
2024-09-10,552.33,314353,ROP
2024-09-11,549.84,385673,ROP
2024-09-12,551.31,354436,ROP
2024-09-13,551.84,297860,ROP
2024-09-16,556.56,241095,ROP
2024-09-17,551.83,297613,ROP
2024-09-18,549.93,281337,ROP
2024-09-19,560.86,521362,ROP
2024-09-20,558.04,1507097,ROP
2024-09-23,557.75,349638,ROP
2024-09-24,551.98,357541,ROP
2024-09-25,548.36,401828,ROP
2024-09-26,552.5,415295,ROP
2024-09-27,553.8,310497,ROP
2024-09-30,556.44,593427,ROP
2024-10-01,548.27,446016,ROP
2024-10-02,551.37,367022,ROP
2024-10-03,548.93,623454,ROP
2024-10-04,544.86,316603,ROP
2024-10-07,537.87,388850,ROP
2024-10-08,542.91,309215,ROP
2024-10-09,545.93,512312,ROP
2024-10-10,539.45,577098,ROP
2024-10-11,551.55,843484,ROP
2024-10-14,553.83,271963,ROP
2024-10-15,556.18,381588,ROP
2024-10-16,560.86,365296,ROP
2024-10-17,563.74,411544,ROP
2024-10-18,557.62,320490,ROP
2024-10-21,556.8,422025,ROP
2024-10-22,552.1,519078,ROP
2024-10-23,542.94,718792,ROP
2024-10-24,542.1,369927,ROP
2024-10-25,542.0,535306,ROP
2024-10-28,545.13,282834,ROP
2024-10-29,548.81,424832,ROP
2024-10-30,547.23,626476,ROP
2024-10-31,537.73,566973,ROP
2024-11-01,540.91,510787,ROP
2024-11-04,542.08,416284,ROP
2024-11-05,542.7,422232,ROP
2024-11-06,564.67,678383,ROP
2024-11-07,572.26,580229,ROP
2024-11-08,567.62,391881,ROP
2024-11-11,565.14,388018,ROP
2024-11-12,564.77,539937,ROP
2024-11-13,571.2,372104,ROP
2024-11-14,564.77,549684,ROP
2024-11-15,548.23,581284,ROP
2024-11-18,549.37,566023,ROP
2024-11-19,547.96,356207,ROP
2024-11-20,549.45,360774,ROP
2024-11-21,554.26,536874,ROP
2024-11-22,560.14,249959,ROP
2024-11-25,557.94,531453,ROP
2024-11-26,561.89,360733,ROP
2024-11-27,564.35,358627,ROP
2024-11-29,566.44,365747,ROP
2024-12-02,568.63,595914,ROP
2024-12-03,566.86,508989,ROP
2024-12-04,575.95,699692,ROP
2024-12-05,557.9,750913,ROP
2024-12-06,551.2,544767,ROP
2024-12-09,548.42,528395,ROP
2024-12-10,549.47,587941,ROP
2024-12-11,550.39,495725,ROP
2024-12-12,548.03,324484,ROP
2024-12-13,543.66,590430,ROP
2024-12-16,542.04,598226,ROP
2024-12-17,536.75,1086999,ROP
2024-12-18,526.72,841014,ROP
2024-12-19,521.75,644796,ROP
2024-12-20,525.4,1742123,ROP
2024-12-23,524.94,547202,ROP
2024-12-24,528.14,228105,ROP
2024-12-26,527.24,312642,ROP
2024-12-27,523.91,422367,ROP
2024-12-30,519.87,357430,ROP
