Date,close,vol,symbol
2024-09-06,118.44,3983706,RTX
2024-09-09,121.16,4492038,RTX
2024-09-10,120.3,3806717,RTX
2024-09-11,119.26,4857224,RTX
2024-09-12,120.1,4229793,RTX
2024-09-13,119.12,4708012,RTX
2024-09-16,119.2,6025495,RTX
2024-09-17,118.73,5101720,RTX
2024-09-18,118.04,4435027,RTX
2024-09-19,118.82,5270761,RTX
2024-09-20,118.15,16958535,RTX
2024-09-23,120.27,6755416,RTX
2024-09-24,120.04,5844638,RTX
2024-09-25,120.9,5713608,RTX
2024-09-26,120.32,6202637,RTX
2024-09-27,120.39,7941918,RTX
2024-09-30,121.16,5477095,RTX
2024-10-01,124.39,7206947,RTX
2024-10-02,124.04,3802912,RTX
2024-10-03,123.67,4765675,RTX
2024-10-04,124.91,3056543,RTX
2024-10-07,125.05,4606101,RTX
2024-10-08,123.5,3194492,RTX
2024-10-09,123.95,3210389,RTX
2024-10-10,122.94,2785344,RTX
2024-10-11,123.93,2556167,RTX
2024-10-14,124.64,1929867,RTX
2024-10-15,125.03,7521307,RTX
2024-10-16,126.22,3127407,RTX
2024-10-17,125.75,2463726,RTX
2024-10-18,125.92,4356338,RTX
2024-10-21,125.9,4768646,RTX
2024-10-22,125.53,5746084,RTX
2024-10-23,127.21,5451442,RTX
2024-10-24,125.17,4171807,RTX
2024-10-25,125.16,4716205,RTX
2024-10-28,125.43,4453440,RTX
2024-10-29,122.79,5102653,RTX
2024-10-30,121.86,4852087,RTX
2024-10-31,120.99,4112743,RTX
2024-11-01,118.75,5235060,RTX
2024-11-04,118.0,6856069,RTX
2024-11-05,118.98,8093630,RTX
2024-11-06,121.59,9631913,RTX
2024-11-07,120.08,4415193,RTX
2024-11-08,123.55,6382044,RTX
2024-11-11,124.56,4012288,RTX
2024-11-12,123.37,3896236,RTX
2024-11-13,123.75,2802784,RTX
2024-11-14,118.92,6113203,RTX
2024-11-15,118.53,6970495,RTX
2024-11-18,119.39,4462475,RTX
2024-11-19,118.96,4654074,RTX
2024-11-20,119.15,3990801,RTX
2024-11-21,120.53,4848286,RTX
2024-11-22,120.77,3585477,RTX
2024-11-25,118.65,8322352,RTX
2024-11-26,120.61,3176003,RTX
2024-11-27,120.34,3604221,RTX
2024-11-29,121.83,2728552,RTX
2024-12-02,118.68,4468706,RTX
2024-12-03,118.1,3620258,RTX
2024-12-04,119.23,3774623,RTX
2024-12-05,118.52,3328836,RTX
2024-12-06,117.99,4792353,RTX
2024-12-09,116.58,7255401,RTX
2024-12-10,117.61,3725524,RTX
2024-12-11,116.94,4298311,RTX
2024-12-12,116.05,3848629,RTX
2024-12-13,117.75,5061628,RTX
2024-12-16,118.11,3986443,RTX
2024-12-17,117.42,3012393,RTX
2024-12-18,114.45,4113615,RTX
2024-12-19,115.46,5446927,RTX
2024-12-20,116.48,13389425,RTX
2024-12-23,116.63,3589080,RTX
2024-12-24,116.83,1663027,RTX
2024-12-26,117.04,2147102,RTX
2024-12-27,116.71,3847470,RTX
2024-12-30,115.22,2822191,RTX
2024-12-31,115.72,2445270,RTX
2025-01-02,116.01,3207521,RTX
2025-01-03,115.87,2902721,RTX
2025-01-06,114.1,3832296,RTX
2025-01-07,114.8,3588513,RTX
2025-01-08,115.92,4294465,RTX
2025-01-10,115.11,4287362,RTX
2025-01-13,117.74,5414874,RTX
2025-01-14,119.47,3804908,RTX
2025-01-15,119.09,4279973,RTX
2025-01-16,120.46,3897153,RTX
2025-01-17,121.11,4368575,RTX
2025-01-21,125.75,6071066,RTX
2025-01-22,124.38,5103799,RTX
2025-01-23,126.29,5501596,RTX
2025-01-24,125.31,3483366,RTX
2025-01-27,125.05,6207816,RTX
2025-01-28,128.35,8451630,RTX
2025-01-29,125.13,5179013,RTX
2025-01-30,128.98,4343560,RTX
2025-01-31,128.95,5570633,RTX
2025-02-03,129.92,6067319,RTX
2025-02-04,128.37,4036842,RTX
2025-02-05,129.16,4881490,RTX
2025-02-06,128.78,3363639,RTX
2025-02-07,127.95,3827457,RTX
2025-02-10,128.25,5345158,RTX
2025-02-11,129.11,3320669,RTX
2025-02-12,126.78,5155318,RTX
2025-02-13,125.84,6580412,RTX
2025-02-14,122.41,7715889,RTX
2025-02-18,123.76,5386280,RTX
2025-02-19,125.41,5124631,RTX
2025-02-20,125.11,3131993,RTX
2025-02-21,123.29,4846056,RTX
2025-02-24,125.43,4460973,RTX
2025-02-25,127.34,6008104,RTX
2025-02-26,127.31,3904462,RTX
2025-02-27,130.52,5758937,RTX
2025-02-28,132.99,7460961,RTX
2025-03-03,133.83,6215800,RTX
2025-03-04,128.7,7911240,RTX
2025-03-05,129.64,5774924,RTX
2025-03-06,128.28,6258256,RTX
2025-03-07,128.4,6418493,RTX
2025-03-10,128.52,4916819,RTX
2025-03-11,128.11,4405170,RTX
2025-03-12,127.96,4702043,RTX
2025-03-13,129.2,3434129,RTX
2025-03-14,129.99,5380720,RTX
2025-03-17,132.05,4934891,RTX
2025-03-18,132.69,4128358,RTX
2025-03-19,135.32,7080717,RTX
2025-03-20,134.47,4311706,RTX
2025-03-21,132.37,9545861,RTX
2025-03-24,134.69,5525337,RTX
2025-03-25,135.66,3990614,RTX
2025-03-26,134.33,4465244,RTX
2025-03-27,133.43,3914327,RTX
2025-03-28,131.72,3935448,RTX
2025-03-31,132.46,5521080,RTX
2025-04-01,132.85,4799312,RTX
2025-04-02,133.15,3352854,RTX
2025-04-03,130.23,4605222,RTX
2025-04-04,117.45,8526668,RTX
2025-04-07,117.32,8774845,RTX
2025-04-08,120.46,8108564,RTX
2025-04-09,128.43,6747432,RTX
2025-04-10,127.07,6458136,RTX
2025-04-11,128.26,3654538,RTX
2025-04-14,129.14,4100156,RTX
2025-04-15,128.64,6315551,RTX
2025-04-16,129.25,5382955,RTX
2025-04-17,128.89,5228349,RTX
2025-04-21,126.12,6397392,RTX
2025-04-22,113.75,17094447,RTX
2025-04-23,120.28,10456256,RTX
2025-04-24,121.97,4512821,RTX
2025-04-25,125.22,6205882,RTX
2025-04-28,124.8,5460524,RTX
2025-04-29,125.73,4313759,RTX
2025-04-30,126.13,5674133,RTX
2025-05-01,127.41,4820896,RTX
2025-05-02,130.21,5002524,RTX
2025-05-05,128.59,3293615,RTX
2025-05-06,128.16,2596062,RTX
2025-05-07,127.5,4029332,RTX
2025-05-08,128.67,4748536,RTX
2025-05-09,128.67,4857755,RTX
2025-05-12,130.56,4686395,RTX
2025-05-13,130.72,4334673,RTX
2025-05-14,130.79,4843557,RTX
2025-05-15,135.52,6772214,RTX
2025-05-16,135.48,4776005,RTX
2025-05-19,137.2,5180765,RTX
2025-05-20,137.18,4998572,RTX
2025-05-21,134.95,5514901,RTX
2025-05-22,134.95,46357,RTX
2025-05-23,132.35,5510145,RTX
2025-05-27,134.19,5160835,RTX
2025-05-28,132.85,5426329,RTX
2025-05-29,134.8,3635315,RTX
2025-05-30,136.48,8195383,RTX
2025-06-02,137.46,3946233,RTX
2025-06-03,137.5,3493879,RTX
2025-06-04,138.55,3200650,RTX
2025-06-05,139.07,3512205,RTX
2025-06-06,139.1,4510956,RTX
2025-06-09,140.98,7104525,RTX
2025-06-10,138.52,6303917,RTX
2025-06-11,141.81,6370339,RTX
2025-06-12,140.98,4664370,RTX
2025-06-13,145.69,11765218,RTX
2025-06-16,146.46,7986139,RTX
2025-06-17,148.48,7251793,RTX
2025-06-18,145.87,7116893,RTX
2025-06-20,146.64,9220560,RTX
2025-06-23,145.81,6548521,RTX
2025-06-24,141.85,8242122,RTX
2025-06-25,141.38,10395002,RTX
2025-06-26,142.67,5407904,RTX
2025-06-27,144.66,9173882,RTX
2025-06-30,146.02,5939521,RTX
2025-07-01,144.19,4819469,RTX
2025-07-02,144.52,3253335,RTX
2025-07-03,145.75,1888713,RTX
2025-07-07,145.92,4532474,RTX
2025-07-08,144.91,4331294,RTX
2025-07-09,146.18,2666249,RTX
2025-07-10,146.4,4131315,RTX
2025-07-11,146.87,3469157,RTX
2025-07-14,149.28,4460988,RTX
2025-07-15,148.68,4530501,RTX
2025-07-16,150.17,3361731,RTX
2025-07-17,151.5,4326459,RTX
2025-07-18,151.5,5928556,RTX
2025-07-21,151.56,7115998,RTX
2025-07-22,149.17,10722682,RTX
2025-07-23,156.49,8667093,RTX
2025-07-24,155.22,4865268,RTX
2025-07-25,156.88,4728234,RTX
2025-07-28,156.07,4022897,RTX
2025-07-29,157.12,4341826,RTX
2025-07-30,158.4,3998718,RTX
2025-07-31,157.57,4795979,RTX
2025-08-01,156.81,4420724,RTX
2025-08-04,157.38,3961895,RTX
2025-08-05,156.33,4993941,RTX
2025-08-06,155.75,4112067,RTX
2025-08-07,155.76,5105835,RTX
2025-08-08,154.86,3667307,RTX
2025-08-11,154.8,3572882,RTX
2025-08-12,155.49,2963338,RTX
2025-08-13,155.71,5012527,RTX
2025-08-14,155.08,2766794,RTX
2025-08-15,154.09,4594161,RTX
2025-08-18,155.5,3679313,RTX
2025-08-19,153.66,3008612,RTX
2025-08-20,156.59,3766527,RTX
2025-08-21,156.32,3179913,RTX
2025-08-22,156.24,4252735,RTX
2025-08-25,156.27,2431067,RTX
2025-08-26,159.57,5096073,RTX
2025-08-27,159.84,2992312,RTX
2025-08-28,160.66,3117675,RTX
2025-08-29,158.6,3774903,RTX
2025-09-02,158.01,3260070,RTX
2025-09-03,158.11,2739254,RTX
2025-09-04,158.68,3218791,RTX
2025-09-05,157.52,4046261,RTX
2025-09-08,154.22,5522839,RTX
2025-09-09,151.75,5461342,RTX
2025-09-10,155.0,4520436,RTX
2025-09-11,157.65,4289881,RTX
2025-09-12,155.85,3194530,RTX
2025-09-15,158.37,3891839,RTX
2025-09-16,158.58,6525539,RTX
2025-09-17,158.31,3999375,RTX
2025-09-18,158.19,3696121,RTX
2025-09-19,158.24,7083681,RTX
2025-09-22,159.43,3296701,RTX
2025-09-23,160.54,3287068,RTX
2025-09-24,161.38,4269813,RTX
2025-09-25,160.51,3917666,RTX
2025-09-26,163.35,3962049,RTX
2025-09-29,163.63,6216112,RTX
2025-09-30,167.33,4893662,RTX
2025-10-01,167.2,4034453,RTX
2025-10-02,166.63,3498320,RTX
