Date,close,vol,symbol
2024-09-06,120.93,759529,RY
2024-09-09,122.98,737248,RY
2024-09-10,122.27,697804,RY
2024-09-11,123.28,528037,RY
2024-09-12,123.96,533989,RY
2024-09-13,123.59,589274,RY
2024-09-16,123.33,696711,RY
2024-09-17,122.86,555823,RY
2024-09-18,122.56,588208,RY
2024-09-19,123.06,656976,RY
2024-09-20,121.92,1270266,RY
2024-09-23,123.14,607215,RY
2024-09-24,123.66,416674,RY
2024-09-25,123.55,477175,RY
2024-09-26,124.54,695926,RY
2024-09-27,124.26,837107,RY
2024-09-30,124.73,543658,RY
2024-10-01,123.8,597209,RY
2024-10-02,122.89,536188,RY
2024-10-03,121.39,765694,RY
2024-10-04,122.42,526970,RY
2024-10-07,121.76,975464,RY
2024-10-08,121.81,521979,RY
2024-10-09,122.27,1022742,RY
2024-10-10,121.47,1995606,RY
2024-10-11,123.79,1973765,RY
2024-10-14,123.43,473334,RY
2024-10-15,124.41,725777,RY
2024-10-16,126.11,775055,RY
2024-10-17,126.47,927771,RY
2024-10-18,126.05,2787538,RY
2024-10-21,124.99,423323,RY
2024-10-22,125.09,6284856,RY
2024-10-23,125.18,563362,RY
2024-10-24,123.53,1293999,RY
2024-10-25,122.46,3608422,RY
2024-10-28,124.03,731575,RY
2024-10-29,123.47,659051,RY
2024-10-30,123.58,851284,RY
2024-10-31,120.89,911850,RY
2024-11-01,121.79,713334,RY
2024-11-04,122.27,1023697,RY
2024-11-05,123.15,648888,RY
2024-11-06,122.72,1111410,RY
2024-11-07,124.55,1271153,RY
2024-11-08,123.63,425359,RY
2024-11-11,124.04,503365,RY
2024-11-12,123.89,2361628,RY
2024-11-13,123.15,926714,RY
2024-11-14,122.39,3808737,RY
2024-11-15,121.47,1969208,RY
2024-11-18,122.43,3239410,RY
2024-11-19,122.9,360293,RY
2024-11-20,121.79,457136,RY
2024-11-21,125.09,788218,RY
2024-11-22,125.08,682081,RY
2024-11-25,124.32,953539,RY
2024-11-26,124.15,540786,RY
2024-11-27,125.27,1399717,RY
2024-11-29,125.67,256739,RY
2024-12-02,125.12,1279129,RY
2024-12-03,124.74,755841,RY
2024-12-04,125.36,1141712,RY
2024-12-05,128.02,778593,RY
2024-12-06,126.05,820371,RY
2024-12-09,125.96,689906,RY
2024-12-10,125.92,607766,RY
2024-12-11,126.04,399879,RY
2024-12-12,124.68,371655,RY
2024-12-13,124.5,436968,RY
2024-12-16,124.41,815653,RY
2024-12-17,123.7,407030,RY
2024-12-18,119.84,2656915,RY
2024-12-19,119.72,1566664,RY
2024-12-20,120.72,1008928,RY
2024-12-23,120.72,756821,RY
2024-12-24,120.74,282631,RY
2024-12-26,121.08,281793,RY
2024-12-27,120.88,355952,RY
2024-12-30,120.54,478700,RY
2024-12-31,120.51,735814,RY
2025-01-02,119.68,966964,RY
2025-01-03,120.43,481731,RY
2025-01-06,121.56,670806,RY
2025-01-07,121.33,938914,RY
2025-01-08,121.67,663122,RY
2025-01-10,118.42,731188,RY
2025-01-13,118.77,1761707,RY
2025-01-14,118.63,2009785,RY
2025-01-15,119.78,2063455,RY
2025-01-16,120.08,908470,RY
2025-01-17,120.54,1588795,RY
2025-01-21,122.24,1340012,RY
2025-01-22,121.02,1069091,RY
2025-01-23,122.08,2672627,RY
2025-01-24,122.61,2616316,RY
2025-01-27,122.62,2188049,RY
2025-01-28,123.11,986583,RY
2025-01-29,122.04,761884,RY
2025-01-30,123.4,764915,RY
2025-01-31,121.93,871817,RY
2025-02-03,118.81,1663558,RY
2025-02-04,118.69,925737,RY
2025-02-05,119.07,696998,RY
2025-02-06,119.44,646904,RY
2025-02-07,119.32,1270809,RY
2025-02-10,117.99,1155513,RY
2025-02-11,118.44,544524,RY
2025-02-12,118.37,436511,RY
2025-02-13,119.31,1396212,RY
2025-02-14,119.04,1492766,RY
2025-02-18,120.89,2186300,RY
2025-02-19,120.55,1468215,RY
2025-02-20,119.66,663483,RY
2025-02-21,118.88,2169988,RY
2025-02-24,118.57,1086233,RY
2025-02-25,119.29,1364439,RY
2025-02-26,119.48,1161143,RY
2025-02-27,115.21,2238225,RY
2025-02-28,118.17,1123768,RY
2025-03-03,116.85,1320026,RY
2025-03-04,112.59,1304584,RY
2025-03-05,115.13,2041064,RY
2025-03-06,114.24,920080,RY
2025-03-07,115.07,789374,RY
2025-03-10,112.99,665169,RY
2025-03-11,110.33,1371612,RY
2025-03-12,111.28,1005264,RY
2025-03-13,108.81,2254518,RY
2025-03-14,111.49,1446339,RY
2025-03-17,112.72,1283518,RY
2025-03-18,112.48,692436,RY
2025-03-19,114.22,990806,RY
2025-03-20,113.81,613089,RY
2025-03-21,113.6,758358,RY
2025-03-24,115.91,739053,RY
2025-03-25,116.65,704207,RY
2025-03-26,116.27,748248,RY
2025-03-27,114.71,708559,RY
2025-03-28,112.14,843279,RY
2025-03-31,112.72,840031,RY
2025-04-01,113.65,828609,RY
2025-04-02,114.72,856745,RY
2025-04-03,115.11,1831291,RY
2025-04-04,110.91,2439436,RY
2025-04-07,109.17,2057431,RY
2025-04-08,108.36,4374015,RY
2025-04-09,113.73,4105753,RY
2025-04-10,109.95,1562466,RY
2025-04-11,113.27,1186754,RY
2025-04-14,115.38,1175403,RY
2025-04-15,115.21,2162593,RY
2025-04-16,115.62,935035,RY
2025-04-17,116.24,1090937,RY
2025-04-21,115.21,600060,RY
2025-04-22,117.97,5486237,RY
2025-04-23,117.79,1099753,RY
2025-04-24,117.67,973595,RY
2025-04-25,117.76,787288,RY
2025-04-28,118.58,1006227,RY
2025-04-29,119.9,789289,RY
2025-04-30,119.88,841504,RY
2025-05-01,120.02,721427,RY
2025-05-02,121.27,863930,RY
2025-05-05,120.97,519986,RY
2025-05-06,120.16,605886,RY
2025-05-07,120.19,692909,RY
2025-05-08,119.83,2021295,RY
2025-05-09,120.28,1540197,RY
2025-05-12,120.86,2322734,RY
2025-05-13,121.8,820983,RY
2025-05-14,122.53,1180348,RY
2025-05-15,124.78,1727532,RY
2025-05-16,125.82,2305379,RY
2025-05-19,127.14,940076,RY
2025-05-20,126.48,1619863,RY
2025-05-21,125.82,1104115,RY
2025-05-22,126.52,1211130,RY
2025-05-23,128.43,1355606,RY
2025-05-27,128.86,1344909,RY
2025-05-28,128.94,1044474,RY
2025-05-29,125.0,2218112,RY
2025-05-30,126.66,1359805,RY
2025-06-02,127.87,1063091,RY
2025-06-03,127.49,1023934,RY
2025-06-04,127.37,800511,RY
2025-06-05,126.96,894953,RY
2025-06-06,127.53,885927,RY
2025-06-09,127.61,1050001,RY
2025-06-10,128.31,1022850,RY
2025-06-11,127.88,670855,RY
2025-06-12,128.82,541644,RY
2025-06-13,127.75,783785,RY
2025-06-16,128.88,811402,RY
2025-06-17,127.99,566375,RY
2025-06-18,128.07,719839,RY
2025-06-20,127.29,840424,RY
2025-06-23,127.19,912772,RY
2025-06-24,128.32,1085705,RY
2025-06-25,128.07,1596014,RY
2025-06-26,130.17,973914,RY
2025-06-27,129.71,731473,RY
2025-06-30,131.55,828090,RY
2025-07-01,132.26,517633,RY
2025-07-02,131.17,1451971,RY
2025-07-03,132.64,455532,RY
2025-07-07,131.83,735113,RY
2025-07-08,131.76,758847,RY
2025-07-09,132.43,1541701,RY
2025-07-10,133.29,1887462,RY
2025-07-11,131.76,942022,RY
2025-07-14,131.82,1684505,RY
2025-07-15,130.64,986226,RY
2025-07-16,131.99,744493,RY
2025-07-17,133.02,920844,RY
2025-07-18,132.81,475445,RY
2025-07-21,133.61,3336007,RY
2025-07-22,133.15,1804161,RY
2025-07-23,134.21,4204980,RY
2025-07-24,132.02,937337,RY
2025-07-25,132.05,677694,RY
2025-07-28,130.45,589900,RY
2025-07-29,129.7,908447,RY
2025-07-30,129.39,713988,RY
2025-07-31,128.46,1050802,RY
2025-08-01,128.61,1246412,RY
2025-08-04,129.92,386422,RY
2025-08-05,130.73,715199,RY
2025-08-06,132.21,834943,RY
2025-08-07,132.44,912311,RY
2025-08-08,132.6,1848631,RY
2025-08-11,133.43,1887281,RY
2025-08-12,134.8,975009,RY
2025-08-13,135.91,2295494,RY
2025-08-14,136.59,1349322,RY
2025-08-15,136.43,771993,RY
2025-08-18,136.4,595105,RY
2025-08-19,136.32,676384,RY
2025-08-20,136.49,615913,RY
2025-08-21,136.2,766562,RY
2025-08-22,137.88,700768,RY
2025-08-25,136.23,845675,RY
2025-08-26,137.68,1387816,RY
2025-08-27,145.26,3183382,RY
2025-08-28,145.85,1115479,RY
2025-08-29,145.36,858678,RY
2025-09-02,144.75,1014289,RY
2025-09-03,145.64,653592,RY
2025-09-04,145.81,577160,RY
2025-09-05,144.49,974984,RY
2025-09-08,144.61,1062998,RY
2025-09-09,143.99,749274,RY
2025-09-10,144.14,765622,RY
2025-09-11,145.13,635862,RY
2025-09-12,144.14,585417,RY
2025-09-15,145.39,800765,RY
2025-09-16,146.04,830220,RY
2025-09-17,146.34,1139579,RY
2025-09-18,146.16,790846,RY
2025-09-19,147.26,943195,RY
2025-09-22,148.6,971436,RY
2025-09-23,148.05,836805,RY
2025-09-24,147.28,776331,RY
2025-09-25,146.23,991284,RY
2025-09-26,146.11,687384,RY
2025-09-29,146.96,1079069,RY
2025-09-30,147.32,797148,RY
2025-10-01,147.2,803454,RY
2025-10-02,146.42,585030,RY
