Date,close,vol,symbol
2024-09-06,360.83,1171249,SHW
2024-09-09,363.9,1169681,SHW
2024-09-10,371.85,1480878,SHW
2024-09-11,371.6,1743841,SHW
2024-09-12,373.97,902620,SHW
2024-09-13,375.4,1006429,SHW
2024-09-16,379.06,1154325,SHW
2024-09-17,378.0,830385,SHW
2024-09-18,375.31,1172494,SHW
2024-09-19,379.75,1069282,SHW
2024-09-20,378.52,2543545,SHW
2024-09-23,381.87,1213733,SHW
2024-09-24,381.56,1079163,SHW
2024-09-25,381.18,759409,SHW
2024-09-26,383.93,981654,SHW
2024-09-27,382.73,1325924,SHW
2024-09-30,381.67,1706739,SHW
2024-10-01,380.58,1255647,SHW
2024-10-02,378.16,794326,SHW
2024-10-03,373.1,713800,SHW
2024-10-04,371.3,883705,SHW
2024-10-07,367.78,805382,SHW
2024-10-08,373.4,1013408,SHW
2024-10-09,378.96,834025,SHW
2024-10-10,376.45,975496,SHW
2024-10-11,378.99,945377,SHW
2024-10-14,384.16,849499,SHW
2024-10-15,388.55,1037142,SHW
2024-10-16,389.39,777188,SHW
2024-10-17,389.08,1080748,SHW
2024-10-18,388.36,1280307,SHW
2024-10-21,381.75,1351186,SHW
2024-10-22,361.38,4720485,SHW
2024-10-23,362.72,1847809,SHW
2024-10-24,361.59,1386229,SHW
2024-10-25,359.04,1121961,SHW
2024-10-28,363.27,1002168,SHW
2024-10-29,361.62,1044347,SHW
2024-10-30,361.89,1333979,SHW
2024-10-31,358.77,949883,SHW
2024-11-01,357.97,1093806,SHW
2024-11-04,374.4,5565871,SHW
2024-11-05,378.21,2582688,SHW
2024-11-06,380.73,4691344,SHW
2024-11-07,384.0,16521782,SHW
2024-11-08,386.67,2209492,SHW
2024-11-11,389.25,1172607,SHW
2024-11-12,383.67,1146371,SHW
2024-11-13,387.29,1172731,SHW
2024-11-14,388.46,1276649,SHW
2024-11-15,378.99,1722807,SHW
2024-11-18,375.35,1511882,SHW
2024-11-19,373.5,1671730,SHW
2024-11-20,371.66,1440807,SHW
2024-11-21,383.32,2588483,SHW
2024-11-22,388.3,1619932,SHW
2024-11-25,399.71,3292067,SHW
2024-11-26,396.14,1889323,SHW
2024-11-27,393.96,2249090,SHW
2024-11-29,397.4,1373229,SHW
2024-12-02,395.58,1538768,SHW
2024-12-03,395.32,1016933,SHW
2024-12-04,392.07,1213891,SHW
2024-12-05,385.24,1388293,SHW
2024-12-06,384.96,1909970,SHW
2024-12-09,376.45,2337606,SHW
2024-12-10,371.6,1808600,SHW
2024-12-11,371.94,1302611,SHW
2024-12-12,366.85,1219297,SHW
2024-12-13,364.5,1118837,SHW
2024-12-16,365.03,1486595,SHW
2024-12-17,362.79,1292409,SHW
2024-12-18,348.66,2306780,SHW
2024-12-19,342.38,2056273,SHW
2024-12-20,345.47,3294827,SHW
2024-12-23,344.84,1083330,SHW
2024-12-24,346.52,445855,SHW
2024-12-26,345.51,750556,SHW
2024-12-27,343.29,881748,SHW
2024-12-30,338.75,1217447,SHW
2024-12-31,339.93,1053108,SHW
2025-01-02,333.16,2263657,SHW
2025-01-03,336.54,1636097,SHW
2025-01-06,337.82,1841153,SHW
2025-01-07,334.4,1625941,SHW
2025-01-08,337.54,1413804,SHW
2025-01-10,330.16,1685153,SHW
2025-01-13,336.12,1442751,SHW
2025-01-14,341.64,1501389,SHW
2025-01-15,346.93,1741197,SHW
2025-01-16,354.17,1469685,SHW
2025-01-17,353.98,2392510,SHW
2025-01-21,361.52,1808241,SHW
2025-01-22,357.74,1181570,SHW
