Date,close,vol,symbol
2024-09-06,120.27,1110894,SJM
2024-09-09,120.18,728583,SJM
2024-09-10,118.97,856881,SJM
2024-09-11,117.49,1459669,SJM
2024-09-12,117.98,778919,SJM
2024-09-13,120.74,648364,SJM
2024-09-16,120.88,696101,SJM
2024-09-17,119.71,871900,SJM
2024-09-18,120.48,990091,SJM
2024-09-19,119.3,896129,SJM
2024-09-20,118.74,2338097,SJM
2024-09-23,118.98,1027438,SJM
2024-09-24,117.43,993009,SJM
2024-09-25,118.24,746140,SJM
2024-09-26,119.87,625426,SJM
2024-09-27,121.15,772735,SJM
2024-09-30,121.1,773070,SJM
2024-10-01,121.21,769516,SJM
2024-10-02,119.13,633960,SJM
2024-10-03,117.28,741153,SJM
2024-10-04,117.39,733326,SJM
2024-10-07,116.18,805843,SJM
2024-10-08,116.78,733685,SJM
2024-10-09,117.21,404174,SJM
2024-10-10,117.02,495950,SJM
2024-10-11,116.82,606588,SJM
2024-10-14,118.21,571901,SJM
2024-10-15,120.54,797614,SJM
2024-10-16,121.61,693624,SJM
2024-10-17,121.25,695232,SJM
2024-10-18,121.73,920624,SJM
2024-10-21,119.93,595539,SJM
2024-10-22,117.7,958754,SJM
2024-10-23,117.7,471193,SJM
2024-10-24,117.04,577145,SJM
2024-10-25,116.07,418527,SJM
2024-10-28,115.46,643160,SJM
2024-10-29,113.79,738544,SJM
2024-10-30,113.92,875173,SJM
2024-10-31,113.51,1286470,SJM
2024-11-01,112.92,767001,SJM
2024-11-04,113.69,1012017,SJM
2024-11-05,116.39,955317,SJM
2024-11-06,115.62,1314454,SJM
2024-11-07,115.26,995249,SJM
2024-11-08,115.45,894336,SJM
2024-11-11,113.65,1145091,SJM
2024-11-12,111.98,1115262,SJM
2024-11-13,111.02,1833738,SJM
2024-11-14,110.75,1131888,SJM
2024-11-15,106.92,1901303,SJM
2024-11-18,110.47,1572439,SJM
2024-11-19,111.91,1092134,SJM
2024-11-20,112.08,888332,SJM
2024-11-21,113.89,1050199,SJM
2024-11-22,113.3,1263063,SJM
2024-11-25,113.62,3044289,SJM
2024-11-26,120.09,3914188,SJM
2024-11-27,118.0,1710750,SJM
2024-11-29,117.79,1000903,SJM
2024-12-02,119.58,1364556,SJM
2024-12-03,117.29,1279521,SJM
2024-12-04,115.44,1439291,SJM
2024-12-05,116.67,853353,SJM
2024-12-06,116.46,1103569,SJM
2024-12-09,117.83,1428029,SJM
2024-12-10,115.0,1193591,SJM
2024-12-11,113.25,1449072,SJM
2024-12-12,113.52,1260572,SJM
2024-12-13,113.53,1083608,SJM
2024-12-16,112.78,1773900,SJM
2024-12-17,114.56,1517029,SJM
2024-12-18,110.23,1212750,SJM
2024-12-19,108.97,1111377,SJM
2024-12-20,109.89,1989452,SJM
2024-12-23,111.2,1066806,SJM
2024-12-24,111.53,370643,SJM
2024-12-26,110.92,705203,SJM
2024-12-27,110.62,513727,SJM
2024-12-30,109.88,775937,SJM
2024-12-31,110.12,574161,SJM
2025-01-02,111.37,1059892,SJM
2025-01-03,111.53,689766,SJM
2025-01-06,109.16,1350809,SJM
2025-01-07,107.47,833644,SJM
2025-01-08,105.43,1309711,SJM
2025-01-10,100.9,1405559,SJM
2025-01-13,102.17,989620,SJM
2025-01-14,101.91,747778,SJM
2025-01-15,100.52,1235282,SJM
2025-01-16,102.54,820549,SJM
2025-01-17,102.14,955780,SJM
2025-01-21,103.44,900800,SJM
2025-01-22,102.15,838739,SJM
2025-01-23,102.51,714743,SJM
2025-01-24,103.71,901462,SJM
2025-01-27,107.29,1052887,SJM
2025-01-28,105.33,941972,SJM
2025-01-29,105.89,769290,SJM
2025-01-30,107.78,853082,SJM
2025-01-31,106.89,1349905,SJM
2025-02-03,105.88,810646,SJM
2025-02-04,104.67,837569,SJM
2025-02-05,104.01,793112,SJM
2025-02-06,103.2,1350869,SJM
2025-02-07,103.28,1062569,SJM
2025-02-10,103.0,1254986,SJM
2025-02-11,104.35,1026131,SJM
