Date,close,vol,symbol
2024-09-06,88.41,4614282,SO
2024-09-09,89.32,3854342,SO
2024-09-10,89.64,4104508,SO
2024-09-11,88.77,3877331,SO
2024-09-12,88.49,3527152,SO
2024-09-13,89.44,2311656,SO
2024-09-16,89.89,3701065,SO
2024-09-17,89.65,3019367,SO
2024-09-18,89.01,3676006,SO
2024-09-19,88.86,7627658,SO
2024-09-20,89.7,9736583,SO
2024-09-23,90.52,3825258,SO
2024-09-24,89.73,6222469,SO
2024-09-25,89.35,3457300,SO
2024-09-26,88.95,3742420,SO
2024-09-27,90.1,4531725,SO
2024-09-30,90.18,6838691,SO
2024-10-01,90.88,4030104,SO
2024-10-02,91.59,4869199,SO
2024-10-03,90.7,6120737,SO
2024-10-04,90.31,3432324,SO
2024-10-07,88.89,4871535,SO
2024-10-08,89.29,2865551,SO
2024-10-09,88.93,4127973,SO
2024-10-10,88.26,3288048,SO
2024-10-11,88.96,3081166,SO
2024-10-14,89.84,2764765,SO
2024-10-15,90.71,3716636,SO
2024-10-16,92.29,3425709,SO
2024-10-17,92.7,3908792,SO
2024-10-18,93.24,3663359,SO
2024-10-21,92.73,3188192,SO
2024-10-22,93.08,3021108,SO
2024-10-23,94.15,4739181,SO
2024-10-24,93.61,2722273,SO
2024-10-25,91.88,2498779,SO
2024-10-28,91.79,2773060,SO
2024-10-29,89.82,5860788,SO
2024-10-30,89.36,7005780,SO
2024-10-31,91.03,10247104,SO
2024-11-01,88.54,6817447,SO
2024-11-04,88.12,4745058,SO
2024-11-05,88.7,4438001,SO
2024-11-06,87.42,4708270,SO
2024-11-07,86.93,4574539,SO
2024-11-08,88.64,3805942,SO
2024-11-11,88.33,2899603,SO
2024-11-12,87.71,4171565,SO
2024-11-13,87.52,3329966,SO
2024-11-14,86.78,3316278,SO
2024-11-15,87.93,4464526,SO
2024-11-18,88.04,4991518,SO
2024-11-19,88.29,3546445,SO
2024-11-20,87.97,4239934,SO
2024-11-21,88.14,5635644,SO
2024-11-22,87.6,3440105,SO
2024-11-25,88.42,5833995,SO
2024-11-26,89.33,3509229,SO
2024-11-27,89.74,3504794,SO
2024-11-29,89.13,2363970,SO
2024-12-02,87.77,4029993,SO
2024-12-03,86.26,5724669,SO
2024-12-04,85.85,3795781,SO
2024-12-05,86.19,3007870,SO
2024-12-06,84.81,4798391,SO
2024-12-09,84.31,3866648,SO
2024-12-10,84.39,3250123,SO
2024-12-11,83.25,5066923,SO
2024-12-12,83.37,3053893,SO
2024-12-13,83.2,2549292,SO
2024-12-16,81.88,4716408,SO
2024-12-17,83.28,5500888,SO
2024-12-18,81.5,4016060,SO
2024-12-19,81.78,4044766,SO
