Date,close,vol,symbol
2024-09-06,97.18,1169823,SWK
2024-09-09,96.19,1085097,SWK
2024-09-10,96.64,948853,SWK
2024-09-11,97.66,1233863,SWK
2024-09-12,97.83,966036,SWK
2024-09-13,101.35,1348356,SWK
2024-09-16,102.59,816923,SWK
2024-09-17,103.0,1012031,SWK
2024-09-18,104.87,2011895,SWK
2024-09-19,108.02,1691002,SWK
2024-09-20,106.93,2326213,SWK
2024-09-23,107.53,1126292,SWK
2024-09-24,107.33,1076759,SWK
2024-09-25,105.58,929659,SWK
2024-09-26,108.32,834241,SWK
2024-09-27,109.72,974287,SWK
2024-09-30,110.13,1035807,SWK
2024-10-01,109.36,1008890,SWK
2024-10-02,109.25,1049700,SWK
2024-10-03,107.27,928458,SWK
2024-10-04,107.38,756006,SWK
2024-10-07,106.31,686846,SWK
2024-10-08,106.54,802362,SWK
2024-10-09,106.61,698788,SWK
2024-10-10,106.85,734364,SWK
2024-10-11,107.96,732254,SWK
2024-10-14,108.85,737706,SWK
2024-10-15,107.07,1421280,SWK
2024-10-16,106.36,1488684,SWK
2024-10-17,105.15,1404796,SWK
2024-10-18,106.4,1476177,SWK
2024-10-21,105.68,1290206,SWK
2024-10-22,104.83,1635907,SWK
2024-10-23,103.29,1412329,SWK
2024-10-24,102.89,964577,SWK
2024-10-25,101.98,933381,SWK
2024-10-28,102.92,1621943,SWK
2024-10-29,93.89,6716564,SWK
2024-10-30,93.87,2509203,SWK
2024-10-31,92.94,2114102,SWK
2024-11-01,93.38,1016043,SWK
2024-11-04,94.42,1314000,SWK
2024-11-05,96.7,1332341,SWK
2024-11-06,92.03,5744126,SWK
2024-11-07,91.88,2819828,SWK
2024-11-08,90.17,1944116,SWK
2024-11-11,90.2,1412169,SWK
2024-11-12,87.48,1941370,SWK
2024-11-13,86.14,2170419,SWK
2024-11-14,85.82,1659931,SWK
2024-11-15,85.45,1524996,SWK
2024-11-18,86.58,1579846,SWK
2024-11-19,86.31,1416666,SWK
2024-11-20,85.42,1631737,SWK
2024-11-21,87.67,1693065,SWK
2024-11-22,89.25,2350494,SWK
2024-11-25,92.52,1861953,SWK
2024-11-26,89.54,1290191,SWK
2024-11-27,89.77,892693,SWK
2024-11-29,89.45,523987,SWK
2024-12-02,89.07,1160470,SWK
2024-12-03,88.24,1577871,SWK
2024-12-04,86.03,2316295,SWK
2024-12-05,84.93,2600266,SWK
2024-12-06,84.46,1956514,SWK
2024-12-09,85.8,2734049,SWK
2024-12-10,83.9,1810017,SWK
2024-12-11,83.8,1428516,SWK
2024-12-12,82.71,1200231,SWK
2024-12-13,82.8,1223208,SWK
2024-12-16,82.79,1552197,SWK
2024-12-17,82.21,1346961,SWK
2024-12-18,79.07,1662784,SWK
2024-12-19,79.43,2443822,SWK
2024-12-20,82.0,4891302,SWK
2024-12-23,81.35,1562160,SWK
2024-12-24,81.12,454343,SWK
2024-12-26,80.91,928002,SWK
2024-12-27,80.58,870459,SWK
2024-12-30,79.83,802191,SWK
2024-12-31,80.29,1051439,SWK
2025-01-02,79.88,1189033,SWK
2025-01-03,80.76,765810,SWK
2025-01-06,82.65,1839529,SWK
2025-01-07,81.65,1280089,SWK
2025-01-08,81.56,1305155,SWK
2025-01-10,80.09,1605857,SWK
2025-01-13,80.89,1369313,SWK
2025-01-14,82.36,1014856,SWK
2025-01-15,83.39,1375201,SWK
2025-01-16,83.97,853207,SWK
2025-01-17,84.27,1514321,SWK
2025-01-21,86.62,1695663,SWK
2025-01-22,86.3,1748768,SWK
2025-01-23,88.49,2159154,SWK
2025-01-24,88.16,2835111,SWK
2025-01-27,90.4,2010382,SWK
2025-01-28,88.84,1759785,SWK
2025-01-29,88.39,1955351,SWK
2025-01-30,89.92,1483729,SWK
2025-01-31,88.07,2392806,SWK
2025-02-03,85.17,2455239,SWK
2025-02-04,86.66,4050608,SWK
2025-02-05,85.62,4810138,SWK
2025-02-06,85.91,2406869,SWK
2025-02-07,86.46,3727312,SWK
2025-02-10,85.76,2088447,SWK
2025-02-11,87.29,1577994,SWK
2025-02-12,85.3,1682249,SWK
2025-02-13,86.81,867671,SWK
2025-02-14,87.1,997246,SWK
2025-02-18,87.04,993371,SWK
2025-02-19,88.29,1262477,SWK
2025-02-20,89.93,1378397,SWK
2025-02-21,87.95,1365041,SWK
2025-02-24,86.8,1213766,SWK
