Date,close,vol,symbol
2024-09-06,60.37,1998789,TD
2024-09-09,61.47,1397765,TD
2024-09-10,61.07,1489505,TD
2024-09-11,61.72,1615611,TD
2024-09-12,61.89,1230267,TD
2024-09-13,62.2,2180774,TD
2024-09-16,62.92,1030128,TD
2024-09-17,62.89,1492434,TD
2024-09-18,62.59,1335906,TD
2024-09-19,64.41,3234638,TD
2024-09-20,64.56,2744839,TD
2024-09-23,63.88,3668311,TD
2024-09-24,63.79,1358579,TD
2024-09-25,62.9,3287276,TD
2024-09-26,63.31,1889613,TD
2024-09-27,63.36,1470763,TD
2024-09-30,63.26,3655220,TD
2024-10-01,63.54,5242879,TD
2024-10-02,63.14,1294340,TD
2024-10-03,63.27,2775313,TD
2024-10-04,63.71,993679,TD
2024-10-07,63.8,1859069,TD
2024-10-08,63.41,7471293,TD
2024-10-09,63.51,1014242,TD
2024-10-10,59.44,11647333,TD
2024-10-11,57.01,7355349,TD
2024-10-14,56.51,5278425,TD
2024-10-15,56.32,6681168,TD
2024-10-16,56.35,6088528,TD
2024-10-17,56.42,3269509,TD
2024-10-18,56.35,3162238,TD
2024-10-21,56.67,7572963,TD
2024-10-22,57.27,2802419,TD
2024-10-23,56.73,3873090,TD
2024-10-24,56.85,1670693,TD
2024-10-25,56.34,1300654,TD
2024-10-28,56.28,2710432,TD
2024-10-29,55.48,3023600,TD
2024-10-30,55.65,3607316,TD
2024-10-31,55.27,3488219,TD
2024-11-01,54.99,1323407,TD
2024-11-04,55.03,1384029,TD
2024-11-05,55.68,1146392,TD
2024-11-06,56.54,2561878,TD
2024-11-07,56.79,2369256,TD
2024-11-08,56.66,1069506,TD
2024-11-11,56.93,1623366,TD
2024-11-12,56.14,2025910,TD
2024-11-13,56.08,1420340,TD
2024-11-14,56.62,1700029,TD
2024-11-15,55.93,1743187,TD
2024-11-18,56.27,1948718,TD
2024-11-19,55.83,1564474,TD
2024-11-20,55.94,1056707,TD
2024-11-21,55.9,1854509,TD
2024-11-22,56.16,1104275,TD
2024-11-25,55.84,4912122,TD
2024-11-26,55.88,2331880,TD
2024-11-27,56.39,1514118,TD
2024-11-29,56.53,557385,TD
2024-12-02,56.2,1712886,TD
2024-12-03,56.25,2093481,TD
2024-12-04,56.6,2177745,TD
2024-12-05,52.8,5902051,TD
2024-12-06,51.96,5095462,TD
2024-12-09,52.65,2574308,TD
2024-12-10,53.11,2835232,TD
2024-12-11,53.49,2454974,TD
2024-12-12,53.46,1959550,TD
2024-12-13,53.25,1933166,TD
2024-12-16,53.1,1554759,TD
2024-12-17,52.55,1379873,TD
2024-12-18,51.81,2109965,TD
2024-12-19,51.56,1892061,TD
2024-12-20,52.25,2138631,TD
2024-12-23,52.61,2457078,TD
2024-12-24,53.06,747652,TD
2024-12-26,52.9,832119,TD
2024-12-27,53.0,1173302,TD
2024-12-30,53.08,1425763,TD
2024-12-31,53.24,1141573,TD
2025-01-02,53.12,3570832,TD
2025-01-03,53.81,4412216,TD
2025-01-06,54.24,3512979,TD
2025-01-07,54.64,3257528,TD
2025-01-08,54.18,5907972,TD
2025-01-10,54.19,3266040,TD
2025-01-13,54.26,2353702,TD
2025-01-14,54.7,2523410,TD
2025-01-15,55.41,2086569,TD
2025-01-16,55.32,1465159,TD
2025-01-17,57.51,7301841,TD
2025-01-21,57.27,2445922,TD
2025-01-22,56.88,2721257,TD
2025-01-23,57.18,1774483,TD
2025-01-24,57.28,1327706,TD
2025-01-27,57.52,1770318,TD
2025-01-28,57.32,1222835,TD
2025-01-29,57.41,1485680,TD
2025-01-30,57.37,2817848,TD
2025-01-31,57.07,1643640,TD
2025-02-03,56.55,4670953,TD
2025-02-04,57.32,3526902,TD
2025-02-05,57.46,3542227,TD
2025-02-06,57.92,1938227,TD
2025-02-07,57.96,2421459,TD
2025-02-10,60.04,3389775,TD
2025-02-11,60.68,1643952,TD
2025-02-12,59.95,1536384,TD
2025-02-13,59.93,5224973,TD
2025-02-14,59.75,1148815,TD
2025-02-18,60.05,1416136,TD
2025-02-19,60.13,1589651,TD
2025-02-20,60.36,926886,TD
2025-02-21,59.83,1019209,TD
2025-02-24,59.38,1125658,TD
2025-02-25,59.6,2354768,TD
2025-02-26,59.73,1576188,TD
2025-02-27,59.79,1684813,TD
2025-02-28,59.91,1973154,TD
2025-03-03,59.56,2139163,TD
2025-03-04,58.61,3403799,TD
2025-03-05,59.24,1741570,TD
2025-03-06,59.2,1254446,TD
2025-03-07,59.55,1380494,TD
2025-03-10,58.75,1232198,TD
2025-03-11,57.67,2223273,TD
2025-03-12,58.33,1105556,TD
2025-03-13,57.67,4327427,TD
2025-03-14,58.93,1027063,TD
2025-03-17,59.75,1084114,TD
2025-03-18,59.67,983917,TD
2025-03-19,59.89,819831,TD
2025-03-20,59.9,942136,TD
2025-03-21,59.53,1950281,TD
2025-03-24,60.53,1594397,TD
2025-03-25,60.95,2096135,TD
2025-03-26,61.15,3179670,TD
2025-03-27,60.96,2704619,TD
2025-03-28,60.29,4689778,TD
2025-03-31,59.94,1573778,TD
2025-04-01,59.34,2157859,TD
2025-04-02,59.91,1999741,TD
2025-04-03,58.66,2544636,TD
2025-04-04,57.04,3891280,TD
2025-04-07,55.71,4056224,TD
2025-04-08,55.89,2806786,TD
2025-04-09,57.55,3626332,TD
2025-04-10,56.64,2933733,TD
2025-04-11,58.36,2367535,TD
2025-04-14,59.96,1714173,TD
2025-04-15,59.84,1512868,TD
2025-04-16,60.44,1988586,TD
2025-04-17,60.7,1560389,TD
2025-04-21,60.82,1344677,TD
2025-04-22,61.96,3207357,TD
2025-04-23,61.79,1597759,TD
2025-04-24,62.2,2323004,TD
2025-04-25,62.17,3173711,TD
2025-04-28,62.74,3066710,TD
2025-04-29,63.27,3024273,TD
2025-04-30,63.78,1842829,TD
2025-05-01,63.14,1601298,TD
2025-05-02,63.96,1352977,TD
2025-05-05,63.86,929662,TD
2025-05-06,63.45,1141125,TD
2025-05-07,63.13,1294275,TD
2025-05-08,63.05,1085672,TD
2025-05-09,63.18,921395,TD
2025-05-12,63.28,1329414,TD
2025-05-13,63.94,1501496,TD
2025-05-14,64.21,1708272,TD
2025-05-15,64.97,1536464,TD
2025-05-16,64.31,2821930,TD
2025-05-19,64.74,816578,TD
2025-05-20,64.8,1465407,TD
2025-05-21,64.78,2114050,TD
2025-05-22,66.95,3707869,TD
2025-05-23,67.7,2348014,TD
2025-05-27,68.22,1579117,TD
2025-05-28,68.11,1705215,TD
2025-05-29,68.74,1640672,TD
2025-05-30,69.05,1635517,TD
2025-06-02,69.3,1582318,TD
2025-06-03,69.96,1838081,TD
2025-06-04,69.58,1392208,TD
2025-06-05,69.97,2076183,TD
2025-06-06,70.39,1674642,TD
2025-06-09,70.09,1397527,TD
2025-06-10,70.73,1847077,TD
2025-06-11,70.26,1881052,TD
2025-06-12,70.78,1379659,TD
2025-06-13,70.8,1912708,TD
2025-06-16,71.05,1158520,TD
2025-06-17,70.9,1624300,TD
2025-06-18,71.3,1564037,TD
2025-06-20,70.88,1554825,TD
2025-06-23,71.18,1240264,TD
2025-06-24,71.8,1662583,TD
2025-06-25,72.0,2543913,TD
2025-06-26,72.86,3411990,TD
2025-06-27,72.59,4219083,TD
2025-06-30,73.45,1525053,TD
2025-07-01,74.11,1311429,TD
2025-07-02,74.41,3045235,TD
2025-07-03,75.02,964556,TD
2025-07-07,74.12,5008979,TD
2025-07-08,74.04,4341590,TD
2025-07-09,74.1,1872043,TD
2025-07-10,73.89,2142495,TD
2025-07-11,73.6,1639363,TD
2025-07-14,74.03,1430183,TD
2025-07-15,73.45,1444437,TD
2025-07-16,74.01,1279775,TD
2025-07-17,74.0,2090250,TD
2025-07-18,73.58,1630101,TD
2025-07-21,74.43,1826194,TD
2025-07-22,75.1,1317152,TD
2025-07-23,75.35,1528393,TD
2025-07-24,74.86,1329666,TD
2025-07-25,74.93,2508516,TD
2025-07-28,74.11,2981707,TD
2025-07-29,73.51,1452766,TD
2025-07-30,73.56,1601271,TD
2025-07-31,72.88,1904303,TD
2025-08-01,72.55,3762280,TD
2025-08-04,73.48,1523568,TD
2025-08-05,72.98,1319104,TD
2025-08-06,73.44,2630743,TD
2025-08-07,72.88,1131554,TD
2025-08-08,73.25,960129,TD
2025-08-11,73.08,906450,TD
2025-08-12,73.21,1154110,TD
2025-08-13,74.48,2887352,TD
2025-08-14,74.52,1290885,TD
2025-08-15,74.01,1167143,TD
2025-08-18,73.91,1082138,TD
2025-08-19,73.31,1260612,TD
2025-08-20,73.71,1621569,TD
2025-08-21,73.64,1131868,TD
2025-08-22,74.38,1586783,TD
2025-08-25,73.76,1569552,TD
2025-08-26,75.24,2699469,TD
2025-08-27,76.14,3863340,TD
2025-08-28,72.85,6170952,TD
2025-08-29,75.14,2902029,TD
2025-09-02,74.53,1917671,TD
2025-09-03,74.86,1448423,TD
2025-09-04,74.71,1219356,TD
2025-09-05,74.46,1546497,TD
2025-09-08,74.72,1961895,TD
2025-09-09,75.34,1484376,TD
2025-09-10,75.86,1322092,TD
2025-09-11,76.82,1503655,TD
2025-09-12,76.79,1124715,TD
2025-09-15,77.65,1480536,TD
2025-09-16,77.88,1150298,TD
2025-09-17,78.4,1441842,TD
2025-09-18,78.4,961878,TD
2025-09-19,78.63,2022993,TD
2025-09-22,79.28,1507908,TD
2025-09-23,78.75,1116594,TD
2025-09-24,78.13,3066322,TD
2025-09-25,78.84,1446565,TD
2025-09-26,79.25,1555357,TD
2025-09-29,79.77,4398429,TD
2025-09-30,79.95,3819679,TD
2025-10-01,80.44,2497926,TD
2025-10-02,79.63,2976815,TD
