Date,close,vol,symbol
2024-09-06,151.28,4045069,TGT
2024-09-09,150.59,3735150,TGT
2024-09-10,148.01,4103181,TGT
2024-09-11,147.29,4089547,TGT
2024-09-12,148.44,3454594,TGT
2024-09-13,151.36,3592362,TGT
2024-09-16,152.84,3429165,TGT
2024-09-17,151.96,3162261,TGT
2024-09-18,153.6,3269539,TGT
2024-09-19,156.49,5098842,TGT
2024-09-20,154.75,7389826,TGT
2024-09-23,155.29,2927656,TGT
2024-09-24,156.18,3113986,TGT
2024-09-25,155.07,2319914,TGT
2024-09-26,155.98,2757937,TGT
2024-09-27,155.18,3067262,TGT
2024-09-30,155.86,2935829,TGT
2024-10-01,152.2,3994414,TGT
2024-10-02,150.4,2794972,TGT
2024-10-03,149.6,4790132,TGT
2024-10-04,152.88,3557483,TGT
2024-10-07,149.0,3301408,TGT
2024-10-08,151.32,3224142,TGT
2024-10-09,154.33,3514297,TGT
2024-10-10,155.97,3139067,TGT
2024-10-11,158.46,3594086,TGT
2024-10-14,157.97,2534419,TGT
2024-10-15,160.69,2988018,TGT
2024-10-16,158.87,3124548,TGT
2024-10-17,155.89,2879828,TGT
2024-10-18,156.84,2988748,TGT
2024-10-21,150.91,4455218,TGT
2024-10-22,149.19,2815030,TGT
2024-10-23,148.05,3961995,TGT
2024-10-24,150.18,3060349,TGT
2024-10-25,151.16,4082176,TGT
2024-10-28,149.3,2523740,TGT
2024-10-29,147.93,2881493,TGT
2024-10-30,148.52,2520491,TGT
2024-10-31,150.04,3229478,TGT
2024-11-01,150.84,2453210,TGT
2024-11-04,149.99,3289701,TGT
2024-11-05,150.99,2692273,TGT
2024-11-06,147.29,7506637,TGT
2024-11-07,150.91,4862354,TGT
2024-11-08,149.78,3323610,TGT
2024-11-11,153.28,3541650,TGT
2024-11-12,155.65,5082085,TGT
2024-11-13,154.99,3624515,TGT
2024-11-14,153.47,4075055,TGT
2024-11-15,152.13,3888688,TGT
2024-11-18,156.56,6508271,TGT
2024-11-19,156.0,9170486,TGT
2024-11-20,121.72,64557671,TGT
2024-11-21,121.59,19616656,TGT
2024-11-22,125.01,13730074,TGT
2024-11-25,130.53,15456459,TGT
2024-11-26,126.55,9888230,TGT
2024-11-27,130.09,6745228,TGT
2024-11-29,132.31,5023526,TGT
2024-12-02,130.72,14195575,TGT
2024-12-03,131.45,8163940,TGT
2024-12-04,130.07,6051297,TGT
2024-12-05,129.17,6858622,TGT
2024-12-06,132.39,7284123,TGT
2024-12-09,135.29,9619251,TGT
2024-12-10,135.05,5575526,TGT
2024-12-11,135.98,4811931,TGT
2024-12-12,135.29,3860187,TGT
2024-12-13,134.52,4261210,TGT
