Date,close,vol,symbol
2024-09-06,46.69,2526082,TRP
2024-09-09,47.07,4540297,TRP
2024-09-10,45.79,3168469,TRP
2024-09-11,45.88,4536290,TRP
2024-09-12,46.09,4237283,TRP
2024-09-13,46.55,2714631,TRP
2024-09-16,46.74,2738294,TRP
2024-09-17,46.38,1569164,TRP
2024-09-18,46.01,2455221,TRP
2024-09-19,44.99,4123584,TRP
2024-09-20,46.18,7195790,TRP
2024-09-23,47.11,2222318,TRP
2024-09-24,47.02,1747533,TRP
2024-09-25,47.85,6763354,TRP
2024-09-26,47.9,3105409,TRP
2024-09-27,46.76,1664800,TRP
2024-09-30,47.55,2621136,TRP
2024-10-01,48.37,2299719,TRP
2024-10-02,44.03,3695580,TRP
2024-10-03,44.35,2081148,TRP
2024-10-04,45.11,4299128,TRP
2024-10-07,44.86,5324542,TRP
2024-10-08,44.69,2497823,TRP
2024-10-09,45.2,3076189,TRP
2024-10-10,45.06,1053672,TRP
2024-10-11,45.67,5290576,TRP
2024-10-14,46.78,3965717,TRP
2024-10-15,46.8,5831354,TRP
2024-10-16,47.34,1989002,TRP
2024-10-17,47.53,1539324,TRP
2024-10-18,48.1,1441433,TRP
2024-10-21,47.36,1360997,TRP
2024-10-22,47.4,1178399,TRP
2024-10-23,46.96,1069166,TRP
2024-10-24,46.99,1468574,TRP
2024-10-25,47.26,1364790,TRP
2024-10-28,46.79,1280358,TRP
2024-10-29,46.29,1338550,TRP
2024-10-30,46.47,1853454,TRP
2024-10-31,46.51,1512103,TRP
2024-11-01,46.3,1213526,TRP
2024-11-04,46.92,1602353,TRP
2024-11-05,47.44,940713,TRP
2024-11-06,48.33,2706916,TRP
2024-11-07,49.68,2567365,TRP
2024-11-08,48.76,2259810,TRP
2024-11-11,49.59,1249843,TRP
2024-11-12,48.35,1871014,TRP
2024-11-13,48.44,1205001,TRP
2024-11-14,48.85,2212242,TRP
2024-11-15,48.99,1380972,TRP
2024-11-18,49.9,1737822,TRP
2024-11-19,49.83,2529463,TRP
2024-11-20,49.21,2663969,TRP
2024-11-21,50.23,2567908,TRP
2024-11-22,49.85,1919394,TRP
2024-11-25,49.06,2361120,TRP
2024-11-26,48.74,1578023,TRP
2024-11-27,48.41,2809490,TRP
2024-11-29,48.93,1473758,TRP
2024-12-02,48.58,1807115,TRP
2024-12-03,48.66,1758003,TRP
2024-12-04,49.02,2862918,TRP
2024-12-05,48.95,2013741,TRP
2024-12-06,48.25,1702276,TRP
2024-12-09,47.37,3757787,TRP
2024-12-10,47.17,4083725,TRP
2024-12-11,47.3,2890726,TRP
2024-12-12,46.78,4051850,TRP
2024-12-13,46.47,5936294,TRP
2024-12-16,46.04,3824448,TRP
2024-12-17,46.07,1762315,TRP
2024-12-18,45.1,1802794,TRP
2024-12-19,45.33,1734586,TRP
2024-12-20,45.79,1677605,TRP
2024-12-23,46.17,1695459,TRP
2024-12-24,46.29,702072,TRP
2024-12-26,46.09,736094,TRP
2024-12-27,46.26,910621,TRP
2024-12-30,46.71,1544110,TRP
2024-12-31,46.53,1280128,TRP
2025-01-02,47.37,1505584,TRP
2025-01-03,47.49,1155529,TRP
2025-01-06,47.33,1817938,TRP
2025-01-07,47.77,1344065,TRP
2025-01-08,47.79,1260054,TRP
2025-01-10,46.7,2534316,TRP
2025-01-13,45.96,3563162,TRP
2025-01-14,46.37,2849503,TRP
2025-01-15,46.89,3504134,TRP
2025-01-16,46.17,2570511,TRP
2025-01-17,47.4,3422644,TRP
2025-01-21,47.45,2973522,TRP
2025-01-22,47.16,1686291,TRP
2025-01-23,47.1,1057971,TRP
2025-01-24,47.55,1256522,TRP
2025-01-27,45.68,2916420,TRP
2025-01-28,45.34,2028430,TRP
2025-01-29,45.37,1760180,TRP
2025-01-30,45.26,2230586,TRP
2025-01-31,45.05,2645431,TRP
2025-02-03,45.28,1982737,TRP
2025-02-04,46.67,1595140,TRP
2025-02-05,47.12,1546466,TRP
2025-02-06,46.96,1600193,TRP
2025-02-07,46.92,2738965,TRP
2025-02-10,47.2,2226267,TRP
2025-02-11,47.27,1042010,TRP
2025-02-12,46.84,1680402,TRP
2025-02-13,47.4,2181525,TRP
2025-02-14,45.92,3449644,TRP
2025-02-18,46.38,2071482,TRP
2025-02-19,45.9,1677430,TRP
2025-02-20,45.54,1693516,TRP
2025-02-21,44.99,2068059,TRP
2025-02-24,44.31,1722828,TRP
2025-02-25,44.29,2485303,TRP
2025-02-26,44.43,1440811,TRP
2025-02-27,44.34,1242800,TRP
2025-02-28,44.74,2216768,TRP
2025-03-03,44.83,1766264,TRP
2025-03-04,45.0,3575488,TRP
2025-03-05,46.34,4859134,TRP
2025-03-06,45.49,3321216,TRP
2025-03-07,45.88,1374611,TRP
2025-03-10,46.23,2048035,TRP
2025-03-11,46.29,3574987,TRP
2025-03-12,46.59,2682035,TRP
2025-03-13,46.6,2248318,TRP
2025-03-14,47.12,1473972,TRP
2025-03-17,47.75,2332873,TRP
2025-03-18,47.71,2504170,TRP
2025-03-19,48.32,2139046,TRP
2025-03-20,49.16,1422909,TRP
2025-03-21,48.43,1451732,TRP
2025-03-24,49.27,1929395,TRP
2025-03-25,48.86,1401239,TRP
2025-03-26,48.45,1623546,TRP
2025-03-27,48.27,1122187,TRP
2025-03-28,48.05,1683521,TRP
2025-03-31,47.21,3660477,TRP
2025-04-01,47.8,1681129,TRP
2025-04-02,48.72,1672452,TRP
2025-04-03,48.72,4826204,TRP
2025-04-04,45.94,6089410,TRP
2025-04-07,45.7,7017458,TRP
2025-04-08,44.48,4725234,TRP
2025-04-09,46.08,4968915,TRP
2025-04-10,45.41,3807231,TRP
2025-04-11,47.47,2834721,TRP
2025-04-14,48.02,2760114,TRP
2025-04-15,48.58,1960964,TRP
2025-04-16,48.9,2636437,TRP
2025-04-17,49.42,3376965,TRP
2025-04-21,48.45,2434793,TRP
2025-04-22,49.01,1731674,TRP
2025-04-23,48.91,1669824,TRP
2025-04-24,49.5,1274433,TRP
2025-04-25,49.6,7055817,TRP
2025-04-28,50.25,1472500,TRP
2025-04-29,50.22,2116788,TRP
2025-04-30,50.41,3339285,TRP
2025-05-01,50.01,2139883,TRP
2025-05-02,50.98,2092561,TRP
2025-05-05,50.92,1319666,TRP
2025-05-06,50.54,1305400,TRP
2025-05-07,51.06,1311006,TRP
2025-05-08,49.03,2771010,TRP
2025-05-09,49.41,1247631,TRP
2025-05-12,48.12,2013472,TRP
2025-05-13,48.57,1860358,TRP
2025-05-14,48.89,1472890,TRP
2025-05-15,49.89,1157856,TRP
2025-05-16,49.84,780080,TRP
2025-05-19,49.47,1272483,TRP
2025-05-20,50.06,1544827,TRP
2025-05-21,49.84,1448104,TRP
2025-05-22,49.84,6734,TRP
2025-05-23,50.45,1290937,TRP
2025-05-27,50.09,1462221,TRP
2025-05-28,49.89,1243177,TRP
2025-05-29,49.85,1569769,TRP
2025-05-30,50.64,3120907,TRP
2025-06-02,51.4,2823801,TRP
2025-06-03,51.31,1829082,TRP
2025-06-04,51.35,2242237,TRP
2025-06-05,51.37,705414,TRP
2025-06-06,50.74,1812972,TRP
2025-06-09,49.45,3149246,TRP
2025-06-10,49.61,4463248,TRP
2025-06-11,49.59,4047050,TRP
2025-06-12,50.04,1710246,TRP
2025-06-13,49.57,1757789,TRP
2025-06-16,49.21,4236238,TRP
2025-06-17,48.31,3478247,TRP
2025-06-18,47.75,5098670,TRP
2025-06-20,47.43,2255203,TRP
2025-06-23,47.24,5443787,TRP
2025-06-24,47.19,2153640,TRP
2025-06-25,46.98,4066837,TRP
2025-06-26,47.96,3504813,TRP
2025-06-27,48.88,7779925,TRP
2025-06-30,48.79,2861219,TRP
2025-07-01,47.88,3567852,TRP
2025-07-02,47.98,5347787,TRP
2025-07-03,48.15,2123593,TRP
2025-07-07,47.4,2148517,TRP
2025-07-08,47.21,2239651,TRP
2025-07-09,46.58,3389840,TRP
2025-07-10,47.26,3520807,TRP
2025-07-11,47.29,2810433,TRP
2025-07-14,48.44,2061982,TRP
2025-07-15,48.6,2088365,TRP
2025-07-16,48.41,4503723,TRP
2025-07-17,47.72,1958417,TRP
2025-07-18,47.77,2241513,TRP
2025-07-21,47.43,1373536,TRP
2025-07-22,47.96,1105313,TRP
2025-07-23,48.11,2193464,TRP
2025-07-24,47.57,1700698,TRP
2025-07-25,47.24,1157979,TRP
2025-07-28,46.82,1046302,TRP
2025-07-29,47.06,1764578,TRP
2025-07-30,47.02,1624749,TRP
2025-07-31,47.88,2407267,TRP
2025-08-01,48.37,1357532,TRP
2025-08-04,48.54,940326,TRP
2025-08-05,48.91,1922268,TRP
2025-08-06,49.78,1713281,TRP
2025-08-07,49.72,1313261,TRP
2025-08-08,49.37,1343141,TRP
2025-08-11,49.97,1001139,TRP
2025-08-12,50.09,1104174,TRP
2025-08-13,51.03,1768305,TRP
2025-08-14,51.22,1128761,TRP
2025-08-15,51.08,1218313,TRP
2025-08-18,50.44,1856600,TRP
2025-08-19,51.18,1494997,TRP
2025-08-20,51.87,1885020,TRP
2025-08-21,51.52,1202497,TRP
2025-08-22,51.24,1307602,TRP
2025-08-25,50.77,1556175,TRP
2025-08-26,50.93,1272795,TRP
2025-08-27,51.29,1169778,TRP
2025-08-28,51.64,982906,TRP
2025-08-29,52.06,2957085,TRP
2025-09-02,51.69,1205410,TRP
2025-09-03,52.06,860268,TRP
2025-09-04,51.41,1912498,TRP
2025-09-05,51.86,1969212,TRP
2025-09-08,51.89,1835023,TRP
2025-09-09,51.81,2176056,TRP
2025-09-10,51.95,2001121,TRP
2025-09-11,52.11,2349383,TRP
2025-09-12,52.31,2101596,TRP
2025-09-15,52.28,1955934,TRP
2025-09-16,52.1,2063344,TRP
2025-09-17,52.4,3193137,TRP
2025-09-18,52.66,1021164,TRP
2025-09-19,52.54,1243485,TRP
2025-09-22,52.88,1825668,TRP
2025-09-23,53.31,1874799,TRP
2025-09-24,53.55,1665866,TRP
2025-09-25,53.69,1757912,TRP
2025-09-26,53.45,5753250,TRP
2025-09-29,53.46,2244661,TRP
2025-09-30,54.41,1731149,TRP
2025-10-01,53.89,2244746,TRP
2025-10-02,54.28,1720843,TRP
