Date,close,vol,symbol
2024-09-06,65.87,3443335,TSN
2024-09-09,65.78,2036966,TSN
2024-09-10,63.18,2414733,TSN
2024-09-11,61.65,2287419,TSN
2024-09-12,61.68,2149250,TSN
2024-09-13,61.4,2146521,TSN
2024-09-16,61.85,1421284,TSN
2024-09-17,61.8,1429044,TSN
2024-09-18,61.81,1399019,TSN
2024-09-19,61.67,1532907,TSN
2024-09-20,60.14,6068278,TSN
2024-09-23,60.42,1953980,TSN
2024-09-24,60.52,1707762,TSN
2024-09-25,57.96,3450885,TSN
2024-09-26,59.32,1957067,TSN
2024-09-27,59.69,1759561,TSN
2024-09-30,59.56,1582438,TSN
2024-10-01,59.76,1890647,TSN
2024-10-02,59.21,1754071,TSN
2024-10-03,58.07,1612430,TSN
2024-10-04,58.55,1040013,TSN
2024-10-07,58.23,1276346,TSN
2024-10-08,58.29,1393140,TSN
2024-10-09,58.28,1551361,TSN
2024-10-10,58.19,2143617,TSN
2024-10-11,58.83,1434543,TSN
2024-10-14,59.85,1819030,TSN
2024-10-15,59.87,1720256,TSN
2024-10-16,60.6,1457616,TSN
2024-10-17,59.79,1297881,TSN
2024-10-18,60.01,1277402,TSN
2024-10-21,59.18,1149861,TSN
2024-10-22,58.89,1944559,TSN
2024-10-23,58.88,2684667,TSN
2024-10-24,59.03,1703396,TSN
2024-10-25,58.67,1809547,TSN
2024-10-28,59.2,1235117,TSN
2024-10-29,58.37,2934060,TSN
2024-10-30,58.83,2326905,TSN
2024-10-31,58.59,2109196,TSN
2024-11-01,58.36,1890039,TSN
2024-11-04,58.32,1611121,TSN
2024-11-05,59.26,2413543,TSN
2024-11-06,59.16,1825647,TSN
2024-11-07,58.71,1925651,TSN
2024-11-08,59.59,2462218,TSN
2024-11-11,58.81,2693109,TSN
2024-11-12,62.66,7041753,TSN
2024-11-13,63.3,2709457,TSN
2024-11-14,64.01,3539133,TSN
2024-11-15,64.32,3430346,TSN
2024-11-18,64.54,2921811,TSN
2024-11-19,62.92,2070211,TSN
2024-11-20,63.25,2480379,TSN
2024-11-21,63.77,3172734,TSN
2024-11-22,63.77,3870482,TSN
2024-11-25,63.78,3868386,TSN
