Date,close,vol,symbol
2024-09-06,65.25,2463009,UL
2024-09-09,65.59,2533146,UL
2024-09-10,65.35,3344678,UL
2024-09-11,64.89,2244957,UL
2024-09-12,64.88,1769500,UL
2024-09-13,65.06,2074873,UL
2024-09-16,65.56,1353074,UL
2024-09-17,64.82,2039508,UL
2024-09-18,64.37,1533079,UL
2024-09-19,64.32,1783028,UL
2024-09-20,64.41,1216934,UL
2024-09-23,64.9,1439750,UL
2024-09-24,64.77,1592426,UL
2024-09-25,65.3,1240133,UL
2024-09-26,65.24,1333928,UL
2024-09-27,65.44,1392412,UL
2024-09-30,64.96,1876582,UL
2024-10-01,64.64,4307910,UL
2024-10-02,64.14,2381340,UL
2024-10-03,62.91,1648707,UL
2024-10-04,62.84,1320252,UL
2024-10-07,62.23,1266784,UL
2024-10-08,62.89,1106515,UL
2024-10-09,62.9,1089837,UL
2024-10-10,62.4,985632,UL
2024-10-11,62.79,997066,UL
2024-10-14,63.09,730662,UL
2024-10-15,63.09,16639,UL
2024-10-16,63.18,1296334,UL
2024-10-17,62.88,1939356,UL
2024-10-18,62.95,1184766,UL
2024-10-21,62.3,941237,UL
2024-10-22,61.88,1828530,UL
2024-10-23,60.64,2642157,UL
2024-10-24,62.3,2631075,UL
2024-10-25,61.69,1512274,UL
2024-10-28,62.54,1681514,UL
2024-10-29,62.29,2270271,UL
2024-10-30,61.6,1543703,UL
2024-10-31,60.91,2895973,UL
2024-11-01,61.32,1789242,UL
2024-11-04,61.31,1410950,UL
2024-11-05,61.66,1169043,UL
2024-11-06,59.27,2201453,UL
2024-11-07,59.61,1642523,UL
2024-11-08,59.0,3283741,UL
2024-11-11,58.23,3118934,UL
2024-11-12,57.57,2919310,UL
2024-11-13,57.38,1733833,UL
2024-11-14,57.4,2050202,UL
2024-11-15,57.4,2057759,UL
2024-11-18,57.9,3624010,UL
2024-11-19,57.86,2002882,UL
2024-11-20,57.55,2853885,UL
2024-11-21,57.63,2930273,UL
2024-11-22,58.61,3004003,UL
2024-11-25,58.78,2773114,UL
2024-11-26,59.1,2118666,UL
2024-11-27,59.74,1781232,UL
2024-11-29,59.84,1233415,UL
2024-12-02,59.91,2203408,UL
2024-12-03,59.38,1756956,UL
2024-12-04,59.37,1643826,UL
2024-12-05,59.55,1231021,UL
2024-12-06,59.04,1757800,UL
2024-12-09,58.84,3356717,UL
2024-12-10,58.71,3382086,UL
2024-12-11,58.78,2400197,UL
2024-12-12,58.71,2295191,UL
2024-12-13,58.87,1291256,UL
2024-12-16,59.32,3580664,UL
2024-12-17,59.3,2216774,UL
2024-12-18,57.83,3107274,UL
2024-12-19,57.55,2268867,UL
2024-12-20,57.16,7528324,UL
2024-12-23,57.19,2092733,UL
2024-12-24,57.19,947364,UL
2024-12-26,57.52,1868937,UL
2024-12-27,57.46,1809310,UL
2024-12-30,56.76,2063731,UL
2024-12-31,56.7,1553888,UL
2025-01-02,56.52,1911650,UL
2025-01-03,56.51,2346019,UL
2025-01-06,55.43,2128993,UL
2025-01-07,55.85,2260712,UL
2025-01-08,56.14,1976605,UL
2025-01-10,55.13,2718431,UL
2025-01-13,55.03,1850926,UL
2025-01-14,54.74,2557537,UL
2025-01-15,54.72,2640371,UL
2025-01-16,55.44,1801229,UL
2025-01-17,55.66,3801435,UL
2025-01-21,56.91,3018280,UL
2025-01-22,56.05,2129764,UL
2025-01-23,56.67,2170593,UL
2025-01-24,56.5,2940044,UL
2025-01-27,58.13,2920648,UL
2025-01-28,57.48,2911769,UL
2025-01-29,57.27,3445856,UL
2025-01-30,58.3,3443301,UL
2025-01-31,57.38,1763079,UL
2025-02-03,57.65,1860628,UL
2025-02-04,57.25,1568457,UL
2025-02-05,58.25,1723199,UL
2025-02-06,58.07,1546606,UL
2025-02-07,58.27,1637646,UL
2025-02-10,58.26,2560403,UL
2025-02-11,58.92,2744002,UL
2025-02-12,59.14,2273382,UL
2025-02-13,55.96,9925255,UL
2025-02-14,54.89,2502358,UL
2025-02-18,54.92,3548312,UL
2025-02-19,55.64,4614203,UL
2025-02-20,55.54,2737362,UL
2025-02-21,56.13,2742789,UL
2025-02-24,56.32,2485226,UL
2025-02-25,55.9,2802069,UL
2025-02-26,56.01,2622581,UL
2025-02-27,56.47,2319116,UL
2025-02-28,56.6,1930079,UL
2025-03-03,57.71,2247185,UL
2025-03-04,58.02,3161534,UL
2025-03-05,58.35,2126638,UL
2025-03-06,58.25,1764491,UL
2025-03-07,59.23,2380233,UL
2025-03-10,60.29,3702075,UL
2025-03-11,59.33,2967093,UL
2025-03-12,59.03,2749961,UL
2025-03-13,58.63,2152836,UL
2025-03-14,58.71,1567963,UL
2025-03-17,59.72,2312405,UL
2025-03-18,58.71,1887991,UL
2025-03-19,58.92,1891242,UL
2025-03-20,59.23,2840447,UL
2025-03-21,58.65,2248669,UL
2025-03-24,58.14,2254764,UL
2025-03-25,58.09,2219068,UL
2025-03-26,58.19,2286390,UL
2025-03-27,58.67,3492436,UL
2025-03-28,59.18,3362459,UL
2025-03-31,59.55,2764744,UL
2025-04-01,59.57,1825972,UL
2025-04-02,59.86,2438327,UL
2025-04-03,62.55,6599585,UL
2025-04-04,59.92,5916507,UL
2025-04-07,57.9,7527323,UL
2025-04-08,57.9,5119182,UL
2025-04-09,59.42,5222183,UL
2025-04-10,59.91,3292706,UL
2025-04-11,61.91,3906263,UL
2025-04-14,62.24,3318967,UL
2025-04-15,62.15,2274331,UL
2025-04-16,62.57,2881711,UL
2025-04-17,63.84,3154036,UL
2025-04-21,63.67,3345423,UL
2025-04-22,65.43,4103468,UL
2025-04-23,64.22,5486487,UL
2025-04-24,63.69,2374757,UL
2025-04-25,62.62,2318899,UL
2025-04-28,63.18,1938937,UL
2025-04-29,63.14,1956435,UL
2025-04-30,63.55,2258292,UL
2025-05-01,62.99,2337437,UL
2025-05-02,63.5,1978210,UL
2025-05-05,63.47,1303588,UL
2025-05-06,63.9,1751994,UL
2025-05-07,64.11,2081164,UL
2025-05-08,62.58,2699004,UL
2025-05-09,62.5,2026011,UL
2025-05-12,61.44,2703817,UL
2025-05-13,60.77,2691478,UL
2025-05-14,60.6,1856351,UL
2025-05-15,61.84,1995257,UL
2025-05-16,61.75,1691298,UL
2025-05-19,62.45,1876581,UL
2025-05-20,63.29,1984559,UL
2025-05-21,63.46,1471777,UL
2025-05-22,63.46,160903,UL
2025-05-23,63.78,1460798,UL
2025-05-27,63.74,1836583,UL
2025-05-28,63.3,2032017,UL
2025-05-29,63.57,2144575,UL
2025-05-30,63.84,2356356,UL
2025-06-02,63.41,2728088,UL
2025-06-03,62.71,2553316,UL
2025-06-04,63.08,1750773,UL
2025-06-05,63.07,1661501,UL
2025-06-06,63.02,1661234,UL
2025-06-09,62.75,2086279,UL
2025-06-10,63.13,1525069,UL
2025-06-11,62.94,2031734,UL
2025-06-12,63.65,1698174,UL
2025-06-13,62.67,1987930,UL
2025-06-16,62.78,2409062,UL
2025-06-17,62.21,1956593,UL
2025-06-18,62.1,1634274,UL
2025-06-20,61.27,2246737,UL
2025-06-23,62.35,2956678,UL
2025-06-24,62.34,4008505,UL
2025-06-25,61.29,1836226,UL
2025-06-26,60.68,2523979,UL
2025-06-27,60.92,1982299,UL
2025-06-30,61.17,2310687,UL
2025-07-01,61.48,2072643,UL
2025-07-02,61.39,1795676,UL
2025-07-03,61.37,991909,UL
2025-07-07,61.41,1852962,UL
2025-07-08,60.91,2092593,UL
2025-07-09,60.8,1644631,UL
2025-07-10,61.47,1971200,UL
2025-07-11,60.79,2015444,UL
2025-07-14,60.97,2399787,UL
2025-07-15,60.26,2055902,UL
2025-07-16,60.32,2517903,UL
2025-07-17,59.79,2230795,UL
2025-07-18,59.7,1418656,UL
2025-07-21,59.66,1804099,UL
2025-07-22,60.34,2941989,UL
2025-07-23,60.88,2832117,UL
2025-07-24,61.04,2444649,UL
2025-07-25,60.43,1685393,UL
2025-07-28,59.21,1823535,UL
2025-07-29,59.33,2837451,UL
2025-07-30,59.01,2250961,UL
2025-07-31,58.43,3391423,UL
2025-08-01,60.47,2718590,UL
2025-08-04,60.17,2025842,UL
2025-08-05,60.13,2426954,UL
2025-08-06,60.81,2928556,UL
2025-08-07,61.32,2981989,UL
2025-08-08,61.06,2120506,UL
2025-08-11,60.9,1595150,UL
2025-08-12,61.08,1897151,UL
2025-08-13,62.44,2341716,UL
2025-08-14,61.68,1959438,UL
2025-08-15,61.0,2007103,UL
2025-08-18,61.29,1880094,UL
2025-08-19,61.97,1991445,UL
2025-08-20,63.56,3005467,UL
2025-08-21,63.27,1654289,UL
2025-08-22,63.06,2323021,UL
2025-08-25,62.06,1546474,UL
2025-08-26,62.0,2036358,UL
2025-08-27,62.52,1599925,UL
2025-08-28,62.37,1734492,UL
2025-08-29,63.2,3318456,UL
2025-09-02,63.54,3224830,UL
2025-09-03,64.24,2772967,UL
2025-09-04,65.01,2972242,UL
2025-09-05,64.31,2691158,UL
2025-09-08,64.0,1785769,UL
2025-09-09,63.08,2131185,UL
2025-09-10,62.78,1841722,UL
2025-09-11,63.49,1740165,UL
2025-09-12,62.89,2489539,UL
2025-09-15,62.32,1485818,UL
2025-09-16,61.86,2180371,UL
2025-09-17,62.42,2283123,UL
2025-09-18,61.46,2177164,UL
2025-09-19,61.2,2471291,UL
2025-09-22,60.49,3773087,UL
2025-09-23,60.58,1776394,UL
2025-09-24,60.09,2281197,UL
2025-09-25,59.33,2325309,UL
2025-09-26,59.28,2850931,UL
2025-09-29,59.17,2569772,UL
2025-09-30,59.28,2026963,UL
2025-10-01,58.81,2133184,UL
2025-10-02,58.94,1735975,UL
