Date,close,vol,symbol
2024-09-06,596.88,2926369,UNH
2024-09-09,594.1,3411393,UNH
2024-09-10,599.03,2863494,UNH
2024-09-11,589.75,3563783,UNH
2024-09-12,588.42,3395835,UNH
2024-09-13,594.32,2242003,UNH
2024-09-16,589.14,2548647,UNH
2024-09-17,577.96,3415975,UNH
2024-09-18,580.65,2988303,UNH
2024-09-19,577.07,2945679,UNH
2024-09-20,575.0,5398749,UNH
2024-09-23,573.41,2386142,UNH
2024-09-24,575.19,3188511,UNH
2024-09-25,576.31,2658894,UNH
2024-09-26,574.81,2751960,UNH
2024-09-27,581.85,2986238,UNH
2024-09-30,584.68,3009766,UNH
2024-10-01,583.3,2648628,UNH
2024-10-02,592.31,3667113,UNH
2024-10-03,592.75,2645877,UNH
2024-10-04,591.2,2463201,UNH
2024-10-07,583.56,2591083,UNH
2024-10-08,581.58,2231446,UNH
2024-10-09,591.22,2207858,UNH
2024-10-10,597.7,2143284,UNH
2024-10-11,598.05,1909733,UNH
2024-10-14,605.4,2447087,UNH
2024-10-15,556.29,11939357,UNH
2024-10-16,571.34,5103928,UNH
2024-10-17,566.03,5588677,UNH
2024-10-18,569.61,3687045,UNH
2024-10-21,571.47,3018013,UNH
2024-10-22,569.86,2594048,UNH
2024-10-23,564.64,2912085,UNH
2024-10-24,560.81,2590197,UNH
2024-10-25,564.56,2513728,UNH
2024-10-28,565.24,1826559,UNH
2024-10-29,562.13,2600448,UNH
2024-10-30,562.96,2323558,UNH
2024-10-31,564.5,2490014,UNH
2024-11-01,567.56,2548368,UNH
2024-11-04,557.77,2656777,UNH
2024-11-05,567.03,2608133,UNH
2024-11-06,596.69,6591301,UNH
2024-11-07,605.45,5254274,UNH
2024-11-08,615.81,3875838,UNH
2024-11-11,625.25,3003242,UNH
2024-11-12,614.67,2809603,UNH
2024-11-13,605.87,3409793,UNH
2024-11-14,593.15,3079199,UNH
2024-11-15,592.23,3423919,UNH
2024-11-18,589.65,2577124,UNH
2024-11-19,577.0,3198346,UNH
2024-11-20,600.5,3928765,UNH
2024-11-21,597.49,2722929,UNH
2024-11-22,590.87,3198124,UNH
2024-11-25,605.83,5146485,UNH
2024-11-26,606.79,2693612,UNH
2024-11-27,608.38,2269792,UNH
2024-11-29,610.2,2010812,UNH
2024-12-02,608.52,3365099,UNH
2024-12-03,605.23,2329878,UNH
2024-12-04,610.79,4147575,UNH
2024-12-05,578.97,5943684,UNH
2024-12-06,549.62,13003644,UNH
2024-12-09,560.62,7684650,UNH
2024-12-10,565.19,5360590,UNH
2024-12-11,533.53,10362991,UNH
2024-12-12,515.76,9403795,UNH
2024-12-13,520.48,8202905,UNH
2024-12-16,498.5,8879986,UNH
2024-12-17,485.52,14132661,UNH
2024-12-18,499.72,10147601,UNH
2024-12-19,489.25,7418073,UNH
2024-12-20,500.13,10956886,UNH
2024-12-23,506.34,4285978,UNH
2024-12-24,506.1,1824393,UNH
2024-12-26,511.15,3387986,UNH
2024-12-27,509.99,3471799,UNH
2024-12-30,507.8,5409047,UNH
2024-12-31,505.86,4214367,UNH
2025-01-02,504.51,4237395,UNH
2025-01-03,513.0,3020428,UNH
2025-01-06,513.67,4444836,UNH
2025-01-07,514.25,3914545,UNH
2025-01-08,524.52,4141728,UNH
2025-01-10,520.69,5467532,UNH
2025-01-13,541.14,6472465,UNH
2025-01-14,543.74,3978259,UNH
2025-01-15,543.42,4103865,UNH
2025-01-16,510.59,9059887,UNH
2025-01-17,509.76,7495719,UNH
2025-01-21,524.99,5682082,UNH
2025-01-22,519.72,3756139,UNH
2025-01-23,529.77,4580802,UNH
2025-01-24,532.51,3671163,UNH
2025-01-27,543.52,4262959,UNH
2025-01-28,542.48,3162659,UNH
2025-01-29,538.1,2737638,UNH
2025-01-30,545.57,2924741,UNH
2025-01-31,542.49,4120661,UNH
2025-02-03,548.18,4083572,UNH
2025-02-04,545.45,2869935,UNH
2025-02-05,539.81,4621558,UNH
